EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,FG2A,OpponentPoints,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Usage,AtRimFrequency,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyAtRimFGA,ThreePtAssists,Arc3Assists,DefThreePtRebounds,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,3SecondViolations,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,ShortMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyFG2M,SelfOReb,2pt And 1 Free Throw Trips,Technical Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,SelfORebPct,SecondChanceAtRimPctAssisted,Corner3FGA,PenaltyArc3FGA,PenaltyFG3A,BlockedAtRim,OffShortMidRangeReboundPct,Corner3Frequency,PenaltyArc3Frequency,PenaltyAtRimFGM,DefArc3ReboundPct,PenaltyAtRimAccuracy,BadPassTurnovers,BlockedShortMidRange,DefensiveGoaltends,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,on,ShortMidRangePctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,BadPassOutOfBoundsTurnovers,PenaltyFg3Pct,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,ShortMidRangeAssists,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FoulsDrawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct
123,1610612740,Robert Pack,Robert Pack,123,NOH,496.0,8,-1.0,16,16,6.0,7,3,32,1.0,1.0,2.0,13,1.0,1.0,6.0,10.526315789473685,0.5,0.5,0.5,0.47609999999999997,4.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,1278.0,21,-6.0,39,42,15.0,23,8,81,1.0,2.0,4.0,43,1.0,3.0,15.0,16.3265306122449,0.25,0.5,0.25,0.42410000000000003,6.550000000000001,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5714285714285714,1.0,0.25,1.0,0.5,0.0625,0.041666666666666664,0.6666666666666666,0.058823529411764705,0.1111111111111111,0.125,0.6666666666666666,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5201,0.3521,0.3333333333333333,0.3333333333333333,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,1136.0,19,-1.0,38,36,8.0,8,8,74,4.0,1.0,6.0,37,2.0,6.0,8.0,16.666666666666668,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.4761499999999999,4.1499999999999995,0.21052631578947367,1.0,,2.0,1.0,1.0,2.0,,4.0,1.0,3.0,,2.0,2.0,,,4.0,,,2.0,3.0,2.0,7.0,,3.0,2.0,1.0,4.0,3.0,7.0,1.0,,1.0,,,2.0,1.0,,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.25,0.15384615384615385,0.16666666666666666,,0.1875,0.14285714285714285,0.2222222222222222,,0.5,0.25,0.25,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,,0.4822333333333333,0.484,,,0.5,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,1731.0,29,2.0,51,51,1.0,5,8,102,7.0,4.0,12.0,49,,4.0,1.0,36.66666666666667,0.4117647058823529,0.23529411764705882,0.7058823529411765,0.545564705882353,5.091666666666666,0.0196078431372549,5.0,,,,1.0,6.0,1.0,22.0,,,,3.0,,,,4.0,8.0,,7.0,7.0,4.0,14.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,4.0,,2.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.5,,0.6176470588235294,1.5,0.6111111111111112,1.5,,0.25,,0.05555555555555555,,,0.043478260869565216,,,,,0.7142857142857143,0.7142857142857143,0.058823529411764705,,,,,,0.59565,,0.05555555555555555,0.07692307692307693,0.13636363636363635,,,,,,3.0,,,,,,,,,0.4,,1.0,3.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,6.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6,1.0,0.6,0.29411764705882354,0.16666666666666666,1.0,0.25,0.25,0.29411764705882354,0.6,0.6,0.6666666666666666,1.0,1.0,1.0,0.6,25.16,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,2371.0,40,2.0,76,76,20.0,29,13,152,6.0,1.0,15.0,73,1.0,6.0,20.0,18.681318681318682,0.375,0.0625,0.4375,0.448378125,10.913333333333332,0.2631578947368421,4.0,1.0,1.0,2.0,8.0,6.0,3.0,18.0,1.0,2.0,,2.0,5.0,,4.0,8.0,4.0,,,1.0,,3.0,1.0,1.0,2.0,,2.0,2.0,4.0,2.0,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,,4.0,4.0,0.6666666666666666,0.6666666666666666,0.4,0.5,0.46875,0.5,0.5,0.5,0.4,1.0,,0.07407407407407407,0.02857142857142857,0.2,0.06060606060606061,0.05,0.07692307692307693,0.25,,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,,0.5,1.0,0.3718,0.37279999999999996,0.125,0.13333333333333333,0.1111111111111111,0.2222222222222222,,1.0,1.0,,,1.0,,,,,,0.16666666666666666,,1.0,,,1.0,1.0,,,1.0,1.0,,,3.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,0.0625,,,,,0.0625,1.0,1.0,1.0,,,,1.0,24.3,2.0,1.0,2.0,2.0,0.4,0.4,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,1060.0,18,1.0,33,34,10.0,15,7,67,3.0,,3.0,34,,,10.0,19.047619047619047,0.42857142857142855,,1.0,0.5493916666666667,,0.30303030303030304,2.0,,1.0,,,2.0,,4.0,,1.0,,,1.0,,,4.0,,,,,,,,2.0,5.0,,5.0,2.0,7.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,0.6666666666666666,,0.2857142857142857,,0.2857142857142857,,,,,0.38461538461538464,0.13333333333333333,,0.3125,0.1111111111111111,,,,0.6666666666666666,0.6666666666666666,,,,,1.0,,0.4917,0.4917,,,,,1.0,,,,1.0,,,,,,0.2,0.5714285714285714,,1.0,0.5,,,3.0,,,,4.0,,,,,3.0,,,,1.0,2.0,,2.0,1.0,,,,,0.5714285714285714,0.3333333333333333,0.5,,,0.42857142857142855,,,,,,,,27.6,,,,,,,,,1.0,1.0,1.0,2.0,0.3333333333333333,0.14285714285714285,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,1235.0,21,3.0,38,40,12.0,21,5,78,5.0,3.0,8.0,36,1.0,2.0,12.0,18.6046511627907,0.625,0.375,0.625,0.48936250000000003,3.6875,0.3157894736842105,2.0,2.0,2.0,,,3.0,,6.0,2.0,2.0,,4.0,3.0,,2.0,,6.0,4.0,,,,,,2.0,1.0,,3.0,2.0,5.0,1.0,1.0,,,,,,,,,2.0,1.0,,,0.375,1.0,0.375,1.0,0.375,1.0,0.3333333333333333,,,0.07142857142857142,0.11764705882352941,,0.17647058823529413,0.10526315789473684,0.25,,0.3333333333333333,0.4,0.4,,,,,1.0,1.0,0.53755,0.4560666666666667,,,0.6666666666666666,0.3333333333333333,1.0,,,2.0,,,,,,0.6666666666666666,,,1.0,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,1.0,,,0.3333333333333333,0.3333333333333333,0.2,,,,,,0.1111111111111111,,,1.0,0.5,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,369.0,6,-2.0,15,14,15.0,14,1,29,1.0,3.0,4.0,13,,,15.0,37.5,0.25,0.75,0.25,0.406525,8.899999999999999,1.0,1.0,,,,,1.0,2.0,4.0,,,,,4.0,2.0,4.0,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,1.0,4.0,,,,0.25,,0.25,,0.4,,0.4,1.0,,,,,,,,,,1.0,1.0,,,,,,,,0.406525,,,,1.0,1.0,,,,,,1.0,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.25,0.25,,,,,,,,,,1.0,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,1005.0,17,7.0,32,29,,1,5,61,2.0,,3.0,27,2.0,4.0,,13.513513513513514,0.6666666666666666,,0.6666666666666666,0.5204666666666666,4.666666666666667,,1.0,1.0,2.0,1.0,1.0,2.0,,4.0,1.0,2.0,,2.0,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,2.0,2.0,4.0,,,,1.0,1.0,2.0,,,,,,,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,,0.5,,0.2222222222222222,0.18181818181818182,,0.14285714285714285,0.15384615384615385,0.4,,,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.5628,,,,0.5,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1610612740,Kenny Anderson,Kenny Anderson,72,NOH,430.0,7,,15,16,4.0,10,4,31,,1.0,1.0,18,1.0,2.0,4.0,10.0,,1.0,,0.3858,9.9,0.26666666666666666,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
