EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,RecoveredBlocks,SecondChanceFg2Pct,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGM,Fg3aBlocked,ShortMidRangeAssists,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,FTDefRebounds,ShortMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,FoulsDrawn,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceArc3PctAssisted,BlockedShortMidRange,on,PenaltyCorner3FGM,PenaltyCorner3Accuracy,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,HeaveAttempts
123,1610612740,Robert Pack,Robert Pack,123,NOH,1821.0,30,-6.0,54,57,24,28,5,111,2.0,2.0,1.0,1.0,3.0,5.0,1.0,5,8,3.0,13,70,2.0,3.0,2.0,6.0,2.0,8.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,3.0,1.0,1.0,1.0,6.0,24,1.0,0.2,0.2,0.625,0.6666666666666666,0.625,0.6666666666666666,0.7222222222222222,0.75,16.949152542372882,1.0,0.05555555555555555,0.045454545454545456,0.09090909090909091,0.25,1.0,1.0,0.625,0.6,0.6,0.3333333333333333,0.125,0.3333333333333333,1.0,0.25,0.43629999999999997,0.44183333333333336,0.125,0.125,0.46153846153846156,8.475,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,8581.0,143,-23.0,266,264,52,90,33,530,9.0,12.0,,1.0,,3.0,14.0,11,29,4.0,62,303,,3.0,2.0,5.0,20.0,2.0,6.0,4.0,10.0,3.0,4.0,24.0,2.0,3.0,4.0,7.0,2.0,12.0,5.0,17,4.0,,1.0,1.0,5.0,52,2.0,0.9090909090909091,0.9090909090909091,0.3793103448275862,,0.5087719298245614,0.16666666666666666,0.5254237288135594,0.25,23.202614379084967,0.5833333333333334,0.020618556701030927,0.02702702702702703,0.02127659574468085,0.21052631578947367,0.75,0.8181818181818182,0.05263157894736842,,,,0.24561403508771928,0.1111111111111111,,0.7017543859649122,0.527659649122807,0.5457722222222222,0.017241379310344827,0.03333333333333333,0.08064516129032258,10.520689655172413,0.19548872180451127,2.0,3.0,7.0,2.0,3.0,2.0,9.0,21.0,3.0,1.0,4.0,12.0,28.0,1.0,2.0,6.0,6.0,1.0,6.0,33.0,3.0,21.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.9166666666666666,0.42857142857142855,0.3333333333333333,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.49122807017543857,0.034482758620689655,0.08333333333333333,0.011111111111111112,0.07142857142857142,0.007936507936507936,0.030303030303030304,0.05,0.09090909090909091,0.8888888888888888,0.14285714285714285,0.14285714285714285,1.0,0.12280701754385964,0.42857142857142855,0.42857142857142855,1.0,0.3684210526315789,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.42857142857142855,0.6666666666666666,1.0,0.42857142857142855,0.2222222222222222,0.4444444444444444,0.25,0.42857142857142855,0.54325,0.0967741935483871,24.846428571428568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,8776.0,146,-21.0,268,266,54,86,37,534,7.0,14.0,1.0,1.0,7.0,13.0,6.0,16,33,14.0,46,299,3.0,7.0,5.0,11.0,22.0,10.0,2.0,3.0,5.0,3.0,2.0,13.0,14.0,19.0,33.0,3.0,1.0,4.0,5.0,18,19.0,1.0,8.0,2.0,11.0,54,3.0,0.6875,0.8461538461538461,0.48484848484848486,0.42857142857142855,0.48484848484848486,0.42857142857142855,0.5476190476190477,0.55,14.743589743589743,0.75,0.13861386138613863,0.15966386554621848,0.17307692307692307,0.42424242424242425,0.5,0.5384615384615384,0.3939393939393939,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.18181818181818182,0.14285714285714285,1.0,0.42424242424242425,0.4573,0.3952428571428572,0.2,0.2,0.2391304347826087,6.809090909090909,0.20149253731343283,2.0,,,,,,,,,,,,,6.0,,,10.0,,,,,,,1.0,,,10.0,5.0,14.0,7.0,5.0,2.0,1.0,1.0,2.0,,,6.0,,3.0,3.0,3.0,,,,,,0.6666666666666666,0.7142857142857143,,0.030303030303030304,0.07142857142857142,0.1,0.2777777777777778,0.0962962962962963,0.13333333333333333,0.15789473684210525,0.26666666666666666,0.5714285714285714,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,0.5256833333333333,0.21739130434782608,,3.0,5.0,4.0,2.0,6.0,3.0,1.0,1.0,0.6666666666666666,0.1111111111111111,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.11538461538461539,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.6,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,7717.0,129,-11.0,232,231,44,67,36,463,10.0,19.0,1.0,5.0,1.0,4.0,6.0,14,29,11.0,51,254,1.0,6.0,6.0,14.0,8.0,20.0,24.0,6.0,30.0,4.0,15.0,66.0,9.0,9.0,12.0,3.0,2.0,8.0,4.0,15,14.0,,6.0,1.0,14.0,44,2.0,0.2857142857142857,0.2857142857142857,0.4827586206896552,0.16666666666666666,0.425531914893617,0.36363636363636365,0.4722222222222222,0.5,22.46376811594203,0.375,0.1,0.08411214953271028,0.175,0.40425531914893614,0.5263157894736842,0.5555555555555556,0.0851063829787234,0.25,0.25,,0.1276595744680851,0.45454545454545453,0.2,0.7872340425531915,0.5206212765957446,0.5222363636363636,0.11320754716981132,0.17142857142857143,0.27450980392156865,5.244827586206896,0.1896551724137931,3.0,,,,,,4.0,18.0,3.0,2.0,5.0,4.0,18.0,4.0,1.0,3.0,7.0,2.0,5.0,6.0,6.0,18.0,4.0,1.0,2.0,5.0,2.0,,3.0,1.0,1.0,,,5.0,1.0,,3.0,,3.0,1.0,,1.0,0.5,0.2222222222222222,0.3333333333333333,0.4,0.2222222222222222,0.5,0.5,0.3829787234042553,0.034482758620689655,0.05263157894736842,0.022988505747126436,,0.02564102564102564,0.06451612903225806,0.05,,0.4,0.5,0.5,,,,,,0.3829787234042553,0.2222222222222222,0.23529411764705882,0.5,,,,0.42857142857142855,,0.45454545454545453,0.4,0.2222222222222222,0.5678875,0.13725490196078433,26.35,2.0,4.0,2.0,,,1.0,,1.0,0.5,,0.03333333333333333,,,0.043478260869565216,0.03333333333333333,,1.0,0.5714285714285714,0.5,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.05555555555555555,0.05555555555555555,0.038461538461538464,0.5,0.3333333333333333,,,,,,,,,,True,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,11229.0,187,-19.0,344,344,92,137,45,688,18.0,32.0,6.0,9.0,3.0,14.0,3.0,22,49,25.0,69,382,6.0,17.0,11.0,23.0,34.0,10.0,1.0,1.0,2.0,1.0,1.0,5.0,25.0,33.0,50.0,6.0,1.0,9.0,6.0,15,33.0,1.0,13.0,4.0,23.0,92,5.0,0.7727272727272727,0.85,0.4489795918367347,0.35294117647058826,0.4489795918367347,0.35294117647058826,0.5307692307692308,0.4791666666666667,18.639798488664987,0.6666666666666666,0.1953125,0.20394736842105263,0.18333333333333332,0.6530612244897959,0.5625,0.5625,0.2857142857142857,0.21428571428571427,0.23076923076923078,0.3333333333333333,0.061224489795918366,0.5294117647058824,0.6666666666666666,0.6530612244897959,0.48922653061224475,0.4641352941176471,0.21311475409836064,0.21311475409836064,0.3333333333333333,3.7448979591836733,0.26744186046511625,1.0,,,,,,,,,,,,,9.0,,,11.0,,,,,,,1.0,,,14.0,6.0,17.0,4.0,3.0,1.0,2.0,3.0,5.0,,2.0,4.0,1.0,6.0,6.0,6.0,,,,,,0.3333333333333333,0.4230769230769231,,0.02040816326530612,,0.11290322580645161,0.25,0.10240963855421686,0.2,0.28,0.21052631578947367,0.8333333333333334,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,0.5164333333333333,0.15942028985507245,,3.0,7.0,3.0,5.0,4.0,3.0,,3.0,0.3333333333333333,,0.07142857142857142,0.09302325581395349,0.04878048780487805,0.0625,0.16279069767441862,0.4,0.5,0.7777777777777778,0.42857142857142855,,,,2.0,,1.0,,,,0.07692307692307693,,,2.0,0.07142857142857142,0.25,0.1,,,,,,True,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,5208.0,87,19.0,156,153,49,70,22,309,4.0,7.0,1.0,1.0,2.0,3.0,3.0,7,13,,23,154,1.0,2.0,,5.0,10.0,4.0,6.0,1.0,7.0,,5.0,15.0,12.0,15.0,21.0,2.0,2.0,4.0,4.0,9,,,,,5.0,49,1.0,0.7142857142857143,1.0,0.5384615384615384,0.5,0.4791666666666667,0.5,0.4791666666666667,0.5,15.300546448087431,0.5,0.19047619047619047,0.18421052631578946,0.2727272727272727,0.2916666666666667,0.5714285714285714,0.6666666666666666,0.125,0.6666666666666666,0.6666666666666666,1.0,0.125,0.2,1.0,0.75,0.5281854166666667,0.49584,,,0.21739130434782608,5.623076923076923,0.3141025641025641,1.0,1.0,7.0,,,1.0,2.0,4.0,,1.0,2.0,3.0,11.0,4.0,,,6.0,1.0,3.0,9.0,,4.0,2.0,1.0,1.0,1.0,5.0,2.0,6.0,3.0,2.0,1.0,1.0,2.0,,,,2.0,,1.0,1.0,1.0,1.0,0.2727272727272727,,0.3333333333333333,0.2727272727272727,0.75,0.75,0.4583333333333333,0.07692307692307693,0.14285714285714285,0.09615384615384616,0.15384615384615385,0.08333333333333333,0.05263157894736842,0.18181818181818182,0.1,0.5,0.3333333333333333,0.3333333333333333,1.0,0.2916666666666667,0.14285714285714285,0.14285714285714285,1.0,0.16666666666666666,0.5,0.5,1.0,,,,,0.2,0.4,0.5,0.5,0.5670000000000001,0.2608695652173913,23.44545454545455,3.0,4.0,3.0,,4.0,1.0,,1.0,0.75,,0.05,0.06666666666666667,0.16666666666666666,0.08333333333333333,0.05263157894736842,0.3333333333333333,1.0,1.0,0.75,,,,,,1.0,,,,,0.3333333333333333,,1.0,,0.16666666666666666,,1.0,1.0,,,,True,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,6740.0,112,-30.0,209,209,57,85,26,418,1.0,1.0,,,6.0,20.0,24.0,19,45,13.0,66,245,2.0,12.0,5.0,12.0,12.0,26.0,14.0,1.0,15.0,1.0,7.0,31.0,10.0,11.0,11.0,4.0,2.0,5.0,2.0,2,18.0,2.0,6.0,3.0,12.0,57,,0.3157894736842105,0.3157894736842105,0.4222222222222222,0.16666666666666666,0.4732142857142857,0.25,0.5158730158730159,0.35294117647058826,28.451882845188283,0.8,0.13157894736842105,0.125,0.21875,0.017857142857142856,1.0,1.0,0.35714285714285715,0.3,0.3333333333333333,0.16666666666666666,0.42857142857142855,,,0.21428571428571427,0.4207919642857143,0.38973214285714286,0.1,0.12244897959183673,0.18181818181818182,13.495555555555557,0.2727272727272727,12.0,,,,,,5.0,11.0,2.0,1.0,2.0,5.0,11.0,1.0,1.0,2.0,5.0,1.0,2.0,12.0,3.0,11.0,5.0,2.0,,2.0,,1.0,,4.0,2.0,2.0,,1.0,2.0,,1.0,,,1.0,1.0,1.0,0.8,0.45454545454545453,0.5,0.5,0.45454545454545453,0.8333333333333334,0.8333333333333334,0.19642857142857142,0.044444444444444446,,,0.08333333333333333,,,0.05555555555555555,0.09090909090909091,1.0,0.5,0.5,0.3333333333333333,,,,,0.19642857142857142,0.45454545454545453,0.45454545454545453,0.8,,,,0.6666666666666666,,0.14285714285714285,0.5,0.45454545454545453,0.5505,0.07575757575757576,25.7,,,1.0,,,,,1.0,1.0,,,,,,0.07692307692307693,,1.0,,,1.0,,5.0,,,1.0,,,,,,0.5,,0.1,,,,,2.0,1.0,,True,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,632.0,11,-5.0,20,21,3,15,3,41,2.0,3.0,,,,,1.0,2,4,,4,24,,,,,,4.0,,,,,,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,,,3,,,,0.5,,0.5,,0.5,,21.73913043478261,1.0,0.2222222222222222,0.2222222222222222,0.25,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,,,0.75,0.545025,,0.25,0.25,,4.125,0.15,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.3333333333333333,,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,0.57835,1.0,,2.0,2.0,2.0,,4.0,,,,1.0,,,0.5,,,0.25,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,1523.0,25,-5.0,46,48,28,32,4,94,3.0,3.0,2.0,2.0,,,1.0,3,4,1.0,7,56,2.0,3.0,1.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,10.0,3.0,5.0,6.0,,,2.0,2.0,4,2.0,,,1.0,5.0,28,1.0,0.6666666666666666,1.0,0.75,0.6666666666666666,0.75,0.6666666666666666,0.7,0.625,13.72549019607843,,0.23076923076923078,0.16666666666666666,1.0,0.75,1.0,1.0,,,,,0.25,0.6666666666666666,1.0,0.75,0.5100000000000001,0.4903,,,0.7142857142857143,3.575,0.6086956521739131,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,1.0,,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,1.0,0.75,,,,0.058823529411764705,,0.05,0.14285714285714285,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,0.5691,0.42857142857142855,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,0.2222222222222222,,0.3333333333333333,1.0,1.0,,,1.0,,,,,,,,,,2.0,,0.5,,,,,,2.0,True,,,,,,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,1235.0,21,3.0,38,40,12,21,5,78,3.0,3.0,,,,1.0,3.0,4,7,1.0,12,36,1.0,3.0,,2.0,6.0,2.0,,,,,,,2.0,2.0,3.0,1.0,,1.0,,3,1.0,1.0,1.0,,2.0,12,3.0,0.75,0.75,0.5714285714285714,0.3333333333333333,0.6875,0.3333333333333333,0.75,0.3333333333333333,20.930232558139537,1.0,0.14285714285714285,0.11764705882352941,0.3333333333333333,0.375,1.0,1.0,0.125,,,,0.375,,,0.5,0.45069374999999995,0.36496666666666666,0.125,0.14285714285714285,0.16666666666666666,10.299999999999999,0.3157894736842105,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,2.0,,,3.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,0.125,,,,,0.05263157894736842,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,0.125,1.0,1.0,1.0,,,,,,,,1.0,,0.16666666666666666,24.3,1.0,1.0,1.0,,,1.0,,,1.0,,0.5,,,0.5,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,True,,,,,,,,,
