EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,ThreePtAssists,Arc3Assists,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGA,HeaveAttempts,Corner3Assists,LongMidRangePctBlocked,SecondChanceArc3Frequency,Blocked3s,BlockedArc3,BlockedShortMidRange,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,DefensiveGoaltends,3SecondViolations,on
1496,1610612755,Keith Van Horn,Keith Van Horn,1496,PHI,24129.0,402,43,731,712,230,142,101,1443,15.0,31.0,9.0,14.0,7.0,9.0,8.0,28.0,5.0,19.0,3.0,13.0,1.0,4.0,11.0,19.0,2.0,5.0,28.0,78.0,14.0,32.0,27.0,125.0,722,10.0,21.0,8.0,28.0,8.0,22.0,3.0,9.0,7.0,32.0,32.0,24.0,42.0,16.0,19.0,11.0,11.0,9.0,9.0,5.0,1.0,3.0,18.0,2.0,20.0,2.0,16.0,40.0,10.0,66.0,24.0,90.0,4.0,10.0,5.0,5.0,12.0,1.0,5.0,14.0,1.0,7.0,2.0,26,2.0,8.0,20.0,41.0,4.0,8.0,30.0,1.0,11.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,32.0,230,1.0,0.5714285714285714,0.8,1.0,0.4375,0.3333333333333333,0.4375,0.358974358974359,0.47619047619047616,0.36363636363636365,0.44545454545454544,0.47619047619047616,0.4032258064516129,0.5040322580645161,0.56,0.45714285714285713,0.2909090909090909,0.14102564102564102,0.25806451612903225,0.10714285714285714,17.605633802816904,0.46153846153846156,0.43478260869565216,0.13333333333333333,0.16326530612244897,0.06802721088435375,0.16161616161616163,0.037037037037037035,0.16279069767441862,0.06321839080459771,0.09523809523809523,0.07352941176470588,0.04132231404958678,0.02702702702702703,0.058823529411764705,0.08823529411764706,0.2222222222222222,0.17142857142857143,0.1518987341772152,0.2,0.07017543859649122,0.2818181818181818,0.4838709677419355,0.6521739130434783,0.3333333333333333,0.2545454545454545,0.2857142857142857,0.32,0.75,0.17272727272727273,0.2631578947368421,0.2631578947368421,1.0,0.11818181818181818,0.23076923076923078,0.23076923076923078,1.0,0.17272727272727273,0.5789473684210527,0.5789473684210527,1.0,0.6666666666666666,0.6428571428571429,0.2903225806451613,0.7777777777777778,0.12903225806451613,0.25,0.16129032258064516,0.4,0.5727272727272728,0.5789473684210527,0.4790868181818182,0.5080052631578947,0.4761854838709678,0.09917355371900827,0.125,0.030303030303030304,0.224,0.256,8.044871794871794,24.693749999999998,0.3146374829001368,,,,,,,,,,,,,,,,,,,,,,,,,,True
1730,1610612755,Brian Skinner,Brian Skinner,1730,PHI,437.0,7,-4,14,14,10,10,3,28,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,18,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,1,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,10,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,10.526315789473685,,,,,,1.0,1.0,0.25,0.16666666666666666,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,0.5053,,0.5053,,,,,,,,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,True
1761,1610612755,Greg Buckner,Greg Buckner,1761,PHI,2932.0,49,5,89,83,45,34,11,172,3.0,4.0,1.0,1.0,1.0,2.0,,,2.0,6.0,,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,10.0,1.0,3.0,2.0,15.0,87,2.0,3.0,,4.0,2.0,5.0,1.0,2.0,,7.0,4.0,6.0,3.0,4.0,2.0,1.0,,1.0,1.0,1.0,,,2.0,,3.0,,2.0,5.0,1.0,8.0,3.0,11.0,,,,,,1.0,,1.0,,,,1,,,4.0,8.0,,,2.0,,1.0,,,1.0,,1.0,1.0,,,7.0,45,2.0,0.4,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666,0.4,0.5,0.6666666666666666,0.5,0.5357142857142857,0.6666666666666666,0.5,0.23076923076923078,,,,14.563106796116504,,0.2,,0.1724137931034483,0.07317073170731707,0.1111111111111111,,0.14893617021276595,0.06382978723404255,,0.2,0.09523809523809523,,,0.2857142857142857,0.1111111111111111,0.15384615384615385,0.15384615384615385,,,0.3076923076923077,0.75,0.75,0.3333333333333333,,,,,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.5,0.07692307692307693,,,,0.15384615384615385,0.5,0.5,1.0,0.3333333333333333,1.0,0.2857142857142857,0.5,0.14285714285714285,,0.14285714285714285,1.0,0.5384615384615384,0.5,0.4791961538461538,0.39853333333333335,0.4866642857142857,0.07142857142857142,0.09090909090909091,,0.26666666666666666,0.4666666666666667,10.919999999999998,24.733333333333334,0.5056179775280899,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,9997.0,167,33,311,296,141,106,45,607,10.0,15.0,1.0,2.0,5.0,8.0,2.0,6.0,5.0,14.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,17.0,35.0,4.0,8.0,5.0,51.0,285,3.0,7.0,,9.0,11.0,20.0,2.0,3.0,4.0,32.0,20.0,14.0,9.0,2.0,4.0,1.0,4.0,12.0,14.0,4.0,2.0,6.0,30.0,2.0,1.0,,3.0,16.0,1.0,20.0,3.0,23.0,,6.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,4.0,,8,,,5.0,14.0,,,7.0,1.0,3.0,,1.0,1.0,,1.0,1.0,,,32.0,141,5.0,0.5882352941176471,0.625,0.75,0.5,0.6666666666666666,0.5,0.4857142857142857,0.42857142857142855,0.55,0.5348837209302325,0.5625,0.6086956521739131,0.5543478260869565,0.5625,0.64,0.18604651162790697,0.11428571428571428,0.2,0.16666666666666666,14.754098360655737,0.75,0.09090909090909091,,0.14545454545454545,0.007874015748031496,0.06818181818181818,0.06451612903225806,0.12337662337662338,0.0189873417721519,0.018518518518518517,,,0.043478260869565216,0.125,0.1724137931034483,0.08571428571428572,0.17391304347826086,0.09090909090909091,,,0.3488372093023256,0.6666666666666666,0.8333333333333334,0.6,0.13953488372093023,0.3333333333333333,0.4,0.5,0.32558139534883723,0.35714285714285715,0.35714285714285715,0.6,0.09302325581395349,0.75,0.75,1.0,0.09302325581395349,0.25,0.25,,0.25,0.5,0.34782608695652173,0.625,0.043478260869565216,1.0,0.08695652173913043,0.5,0.5348837209302325,0.25,0.470889534883721,0.42715000000000003,0.4484195652173913,0.06666666666666667,0.08108108108108109,,0.17647058823529413,0.6274509803921569,8.920000000000002,24.1,0.4533762057877814,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.125,1.0,1.0,,,,,,,,,,,,,True
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,22977.0,383,26,696,681,213,135,95,1377,33.0,65.0,1.0,1.0,9.0,18.0,10.0,23.0,35.0,96.0,,2.0,,2.0,12.0,33.0,5.0,14.0,78.0,184.0,12.0,35.0,51.0,243.0,696,10.0,17.0,1.0,21.0,20.0,44.0,5.0,16.0,27.0,82.0,66.0,90.0,21.0,4.0,32.0,12.0,11.0,56.0,65.0,23.0,9.0,24.0,139.0,1.0,3.0,,10.0,20.0,1.0,31.0,4.0,35.0,,22.0,12.0,10.0,17.0,2.0,12.0,12.0,2.0,5.0,2.0,29,2.0,11.0,3.0,16.0,1.0,5.0,72.0,4.0,26.0,,12.0,1.0,,1.0,1.0,,,82.0,213,3.0,0.4230769230769231,0.4342105263157895,0.5833333333333334,0.34285714285714286,0.3125,0.35294117647058826,0.42391304347826086,0.5882352941176471,0.45454545454545453,0.4383561643835616,0.5263157894736842,0.4583333333333333,0.48023715415019763,0.525,0.5324675324675324,0.1598173515981735,0.059782608695652176,0.07692307692307693,0.17391304347826086,34.857849196538936,0.5862068965517241,0.043478260869565216,,0.08547008547008547,0.01079136690647482,0.10638297872340426,0.019230769230769232,0.09146341463414634,0.012121212121212121,0.01020408163265306,0.015625,0.008620689655172414,,0.058823529411764705,0.09230769230769231,0.11594202898550725,0.06,0.07692307692307693,0.25,,0.2968036529680365,0.5076923076923077,0.55,0.3333333333333333,0.1050228310502283,0.43478260869565216,0.5263157894736842,0.3,0.4383561643835616,0.3645833333333333,0.3723404255319149,0.5428571428571428,0.0091324200913242,,,,0.1506849315068493,0.36363636363636365,0.36363636363636365,0.5833333333333334,0.05263157894736842,1.0,0.3,0.5,0.03333333333333333,,0.23333333333333334,0.35714285714285715,0.45662100456621,0.375,0.4712185779816514,0.38586071428571433,0.4630898305084746,0.1078838174273859,0.1262135922330097,,0.08641975308641975,0.3374485596707819,10.752173913043478,26.045714285714286,0.30603448275862066,,,,,,2.0,15.0,9.0,4.0,,,,,2.0,1.0,5.0,0.020833333333333332,0.10526315789473684,,,,,,,,True
1903,1610612755,Kenny Thomas,Kenny Thomas,1903,PHI,15012.0,250,12,444,444,99,30,65,888,20.0,36.0,9.0,13.0,1.0,5.0,9.0,17.0,9.0,14.0,,,,,,,,,38.0,67.0,,,6.0,82.0,457,10.0,15.0,1.0,21.0,6.0,10.0,,,4.0,16.0,50.0,26.0,,16.0,,,3.0,6.0,7.0,3.0,1.0,2.0,15.0,4.0,23.0,,11.0,26.0,6.0,43.0,27.0,70.0,2.0,4.0,3.0,1.0,5.0,,3.0,7.0,1.0,2.0,1.0,12,,3.0,9.0,27.0,8.0,4.0,9.0,1.0,4.0,,1.0,2.0,1.0,,3.0,,,16.0,99,1.0,0.6578947368421053,0.8333333333333334,,,,,0.5671641791044776,0.6666666666666666,0.6,0.5671641791044776,0.6666666666666666,0.6,0.5774647887323944,0.65625,0.6153846153846154,,0.04477611940298507,0.08333333333333333,,15.900383141762452,0.4166666666666667,0.5,,0.17218543046357615,0.12432432432432433,0.18333333333333332,0.13793103448275862,0.17535545023696683,0.1261682242990654,0.16666666666666666,0.1951219512195122,0.05128205128205128,0.19047619047619047,,0.09523809523809523,0.13953488372093023,0.24242424242424243,0.1836734693877551,0.18181818181818182,0.07692307692307693,0.5373134328358209,0.5555555555555556,0.6060606060606061,0.6,0.2537313432835821,0.5294117647058824,0.5294117647058824,0.7777777777777778,0.208955223880597,0.6428571428571429,0.6428571428571429,0.6666666666666666,,,,,,,,,0.8666666666666667,0.6923076923076923,0.5,0.2,,,,,0.5373134328358209,,0.4915955223880597,0.5491199999999999,0.4703100000000001,0.05714285714285714,0.05714285714285714,,0.25609756097560976,0.1951219512195122,5.580597014925373,,0.22297297297297297,2.0,0.6666666666666666,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,0.1111111111111111,,,,True
727,1610612755,Eric Snow,Eric Snow,727,PHI,19229.0,320,50,586,565,167,86,79,1151,11.0,19.0,1.0,2.0,4.0,7.0,4.0,17.0,17.0,34.0,,1.0,,1.0,1.0,7.0,1.0,5.0,32.0,70.0,1.0,8.0,32.0,99.0,570,4.0,7.0,,8.0,9.0,22.0,1.0,6.0,20.0,41.0,42.0,22.0,3.0,,6.0,1.0,6.0,42.0,57.0,15.0,8.0,19.0,129.0,4.0,4.0,,10.0,15.0,,25.0,8.0,33.0,1.0,15.0,4.0,11.0,15.0,6.0,9.0,7.0,1.0,6.0,,22,,4.0,12.0,35.0,2.0,,38.0,1.0,10.0,,7.0,,,,,,,41.0,167,4.0,0.65625,0.65625,1.0,0.125,0.16666666666666666,0.14285714285714285,0.45714285714285713,0.5714285714285714,0.4090909090909091,0.42948717948717946,0.4444444444444444,0.375,0.5053191489361702,0.4444444444444444,0.5131578947368421,0.10256410256410256,0.08571428571428572,0.21052631578947367,0.11764705882352941,17.058823529411764,0.6818181818181818,,,0.08108108108108109,0.017937219730941704,0.13513513513513514,0.09523809523809523,0.09652509652509653,0.03018867924528302,,0.05357142857142857,0.010526315789473684,0.10714285714285714,0.07142857142857142,0.09615384615384616,0.0784313725490196,0.07317073170731707,0.13793103448275862,0.125,0.02857142857142857,0.24358974358974358,0.5789473684210527,0.7333333333333333,0.45454545454545453,0.21794871794871795,0.23529411764705882,0.26666666666666666,0.5,0.4358974358974359,0.5,0.5,0.8235294117647058,0.01282051282051282,,,,0.08974358974358974,0.14285714285714285,0.14285714285714285,1.0,0.2222222222222222,0.5,0.25,0.5714285714285714,0.03571428571428571,,0.17857142857142858,0.2,0.34615384615384615,0.16666666666666666,0.4332279220779221,0.46315,0.4398660714285714,0.11494252873563218,0.12658227848101267,,0.08080808080808081,0.41414141414141414,10.74714285714286,28.0875,0.28498293515358364,,,,1.0,,2.0,,15.0,13.0,,0.1111111111111111,,,1.0,1.0,2.0,,0.1111111111111111,,,,,5.0,,,True
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,19745.0,329,48,594,582,158,95,77,1176,25.0,43.0,10.0,17.0,6.0,11.0,9.0,18.0,10.0,23.0,2.0,3.0,,,2.0,5.0,1.0,2.0,44.0,84.0,4.0,8.0,20.0,120.0,588,12.0,21.0,,24.0,10.0,19.0,1.0,2.0,8.0,31.0,60.0,28.0,12.0,16.0,5.0,2.0,6.0,15.0,18.0,6.0,4.0,5.0,39.0,3.0,20.0,1.0,15.0,29.0,2.0,46.0,24.0,70.0,5.0,5.0,2.0,3.0,7.0,1.0,5.0,5.0,2.0,2.0,,12,1.0,2.0,15.0,27.0,5.0,1.0,23.0,3.0,9.0,,4.0,15.0,8.0,2.0,15.0,,1.0,31.0,158,5.0,0.6818181818181818,0.8333333333333334,1.0,0.5,0.5,0.5,0.5238095238095238,0.5714285714285714,0.5263157894736842,0.5434782608695652,0.5714285714285714,0.5476190476190477,0.5882352941176471,0.5714285714285714,0.5961538461538461,0.08695652173913043,0.07142857142857142,0.13953488372093023,,16.61807580174927,0.5833333333333334,0.1,0.09090909090909091,0.1457286432160804,0.08849557522123894,0.17857142857142858,0.07317073170731707,0.15547703180212014,0.08614232209737828,0.2054794520547945,0.018518518518518517,0.04040404040404041,0.03571428571428571,0.15384615384615385,0.1320754716981132,0.18333333333333332,0.12790697674418605,0.16923076923076924,0.21052631578947367,0.13157894736842105,0.4673913043478261,0.5813953488372093,0.6756756756756757,0.6,0.1956521739130435,0.5,0.5,0.6666666666666666,0.25,0.43478260869565216,0.43478260869565216,0.9,0.03260869565217391,0.6666666666666666,0.6666666666666666,1.0,0.05434782608695652,0.4,0.4,1.0,0.8095238095238095,0.5882352941176471,0.5238095238095238,0.5454545454545454,,,0.09523809523809523,0.5,0.5543478260869565,0.4,0.4912494565217392,0.5317631578947368,0.5176547619047619,0.09183673469387756,0.1,,0.2,0.25833333333333336,6.8464285714285715,25.5,0.265993265993266,11.0,0.7333333333333333,,,,,,3.0,2.0,,,,,,,1.0,,,,,5.0,0.1,,2.0,1.0,True
2422,1610612755,John Salmons,John Salmons,2422,PHI,424.0,7,10,16,13,11,3,1,29,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,10,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1,1.0,1.0,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,1.0,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,0.4974,,0.4974,,,,,,,23.0,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,True
238,1610612755,Tyrone Hill,Tyrone Hill,238,PHI,3129.0,52,-4,94,91,45,31,16,185,4.0,8.0,4.0,5.0,3.0,4.0,,,1.0,1.0,,,,,,,,,5.0,9.0,,,3.0,13.0,92,5.0,6.0,1.0,11.0,4.0,5.0,,,2.0,10.0,4.0,6.0,,6.0,,,3.0,,,,,,,,5.0,,1.0,4.0,,5.0,5.0,10.0,,,,,2.0,,1.0,2.0,,1.0,,4,,2.0,5.0,12.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,10.0,45,,0.4,1.0,,,,,0.5555555555555556,0.8333333333333334,0.8,0.5555555555555556,0.8333333333333334,0.8,0.65,0.9166666666666666,0.8333333333333334,,0.3333333333333333,0.375,,12.612612612612612,0.5,,,0.125,0.1,0.07692307692307693,,0.1111111111111111,0.08771929824561403,0.09523809523809523,0.16666666666666666,0.058823529411764705,,,0.25,,0.16666666666666666,0.07692307692307693,,,0.8888888888888888,0.5,0.8,0.25,,,,,0.1111111111111111,1.0,1.0,1.0,,,,,,,,,0.8333333333333334,0.8,0.8,0.75,,,,,0.8888888888888888,,0.5126777777777778,0.5282833333333333,0.49634,0.2,0.2,,0.8461538461538461,0.7692307692307693,1.788888888888889,,0.4787234042553192,,,,,,,,,,,,,,,,,,,,,,0.25,,,,True
