EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Minutes,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyFg3Pct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangeFGM,Fg2aBlocked,Arc3Assists,AtRimAssists,ShortMidRangeAssists,Steals,BadPassSteals,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,FTDefRebounds,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,DefFTReboundPct,BlocksRecoveredPct,LostBallOutOfBoundsTurnovers,Travels,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,PtsUnassisted3s,LostBallSteals,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,3SecondViolations,OffCorner3ReboundPct,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,FoulsDrawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct
123,1610612740,Robert Pack,Robert Pack,123,NOH,5.0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,430.0,16,10,31,7.0,15.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,7.0,18.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,0.875,0.5,0.875,0.5,0.25,20.0,0.25,1.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.5,1.0,0.44581249999999994,0.38455,0.2857142857142857,11.799999999999999,24.3,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,1171.0,37,23,75,20.0,38.0,19.0,3.0,3.0,5.0,,,,,3.0,6.0,,,8.0,38.0,1.0,2.0,4.0,4.0,2.0,,,,2.0,4.0,19.0,1.0,0.6666666666666666,1.0,,,,0.5,0.5,0.5,0.5,0.5714285714285714,0.6666666666666666,,21.951219512195124,0.8333333333333334,0.6,0.6,0.6666666666666666,,,,,,,,0.8333333333333334,,0.4988333333333333,0.42745,0.5,1.8833333333333335,,0.5,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.08333333333333333,0.4,0.23529411764705882,0.07142857142857142,0.2,0.14285714285714285,1.0,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,1.0,1.0,0.5,1.0,0.4963,0.14285714285714285,0.14285714285714285,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,1946.0,64,43,129,32.0,65.0,36.0,9.0,2.0,3.0,,3.0,1.0,3.0,2.0,6.0,1.0,3.0,8.0,71.0,1.0,3.0,6.0,4.0,,3.0,3.0,1.0,3.0,6.0,36.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.5,0.4,0.5,0.3333333333333333,15.789473684210526,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.4945875,0.463425,0.75,9.733333333333333,29.2,0.5538461538461539,-7.0,,1.0,1.0,2.0,,1.0,,2.0,,1.0,,1.0,2.0,4.0,6.0,1.0,7.0,,,1.0,2.0,,1.0,2.0,,,,,0.16,0.037037037037037035,0.3333333333333333,0.1935483870967742,0.03125,,0.08333333333333333,0.16666666666666666,0.25,0.5,,,0.5,,0.4,0.5,0.4423,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.07142857142857142,0.2857142857142857,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
72,1610612740,Kenny Anderson,Kenny Anderson,72,NOH,3104.0,104,55,206,52.0,102.0,40.0,13.0,1.0,6.0,2.0,3.0,,,4.0,12.0,,,11.0,107.0,1.0,4.0,3.0,6.0,2.0,,,,6.0,3.0,40.0,1.0,0.75,0.75,,,,0.3333333333333333,0.25,0.3333333333333333,0.25,0.4230769230769231,0.375,,14.529914529914532,0.5,0.16666666666666666,0.25,1.0,0.25,0.6666666666666666,0.6666666666666666,,,,,0.5,,0.4787833333333333,0.507125,0.2727272727272727,6.466666666666668,,0.39215686274509803,-1.0,,,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,,2.0,,2.0,,2.0,,1.0,1.0,4.0,,,3.0,2.0,1.0,1.0,1.0,,,0.18181818181818182,0.0425531914893617,,,,,0.25,,,0.25,,,0.75,0.3333333333333333,0.3749,0.15384615384615385,0.15384615384615385,0.18181818181818182,,,,,7.0,2.0,9.0,1.0,3.0,20.0,3.0,1.0,,,,,,,0.75,,,,,1.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,5.0,1.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,1190.0,41,24,81,20.0,40.0,13.0,3.0,,,,4.0,,3.0,,4.0,1.0,4.0,5.0,39.0,,,5.0,,,3.0,3.0,,3.0,5.0,13.0,1.0,,,1.0,0.25,0.25,,,0.1875,0.75,0.2777777777777778,0.8333333333333334,0.5,23.25581395348837,,,,,0.5,,,0.375,,,,0.5,,0.48093749999999996,0.614175,1.0,20.799999999999997,24.525,0.325,-3.0,,,,,,2.0,,,,2.0,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,0.3333333333333333,0.043478260869565216,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,4.0,,1.0,9.0,,,,1.0,,,,0.5,,,,0.5,,,,1.0,2.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,1683.0,58,39,115,28.0,57.0,25.0,7.0,,,2.0,3.0,,,2.0,5.0,,,10.0,70.0,,1.0,4.0,4.0,,,,,4.0,4.0,25.0,1.0,1.0,1.0,,,,0.4,,0.4,,0.625,0.6666666666666666,,13.846153846153845,,,,,0.6,0.6666666666666666,0.6666666666666666,,,,,,,0.3891,0.3684,0.4,12.76,,0.43859649122807015,-17.0,,,,,2.0,6.0,,,2.0,4.0,,2.0,,6.0,6.0,3.0,9.0,,,,1.0,3.0,,6.0,2.0,,,1.0,0.2857142857142857,0.09090909090909091,,0.23076923076923078,0.10714285714285714,,0.36363636363636365,,,,,0.4,,,,,,0.2857142857142857,0.2857142857142857,0.2,,,,,1.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,,1.0,0.18181818181818182,0.3333333333333333,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,2.0,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,1329.0,49,23,95,22.0,46.0,20.0,6.0,1.0,3.0,,1.0,,,1.0,5.0,,,2.0,47.0,1.0,5.0,2.0,,2.0,,,,6.0,2.0,20.0,2.0,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,,11.320754716981131,0.6,0.3333333333333333,0.3333333333333333,,0.2,,,,,,,0.6,,0.39738,0.39738,1.0,6.92,,0.43478260869565216,-1.0,1.0,2.0,1.0,3.0,1.0,,1.0,2.0,2.0,,2.0,2.0,1.0,3.0,5.0,2.0,7.0,,,,1.0,3.0,,,,0.5,0.5,0.5,0.15,0.10526315789473684,0.5,0.18181818181818182,0.09090909090909091,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.5,,,0.2,1.0,0.5,0.6,0.3333333333333333,0.41615,,,1.0,,,,,,,,,,,1.0,1.0,,,4.0,3.0,4.0,,1.0,0.125,,,,,1.0,,,,,,,,2.0,,0.2,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,0.75,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2040,1610612740,Jerome Moiso,Jerome Moiso,2040,NOH,1188.0,39,15,77,20.0,38.0,9.0,5.0,5.0,7.0,1.0,2.0,,,7.0,11.0,,,14.0,31.0,,1.0,,6.0,8.0,,,,3.0,,9.0,1.0,0.42857142857142855,1.0,,,,0.6363636363636364,,0.6363636363636364,,0.6363636363636364,,,31.818181818181817,0.6363636363636364,0.7142857142857143,0.7142857142857143,0.2,0.18181818181818182,0.5,0.5,,,,,0.6363636363636364,,0.5225090909090909,0.3475,,4.218181818181819,,0.23684210526315788,14.0,4.0,5.0,,,2.0,,4.0,5.0,8.0,,8.0,5.0,1.0,2.0,3.0,5.0,8.0,,,3.0,3.0,,1.0,,,0.8,0.8,0.8,0.2,0.3333333333333333,0.125,0.16666666666666666,0.3125,0.42857142857142855,0.14285714285714285,,,0.3333333333333333,,0.18181818181818182,1.0,0.8,,,0.57446,,,0.5714285714285714,,,,,1.0,,1.0,,,2.0,,,,,2.0,2.0,2.0,,,0.2,0.5,,,1.0,,,1.0,,,,,1.0,1.0,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,668.0,24,13,46,11.0,22.0,16.0,1.0,,,2.0,5.0,1.0,2.0,2.0,5.0,2.0,3.0,13.0,29.0,1.0,4.0,10.0,,4.0,3.0,2.0,1.0,,10.0,16.0,,,,0.5,0.6666666666666666,0.6666666666666666,0.4,0.25,0.625,0.5714285714285714,0.5909090909090909,0.5555555555555556,0.375,47.826086956521735,,,,,0.625,0.4,0.4,0.25,0.5,0.5,,0.375,0.5,0.43140000000000006,0.44492857142857145,0.7692307692307693,17.2,24.833333333333332,0.7272727272727273,-9.0,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.16666666666666666,,1.0,2.0,2.0,3.0,1.0,,1.0,,,2.0,,,,2.0,,,,0.6666666666666666,,,,0.2857142857142857,0.5,,,,,1.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
