EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2A,PtsAssisted2s,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,ThreePtAssists,Arc3Assists,DefThreePtRebounds,DefRebounds,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,FG3APct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,Avg3ptShotDistance,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,DefTwoPtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGM,OffThreePtRebounds,FTDefRebounds,DefensiveGoaltends,Defensive 3 Seconds Violations,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3FGA,NonHeaveArc3FGA,DefAtRimReboundPct,ShortMidRangePctAssisted,Arc3Frequency,Arc3FGM,PenaltyArc3FGA,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,on,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,NonShootingFoulsDrawn,OffCorner3ReboundPct,SecondChanceArc3Frequency,Travels,2pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,Loose Ball Fouls,3SecondViolations,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,BlockedLongMidRange,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct
1065,1610612754,Erick Strickland,Erick Strickland,1065,IND,175.0,3,-7,4,7,3,5,11,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.768,0.768,1.0,1.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,1550.0,26,-11,46,51,18,17,97,,,,,2.0,11.0,7.0,49,1.0,3.0,2.0,,1.0,1.0,,2.0,2.0,2.0,,,,,3.0,2.0,18,,0.18181818181818182,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.25,0.3333333333333333,21.05263157894737,,,,,,,,0.4016636363636364,0.3884,0.2857142857142857,16.772727272727273,0.391304347826087,6.0,2.0,2.0,9.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.5,0.04,0.034482758620689655,0.25,0.125,0.18181818181818182,0.8181818181818182,0.2222222222222222,0.2222222222222222,1.0,0.4645,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,717.0,12,-7,20,28,7,12,48,,4.0,,1.0,1.0,5.0,2.0,24,,1.0,,,1.0,2.0,1.0,5.0,2.0,1.0,1.0,,1.0,,1.0,,7,,0.2,,0.16666666666666666,,0.16666666666666666,,29.166666666666668,1.0,0.6666666666666666,,,0.5,,0.8333333333333334,0.5504416666666666,0.558875,,4.96,0.35,2.0,,1.0,1.0,,2.0,2.0,,,3.0,3.0,4.0,1.0,,,,,1.0,1.0,,,0.3333333333333333,0.3,1.0,0.2,,0.16666666666666666,1.0,1.0,1.0,0.5468,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.07142857142857142,0.2,0.3333333333333333,0.5,0.16666666666666666,1.0,0.5,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,1749.0,29,-29,48,56,23,26,104,1.0,4.0,1.0,4.0,1.0,7.0,6.0,66,1.0,5.0,6.0,,1.0,1.0,,2.0,1.0,,,,3.0,2.0,5.0,6.0,23,,0.14285714285714285,0.2,0.125,0.16666666666666666,0.3,0.375,22.80701754385965,,0.5,0.25,0.3333333333333333,0.6666666666666666,0.25,0.625,0.47771874999999997,0.5078583333333333,1.0,9.271428571428572,0.4791666666666667,6.0,,,3.0,4.0,,2.0,1.0,1.0,,,2.0,,1.0,4.0,,2.0,1.0,1.0,0.14285714285714285,,,,,,,0.375,,,,,0.2,0.2222222222222222,,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,,,0.125,0.16666666666666666,0.08333333333333333,,,0.25,0.125,,0.16666666666666666,24.8,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,0.125,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2230.0,37,-33,63,74,25,29,137,6.0,8.0,4.0,5.0,6.0,11.0,14.0,83,4.0,6.0,8.0,6.0,2.0,2.0,,4.0,,,,,,,3.0,8.0,25,,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.5833333333333334,0.6666666666666666,15.789473684210526,,0.7272727272727273,0.75,0.75,0.8333333333333334,0.8,0.7272727272727273,0.5419909090909091,0.5455166666666666,0.5714285714285714,5.5636363636363635,0.3968253968253968,8.0,,,3.0,2.0,5.0,6.0,,1.0,4.0,4.0,8.0,1.0,3.0,2.0,,1.0,0.5,0.6,,,0.125,0.10256410256410256,,0.25,,0.2727272727272727,,,,0.55368,0.08333333333333333,0.08333333333333333,4.0,,,,,,,1.0,4.0,,,,,0.07142857142857142,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.2,,0.8,,,,,,,,3.0,2.0,1.0,3.0,1.0,,,0.3333333333333333,0.5,2.0,2.0,4.0,2.0,1.0,3.0,0.4,0.4,0.4,0.1875,0.4,0.2,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,1665.0,28,-21,48,55,12,15,103,2.0,5.0,,1.0,3.0,10.0,8.0,59,,1.0,,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,3.0,,1.0,,12,,0.3,,0.3,,0.36363636363636365,,23.333333333333336,0.3333333333333333,0.5,0.4,0.6666666666666666,1.0,,0.5,0.5268,0.6871,,6.76,0.25,7.0,3.0,,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,9.0,,,2.0,,1.0,0.6666666666666666,0.6666666666666666,0.2,,0.037037037037037035,0.09375,0.2,,0.3,0.2,,,,0.5719,0.09090909090909091,0.09090909090909091,1.0,,,,,,,2.0,6.0,1.0,,1.0,,0.2222222222222222,0.2631578947368421,,,0.3333333333333333,,0.5,,,,,2.0,,1.0,2.0,2.0,,2.0,1.0,0.4,0.16666666666666666,0.5,1.0,,1.0,2.0,,,3.0,0.5,0.5,0.5,0.3,0.5,0.5,,0.25,1.0,2.0,1.0,1.0,1.0,1.0,0.4,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,1261.0,21,-19,34,38,14,15,72,2.0,2.0,,,3.0,5.0,6.0,45,,1.0,,,,,,,,,1.0,,1.0,,,,14,,0.6,,0.375,,0.375,,20.930232558139537,1.0,0.25,1.0,1.0,,,0.625,0.5674812499999999,0.3963,,7.4799999999999995,0.4117647058823529,6.0,2.0,,1.0,,1.0,6.0,,,1.0,1.0,6.0,,,,,,1.0,1.0,,,0.047619047619047616,0.041666666666666664,0.25,,0.25,0.125,,,,0.4983,,,,,,3.0,,,,2.0,5.0,,1.0,,0.375,0.2857142857142857,0.3333333333333333,,,,,,,25.833333333333332,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,3.0,,,,0.375,0.3333333333333333,0.5,,,1.0,,,,,,,,0.5,0.5,3.0,3.0,0.3333333333333333,1.0,0.375,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,1610612754,Tim Hardaway,Tim Hardaway,896,IND,783.0,13,-9,25,27,8,8,52,,,,,1.0,1.0,5.0,33,,,,2.0,4.0,4.0,1.0,8.0,1.0,,2.0,,2.0,,1.0,,8,,1.0,,0.625,,0.625,,20.689655172413794,1.0,,,,,,0.75,0.4473125,0.4047,,11.3,0.32,2.0,1.0,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,0.25,,,,,,,,,,,3.0,1.0,,,1.0,1.0,1.0,2.0,,0.75,0.25,0.125,,,0.3333333333333333,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,3.0,3.0,,,0.75,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,187.0,3,1,6,6,4,3,12,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,266.0,4,-12,7,9,7,7,16,,,,,,,,14,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
