EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,PenaltyFG2A,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,FTOffRebounds,SelfOReb,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyPoints,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,Arc3Assists,DefThreePtRebounds,NonShootingFoulsDrawn,PenaltyFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,SecondChanceFtPoints,PenaltyFtPoints,OffShortMidRangeReboundPct,on,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,PenaltyCorner3Accuracy,LostBallSteals,3SecondViolations,SecondChanceCorner3FGM,HeaveAttempts,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
1005,1610612742,Walt Williams,Walt Williams,1005,DAL,1726.0,29.0,15.0,54.0,52,14.0,37,14.0,106,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,4.0,2.0,8.0,10.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,6.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,11.0,4.0,5.0,1.0,6.0,4.0,10.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.4166666666666667,0.375,0.4166666666666667,0.375,0.6666666666666666,19.178082191780824,1.0,0.5,0.23809523809523808,0.16,0.21739130434782608,0.11428571428571428,0.14285714285714285,0.1875,0.5,0.2222222222222222,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.5,1.0,1.0,0.75,0.3333333333333333,0.5262749999999999,0.5539,0.51315,0.3,13.850000000000001,24.4375,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,1610612742,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DAL,1677.0,28.0,10.0,54.0,52,15.0,38,13.0,106,5.0,7.0,,,7.0,,,,,1.0,,,5.0,14.0,,1.0,13.0,51.0,5.0,,,4.0,1.0,4.0,,,1.0,,3.0,,3.0,,,1.0,2.0,6.0,2.0,3.0,1.0,4.0,5.0,9.0,,,,,,,,,,15.0,0.4,0.6666666666666666,,,,,0.35714285714285715,0.3333333333333333,0.4,0.40625,0.4,0.06666666666666667,22.22222222222222,,0.5,0.15,0.08,0.13043478260869565,0.11428571428571428,,0.11764705882352941,,0.3333333333333333,0.4666666666666667,0.7142857142857143,0.8333333333333334,0.4,,,,,0.4666666666666667,,0.06666666666666667,,,,,,,,,0.5333333333333333,,0.46928666666666674,0.43885,0.41940000000000005,0.3076923076923077,9.571428571428571,23.8,0.2777777777777778,2.0,2.0,1.0,3.0,2.0,3.0,6.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,0.4,0.07142857142857142,0.14285714285714285,0.5,0.2,0.25,0.1111111111111111,0.4,1.0,0.25,0.1875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,753.0,13.0,9.0,25.0,25,5.0,22,5.0,50,,1.0,,1.0,4.0,,,,,,,,2.0,6.0,,,4.0,28.0,2.0,,,,,4.0,,,,,1.0,,1.0,,1.0,,,2.0,1.0,2.0,,2.0,2.0,4.0,,,,,,1.0,1.0,,1.0,5.0,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,21.875,,,0.18181818181818182,0.09090909090909091,0.16666666666666666,0.15384615384615385,0.25,,,0.16666666666666666,0.16666666666666666,,,,0.16666666666666666,,,,0.6666666666666666,,,,,,,,,,,0.16666666666666666,,0.42955000000000004,0.40475,,,15.700000000000001,,0.2,,,,,,,,,,1.0,,,,,,,,,,0.5,0.5,,,,,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,1610612742,Evan Eschmeyer,Evan Eschmeyer,1915,DAL,1992.0,33.0,11.0,65.0,62,22.0,47,15.0,127,2.0,5.0,1.0,1.0,,,,,,,,,3.0,6.0,,,6.0,58.0,2.0,,,2.0,,6.0,,,,,2.0,,2.0,,2.0,,,4.0,,2.0,1.0,3.0,2.0,5.0,3.0,3.0,,,,,,4.0,8.0,22.0,1.0,1.0,,,,,0.5,0.5,0.5,0.5,0.5,,7.0588235294117645,,0.25,0.08,,0.07142857142857142,0.04878048780487805,,,0.2857142857142857,,0.8333333333333334,0.4,0.4,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,0.8333333333333334,,0.5755833333333333,0.5999,0.4845,0.3333333333333333,1.25,,0.3384615384615385,1.0,2.0,,,1.0,2.0,,,,2.0,,,,,,0.5,,,,0.2,0.25,,1.0,0.5,,,,,,,,,,,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612742,Raja Bell,Raja Bell,1952,DAL,1753.0,29.0,11.0,55.0,54,15.0,39,14.0,109,4.0,5.0,,,4.0,1.0,,,1.0,2.0,,,6.0,9.0,2.0,3.0,19.0,50.0,3.0,,,6.0,1.0,6.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,,2.0,,1.0,9.0,1.0,,,2.0,2.0,4.0,,,,,,2.0,,1.0,6.0,15.0,0.5,0.5,0.5,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.75,1.0,0.7307692307692307,1.0,0.25,20.27027027027027,,,,0.038461538461538464,0.08,0.05714285714285714,,0.058823529411764705,,,0.4166666666666667,0.8,1.0,0.25,,,,,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.5,0.5,,,,,,,0.6666666666666666,0.5,0.49655833333333327,0.47113333333333335,0.42018750000000005,0.3157894736842105,9.11111111111111,23.5,0.2727272727272727,2.0,2.0,1.0,1.0,3.0,3.0,6.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,0.1111111111111111,0.2,,0.1111111111111111,0.14285714285714285,,0.6666666666666666,1.0,0.25,0.08333333333333333,0.1111111111111111,2.0,2.0,2.0,,,0.5,0.5,1.0,1.0,1.0,2.0,7.0,,,,,,7.0,1.0,0.6666666666666666,0.875,0.875,,,0.25,1.0,0.3684210526315789,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,408.0,7.0,5.0,15.0,13,10.0,13,3.0,28,1.0,1.0,,,2.0,,,,,,,,1.0,3.0,,,4.0,9.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,1.0,1.0,,,,,,,,10.0,,,,,,,0.3333333333333333,0.3333333333333333,,0.5,1.0,,21.05263157894737,,,,0.2857142857142857,,0.2222222222222222,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,,,,,0.6666666666666666,,,,,,,,,,,0.3333333333333333,,0.4048666666666667,,0.34945000000000004,0.5,13.366666666666667,,0.6666666666666666,,,,2.0,,2.0,2.0,,,,,1.0,2.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,2.0,,,,0.3333333333333333,,,,,0.5,,,,,,1.0,,,,,,,,,2.0,2.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,771.0,13.0,4.0,25.0,24,10.0,16,6.0,49,1.0,1.0,,,5.0,,,,,1.0,,,2.0,6.0,,1.0,4.0,15.0,,,,,,4.0,,,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,3.0,,3.0,1.0,4.0,,,1.0,,1.0,1.0,,,,10.0,1.0,1.0,,,,,0.3333333333333333,0.2857142857142857,,0.2857142857142857,,0.14285714285714285,25.806451612903228,1.0,,0.3,0.07692307692307693,0.25,0.0625,,0.1,,0.25,0.14285714285714285,1.0,1.0,1.0,,,,,0.7142857142857143,,0.14285714285714285,,,,,,,,,0.2857142857142857,,0.4245642857142857,,0.3596333333333333,,17.283333333333335,25.0,0.4,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.6666666666666666,0.2,0.2,1.0,,,1.0,2.0,,,,,,2.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,232.0,4.0,-7.0,7.0,6,5.0,5,1.0,13,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,2.0,10.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,0.5,,0.5,,0.5,20.0,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,0.5,,,,,,,,,1.0,,0.47655,,0.47655,,,24.8,0.7142857142857143,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,2.0,,1.0,0.5,0.5,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,380.0,6.0,-6.0,15.0,13,7.0,9,2.0,28,,,2.0,3.0,3.0,,,,,,,,3.0,6.0,,,7.0,16.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,1.0,,,,7.0,,,,,,,0.5,0.5,1.0,0.5,1.0,,47.05882352941176,,,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.125,,,,,,,,,0.5,0.6666666666666666,0.6666666666666666,,0.5,,,,,,,,,,,,,0.4013,0.3846,0.42845,0.2857142857142857,11.816666666666668,,0.4666666666666667,,,,1.0,1.0,2.0,6.0,,,,,1.0,2.0,,,1.0,,,,,,0.3333333333333333,,,,,,1.0,,1.0,,0.5,0.3333333333333333,0.3333333333333333,,,,1.0,3.0,,,,,,3.0,,0.5,0.5,0.5,,,,,0.42857142857142855,,,,,,1.0,,,,,,,,,,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,24.0,,,2.0,1,2.0,1,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
