EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,ShootingFouls,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,OffThreePtRebounds,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceTurnovers,Offensive Fouls,3SecondViolations,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,FTDefRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Blocked3s,BlockedCorner3,DefensiveGoaltends,ShortMidRangePctAssisted,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,on,Corner3Assists,OffCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
1065,1610612754,Erick Strickland,Erick Strickland,1065,IND,1103.0,18,-11.0,35,37,28,30,4,72,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,7.0,41,3.0,4.0,1.0,1.0,7.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,28,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6,0.6,0.5833333333333334,0.5833333333333334,0.2,17.073170731707318,1.0,0.4,1.0,1.0,0.5,0.4,0.5,0.5,1.0,0.2,0.4,1.0,0.2,0.6,0.53308,0.53308,0.16666666666666666,0.2,1.0,9.925,26.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,8054.0,134,-9.0,247,246,134,105,35,493,3.0,6.0,,1.0,13.0,37.0,,,16.0,49.0,,7.0,39.0,255,8.0,21.0,,1.0,17.0,30.0,2.0,,4.0,7.0,2.0,1.0,1.0,17.0,6.0,4.0,3.0,,5.0,3.0,11.0,8.0,3.0,17.0,134,2.0,0.9375,1.0,0.32653061224489793,0.38095238095238093,0.32653061224489793,0.38095238095238093,0.3557692307692308,0.38095238095238093,,19.12751677852349,0.6,0.12244897959183673,0.5,0.5,1.0,0.7551020408163265,0.35135135135135137,0.35135135135135137,0.9230769230769231,,0.047619047619047616,,,0.12244897959183673,0.40623265306122447,0.39372380952380953,0.057692307692307696,0.057692307692307696,0.4358974358974359,15.36734693877551,,0.5425101214574899,6.0,1.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,7.0,11.0,2.0,13.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2,0.2,0.2,0.061224489795918366,0.5,0.09722222222222222,0.01904761904761905,0.09523809523809523,0.09649122807017543,0.015267175572519083,0.047619047619047616,0.02127659574468085,0.043478260869565216,0.08695652173913043,0.15384615384615385,0.0967741935483871,0.09090909090909091,0.06666666666666667,0.12244897959183673,0.41332,0.05128205128205128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,1144.0,19,-14.0,33,34,17,17,8,67,1.0,3.0,1.0,2.0,,2.0,3.0,1.0,1.0,5.0,4.0,4.0,6.0,44,1.0,4.0,1.0,2.0,4.0,,2.0,3.0,2.0,2.0,,2.0,,4.0,,,,,1.0,1.0,3.0,5.0,2.0,4.0,17,,,,0.2,0.25,0.1111111111111111,0.2,0.2727272727272727,0.3333333333333333,0.4444444444444444,26.666666666666664,,0.3333333333333333,0.3333333333333333,0.5,,0.2222222222222222,,,,0.3333333333333333,0.4,0.5,0.2,0.7777777777777778,0.49780555555555556,0.47526999999999997,0.2,0.3333333333333333,0.6666666666666666,8.42,24.725,0.5151515151515151,,,2.0,2.0,,1.0,,,3.0,,3.0,3.0,4.0,7.0,,,1.0,,1.0,,2.0,,,,,,,0.25,0.2,,0.25,0.13636363636363635,,0.21428571428571427,0.14814814814814814,0.2,0.18181818181818182,,0.2857142857142857,0.5,,,,,0.462275,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,0.1111111111111111,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,2746.0,46,3.0,82,80,41,31,14,162,3.0,6.0,2.0,2.0,3.0,7.0,,,7.0,14.0,,5.0,19.0,78,5.0,7.0,,3.0,13.0,10.0,4.0,,6.0,6.0,2.0,1.0,3.0,12.0,,,1.0,,5.0,4.0,7.0,8.0,3.0,13.0,41,,0.7142857142857143,0.8333333333333334,0.5,0.7142857142857143,0.5,0.7142857142857143,0.5277777777777778,0.7222222222222222,,23.0,0.2,0.42857142857142855,0.5,0.5,0.6666666666666666,0.5,0.42857142857142855,0.42857142857142855,1.0,,0.2857142857142857,1.0,,0.42857142857142855,0.45262857142857144,0.44807142857142856,0.17647058823529413,0.17647058823529413,0.6842105263157895,10.571428571428571,,0.5,1.0,2.0,4.0,5.0,2.0,,,,7.0,4.0,7.0,11.0,7.0,18.0,,,,1.0,4.0,,2.0,,,,,0.5,0.5,0.5,,,0.3333333333333333,0.2,0.21052631578947367,0.275,0.17073170731707318,0.42857142857142855,0.13333333333333333,0.4,0.25,0.2857142857142857,0.2857142857142857,,,0.07142857142857142,0.4959,0.2631578947368421,3.0,,,,1.0,,,1.0,,,,,0.75,,1.0,1.0,2.0,3.0,1.0,0.15384615384615385,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,6107.0,102,-10.0,181,179,103,74,24,360,6.0,17.0,1.0,8.0,3.0,6.0,9.0,8.0,9.0,25.0,12.0,16.0,49.0,180,3.0,11.0,10.0,11.0,29.0,10.0,8.0,8.0,4.0,4.0,,,4.0,8.0,6.0,,5.0,3.0,8.0,4.0,9.0,21.0,9.0,29.0,103,1.0,0.5555555555555556,0.625,0.36,0.2727272727272727,0.44594594594594594,0.42857142857142855,0.5212765957446809,0.5178571428571429,0.32432432432432434,25.462962962962962,0.625,0.4594594594594595,0.35294117647058826,0.46153846153846156,0.3333333333333333,0.16216216216216217,0.5,0.5,1.0,0.24324324324324326,0.38095238095238093,0.125,0.38095238095238093,0.7837837837837838,0.4835277777777779,0.5062300000000001,0.2,0.2727272727272727,0.5918367346938775,6.732,26.558333333333337,0.569060773480663,2.0,1.0,4.0,6.0,2.0,4.0,,,7.0,6.0,4.0,11.0,8.0,19.0,1.0,6.0,1.0,2.0,3.0,1.0,4.0,,4.0,1.0,4.0,0.25,0.25,0.42857142857142855,0.16,,0.07142857142857142,0.08860759493670886,0.17142857142857143,0.10989010989010989,0.08163265306122448,0.17647058823529413,0.029411764705882353,,0.05,0.15789473684210525,0.16,0.2,0.05555555555555555,0.05405405405405406,0.43325,0.12244897959183673,3.0,3.0,,,4.0,1.0,1.0,2.0,0.23529411764705882,0.05263157894736842,0.07142857142857142,0.08108108108108109,0.75,,1.0,,1.0,,,0.10714285714285714,,,0.3333333333333333,2.0,5.0,4.0,5.0,4.0,12.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.8,0.4166666666666667,0.4,0.45454545454545453,0.2,0.5,0.5555555555555556,0.5555555555555556,0.8,0.09523809523809523,0.5,0.625,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,7083.0,118,4.0,217,214,110,79,30,431,6.0,13.0,3.0,5.0,2.0,6.0,1.0,1.0,15.0,34.0,1.0,20.0,50.0,216,10.0,17.0,1.0,5.0,25.0,20.0,10.0,1.0,2.0,3.0,2.0,,,7.0,1.0,,3.0,3.0,9.0,4.0,10.0,27.0,11.0,25.0,110,1.0,0.6666666666666666,0.7692307692307693,0.4411764705882353,0.5882352941176471,0.42857142857142855,0.5555555555555556,0.5208333333333334,0.5681818181818182,0.02857142857142857,21.755725190839694,0.3333333333333333,0.37142857142857144,0.46153846153846156,0.5454545454545454,0.8333333333333334,0.17142857142857143,0.3333333333333333,0.3333333333333333,0.5,0.02857142857142857,0.2777777777777778,0.6,0.05555555555555555,0.4,0.4672,0.45058333333333334,0.24444444444444444,0.25,0.5,7.358823529411764,25.3,0.5069124423963134,15.0,3.0,7.0,10.0,4.0,3.0,1.0,1.0,7.0,10.0,19.0,35.0,8.0,43.0,,1.0,,,6.0,,3.0,,9.0,1.0,10.0,0.42857142857142855,0.42857142857142855,0.5,0.08823529411764706,0.06666666666666667,0.3114754098360656,0.07446808510638298,0.2857142857142857,0.3020833333333333,0.07017543859649122,0.05263157894736842,0.1,0.15789473684210525,0.47619047619047616,0.2857142857142857,0.38461538461538464,,,0.42857142857142855,0.5140833333333333,0.2,4.0,,,,4.0,1.0,1.0,3.0,0.15384615384615385,0.05,0.06666666666666667,,0.5714285714285714,,1.0,7.0,1.0,5.0,,0.05714285714285714,0.4666666666666667,0.5,0.25,,,,,,,,,,6.0,,1.0,7.0,1.0,5.0,1.0,,,,,0.6666666666666666,0.5,,,,,,,1.0,1.0,1.0,0.5714285714285714,,,,,True,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,3360.0,56,-2.0,105,108,58,56,12,213,2.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,16.0,1.0,2.0,14.0,116,1.0,5.0,1.0,2.0,4.0,6.0,6.0,1.0,3.0,4.0,,,3.0,9.0,3.0,1.0,3.0,,4.0,2.0,11.0,4.0,,4.0,58,4.0,0.5,0.5,0.375,0.2,0.35294117647058826,0.16666666666666666,0.3684210526315789,0.25,0.058823529411764705,18.852459016393443,0.75,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.5,0.29411764705882354,0.2,0.2,1.0,0.058823529411764705,0.16666666666666666,1.0,0.16666666666666666,0.4117647058823529,0.46650294117647056,0.495875,,,0.2857142857142857,10.174999999999999,25.4,0.5523809523809524,5.0,1.0,4.0,2.0,,,1.0,1.0,3.0,3.0,1.0,5.0,4.0,9.0,1.0,2.0,,3.0,1.0,,5.0,,1.0,1.0,1.0,0.25,0.25,0.25,,,0.03225806451612903,0.07894736842105263,0.1875,0.0851063829787234,0.08333333333333333,0.14285714285714285,0.05263157894736842,0.1,,,0.16666666666666666,0.25,0.09090909090909091,0.29411764705882354,0.4725,0.14285714285714285,2.0,,,,,1.0,,2.0,,0.1,0.1,,0.5,,,3.0,2.0,1.0,,0.08333333333333333,0.6,0.6,,,,,,,,,,,1.0,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,0.3333333333333333,,,,,True,,,,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,409.0,7,-1.0,14,14,13,11,3,28,2.0,3.0,2.0,3.0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,6.0,16,2.0,4.0,1.0,2.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,2.0,,6.0,13,,0.5,1.0,0.5,0.5,0.4,0.4,0.5,0.5,0.2,35.29411764705882,,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,,,,0.2,0.6,0.6666666666666666,0.2,0.8,0.54334,0.54334,,,1.0,5.475,24.2,0.9285714285714286,,1.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,,,,,,,,1.0,,1.0,0.5,0.5,0.5,,,0.25,0.3333333333333333,0.25,0.25,0.2857142857142857,,,,,0.5,0.3333333333333333,,0.3333333333333333,,0.6222,0.3333333333333333,2.0,,,,,1.0,,1.0,,0.25,0.25,,1.0,,1.0,,,,,1.0,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,3284.0,55,11.0,105,102,63,48,12,207,4.0,6.0,3.0,4.0,,,1.0,1.0,7.0,10.0,1.0,2.0,19.0,112,5.0,7.0,1.0,1.0,14.0,2.0,12.0,1.0,13.0,14.0,8.0,,5.0,29.0,3.0,1.0,1.0,,1.0,1.0,5.0,4.0,2.0,14.0,63,2.0,0.14285714285714285,0.14285714285714285,0.7,0.7142857142857143,0.7727272727272727,0.8125,0.7307692307692307,0.7777777777777778,0.09090909090909091,11.965811965811966,1.0,0.5454545454545454,0.6666666666666666,0.8,,,,,,0.09090909090909091,0.5,0.75,0.125,0.6363636363636364,0.46904090909090906,0.47204375,0.15384615384615385,0.16666666666666666,0.7368421052631579,5.83,24.7,0.6,4.0,,,,,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,,2.0,,1.0,,,2.0,,,,,,,,0.1,,0.125,0.03333333333333333,0.05555555555555555,0.09523809523809523,0.02857142857142857,,0.058823529411764705,0.1111111111111111,,0.2222222222222222,,0.25,,0.36363636363636365,,,,,,,,,,,0.16666666666666666,,,,,,,3.0,,,,,0.75,0.75,,,1.0,1.0,1.0,1.0,3.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,0.3333333333333333,,,,,True,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,2900.0,48,7.0,94,90,55,36,18,184,2.0,2.0,,,,2.0,5.0,3.0,2.0,6.0,7.0,7.0,14.0,84,,2.0,3.0,4.0,7.0,4.0,,5.0,,2.0,,,,6.0,,,2.0,,2.0,,2.0,7.0,1.0,7.0,55,2.0,1.0,1.0,0.3333333333333333,,0.2692307692307692,0.3,0.4375,0.5,0.5384615384615384,15.0,1.0,0.15384615384615385,1.0,1.0,1.0,0.15384615384615385,,,,0.38461538461538464,,,0.6,0.6923076923076923,0.5182653846153846,0.45552000000000004,0.13333333333333333,0.14285714285714285,0.5,10.783333333333333,24.714285714285715,0.5851063829787234,2.0,,1.0,2.0,,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,,,,2.0,,,,,,,,,,0.3333333333333333,,,0.1,0.022222222222222223,0.08333333333333333,0.09523809523809523,0.017543859649122806,0.09090909090909091,,0.2857142857142857,,0.09090909090909091,0.1,,,0.15384615384615385,0.4983,0.14285714285714285,,2.0,,1.0,2.0,,,1.0,,,,0.15384615384615385,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,1.0,,,,,,,,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,,,0.2,0.2,1.0,,0.3333333333333333,0.2,,,,,1.0,1.0,0.5,0.125,True,,,,,,,,,,,,,,,,,,,
