EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Blocked3s,BlockedCorner3,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,LostBallTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,on,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,DefCorner3ReboundPct,LostBallOutOfBoundsTurnovers,Travels,LongMidRangePctBlocked,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations
109,1610612747,Robert Horry,Robert Horry,109,LAL,2499.0,42.0,-7,87,88,28.0,37,14.0,175,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,8.0,3.0,8.0,96,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,6.0,2.0,2.0,1.0,4.0,3.0,7.0,3.0,3.0,1.0,17.0,3.0,3.0,3.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,28.0,2.0,0.75,1.0,0.5,0.5,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.25,0.36363636363636365,0.3333333333333333,0.25,0.2727272727272727,11.76470588235294,1.0,0.11538461538461539,0.09090909090909091,0.08108108108108109,0.06382978723404255,0.07692307692307693,0.14285714285714285,0.15384615384615385,0.125,0.14285714285714285,0.36363636363636365,0.75,0.75,0.6666666666666666,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,0.09090909090909091,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5,0.25,0.6363636363636364,0.49056818181818174,0.5780166666666667,0.5269375,0.25,0.25,7.75,23.900000000000002,0.3218390804597701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,210.0,4.0,-7,8,8,8.0,1,1.0,16,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
296,1610612747,Rick Fox,Rick Fox,296,LAL,4786.0,80.0,-27,162,164,57.0,52,23.0,326,2.0,3.0,1.0,1.0,1.0,1.0,3.0,,2.0,5.0,,3.0,5.0,3.0,8.0,10.0,24.0,190,1.0,1.0,,4.0,1.0,2.0,5.0,11.0,2.0,4.0,2.0,5.0,3.0,4.0,7.0,,1.0,1.0,18.0,1.0,2.0,4.0,2.0,6.0,,1.0,1.0,4.0,4.0,4.0,5.0,15.0,,,1.0,11.0,57.0,5.0,0.3333333333333333,0.5,0.375,1.0,0.5,0.5833333333333334,1.0,0.5714285714285714,0.6,1.0,0.6111111111111112,0.5555555555555556,12.834224598930481,1.0,0.04081632653061224,0.015151515151515152,0.04838709677419355,0.023809523809523808,,0.038461538461538464,,0.05263157894736842,,0.16666666666666666,0.6666666666666666,1.0,0.5,0.16666666666666666,0.1111111111111111,,,,0.2777777777777778,0.2777777777777778,1.0,1.0,,0.14285714285714285,1.0,0.42857142857142855,0.7222222222222222,0.5152027777777778,,0.5258785714285714,0.16666666666666666,0.4583333333333333,7.725,23.71,0.35185185185185186,1.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,2.0,2.0,3.0,15.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.5,0.125,0.3333333333333333,0.25,0.07692307692307693,0.05555555555555555,0.14285714285714285,0.1111111111111111,0.08333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4,1.0,0.6,0.6,1.0,0.3333333333333333,0.2857142857142857,0.5,0.6,0.05263157894736842,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,4398.0,73.0,-23,148,148,51.0,40,22.0,296,1.0,3.0,,,1.0,1.0,1.0,2.0,6.0,6.0,2.0,4.0,7.0,3.0,10.0,13.0,31.0,170,1.0,1.0,3.0,8.0,1.0,2.0,6.0,15.0,6.0,,,7.0,3.0,,3.0,,2.0,,6.0,,8.0,9.0,1.0,10.0,,4.0,2.0,2.0,2.0,4.0,3.0,8.0,,,,15.0,51.0,2.0,1.0,1.0,0.3,1.0,0.5,0.6521739130434783,1.0,0.875,0.6458333333333334,1.0,0.8333333333333334,0.5652173913043478,16.27906976744186,0.5,0.17777777777777778,,0.16666666666666666,0.01282051282051282,,,0.1111111111111111,0.2222222222222222,,0.13043478260869565,0.3333333333333333,0.5,1.0,0.043478260869565216,0.2608695652173913,0.3333333333333333,0.3333333333333333,1.0,0.2608695652173913,0.30434782608695654,,,0.5,0.125,1.0,0.5,0.6956521739130435,0.5219021739130435,0.5928666666666667,0.53399375,0.25806451612903225,0.4838709677419355,12.5,24.323076923076922,0.34459459459459457,,5.0,3.0,3.0,1.0,2.0,8.0,1.0,,4.0,1.0,21.0,3.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,0.875,0.6153846153846154,0.6666666666666666,0.6153846153846154,0.1,0.3333333333333333,,0.1111111111111111,0.0625,,0.2222222222222222,0.1111111111111111,,,,0.8333333333333334,0.8333333333333334,0.8,0.42857142857142855,0.42857142857142855,1.0,0.75,0.25,0.5,0.42857142857142855,0.043478260869565216,0.1,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,0.1111111111111111,1.0,0.5,0.25,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,4659.0,78.0,-27,159,159,57.0,47,23.0,318,5.0,11.0,,1.0,2.0,5.0,13.0,6.0,16.0,1.0,,1.0,6.0,14.0,40.0,7.0,51.0,185,1.0,3.0,,3.0,4.0,11.0,2.0,17.0,10.0,18.0,2.0,6.0,7.0,5.0,12.0,4.0,5.0,,29.0,1.0,7.0,8.0,3.0,11.0,1.0,1.0,,7.0,4.0,8.0,3.0,4.0,,,,17.0,57.0,,0.35714285714285715,0.38461538461538464,0.35,0.3333333333333333,0.36363636363636365,0.3617021276595745,0.3333333333333333,0.4230769230769231,0.46296296296296297,0.3333333333333333,0.53125,0.14893617021276595,33.69565217391304,0.875,0.14893617021276595,0.015151515151515152,0.13559322033898305,0.03614457831325301,,0.038461538461538464,0.2,0.1111111111111111,0.038461538461538464,0.23404255319148937,0.45454545454545453,0.625,0.6,0.2765957446808511,0.3404255319148936,0.375,0.375,0.16666666666666666,0.02127659574468085,0.1276595744680851,0.3333333333333333,,,0.38461538461538464,0.4,0.07692307692307693,0.3829787234042553,0.4555,0.4177,0.47809615384615384,0.058823529411764705,0.3333333333333333,10.017500000000002,25.228571428571428,0.3584905660377358,3.0,,,2.0,1.0,1.0,2.0,17.0,1.0,1.0,6.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,,,19.0,8.0,,,,,0.5,0.2857142857142857,0.5,0.2857142857142857,0.1,0.2727272727272727,,0.08333333333333333,0.11764705882352941,,0.1111111111111111,0.09090909090909091,,0.23076923076923078,0.25,,,,0.3333333333333333,0.3333333333333333,0.5,,0.07692307692307693,1.0,0.3333333333333333,0.18518518518518517,0.17391304347826086,,,,3.0,1.0,,1.0,4.0,,2.0,,0.2,,,,3.0,1.0,1.0,2.0,0.07692307692307693,0.3333333333333333,0.25,,,,,,,True,,,,,,,,,,,,,,,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,25.0,,3,1,1,1.0,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2457,1610612747,Jannero Pargo,Jannero Pargo,2457,LAL,383.0,6.0,-8,13,16,5.0,12,1.0,29,,,,,,,,,,1.0,,1.0,,,,1.0,5.0,20,,,,,,,1.0,3.0,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,2.0,,,,3.0,5.0,1.0,,,,,,1.5,,1.5,1.25,,1.5,1.0,14.285714285714285,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,0.4626,,0.4626,,0.6,,23.4,0.38461538461538464,,1.0,1.0,,,,1.0,2.0,,1.0,,3.0,,,,,,,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
406,1610612747,Shaquille O'Neal,Shaquille O'Neal,406,LAL,4781.0,80.0,-24,162,163,57.0,51,23.0,325,9.0,16.0,5.0,8.0,,3.0,14.0,,1.0,,,,,14.0,31.0,,36.0,187,5.0,8.0,,12.0,1.0,7.0,,4.0,18.0,10.0,6.0,,1.0,1.0,2.0,,1.0,,5.0,9.0,17.0,24.0,9.0,33.0,2.0,,,3.0,2.0,6.0,1.0,3.0,,,7.0,4.0,57.0,1.0,0.6428571428571429,0.8181818181818182,0.45161290322580644,0.625,0.14285714285714285,0.45161290322580644,0.625,0.14285714285714285,0.47368421052631576,0.6,0.2,,23.52941176470588,0.5,0.3469387755102041,0.13636363636363635,0.3387096774193548,0.10714285714285714,0.1,0.11538461538461539,0.3333333333333333,0.3157894736842105,0.13333333333333333,0.5161290322580645,0.5625,0.6428571428571429,0.5555555555555556,0.45161290322580644,0.03225806451612903,,,,,,1.0,0.625,,0.42857142857142855,,,0.5161290322580645,0.4969741935483872,0.5825714285714285,0.4626,0.3333333333333333,0.1111111111111111,4.209677419354839,,0.35185185185185186,5.0,,,,,,,8.0,2.0,,2.0,,,2.0,1.0,,,4.0,3.0,1.0,16.0,9.0,,7.0,1.0,5.0,,,,,0.06451612903225806,0.125,0.75,0.3076923076923077,,,0.4444444444444444,0.3333333333333333,0.7142857142857143,0.35714285714285715,0.35714285714285715,,,,,,,,,,,0.23684210526315788,0.23684210526315788,,,,,,,3.0,4.0,,2.0,,,,,,1.0,,,,,0.8,,1.0,6.0,1.0,3.0,0.2,0.2,True,,,,,,,,,,,,,,,,
2416,1610612747,Kareem Rush,Kareem Rush,2416,LAL,107.0,2.0,1,3,4,,4,,7,,,,,,,,,,,,,1.0,,,1.0,,4,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,33.333333333333336,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,0.5961,,,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2058,1610612747,Mark Madsen,Mark Madsen,2058,LAL,2082.0,35.0,-16,67,69,21.0,15,8.0,136,3.0,6.0,1.0,1.0,,2.0,3.0,,1.0,,,,,3.0,10.0,,8.0,86,1.0,2.0,,2.0,,2.0,,,4.0,2.0,2.0,,4.0,1.0,5.0,,1.0,2.0,11.0,5.0,,1.0,6.0,7.0,1.0,,,3.0,3.0,3.0,3.0,7.0,,,,,21.0,1.0,0.6666666666666666,1.0,0.3,0.5,,0.3,0.5,,0.3333333333333333,0.5,,,19.736842105263158,1.0,,0.16666666666666666,0.043478260869565216,0.17647058823529413,0.3333333333333333,0.18181818181818182,,,0.2,0.6,0.5,0.75,0.6666666666666666,0.3,0.1,,,,,,0.5,1.0,,1.0,,,0.6,0.491,0.4586,0.51685,0.25,,4.2299999999999995,,0.31343283582089554,,,,,,,,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,5.0,1.0,2.0,,,,,,,,0.2,0.3333333333333333,,0.5,0.25,1.0,,0.5,,,,,,,,,,,,,,0.1,0.1,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,0.07692307692307693,,True,,,,,,,,,,,,,,,,
