EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,Usage,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,SecondChancePointsPct,SecondChanceFtPoints,ThreePtAssists,Arc3Assists,FTOffRebounds,DefThreePtRebounds,BadPassSteals,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyFg3Pct,LongMidRangePctBlocked,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,SecondChanceFg3Pct,Corner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,BlockedAtRim,BlockedLongMidRange,Defensive 3 Seconds Violations,DefCorner3ReboundPct,Travels,DefensiveGoaltends,SelfOReb,SelfORebPct,on,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,FoulsDrawn,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations
123,1610612740,Robert Pack,Robert Pack,123,NOH,159.0,3,-4.0,3,4,1,2,7,1.0,1,4,1.0,20.0,1.0,0.3537,0.3537,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,1511.0,25,-20.0,43,45,20,8,88,5.0,7,54,,23.076923076923077,0.5555555555555556,0.43137222222222227,0.53715,15.957142857142856,9.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,9.0,1.0,1.0,1.0,0.5,0.5,0.2857142857142857,0.3888888888888889,0.45,1.0,0.2222222222222222,0.14285714285714285,1.0,0.5,0.1111111111111111,0.1111111111111111,0.4,0.4,1.0,0.2222222222222222,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,0.2222222222222222,26.3,0.20930232558139536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,1693.0,28,-21.0,49,52,20,8,101,3.0,8,67,2.0,14.035087719298247,0.375,0.45086250000000005,0.5922000000000001,9.175,25.0,3.0,2.0,2.0,,,,4.0,,,,8.0,,,6.0,6.0,,,,,,,,,,,,,,,,1.0,6.0,,,,6.0,25.0,0.75,1.0,,,,0.5,0.5,0.5,1.0,,,,,0.375,0.25,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.375,,0.75,,0.5102040816326531,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,5.0,6.0,2.0,2.0,0.5,1.0,0.5,1.0,0.5,0.05,0.23809523809523808,0.04,0.19230769230769232,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,0.45136666666666664,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,2088.0,35,1.0,63,62,23,11,125,2.0,9,60,5.0,16.0,0.2222222222222222,0.47096666666666664,0.51124,5.455555555555556,16.0,6.0,1.0,1.0,,,,5.0,,,1.0,11.0,,,2.0,,,,,1.0,,1.0,,3.0,1.0,,1.0,1.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,,2.0,16.0,,,,,,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.5,,0.1111111111111111,,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.5,0.5,,,,,,,0.6666666666666666,,0.18181818181818182,,0.25396825396825395,4.0,4.0,5.0,1.0,1.0,,4.0,9.0,1.0,2.0,10.0,8.0,4.0,4.0,5.0,5.0,10.0,2.0,,0.8,0.5,0.8,0.5,0.9,0.15384615384615385,0.16,0.17857142857142858,0.13793103448275862,0.2222222222222222,0.1111111111111111,0.2,0.6666666666666666,0.6666666666666666,,,,1.0,0.8,0.5,1.0,0.30035,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.14285714285714285,0.16666666666666666,0.1,0.5,1.0,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,4196.0,70,-4.0,129,130,57,20,259,3.0,15,135,1.0,14.56953642384106,0.2,0.4358866666666667,,8.313333333333333,57.0,5.0,7.0,,,,,5.0,,,7.0,17.0,,7.0,11.0,6.0,,,,,2.0,3.0,,7.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,8.0,2.0,8.0,3.0,11.0,57.0,0.6,0.6,,,,0.3333333333333333,0.3333333333333333,0.4473684210526316,0.6111111111111112,,,,0.3333333333333333,0.3333333333333333,0.4666666666666667,,,,,,,,,0.3333333333333333,,0.6470588235294118,,0.4418604651162791,3.0,,1.0,1.0,1.0,2.0,,,2.0,5.0,4.0,,,7.0,9.0,1.0,10.0,1.0,1.0,,0.4,,0.4,,0.15217391304347827,,0.12280701754385964,0.016666666666666666,,,,0.6,0.6,0.2857142857142857,0.2857142857142857,0.5,1.0,,0.2,1.0,0.42172,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,0.25,0.25,,,0.0625,0.0625,1.0,1.0,1.0,2.0,1.0,0.1,0.1111111111111111,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,2435.0,41,-7.0,76,76,38,8,152,9.0,13,81,,34.523809523809526,0.45,0.41586750000000006,,14.407692307692306,47.0,1.0,3.0,2.0,1.0,7.0,,4.0,1.0,7.0,10.0,21.0,,9.0,16.0,6.0,,7.0,1.0,1.0,4.0,5.0,2.0,11.0,,,2.0,1.0,1.0,3.0,2.0,,,,12.0,4.0,16.0,47.0,0.75,0.75,,0.14285714285714285,0.14285714285714285,0.3076923076923077,0.275,0.40384615384615385,0.5,0.35,0.07692307692307693,,0.6666666666666666,0.05,0.15,0.2222222222222222,0.25,1.0,0.35,0.14285714285714285,0.14285714285714285,,,0.4,0.14285714285714285,0.7619047619047619,26.557142857142857,0.618421052631579,1.0,,,1.0,1.0,1.0,,,2.0,7.0,2.0,,,1.0,2.0,,2.0,,,,0.2857142857142857,,0.3181818181818182,,0.03571428571428571,,0.0625,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,0.09090909090909091,1.0,0.4015363636363636,,,1.0,1.0,,1.0,,,2.0,,,,,,,0.25,,,0.06666666666666667,0.25,,0.09090909090909091,0.13333333333333333,1.0,1.0,,,,,,,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,0.25,0.1111111111111111,0.36363636363636365,0.25,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,2170.0,36,15.0,66,65,19,14,131,3.0,9,63,,28.04878048780488,0.16666666666666666,0.4986058823529412,0.5424,9.177777777777779,24.0,4.0,2.0,1.0,5.0,8.0,2.0,5.0,5.0,9.0,2.0,27.0,2.0,,2.0,2.0,6.0,7.0,5.0,,5.0,5.0,2.0,10.0,6.0,3.0,3.0,1.0,1.0,4.0,3.0,,4.0,1.0,2.0,,2.0,24.0,0.2,0.2,0.4,0.5555555555555556,0.625,0.5555555555555556,0.6944444444444444,0.7105263157894737,0.25,0.5,,,0.75,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,,0.4444444444444444,0.625,0.625,0.4,1.0,0.7222222222222222,0.7142857142857143,0.07407407407407407,26.71111111111111,0.36363636363636365,3.0,,,1.0,2.0,1.0,,6.0,1.0,2.0,8.0,,,2.0,2.0,,2.0,1.0,,,0.5,1.5,0.25,1.5,0.1111111111111111,,0.08,,,,,0.75,0.75,0.5,0.5,,,,0.5,0.5,0.5050666666666667,0.2222222222222222,,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,0.25,,1.0,0.05263157894736842,0.1,2.0,1.0,,,,,,0.3333333333333333,,2.0,,2.0,9.0,,2.0,1.0,,,0.5,,1.0,2.0,2.0,1.0,1.0,0.05555555555555555,1.0,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,1512.0,25,,49,50,31,6,99,,4,49,1.0,14.545454545454545,,0.428875,0.5973,6.5249999999999995,26.0,1.0,3.0,,,,,,,,6.0,6.0,,6.0,6.0,,,,,,,,,,,,,,,,,,2.0,,8.0,1.0,6.0,26.0,,,,,,,,0.375,0.42857142857142855,,,,,0.25,0.75,,,,,,,,,0.25,,1.0,,0.5306122448979592,,,1.0,,,,,,,3.0,,,3.0,4.0,4.0,3.0,7.0,1.0,2.0,,,,,,0.21052631578947367,0.15,0.16666666666666666,0.12,,0.16666666666666666,0.25,,,,,,1.0,,,,0.37273333333333336,,,,,,,,,3.0,,,,,,,,0.3333333333333333,1.0,0.1,,,0.42857142857142855,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,2316.0,39,2.0,72,71,34,10,143,3.0,5,72,,11.904761904761905,0.42857142857142855,0.42450000000000004,,12.32,46.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,,10.0,,,8.0,2.0,6.0,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,,3.0,,2.0,,8.0,46.0,0.5,0.5,1.0,1.0,1.0,0.4,0.7142857142857143,0.625,1.0,0.2857142857142857,,,0.5,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,,0.2857142857142857,1.0,1.0,1.0,,0.42857142857142855,1.0,0.8,25.049999999999997,0.6388888888888888,1.0,,,,,,,,1.0,2.0,2.0,,,7.0,9.0,,9.0,,1.0,,0.5,,1.0,,0.2916666666666667,,0.3,,,,0.42857142857142855,1.0,1.0,,,,,,,,0.42215,,,,,,2.0,,,1.0,2.0,,2.0,1.0,,,0.3333333333333333,,0.3333333333333333,0.18181818181818182,0.25,0.5,0.125,0.16666666666666666,1.0,,,,,,,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,1.0,,0.5,1.0,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
72,1610612740,Kenny Anderson,Kenny Anderson,72,NOH,1543.0,26,,48,49,20,7,97,1.0,5,51,1.0,14.285714285714285,0.2,0.45758,0.3749,5.16,17.0,3.0,1.0,,,,,2.0,,,3.0,7.0,,1.0,3.0,2.0,,,,,4.0,5.0,2.0,11.0,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,3.0,,3.0,17.0,0.5,0.5,,,,0.4,0.4,0.5833333333333334,0.75,,,,0.5,0.6,0.2,,,,,,,,,0.6,,0.42857142857142855,,0.3541666666666667,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,1.0,,1.0,,,1.0,0.5,1.0,0.5,1.0,,,0.05,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,1.0,0.5,0.56975,0.2857142857142857,,1.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,0.14285714285714285,,,,0.2,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
