EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsUnassisted3s,HeaveAttempts,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,ThreePtAssists,Arc3Assists,FTDefRebounds,DefFTReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,Corner3Assists,SelfOReb,LostBallSteals,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Charge Fouls,OffensiveGoaltends,3SecondViolations,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,PenaltyCorner3FGA,PenaltyCorner3Frequency,FTOffRebounds,Offensive Fouls Drawn,OffFTReboundPct,Travels,Blocked3s,BlockedArc3
101249,1610612741,John Lucas III,John Lucas III,101249,CHI,3455.0,58.0,8.0,101.0,104,27.0,27,21.0,205,1.0,2.0,3.0,4.0,11.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,3.0,6.0,15.0,3.0,7.0,2.0,23.0,87.0,1.0,3.0,1.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,9.0,2.0,10.0,9.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,1.0,9.0,27.0,0.16666666666666666,0.2,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.4,0.3333333333333333,0.5,0.4772727272727273,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5625,0.3181818181818182,0.06666666666666667,1.0,21.875,0.2,0.06521739130434782,0.0196078431372549,0.05172413793103448,0.016666666666666666,0.06666666666666667,0.06666666666666667,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.5,0.36363636363636365,0.36363636363636365,0.25,0.045454545454545456,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.42857142857142855,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.4350931818181818,0.471775,0.4159714285714286,0.043478260869565216,0.0625,0.21739130434782608,0.391304347826087,14.873333333333333,25.385714285714283,0.26732673267326734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1888,1610612741,Richard Hamilton,Richard Hamilton,1888,CHI,3106.0,52.0,3.0,89.0,91,36.0,46,20.0,180,3.0,2.0,5.0,3.0,11.0,,,1.0,4.0,,,,2.0,7.0,19.0,1.0,4.0,5.0,22.0,86.0,3.0,5.0,,,6.0,3.0,5.0,,2.0,2.0,8.0,8.0,6.0,,4.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,8.0,3.0,6.0,8.0,4.0,12.0,2.0,2.0,1.0,,,3.0,1.0,2.0,3.0,5.0,5.0,1.0,8.0,36.0,0.5714285714285714,0.8,,0.25,,,0.3333333333333333,0.3684210526315789,0.6,0.6,0.3695652173913043,0.6,0.42857142857142855,0.42,0.6,0.5,0.17391304347826086,0.10526315789473684,,24.56140350877193,0.6666666666666666,0.15789473684210525,0.0625,0.1509433962264151,0.06779661016949153,,0.3333333333333333,0.10526315789473684,0.13043478260869565,0.21739130434782608,0.4,0.5,0.4782608695652174,0.2727272727272727,0.3,0.6666666666666666,,,,,0.17391304347826086,0.25,0.25,,,,,0.2857142857142857,,0.30434782608695654,0.3333333333333333,0.43754318181818186,0.463425,0.44236666666666663,0.041666666666666664,0.05,0.2727272727272727,0.36363636363636365,13.121052631578946,32.05,0.4044943820224719,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.09090909090909091,0.13333333333333333,0.09090909090909091,0.13043478260869565,0.5,0.18181818181818182,0.6666666666666666,0.6666666666666666,1.0,0.2,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,1076.0,18.0,-12.0,33.0,35,6.0,10,4.0,68,1.0,1.0,2.0,1.0,1.0,,,,,,,,,3.0,4.0,,,1.0,7.0,44.0,1.0,1.0,,,3.0,,,,,1.0,1.0,4.0,2.0,,,,,,,1.0,,,3.0,,2.0,3.0,1.0,4.0,,,,,,,,,,1.0,2.0,,1.0,6.0,0.6666666666666666,0.6666666666666666,,,,,,0.75,1.0,,0.75,1.0,,0.7,0.75,0.5,,,,13.157894736842104,,0.2857142857142857,,0.18181818181818182,0.07692307692307693,,,0.25,0.25,0.5,0.5,0.5,0.25,1.0,1.0,,,,,,,,,,,,,,,0.25,,0.43177499999999996,,,,,0.42857142857142855,0.14285714285714285,7.125000000000001,,0.18181818181818182,1.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,0.2,,0.5,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
201959,1610612741,Taj Gibson,Taj Gibson,201959,CHI,8241.0,137.0,-3.0,247.0,251,78.0,83,45.0,498,23.0,2.0,10.0,6.0,13.0,,,,,,,,,21.0,46.0,,,15.0,57.0,233.0,5.0,11.0,,,13.0,7.0,18.0,,,6.0,20.0,32.0,10.0,,8.0,,,5.0,3.0,4.0,,2.0,9.0,14.0,19.0,24.0,15.0,39.0,2.0,,1.0,,,3.0,1.0,12.0,19.0,16.0,22.0,12.0,20.0,78.0,0.7619047619047619,0.9411764705882353,,,,,,0.45652173913043476,0.45454545454545453,0.3888888888888889,0.45652173913043476,0.45454545454545453,0.3888888888888889,0.5089285714285714,0.5416666666666666,0.47619047619047616,,0.10869565217391304,0.08695652173913043,19.407894736842106,0.6666666666666666,0.18446601941747573,0.11666666666666667,0.15671641791044777,0.1048951048951049,0.1388888888888889,0.1388888888888889,0.17391304347826086,0.5,0.21739130434782608,0.2,0.25,0.2826086956521739,0.46153846153846156,0.5,1.0,,,,,,,,,,,,,,0.5,,0.4816695652173913,0.51443,0.4638166666666667,0.21428571428571427,0.21428571428571427,0.22807017543859648,0.3508771929824561,8.07391304347826,,0.3157894736842105,13.0,5.0,9.0,4.0,9.0,,,1.0,1.0,2.0,4.0,2.0,,,1.0,,,,3.0,,0.2,0.07692307692307693,0.06451612903225806,0.043478260869565216,0.13333333333333333,0.25,0.08,0.5652173913043478,0.6190476190476191,0.5,0.8181818181818182,0.5555555555555556,0.5,0.4444444444444444,3.0,1.0,,3.0,0.21428571428571427,0.2857142857142857,0.6923076923076923,1.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,7.0,2.0,1.0,10.0,7.0,0.041666666666666664,0.05,0.7,0.2,,,,,,,,,,,,True,,,,,,,,
2594,1610612741,Kyle Korver,Kyle Korver,2594,CHI,3722.0,62.0,4.0,112.0,110,32.0,22,17.0,222,,,,5.0,8.0,,3.0,3.0,6.0,,1.0,1.0,1.0,5.0,8.0,3.0,9.0,1.0,20.0,107.0,1.0,2.0,,1.0,2.0,,1.0,1.0,1.0,,3.0,10.0,,9.0,,6.0,3.0,1.0,6.0,8.0,,4.0,18.0,1.0,5.0,7.0,1.0,8.0,3.0,2.0,2.0,,,5.0,2.0,6.0,8.0,3.0,2.0,1.0,3.0,32.0,1.0,1.0,1.0,0.3333333333333333,,1.0,0.3333333333333333,0.625,0.5,,0.5588235294117647,0.3333333333333333,0.75,0.5555555555555556,0.3333333333333333,0.75,0.5294117647058824,0.125,,17.293233082706767,0.6,0.1282051282051282,0.02127659574468085,0.09803921568627451,0.017857142857142856,,,0.2222222222222222,,,,,0.47058823529411764,0.625,0.7142857142857143,1.0,0.17647058823529413,,,,0.35294117647058826,0.5,0.5,1.0,0.3333333333333333,,,0.5,1.0,0.5294117647058824,0.5,0.4905147058823529,0.451,0.486875,0.05555555555555555,0.1111111111111111,0.1,0.15,19.687499999999996,24.84444444444445,0.2857142857142857,,,,,,,,2.0,,,2.0,1.0,2.0,,,,,,2.0,,,0.125,,,0.034482758620689655,,,,,,,,,,,2.0,2.0,2.0,0.2857142857142857,0.14285714285714285,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
201600,1610612741,Omer Asik,Omer Asik,201600,CHI,3707.0,62.0,12.0,104.0,109,39.0,27,24.0,213,8.0,,1.0,,,,,,,,,,,4.0,9.0,,,6.0,14.0,91.0,1.0,3.0,,,6.0,2.0,2.0,,,2.0,6.0,8.0,,,,,,1.0,4.0,4.0,,1.0,8.0,5.0,5.0,9.0,6.0,15.0,1.0,1.0,5.0,1.0,,6.0,3.0,4.0,8.0,12.0,13.0,5.0,6.0,39.0,1.0,1.0,,,,,,0.4444444444444444,0.3333333333333333,1.0,0.4444444444444444,0.3333333333333333,1.0,0.4666666666666667,0.6,0.6,,0.1111111111111111,0.125,15.441176470588234,0.16666666666666666,0.09615384615384616,0.09615384615384616,0.125,0.09523809523809523,0.06666666666666667,,0.16,0.8888888888888888,0.1111111111111111,,,,,,,,,,,,,,,,,,,,0.8888888888888888,,0.5447777777777778,0.5523666666666667,0.50625,0.38461538461538464,0.38461538461538464,0.42857142857142855,0.42857142857142855,1.7777777777777777,,0.375,4.0,1.0,3.0,2.0,2.0,,,3.0,1.0,3.0,,,,2.0,4.0,,,2.0,,1.0,,,0.25,0.09090909090909091,0.037037037037037035,,,0.5,0.5714285714285714,,1.0,0.3333333333333333,1.0,1.0,4.0,,,1.0,0.2,0.09090909090909091,1.0,,2.0,,,2.0,1.0,1.0,4.0,2.0,,2.0,4.0,1.0,0.3,0.5,0.25,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,,,,,,,True,,,,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,5779.0,96.0,-2.0,176.0,176,70.0,72,32.0,352,7.0,2.0,5.0,3.0,10.0,,1.0,3.0,8.0,,,2.0,6.0,9.0,22.0,3.0,9.0,2.0,29.0,162.0,5.0,5.0,,1.0,10.0,1.0,5.0,2.0,6.0,2.0,10.0,8.0,10.0,3.0,4.0,7.0,3.0,1.0,3.0,3.0,,1.0,6.0,4.0,9.0,20.0,4.0,24.0,3.0,,1.0,,,4.0,2.0,5.0,6.0,2.0,3.0,1.0,10.0,70.0,0.4444444444444444,0.5714285714285714,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.375,0.4090909090909091,1.0,0.2,0.43548387096774194,0.8333333333333334,0.36363636363636365,0.453125,0.8333333333333334,0.4166666666666667,0.2903225806451613,0.045454545454545456,0.14285714285714285,16.666666666666664,0.75,0.12,0.04395604395604396,0.17708333333333334,0.037383177570093455,0.06451612903225806,0.15384615384615385,0.058823529411764705,0.22580645161290322,0.16129032258064516,0.4,0.4,0.3225806451612903,0.3,0.3,0.6666666666666666,0.03225806451612903,,,,0.25806451612903225,0.375,0.375,0.3333333333333333,,,,0.5454545454545454,0.3333333333333333,0.5161290322580645,0.42857142857142855,0.4676433333333333,0.5351,0.4406549999999999,0.03225806451612903,0.045454545454545456,0.3448275862068966,0.3448275862068966,10.890909090909092,27.533333333333335,0.3977272727272727,4.0,3.0,3.0,1.0,1.0,6.0,1.0,2.0,,8.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,0.38095238095238093,,0.02564102564102564,,0.4375,0.5714285714285714,0.6666666666666666,,0.5,1.0,0.09090909090909091,1.0,,,,3.0,0.2727272727272727,0.2,0.5,,,,3.0,,,1.0,3.0,2.0,,1.0,3.0,2.0,0.047619047619047616,,0.6666666666666666,0.3333333333333333,1.0,,,,0.2,1.0,0.16666666666666666,,,,,True,,,,,,,,
2430,1610612741,Carlos Boozer,Carlos Boozer,2430,CHI,3157.0,53.0,-4.0,102.0,99,27.0,40,16.0,201,10.0,3.0,7.0,2.0,13.0,,,,,,,,,9.0,30.0,,,2.0,20.0,92.0,2.0,7.0,,,4.0,1.0,6.0,,,1.0,3.0,8.0,10.0,,4.0,,,5.0,2.0,2.0,,2.0,4.0,5.0,9.0,15.0,5.0,20.0,1.0,,4.0,,,5.0,1.0,3.0,6.0,4.0,3.0,2.0,3.0,27.0,0.4444444444444444,0.5714285714285714,,,,,,0.3,0.2857142857142857,0.16666666666666666,0.3,0.2857142857142857,0.16666666666666666,0.3225806451612903,0.2857142857142857,0.25,,0.16666666666666666,0.2,29.75206611570248,0.2,0.21951219512195122,0.09259259259259259,0.2222222222222222,0.08196721311475409,0.1111111111111111,0.35294117647058826,0.2,0.3333333333333333,0.23333333333333334,0.42857142857142855,0.6,0.43333333333333335,0.15384615384615385,0.16666666666666666,0.5,,,,,,,,,,,,,,0.3333333333333333,,0.43557,0.4468142857142857,0.45890000000000003,0.06451612903225806,0.06451612903225806,0.2,0.15,9.723333333333333,,0.2647058823529412,4.0,1.0,4.0,1.0,3.0,,,,,3.0,,,2.0,,,,,,1.0,,0.2857142857142857,0.07692307692307693,0.23076923076923078,,0.12,,0.18181818181818182,0.4,0.5,0.3333333333333333,0.5714285714285714,0.25,0.5,0.3333333333333333,,,,3.0,0.42857142857142855,,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,0.5,,,,,,,True,,,,,,,,
200758,1610612741,Ronnie Brewer,Ronnie Brewer,200758,CHI,4052.0,68.0,-8.0,122.0,129,24.0,31,22.0,251,7.0,,,2.0,6.0,,,,,,,,,4.0,13.0,,,,8.0,112.0,,1.0,,,,,,,,,,6.0,2.0,,,,,2.0,6.0,8.0,1.0,1.0,18.0,4.0,12.0,13.0,4.0,17.0,3.0,2.0,1.0,1.0,,4.0,,1.0,4.0,4.0,3.0,2.0,,24.0,0.75,0.75,,,,,,0.3076923076923077,,,0.3076923076923077,,,0.2857142857142857,,,,0.15384615384615385,0.2857142857142857,11.920529801324504,0.75,0.21052631578947367,0.06666666666666667,0.18571428571428572,0.05714285714285714,0.15789473684210525,0.14285714285714285,0.34782608695652173,0.5384615384615384,,,,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,0.5384615384615384,,0.48069230769230775,0.5127,,0.14285714285714285,0.14285714285714285,,,9.838461538461539,,0.19672131147540983,2.0,,1.0,,,,,4.0,,1.0,4.0,2.0,,1.0,1.0,,,,1.0,,,,0.07692307692307693,,0.030303030303030304,,0.08333333333333333,0.2857142857142857,0.4,,1.0,,,,,2.0,2.0,,,0.07692307692307693,0.5,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,0.14285714285714285,1.0,,,,,,,,,1.0,,,,True,,,,,,,,
202710,1610612741,Jimmy Butler,Jimmy Butler,202710,CHI,26.0,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
