EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Avg3ptShotDistance,PenaltyArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,BlockingFoulsDrawn,LiveBallTurnoverPct,PenaltyArc3Frequency,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyArc3Accuracy,BlockedLongMidRange,on,Travels,Charge Fouls,SecondChanceCorner3FGA,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,FTOffRebounds,Blocked3s,BlockedCorner3,OffensiveGoaltends,OffFTReboundPct,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,4208.0,70.0,11.0,134.0,134,49.0,18,13.0,268,6.0,10.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,9.0,14.0,11.0,29.0,136.0,2.0,4.0,2.0,6.0,2.0,2.0,5.0,9.0,16.0,2.0,2.0,4.0,2.0,7.0,2.0,7.0,9.0,9.0,18.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,13.0,1.0,11.0,1.0,1.0,13.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,9.0,49.0,3.0,0.8888888888888888,1.0,0.6428571428571429,0.5,1.0,0.6428571428571429,0.5,1.0,0.725,0.6,0.9,0.2857142857142857,0.3,0.3333333333333333,14.18918918918919,0.15217391304347827,0.1794871794871795,0.1111111111111111,0.09090909090909091,0.140625,0.14754098360655737,0.14285714285714285,0.21428571428571427,0.18181818181818182,0.05555555555555555,0.25,0.14285714285714285,0.125,0.1875,0.14285714285714285,1.0,0.7142857142857143,0.6,0.8571428571428571,0.8333333333333334,0.21428571428571427,0.6666666666666666,1.0,1.0,0.07142857142857142,1.0,1.0,1.0,0.75,0.6666666666666666,0.5,1.0,1.0,0.7142857142857143,0.5535071428571429,0.58265,0.6805,0.23529411764705882,0.23529411764705882,0.20689655172413793,0.3103448275862069,3.1357142857142857,0.3656716417910448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1713,1610612742,Vince Carter,Vince Carter,1713,DAL,2580.0,43.0,16.0,82.0,81,20.0,13,8.0,163,5.0,11.0,,1.0,1.0,3.0,1.0,5.0,1.0,5.0,7.0,21.0,5.0,22.0,71.0,,1.0,1.0,1.0,1.0,5.0,2.0,7.0,2.0,12.0,,1.0,,3.0,5.0,4.0,10.0,3.0,13.0,2.0,1.0,1.0,2.0,2.0,,,2.0,4.0,1.0,8.0,,,6.0,,2.0,1.0,1.0,1.0,,1.0,1.0,7.0,20.0,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,,0.2,0.3269230769230769,,0.4166666666666667,0.3793103448275862,0.25,0.5,0.047619047619047616,0.09090909090909091,,34.065934065934066,0.14285714285714285,0.10344827586206896,0.38461538461538464,,0.21951219512195122,0.07692307692307693,,0.3,,,,,0.125,0.3333333333333333,0.3333333333333333,1.0,0.4230769230769231,0.45454545454545453,0.5,0.2,0.19230769230769232,0.2,0.2,,0.19230769230769232,0.2,0.2,,1.0,,,0.5,0.3333333333333333,0.6153846153846154,0.48994423076923077,0.6792,0.4341083333333333,0.07142857142857142,0.08695652173913043,0.045454545454545456,0.3181818181818182,7.176190476190476,0.24390243902439024,1.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,0.2,0.19230769230769232,1.0,1.0,0.11764705882352941,0.07692307692307693,0.5,0.5,1.0,0.11538461538461539,0.16666666666666666,1.0,23.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,2693.0,45.0,7.0,85.0,85,43.0,16,7.0,170,1.0,2.0,,,,1.0,2.0,4.0,2.0,3.0,5.0,9.0,17.0,27.0,97.0,1.0,1.0,2.0,4.0,2.0,4.0,11.0,15.0,2.0,8.0,,1.0,,,3.0,5.0,8.0,,8.0,,,,3.0,8.0,,6.0,1.0,3.0,2.0,12.0,,,19.0,3.0,7.0,4.0,,,,,,15.0,43.0,4.0,0.2,0.2,0.5555555555555556,1.0,0.5,0.4166666666666667,1.0,0.3333333333333333,0.675,1.0,0.625,0.1111111111111111,0.5,,30.434782608695652,0.18518518518518517,,0.21428571428571427,,0.1951219512195122,,,,,,,0.42857142857142855,0.18181818181818182,,0.2,,0.16666666666666666,0.5,1.0,,0.3333333333333333,0.5,0.5,,0.25,0.6666666666666666,0.6666666666666666,0.5,,,,0.16666666666666666,,0.4166666666666667,0.44534999999999997,,0.47251666666666664,0.4375,0.5384615384615384,0.14814814814814814,0.5555555555555556,9.766666666666667,0.5058823529411764,,,,,3.0,,3.0,,2.0,,3.0,,,1.0,,,,,,,0.25,,0.25,,,,,,0.25,,,24.3,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,0.625,0.3333333333333333,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,3411.0,57.0,1.0,106.0,108,35.0,16,10.0,214,1.0,1.0,,,,,1.0,5.0,1.0,5.0,3.0,11.0,,18.0,112.0,,1.0,,,1.0,1.0,,2.0,2.0,4.0,,1.0,,1.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,,,1.0,1.0,,2.0,4.0,,2.0,,,,,,,,,,,,2.0,35.0,,0.3333333333333333,0.3333333333333333,0.2727272727272727,,1.0,0.47368421052631576,,0.3333333333333333,0.47368421052631576,,0.3333333333333333,0.09090909090909091,,0.2,17.094017094017094,0.05555555555555555,0.03225806451612903,0.13333333333333333,,0.0784313725490196,0.02127659574468085,,0.08333333333333333,,,,0.08333333333333333,,0.08333333333333333,0.16666666666666666,,0.05263157894736842,1.0,1.0,,0.2631578947368421,0.2,0.25,,0.2631578947368421,0.2,0.2,1.0,,,,,,0.47368421052631576,0.4725105263157895,0.279,0.5066333333333334,,,,0.1111111111111111,14.090909090909092,0.330188679245283,,,,,8.0,4.0,8.0,,2.0,9.0,8.0,,,,,,0.75,0.5,,0.5,0.42105263157894735,,,,,,,,0.42105263157894735,,,24.299999999999997,2.0,6.0,3.0,9.0,1.0,2.0,21.0,1.0,1.0,,,1.0,0.6666666666666666,4.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,0.5,0.5,0.75,0.5,0.5,,,,True,,,,,,,,,,,,,,,,
2753,1610612742,Delonte West,Delonte West,2753,DAL,1375.0,23.0,17.0,44.0,42,15.0,3,3.0,86,2.0,4.0,,,1.0,2.0,,,,1.0,2.0,5.0,5.0,15.0,35.0,,,,,1.0,2.0,2.0,7.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,3.0,,5.0,,,5.0,1.0,3.0,,,,,,,7.0,15.0,,0.5,0.5,0.4,,0.5,0.7142857142857143,,0.8333333333333334,0.8333333333333334,,0.875,0.2,0.25,,19.148936170212767,,,,,,,,,,,,,,,,,0.5714285714285714,0.5,0.6666666666666666,0.5,,,,,0.14285714285714285,,,,,,,0.6666666666666666,0.5,0.8571428571428571,0.5314714285714286,,0.6035666666666667,0.3333333333333333,0.42857142857142855,,0.4666666666666667,4.779999999999999,0.3409090909090909,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,6.0,,,,,,,1.0,1.0,1.0,1.0,0.2857142857142857,,,,0.2857142857142857,1.0,1.0,1.0,,0.3333333333333333,1.0,23.15,,2.0,1.0,3.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,3662.0,61.0,7.0,119.0,119,48.0,17,13.0,238,1.0,1.0,,,,,,1.0,,1.0,1.0,3.0,6.0,23.0,125.0,,,,,,,6.0,18.0,,2.0,,1.0,,,3.0,7.0,10.0,,10.0,7.0,2.0,5.0,,5.0,,3.0,1.0,3.0,,4.0,,2.0,6.0,,1.0,2.0,,,,,,18.0,48.0,2.0,,,0.3333333333333333,,,0.4722222222222222,,0.75,0.5476190476190477,,0.8181818181818182,0.3333333333333333,,1.0,19.548872180451127,0.17073170731707318,,0.23076923076923078,,0.18518518518518517,,,,,,,,0.26666666666666666,0.1875,0.2222222222222222,,0.05555555555555555,1.0,1.0,,0.05555555555555555,,,,0.05555555555555555,,,,,,,,,0.8888888888888888,0.5385805555555555,0.5334,0.5786625,0.05263157894736842,0.25,,0.782608695652174,10.799999999999999,0.40336134453781514,,1.0,,,14.0,5.0,15.0,4.0,8.0,9.0,14.0,,,,1.0,,0.6,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333334,,0.25,,0.05555555555555555,,,,0.7777777777777778,,,24.473333333333333,8.0,6.0,4.0,10.0,1.0,3.0,24.0,5.0,3.0,2.0,,1.0,1.0,5.0,1.0,1.0,6.0,5.0,3.0,2.0,1.0,0.35714285714285715,0.35714285714285715,0.6,1.0,0.35714285714285715,4.0,0.5,,True,,,,,,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,3077.0,51.0,,100.0,99,35.0,5,11.0,199,2.0,3.0,,,1.0,1.0,2.0,4.0,,,4.0,7.0,2.0,13.0,100.0,,,,,1.0,2.0,,2.0,8.0,,,,1.0,,1.0,4.0,5.0,1.0,6.0,,,,1.0,3.0,,1.0,2.0,4.0,1.0,2.0,,,2.0,,1.0,,1.0,,,1.0,1.0,2.0,35.0,,1.0,1.0,0.5714285714285714,,0.5,0.55,,0.5,0.5909090909090909,,0.5,,,,12.499999999999998,0.11428571428571428,,0.1111111111111111,0.047619047619047616,0.11363636363636363,0.018867924528301886,,,,0.058823529411764705,,,0.08333333333333333,0.21428571428571427,0.16666666666666666,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,0.4,0.5,0.5,1.0,,,,,,,,0.5,1.0,0.6,0.52784,,0.47925,0.09090909090909091,0.125,,0.15384615384615385,4.971428571428571,0.35,1.0,3.0,,,,1.0,3.0,,,3.0,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.3,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,22.633333333333336,,1.0,1.0,2.0,,1.0,5.0,2.0,1.0,1.0,,0.6666666666666666,,,,,,,1.0,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,
2073,1610612742,Brian Cardinal,Brian Cardinal,2073,DAL,22.0,,-1.0,,1,,1,,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
201148,1610612742,Brandan Wright,Brandan Wright,201148,DAL,12.0,,-3.0,,1,,1,,1,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
101235,1610612742,Kelenna Azubuike,Kelenna Azubuike,101235,DAL,292.0,5.0,10.0,9.0,9,6.0,9,2.0,18,,,,,,,,,,2.0,,2.0,,3.0,,,,,,,2.0,,3.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,3.0,6.0,,,,,,,0.5,,0.5,0.5,,0.5,,,,36.36363636363637,,0.25,,,,0.2,,1.0,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,0.3333333333333333,0.4494666666666667,,0.4494666666666667,,,,1.0,22.2,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,,,,,,,,,,,,,,,
