EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,FTOffRebounds,FTDefRebounds,StepOutOfBoundsTurnovers,BlockingFouls,SecondChanceFg3Pct,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3Accuracy,PtsPutbacks,OffThreePtRebounds,Charge Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,BlockingFoulsDrawn,DefensiveGoaltends,Clear Path Fouls,BlockedLongMidRange,LongMidRangePctBlocked,3SecondViolations,Blocked3s,BlockedArc3,on,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,20930.0,349,-63.0,645,643,180,169,67,1288,14.0,24.0,1.0,4.0,7.0,13.0,11.0,34.0,18.0,37.0,2.0,4.0,1.0,1.0,8.0,24.0,2.0,3.0,8.0,43.0,95,10.0,28.0,33.0,149.0,702,3.0,7.0,3.0,6.0,14.0,33.0,3.0,9.0,22.0,59.0,6.0,80.0,12.0,18.0,24.0,8.0,6.0,1.0,63.0,15.0,78.0,9.0,6.0,31.0,18.0,14.0,171.0,5.0,7.0,32.0,39.0,5.0,44.0,1.0,24.0,12.0,12.0,25.0,4.0,19.0,10.0,1.0,6.0,2.0,35.0,3.0,8.0,9.0,23,2.0,2.0,36.0,2.0,38.0,2.0,1.0,5.0,10.0,1.0,7.0,1.0,1.0,1.0,59.0,179,4.0,7.0,0.06976744186046512,0.06976744186046512,0.4,0.35714285714285715,0.3333333333333333,0.35714285714285715,0.45263157894736844,0.42857142857142855,0.42424242424242425,0.4715447154471545,0.3,0.44047619047619047,0.5253623188405797,0.3,0.5384615384615384,0.22764227642276422,0.03571428571428571,0.06315789473684211,0.08333333333333333,0.11764705882352941,0.041666666666666664,24.06119610570236,0.7142857142857143,0.13733905579399142,0.021551724137931036,0.1320754716981132,0.13636363636363635,0.016891891891891893,0.030303030303030304,0.022222222222222223,0.013157894736842105,0.17105263157894737,0.1111111111111111,0.13157894736842105,0.11428571428571428,0.16666666666666666,0.016129032258064516,0.1951219512195122,0.5833333333333334,0.6363636363636364,0.07142857142857142,0.2764227642276423,0.3235294117647059,0.36666666666666664,0.3008130081300813,0.4864864864864865,0.4864864864864865,0.1111111111111111,0.032520325203252036,0.5,0.5,1.0,0.1951219512195122,0.3333333333333333,0.34782608695652173,0.25,0.4,0.25,0.1,0.2,0.30952380952380953,0.5384615384615384,0.023809523809523808,0.19047619047619047,0.375,0.42276422764227645,0.3333333333333333,0.4504130081300812,0.45521111111111107,0.42946428571428585,0.08396946564885496,0.0970873786407767,0.03571428571428571,0.040268456375838924,0.3959731543624161,10.368421052631579,25.96785714285715,0.27906976744186046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
200751,1610612746,Randy Foye,Randy Foye,200751,LAC,15976.0,266,-62.0,486,488,113,104,53,974,5.0,11.0,1.0,1.0,2.0,3.0,2.0,7.0,6.0,18.0,5.0,9.0,,1.0,9.0,22.0,1.0,2.0,7.0,13.0,36,14.0,31.0,9.0,77.0,541,1.0,1.0,1.0,6.0,2.0,7.0,2.0,8.0,,10.0,16.0,10.0,36.0,6.0,22.0,9.0,2.0,1.0,15.0,2.0,17.0,2.0,,12.0,1.0,2.0,36.0,3.0,7.0,8.0,17.0,4.0,21.0,3.0,5.0,3.0,2.0,4.0,2.0,2.0,6.0,2.0,2.0,,10.0,2.0,2.0,12.0,18,,,8.0,,11.0,,,,3.0,1.0,1.0,3.0,3.0,3.0,10.0,112,2.0,,0.6153846153846154,0.6153846153846154,0.8571428571428571,0.45161290322580644,0.25,0.45161290322580644,0.3611111111111111,1.0,0.2857142857142857,0.5074626865671642,1.25,0.3333333333333333,0.5347222222222222,1.0,0.3333333333333333,0.4626865671641791,0.03225806451612903,0.05555555555555555,0.09090909090909091,0.14285714285714285,,14.808043875685557,0.4,0.043243243243243246,0.01639344262295082,0.1794871794871795,0.06696428571428571,0.012875536480686695,0.018867924528301886,,0.03225806451612903,0.017857142857142856,0.06153846153846154,0.046875,0.11538461538461539,0.3076923076923077,0.08108108108108109,0.16417910447761194,0.45454545454545453,0.5,0.8,0.1044776119402985,0.2857142857142857,0.3333333333333333,0.26865671641791045,0.3333333333333333,0.3333333333333333,0.5,0.13432835820895522,0.5555555555555556,0.625,1.0,0.3283582089552239,0.4090909090909091,0.4090909090909091,0.7777777777777778,0.5,1.0,,0.5,0.2,0.6666666666666666,0.06666666666666667,0.4666666666666667,0.2857142857142857,0.6268656716417911,0.4090909090909091,0.48575895522388063,0.52185,0.47863,0.056338028169014086,0.07692307692307693,0.03125,0.07792207792207792,0.12987012987012986,11.727777777777778,25.07741935483871,0.23251028806584362,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.1111111111111111,0.125,0.06666666666666667,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201156,1610612746,Nick Young,Nick Young,201156,LAC,4975.0,83,31.0,162,164,74,66,18,326,1.0,1.0,,,1.0,1.0,2.0,5.0,,4.0,5.0,8.0,,4.0,4.0,7.0,2.0,3.0,5.0,3.0,10,9.0,15.0,2.0,35.0,158,,,2.0,3.0,2.0,4.0,7.0,9.0,,25.0,2.0,4.0,24.0,3.0,7.0,4.0,,,2.0,,2.0,,,1.0,,1.0,4.0,,1.0,4.0,5.0,,5.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,4.0,12,1.0,,2.0,,2.0,,,,1.0,,,3.0,3.0,3.0,25.0,74,4.0,,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.6,0.7777777777777778,0.6,0.3,,0.5,0.66,0.75,0.9615384615384616,0.6730769230769231,0.75,0.9615384615384616,0.6,,,,,,14.835164835164834,1.0,0.08,,0.047619047619047616,0.07042253521126761,,,,,0.05555555555555555,0.05263157894736842,0.15384615384615385,,0.25,,0.04,1.0,1.0,1.0,0.2,0.4,0.4,0.16,,,,0.32,0.625,0.625,1.0,0.28,0.5714285714285714,0.5714285714285714,0.75,,,,1.0,0.07692307692307693,1.0,0.3076923076923077,0.38461538461538464,0.6,0.64,0.5714285714285714,0.5086940000000001,0.52155,0.5052730769230769,0.038461538461538464,0.09090909090909091,,0.08571428571428572,0.7142857142857143,14.15,24.906666666666663,0.4567901234567901,1.0,1.0,,,,,,0.5,,,,,0.5,,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,13538.0,226,-85.0,411,420,70,57,42,831,16.0,27.0,4.0,10.0,2.0,3.0,1.0,8.0,,,,,,,,,,,,17.0,35,,,6.0,40.0,488,5.0,11.0,,13.0,2.0,4.0,,,2.0,6.0,24.0,10.0,,,,,7.0,,3.0,1.0,4.0,,1.0,3.0,,,9.0,12.0,7.0,25.0,34.0,15.0,49.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,,,6.0,1.0,3.0,14.0,17,1.0,,16.0,,20.0,2.0,,,7.0,,4.0,18.0,11.0,18.0,6.0,70,,,0.7058823529411765,0.9230769230769231,,,,,0.4857142857142857,0.45454545454545453,0.5,0.4857142857142857,0.45454545454545453,0.5,0.45454545454545453,0.5,0.375,,,0.2,0.07407407407407407,0.625,,10.964912280701755,0.3333333333333333,0.16129032258064516,0.07947019867549669,0.21212121212121213,0.1702127659574468,0.07894736842105263,0.06818181818181818,0.1320754716981132,0.037037037037037035,0.12962962962962962,0.18,0.17647058823529413,0.2857142857142857,0.08333333333333333,0.18181818181818182,0.7714285714285715,0.5925925925925926,0.64,0.75,0.22857142857142856,0.125,0.3333333333333333,,,,,,,,,,,,,0.9090909090909091,0.4,,,0.75,0.6666666666666666,,,,0.7714285714285715,,0.5650742857142858,0.5868909090909091,0.5435749999999999,0.175,0.175,,0.325,0.15,2.6428571428571423,,0.170316301703163,,,3.0,,2.0,,1.0,,,0.25,,,,,,8.0,0.4444444444444444,,8.0,3.0,1.0,3.0,7.0,0.07692307692307693,0.06451612903225806,0.125,0.25,,,,,,,,,,True,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,23579.0,393,-41.0,724,725,201,192,76,1449,54.0,81.0,9.0,16.0,15.0,20.0,22.0,61.0,8.0,25.0,,,,,,1.0,,,,84.0,167,,1.0,42.0,210.0,776,10.0,19.0,,21.0,20.0,30.0,,,18.0,58.0,112.0,56.0,,,1.0,,12.0,,14.0,13.0,27.0,8.0,5.0,7.0,1.0,6.0,67.0,12.0,11.0,41.0,57.0,19.0,76.0,3.0,20.0,13.0,7.0,11.0,,5.0,14.0,2.0,6.0,4.0,25.0,1.0,1.0,13.0,41,4.0,3.0,66.0,4.0,66.0,10.0,,,33.0,,5.0,10.0,6.0,10.0,58.0,200,7.0,5.0,0.6666666666666666,0.7272727272727273,,,,,0.5029940119760479,0.5263157894736842,0.6666666666666666,0.5,0.5263157894736842,0.6666666666666666,0.5357142857142857,0.525,0.6744186046511628,0.005952380952380952,,0.0718562874251497,0.08641975308641975,0.08196721311475409,,27.317676143386898,0.44,0.1583011583011583,0.048,0.16417910447761194,0.15950920245398773,0.05246913580246913,0.0684931506849315,0.04081632653061224,0.0379746835443038,0.1686746987951807,0.17391304347826086,0.13095238095238096,0.1702127659574468,0.15,0.041666666666666664,0.48214285714285715,0.6666666666666666,0.7297297297297297,0.6481481481481481,0.3630952380952381,0.36065573770491804,0.39285714285714285,0.1488095238095238,0.32,0.32,0.875,,,,,0.005952380952380952,,,,0.8421052631578947,0.5625,,,0.6666666666666666,0.75,,,,0.4880952380952381,,0.4707151785714286,0.5674066666666666,0.49030000000000007,0.17277486910994763,0.1736842105263158,,0.1,0.2761904761904762,6.267664670658684,25.4,0.2776243093922652,,,1.0,2.0,5.0,1.0,,,,0.21739130434782608,0.06666666666666667,0.6363636363636364,,,,9.0,0.9,,14.0,5.0,3.0,5.0,4.0,0.06756756756756757,0.05263157894736842,0.11764705882352941,0.2222222222222222,2.0,1.0,,,,,,,,True,,,,,
2030,1610612746,Kenyon Martin,Kenyon Martin,2030,LAC,4183.0,70,,129,127,41,43,10,256,3.0,5.0,1.0,1.0,1.0,1.0,,5.0,1.0,4.0,,,,,,,,,,4.0,14,,,,8.0,127,1.0,1.0,,2.0,1.0,2.0,,,,2.0,6.0,2.0,,,,,2.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,2.0,5.0,5.0,12.0,3.0,15.0,,2.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,7.0,9,,1.0,2.0,,,,,,,,,3.0,2.0,3.0,2.0,41,,,0.75,1.0,,,,,0.2857142857142857,1.0,0.5,0.2857142857142857,1.0,0.5,0.2857142857142857,1.0,0.5,,,0.14285714285714285,0.2,0.2,,10.638297872340425,,0.1388888888888889,0.0425531914893617,0.22727272727272727,0.1724137931034483,0.05,0.2,,,,0.2857142857142857,0.08333333333333333,0.23529411764705882,0.2,,0.35714285714285715,0.6,0.75,0.6666666666666666,0.35714285714285715,,,0.2857142857142857,0.25,0.25,1.0,,,,,,,,,1.0,1.0,,,0.5,1.0,,,,0.35714285714285715,,0.46291428571428567,0.5242,0.5079,,,,0.25,0.25,8.0,,0.3178294573643411,,,,,2.0,,,,,0.3333333333333333,,,,,,,,,2.0,1.0,,1.0,1.0,0.07692307692307693,0.09090909090909091,,,,,1.0,,,,,,,True,,,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,1347.0,22,4.0,45,44,18,14,2,89,2.0,2.0,,,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,3.0,3,1.0,2.0,,9.0,46,,,,,2.0,2.0,1.0,2.0,,7.0,2.0,4.0,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,4,,,,,,,,,,,,,,,7.0,18,,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,,1.0,0.9,,0.875,0.9,,0.875,0.4,0.5,,,,,10.638297872340425,,0.05263157894736842,,,0.045454545454545456,,,,,,0.14285714285714285,,,,,0.4,1.0,1.0,0.5,0.2,1.0,1.0,,,,,0.2,,,,0.2,1.0,1.0,1.0,,,,,0.5,1.0,0.25,0.25,1.0,0.8,1.0,0.56612,,0.61775,,,,,0.7777777777777778,4.7,24.8,0.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2406,1610612746,Caron Butler,Caron Butler,2406,LAC,15142.0,252,-87.0,462,456,103,91,48,918,8.0,14.0,1.0,3.0,1.0,2.0,8.0,17.0,9.0,28.0,2.0,7.0,,3.0,6.0,24.0,,,3.0,25.0,59,8.0,31.0,12.0,86.0,508,4.0,8.0,,8.0,4.0,11.0,,6.0,1.0,9.0,26.0,24.0,24.0,,24.0,6.0,6.0,,6.0,4.0,10.0,1.0,3.0,3.0,1.0,2.0,24.0,1.0,7.0,17.0,25.0,4.0,29.0,,6.0,4.0,2.0,7.0,,1.0,8.0,,6.0,4.0,15.0,1.0,4.0,9.0,21,3.0,1.0,13.0,,14.0,,,,7.0,,,2.0,1.0,2.0,9.0,103,1.0,,0.52,0.5416666666666666,1.0,0.25806451612903225,,0.25806451612903225,0.423728813559322,0.5,0.36363636363636365,0.4111111111111111,0.5,0.23529411764705882,0.44329896907216493,0.5,0.25,0.34444444444444444,,0.1016949152542373,0.21428571428571427,0.058823529411764705,,21.832358674463936,0.4666666666666667,0.09941520467836257,0.005681818181818182,0.19444444444444445,0.11594202898550725,0.017543859649122806,,,0.017241379310344827,0.03571428571428571,0.07272727272727272,0.18333333333333332,0.2608695652173913,0.07692307692307693,,0.15555555555555556,0.5714285714285714,0.7272727272727273,0.625,0.18888888888888888,0.47058823529411764,0.5,0.3111111111111111,0.32142857142857145,0.34615384615384615,0.4444444444444444,0.07777777777777778,0.2857142857142857,0.2857142857142857,1.0,0.26666666666666666,0.25,0.25,1.0,0.375,0.3333333333333333,,,0.11764705882352941,0.5,0.17647058823529413,0.17647058823529413,,0.5,0.25,0.4892822222222221,0.4617333333333334,0.4634529411764706,0.07216494845360824,0.10606060606060606,,0.09302325581395349,0.10465116279069768,11.73050847457627,24.912903225806456,0.22294372294372294,,,,,1.0,1.0,,,,0.09090909090909091,,0.5,,,,2.0,1.0,,2.0,3.0,2.0,1.0,,0.057692307692307696,0.04878048780487805,0.09090909090909091,,1.0,,,1.0,1.0,0.07142857142857142,,,,True,,,,,
2501,1610612746,Reggie Evans,Reggie Evans,2501,LAC,5272.0,88,41.0,158,159,64,70,22,317,6.0,6.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,6.0,6,,,9.0,21.0,144,2.0,2.0,,6.0,2.0,2.0,,,7.0,11.0,8.0,4.0,,,,,,,,,,,,,,,,4.0,1.0,20.0,24.0,8.0,32.0,,3.0,2.0,1.0,,,,4.0,,,1.0,4.0,,2.0,5.0,10,1.0,2.0,16.0,1.0,26.0,2.0,,,6.0,,8.0,4.0,,4.0,11.0,63,1.0,4.0,0.6666666666666666,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,0.75,0.4583333333333333,,,,,,,11.956521739130434,,0.3225806451612903,0.09090909090909091,0.09090909090909091,0.2876712328767123,0.08333333333333333,0.1111111111111111,0.125,,0.4117647058823529,0.2916666666666667,0.2857142857142857,0.125,,,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,0.5424166666666667,0.5554,0.548,0.6,0.6,,0.2857142857142857,0.5238095238095238,1.3499999999999999,,0.4050632911392405,,,2.0,3.0,3.0,,,,,0.42857142857142855,0.2,,,,,3.0,0.75,,4.0,1.0,,,3.0,0.0625,0.09090909090909091,,,,,,,1.0,,1.0,,,True,,,,,
202339,1610612746,Eric Bledsoe,Eric Bledsoe,202339,LAC,6086.0,101,43.0,186,196,63,82,22,382,8.0,14.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,,1.0,1.0,2.0,,,1.0,12.0,21,3.0,5.0,4.0,37.0,184,4.0,5.0,,8.0,2.0,4.0,,2.0,3.0,7.0,10.0,14.0,9.0,,2.0,1.0,3.0,,6.0,3.0,9.0,3.0,,5.0,,1.0,21.0,5.0,2.0,7.0,9.0,8.0,17.0,,5.0,3.0,2.0,3.0,,2.0,6.0,2.0,1.0,1.0,9.0,,1.0,3.0,12,1.0,2.0,5.0,1.0,7.0,1.0,,,3.0,,1.0,2.0,2.0,2.0,6.0,62,1.0,,0.4166666666666667,0.5555555555555556,1.0,0.6,,0.6,0.5714285714285714,0.8,0.5,0.6346153846153846,0.8,0.3333333333333333,0.6379310344827587,0.8,0.4375,0.19230769230769232,,0.14285714285714285,0.14285714285714285,0.25,,17.92452830188679,0.3333333333333333,0.11290322580645161,0.10638297872340426,0.09523809523809523,0.10843373493975904,0.11428571428571428,0.058823529411764705,0.08695652173913043,0.2857142857142857,0.1875,0.08,0.09523809523809523,0.0625,0.2,,0.5384615384615384,0.5714285714285714,0.6666666666666666,0.375,0.15384615384615385,0.25,0.3333333333333333,0.11538461538461539,1.0,1.0,0.6666666666666666,0.11538461538461539,0.6666666666666666,0.6666666666666666,1.0,0.07692307692307693,0.5,0.5,1.0,0.6,1.0,,,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,,0.7307692307692307,0.5,0.49697307692307696,0.48266666666666663,0.42546666666666666,0.10714285714285714,0.13043478260869565,,0.21621621621621623,0.1891891891891892,5.5285714285714285,23.939999999999998,0.3387096774193548,,,,,,,,,,,,,,,,1.0,0.5,,6.0,3.0,1.0,,,0.13043478260869565,0.17647058823529413,,,,,,,,,,,,True,,,,,
