EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,Avg3ptShotDistance,SecondChanceFtPoints,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,BlockingFouls,Loose Ball Fouls Drawn,OffensiveGoaltends,DefFTReboundPct,Arc3FGM,PenaltyArc3FGA,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,BlockingFoulsDrawn,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Corner3Assists,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,2pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Technical Free Throw Trips,on,FTOffRebounds,OffFTReboundPct,Offensive Fouls Drawn,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,3SecondViolations
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,6122.0,102,-55,199,198,54,42,26.0,397,6.0,15.0,1.0,4.0,3.0,9.0,3.0,11.0,6.0,11.0,15.0,37.0,7.0,37.0,237,1.0,6.0,2.0,7.0,15.0,4.0,18.0,22.0,8.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,6.0,5.0,13.0,18.0,9.0,27.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,5.0,9.0,1.0,1.0,1.0,7.0,10.0,3.0,2.0,10.0,5.0,5.0,10.0,4.0,1.0,18.0,54,1.0,2.0,0.7333333333333333,0.7857142857142857,0.40540540540540543,0.16666666666666666,0.4666666666666667,0.40540540540540543,0.16666666666666666,0.4666666666666667,0.44047619047619047,0.16666666666666666,0.5,0.10810810810810811,0.13333333333333333,0.18181818181818182,20.434782608695652,0.2,0.203125,0.06666666666666667,0.2,0.17647058823529413,0.20224719101123595,0.08411214953271028,0.16,0.03333333333333333,0.02857142857142857,0.15384615384615385,0.25,0.11764705882352941,0.19047619047619047,0.2692307692307692,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.4,0.40540540540540543,0.4,0.46153846153846156,0.8333333333333334,0.2972972972972973,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.2972972972972973,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.25,0.6,0.3333333333333333,0.40540540540540543,0.4703432432432432,0.5051,0.48696,0.075,0.075,0.05405405405405406,0.4864864864864865,8.789189189189191,0.271356783919598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
201960,1610612762,DeMarre Carroll,DeMarre Carroll,201960,UTA,1263.0,21,-20,37,39,15,11,7.0,76,1.0,1.0,,,,,,1.0,,1.0,1.0,3.0,,5.0,54,,,,,1.0,,,,2.0,,,1.0,1.0,1.0,2.0,,,,2.0,2.0,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,15,,,,,0.3333333333333333,,,0.35714285714285715,,,0.35714285714285715,,,,,,15.555555555555555,,0.18181818181818182,,,,0.14285714285714285,,,,,,,0.16666666666666666,,0.5,,,,,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,,0.14285714285714285,,,,,,,,0.7142857142857143,0.53935,,0.498325,,,,,10.033333333333333,0.40540540540540543,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.25,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.5,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
202324,1610612762,Derrick Favors,Derrick Favors,202324,UTA,4240.0,71,-12,136,135,52,43,22.0,271,5.0,7.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,4.0,8.0,17.0,12.0,28.0,153,2.0,3.0,10.0,3.0,6.0,4.0,10.0,2.0,14.0,4.0,1.0,,,,,1.0,9.0,1.0,9.0,11.0,10.0,21.0,2.0,1.0,,3.0,,4.0,1.0,2.0,3.0,7.0,,1.0,,12.0,22.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,10.0,52,2.0,2.0,0.125,0.16666666666666666,0.47058823529411764,0.6666666666666666,0.5,0.47058823529411764,0.6666666666666666,0.5,0.5,0.5555555555555556,0.45454545454545453,0.058823529411764705,0.14285714285714285,,19.875776397515526,0.25,0.21428571428571427,0.16071428571428573,0.06666666666666667,0.09090909090909091,0.17543859649122806,0.14925373134328357,0.13333333333333333,0.23529411764705882,0.125,0.125,,0.25,0.25,0.14285714285714285,0.1,,0.25,1.0,0.4117647058823529,0.7142857142857143,0.8333333333333334,0.2,0.35294117647058826,0.3333333333333333,0.3333333333333333,,0.23529411764705882,0.25,0.25,,0.6666666666666666,1.0,0.16666666666666666,1.0,0.4117647058823529,0.4478235294117647,0.4942,0.4225666666666667,0.34615384615384615,0.34615384615384615,0.35714285714285715,0.35714285714285715,8.288235294117648,0.38235294117647056,,,,,,,,,,,,,,,,,,,,,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
202330,1610612762,Gordon Hayward,Gordon Hayward,202330,UTA,7353.0,123,-61,236,237,66,50,30.0,473,1.0,3.0,1.0,1.0,1.0,1.0,,4.0,4.0,14.0,5.0,21.0,16.0,29.0,282,1.0,1.0,2.0,1.0,5.0,4.0,6.0,8.0,2.0,2.0,2.0,10.0,12.0,3.0,26.0,,2.0,2.0,6.0,9.0,2.0,11.0,,2.0,2.0,1.0,,3.0,,2.0,3.0,4.0,,,,9.0,16.0,6.0,2.0,,,,,,,6.0,66,,1.0,0.8,1.0,0.23809523809523808,1.0,0.2,0.19696969696969696,1.0,0.125,0.35365853658536583,1.0,0.3,0.09523809523809523,0.3333333333333333,0.25,16.236162361623617,0.6666666666666666,0.07792207792207792,0.019801980198019802,0.07142857142857142,,0.0761904761904762,0.01652892561983471,,0.02702702702702703,0.02631578947368421,,,0.045454545454545456,0.08,0.1,0.05263157894736842,0.1111111111111111,,,0.09090909090909091,0.3333333333333333,0.5,,0.12121212121212122,,,,0.42424242424242425,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,0.125,1.0,0.45454545454545453,0.442909090909091,0.3649,0.41731874999999996,0.15384615384615385,0.2222222222222222,0.06896551724137931,0.20689655172413793,15.180952380952382,0.2796610169491525,,2.0,,10.0,1.0,12.0,3.0,3.0,,1.0,0.08333333333333333,0.08333333333333333,0.36363636363636365,0.06060606060606061,,,,0.30303030303030304,,24.616666666666664,,1.0,3.0,1.0,2.0,1.0,,,,,,0.16666666666666666,1.0,3.0,10.0,1.0,2.0,2.0,2.0,5.0,1.0,0.1,0.1,1.0,0.375,0.1,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2224,1610612762,Jamaal Tinsley,Jamaal Tinsley,2224,UTA,1231.0,21,-14,39,41,16,13,8.0,80,1.0,2.0,,,1.0,2.0,1.0,2.0,,,2.0,4.0,2.0,6.0,57,,,,1.0,2.0,2.0,4.0,2.0,2.0,,,2.0,3.0,2.0,7.0,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,2.0,,1.0,,,,,,,4.0,16,,1.0,0.5,0.5,0.5,,0.5,0.4,,0.5,0.5,,0.6666666666666666,,,,14.583333333333334,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.5,1.0,0.4,0.5,0.5,,,,,,,,1.0,0.5,0.6,0.48846,,0.5089,,,,0.6666666666666666,5.1,0.41025641025641024,,,,1.0,,1.0,,,,,,,0.2,,,,,0.2,,24.7,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2734,1610612762,Devin Harris,Devin Harris,2734,UTA,6011.0,100,-49,194,192,47,33,22.0,386,4.0,9.0,,,1.0,2.0,4.0,6.0,5.0,12.0,13.0,27.0,8.0,46.0,223,,,3.0,2.0,3.0,2.0,9.0,4.0,22.0,,1.0,9.0,11.0,5.0,24.0,,,1.0,3.0,4.0,,4.0,,6.0,6.0,4.0,,10.0,,2.0,4.0,12.0,2.0,1.0,,10.0,12.0,7.0,,2.0,1.0,,2.0,2.0,,9.0,47,3.0,,0.15384615384615385,0.15384615384615385,0.48148148148148145,,0.6666666666666666,0.48717948717948717,0.5,0.4375,0.5227272727272727,0.5,0.5,0.037037037037037035,0.1111111111111111,,24.545454545454543,0.6,0.045454545454545456,,0.045454545454545456,,0.045454545454545456,,,,,,,0.05555555555555555,0.09523809523809523,,,0.14285714285714285,,1.0,0.23076923076923078,0.4444444444444444,0.5,,0.15384615384615385,0.6666666666666666,0.6666666666666666,0.25,0.3076923076923077,0.4166666666666667,0.4166666666666667,0.2,,,0.25,0.5,0.5384615384615384,0.4677078947368421,0.5605,0.43163571428571423,0.1590909090909091,0.21875,0.06521739130434782,0.1956521739130435,10.707407407407409,0.2422680412371134,,1.0,,11.0,4.0,12.0,5.0,9.0,,0.75,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.02564102564102564,,,,0.28205128205128205,,26.10833333333333,,,2.0,2.0,,2.0,,,1.0,,,,4.0,5.0,11.0,4.0,2.0,2.0,4.0,,,0.36363636363636365,0.36363636363636365,0.75,0.625,0.36363636363636365,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.5,1.0,0.2,,True,,,,,,,,
2744,1610612762,Al Jefferson,Al Jefferson,2744,UTA,6770.0,113,-53,218,217,57,39,27.0,435,6.0,10.0,1.0,3.0,2.0,2.0,13.0,26.0,7.0,17.0,26.0,53.0,1.0,53.0,258,4.0,9.0,9.0,8.0,13.0,,16.0,22.0,30.0,2.0,2.0,7.0,8.0,3.0,17.0,2.0,4.0,8.0,13.0,23.0,6.0,29.0,,3.0,2.0,2.0,,5.0,,1.0,7.0,10.0,,,1.0,1.0,2.0,1.0,,3.0,3.0,,3.0,,,16.0,57,,,0.4230769230769231,0.44,0.49056603773584906,0.4444444444444444,0.6153846153846154,0.49056603773584906,0.4444444444444444,0.6153846153846154,0.49074074074074076,0.45,0.6153846153846154,0.03773584905660377,0.1,0.038461538461538464,23.6,0.6,0.18309859154929578,0.041666666666666664,0.32,0.10526315789473684,0.21875,0.05217391304347826,0.041666666666666664,0.029411764705882353,0.05263157894736842,0.13333333333333333,,0.2631578947368421,0.08695652173913043,0.20689655172413793,0.3333333333333333,0.2857142857142857,,,0.18867924528301888,0.6,0.6666666666666666,0.16666666666666666,0.49056603773584906,0.5,0.52,0.3076923076923077,0.32075471698113206,0.4117647058823529,0.4117647058823529,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.15384615384615385,1.0,0.18867924528301888,0.4381792452830188,0.5062714285714286,0.4185076923076923,0.018518518518518517,0.018518518518518517,0.16981132075471697,0.3018867924528302,10.277358490566037,0.26146788990825687,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,2.0,1.0,,1.0,,1.0,,,0.3333333333333333,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2572,1610612762,Josh Howard,Josh Howard,2572,UTA,3159.0,53,-42,103,104,14,6,8.0,207,2.0,6.0,1.0,3.0,,1.0,1.0,4.0,1.0,3.0,4.0,13.0,4.0,15.0,129,1.0,3.0,2.0,,4.0,,,4.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,5.0,8.0,3.0,11.0,2.0,2.0,2.0,,,2.0,,1.0,2.0,2.0,,,,3.0,5.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,14,,,0.5,0.6666666666666666,0.3076923076923077,0.3333333333333333,,0.36666666666666664,0.3333333333333333,,0.4117647058823529,0.3333333333333333,,0.07692307692307693,,0.25,16.96428571428571,1.0,0.1388888888888889,0.045454545454545456,0.25,0.1111111111111111,0.16666666666666666,0.05660377358490566,,0.05555555555555555,0.06666666666666667,0.14285714285714285,,0.16666666666666666,0.15384615384615385,0.11764705882352941,0.375,,0.2222222222222222,1.0,0.4,0.3333333333333333,0.3333333333333333,0.5,0.26666666666666666,0.25,0.3333333333333333,,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.25,,0.5333333333333333,0.5229066666666666,0.65605,0.496275,0.11764705882352941,0.13333333333333333,0.13333333333333333,,7.8076923076923075,0.13592233009708737,,,,2.0,1.0,2.0,,3.0,,1.0,0.5,0.5,0.13333333333333333,,,,,0.13333333333333333,,24.05,,,2.0,1.0,1.0,,,,,,,,1.0,,2.0,1.0,,,,1.0,1.0,0.5,0.5,1.0,,0.5,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,
201336,1610612762,Blake Ahearn,Blake Ahearn,201336,UTA,111.0,2,2,3,4,3,4,,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
202379,1610612762,Jeremy Evans,Jeremy Evans,202379,UTA,111.0,2,2,3,4,3,4,,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
