EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,OffLongMidRangeReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Offensive Fouls Drawn,BlockedLongMidRange,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Loose Ball Fouls,OffensiveGoaltends,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,Blocked3s,BlockedArc3,on,BlockedCorner3,Defensive 3 Seconds Violations,HeaveAttempts,Clear Path Fouls,DefensiveGoaltends,3SecondViolations
101138,1610612738,Brandon Bass,Brandon Bass,101138,BOS,2905.0,48,-11.0,84,90,24.0,35.0,7.0,174,1.0,2.0,1.0,2.0,2.0,5.0,6.0,9.0,9.0,16.0,1.0,19.0,97,1.0,2.0,1.0,3.0,2.0,2.0,4.0,14.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,7.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,23.0,0.7777777777777778,0.875,0.5625,0.5,1.0,0.5625,0.5,1.0,0.59375,0.75,1.0,19.35483870967742,0.5,0.2,0.12903225806451613,0.034482758620689655,0.2,0.1,0.14634146341463414,0.05128205128205128,0.2,0.14285714285714285,0.2,0.16666666666666666,0.14285714285714285,0.3333333333333333,1.0,0.125,0.5,0.5,0.3125,0.4,0.4,1.0,0.5625,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.5,0.125,0.4391875,0.5771,0.44015,0.0625,0.0625,0.15789473684210525,0.21052631578947367,13.174999999999999,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,6351.0,106,-8.0,201,202,76.0,92.0,19.0,403,5.0,11.0,,1.0,1.0,7.0,2.0,15.0,8.0,33.0,17.0,54.0,207,,3.0,2.0,2.0,2.0,14.0,22.0,2.0,14.0,,8.0,13.0,1.0,31.0,,,2.0,10.0,1.0,13.0,1.0,14.0,4.0,1.0,7.0,4.0,3.0,10.0,,4.0,9.0,,15.0,22.0,,8.0,1.0,,1.0,1.0,22.0,76.0,0.125,0.125,0.24242424242424243,,0.14285714285714285,0.37,,0.29545454545454547,0.4426229508196721,0.25,0.39285714285714285,31.838565022421523,0.7,0.14285714285714285,0.16129032258064516,,0.06896551724137931,,0.13186813186813187,,,,0.15384615384615385,0.125,0.08,,1.0,0.22,0.45454545454545453,0.7142857142857143,0.14,0.14285714285714285,0.16666666666666666,,0.3,0.13333333333333333,0.13333333333333333,,0.3333333333333333,,0.56,0.47718799999999995,0.5046666666666667,0.4552340909090909,0.13793103448275862,0.1951219512195122,0.037037037037037035,0.4074074074074074,10.903030303030304,0.3781094527363184,1.0,4.0,1.0,7.0,16.0,3.0,8.0,7.0,17.0,3.0,8.0,9.0,15.0,6.0,16.0,7.0,5.0,1.0,5.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.7142857142857143,0.4117647058823529,0.375,0.4117647058823529,0.34,0.058823529411764705,0.15151515151515152,0.36363636363636365,0.14285714285714285,0.0625,0.2,0.23529411764705882,0.2,0.02,0.32,0.4375,0.4666666666666667,0.7142857142857143,0.18181818181818182,0.25,0.36363636363636365,0.375,0.4375,25.829411764705885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,4863.0,81,6.0,154,155,52.0,60.0,15.0,309,11.0,20.0,1.0,2.0,3.0,4.0,6.0,11.0,20.0,35.0,9.0,52.0,169,1.0,3.0,,2.0,3.0,4.0,15.0,2.0,38.0,2.0,12.0,19.0,6.0,45.0,1.0,2.0,3.0,2.0,1.0,6.0,3.0,9.0,4.0,3.0,6.0,4.0,,6.0,1.0,,1.0,,7.0,11.0,1.0,3.0,,,,,13.0,50.0,0.05,0.05263157894736842,0.5714285714285714,0.3333333333333333,0.75,0.581081081081081,0.3333333333333333,0.75,0.6190476190476191,0.3333333333333333,0.75,27.586206896551726,1.0,0.16666666666666666,0.04878048780487805,0.03636363636363636,0.13043478260869565,0.0625,0.078125,0.04225352112676056,0.047619047619047616,0.1,,0.1,0.2,,,0.5405405405405406,0.55,0.6111111111111112,0.10810810810810811,0.75,0.75,,0.2972972972972973,0.5454545454545454,0.5454545454545454,0.16666666666666666,0.6666666666666666,0.5,0.5945945945945946,0.5162040540540541,0.5221,0.5717583333333334,0.07692307692307693,0.08108108108108109,0.038461538461538464,0.28846153846153844,7.488571428571429,0.33766233766233766,3.0,4.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,,3.0,2.0,1.0,2.0,,7.0,4.0,3.0,1.0,5.0,,1.0,,2.0,,2.0,,,,,3.0,,,2.0,,0.5,0.5,0.5,0.05405405405405406,,0.05714285714285714,0.1,,,,,,,0.05405405405405406,0.5,0.5,,0.6666666666666666,0.75,0.3333333333333333,0.5,0.5,27.200000000000003,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2039,1610612738,Keyon Dooling,Keyon Dooling,2039,BOS,12693.0,212,,375,373,110.0,135.0,38.0,748,6.0,8.0,,,1.0,4.0,3.0,8.0,10.0,20.0,2.0,55.0,372,1.0,2.0,,8.0,3.0,6.0,16.0,8.0,12.0,,8.0,14.0,2.0,34.0,2.0,,4.0,9.0,,13.0,2.0,15.0,6.0,2.0,2.0,1.0,1.0,3.0,,8.0,30.0,,12.0,3.0,1.0,1.0,4.0,,4.0,2.0,16.0,108.0,0.4,0.4,0.5,0.5,0.5,0.5520833333333334,0.8,0.5769230769230769,0.5612244897959183,0.8,0.5714285714285714,12.38095238095238,0.6666666666666666,,0.06766917293233082,,0.07692307692307693,0.03508771929824561,0.07027027027027027,0.01098901098901099,,0.05263157894736842,0.05405405405405406,0.08928571428571429,0.1,,0.5,0.16666666666666666,0.75,0.8571428571428571,0.08333333333333333,0.25,0.3333333333333333,,0.16666666666666666,0.375,0.42857142857142855,0.3333333333333333,,,0.75,0.5310270833333333,0.5166375,0.5686692307692307,0.020833333333333332,0.05,0.14545454545454545,0.2909090909090909,9.729999999999999,0.29333333333333333,3.0,4.0,11.0,4.0,17.0,,3.0,11.0,28.0,3.0,7.0,1.0,33.0,,17.0,4.0,3.0,1.0,6.0,5.0,1.0,1.0,5.0,,4.0,,1.0,1.0,1.0,,,1.0,,1.0,3.0,4.0,1.0,1.0,0.39285714285714285,0.42857142857142855,0.39285714285714285,0.5833333333333334,0.03571428571428571,0.15,0.125,0.25,,,0.05,0.5,0.22916666666666666,0.3541666666666667,0.23529411764705882,0.23529411764705882,1.0,0.3076923076923077,0.75,0.23076923076923078,,0.23529411764705882,24.60357142857143,,7.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,6.0,1.0,0.6666666666666666,0.125,0.09090909090909091,0.6363636363636364,0.7,1.0,0.2,1.0,1.0,0.4,0.5,1.0,0.3076923076923077,0.75,,,,,,,,,,,,,,,,True,,,,,,
2554,1610612738,Mickael Pietrus,Mickael Pietrus,2554,BOS,8297.0,138,6.0,240,240,73.0,76.0,23.0,480,4.0,4.0,3.0,3.0,,1.0,1.0,3.0,5.0,8.0,3.0,22.0,240,3.0,3.0,2.0,11.0,1.0,1.0,5.0,4.0,6.0,4.0,,,,,1.0,3.0,3.0,9.0,1.0,13.0,4.0,17.0,4.0,3.0,1.0,1.0,3.0,4.0,,8.0,17.0,,6.0,6.0,,1.0,4.0,2.0,4.0,2.0,5.0,71.0,0.4,0.6666666666666666,0.625,1.0,1.0,0.3392857142857143,0.75,0.25,0.3548387096774194,0.7857142857142857,0.35714285714285715,12.686567164179104,0.25,0.08333333333333333,0.10843373493975904,0.0379746835443038,0.08823529411764706,0.02564102564102564,0.10256410256410256,0.03389830508474576,0.05,,,0.14705882352941177,0.08,0.1111111111111111,0.5,0.14285714285714285,1.0,1.0,0.03571428571428571,,,,0.10714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.8571428571428571,0.5496166666666666,0.5610499999999999,0.45125,0.034482758620689655,0.1111111111111111,0.5,0.22727272727272727,8.9375,0.30416666666666664,,,11.0,1.0,9.0,,1.0,3.0,20.0,,3.0,3.0,6.0,3.0,9.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,2.0,1.0,,1.0,0.6666666666666666,0.15,,0.15,0.7142857142857143,0.05,0.125,,1.0,,,0.16666666666666666,0.25,0.39285714285714285,0.32142857142857145,0.1111111111111111,0.1111111111111111,1.0,,,0.25,,0.1111111111111111,24.71,0.06666666666666667,2.0,1.0,2.0,,2.0,,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,,0.09090909090909091,0.18181818181818182,0.2,0.5,0.3333333333333333,0.5,,0.16666666666666666,,,0.5,,1.0,2.0,1.0,0.07692307692307693,0.3333333333333333,,,,,,,,,,,True,,,,,,
2605,1610612738,Marquis Daniels,Marquis Daniels,2605,BOS,2940.0,49,-4.0,82,88,30.0,49.0,10.0,170,3.0,4.0,1.0,1.0,,3.0,1.0,2.0,4.0,9.0,4.0,12.0,80,1.0,2.0,,2.0,1.0,4.0,6.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,3.0,1.0,5.0,1.0,6.0,1.0,1.0,,,2.0,2.0,,3.0,8.0,1.0,4.0,5.0,1.0,3.0,1.0,,1.0,,6.0,30.0,0.25,0.3333333333333333,0.4444444444444444,0.5,0.25,0.36363636363636365,0.5,0.2,0.46153846153846156,0.5,0.42857142857142855,15.957446808510639,,0.3333333333333333,0.09375,0.03333333333333333,0.125,,0.1,0.024390243902439025,0.125,,,0.13333333333333333,0.14285714285714285,,,0.36363636363636365,0.75,1.0,0.2727272727272727,,,,0.18181818181818182,0.5,0.5,,0.5,1.0,0.5454545454545454,0.47732727272727266,0.45375,0.42632000000000003,0.23076923076923078,0.2727272727272727,0.16666666666666666,0.5,7.022222222222222,0.36585365853658536,1.0,2.0,,,2.0,,1.0,,2.0,,1.0,4.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.18181818181818182,,0.1111111111111111,0.25,,,,0.125,0.3333333333333333,,0.18181818181818182,,,,0.4,0.5,0.2,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,10227.0,170,35.0,302,295,87.0,89.0,32.0,597,11.0,18.0,2.0,2.0,8.0,31.0,12.0,27.0,31.0,76.0,22.0,87.0,276,3.0,4.0,2.0,8.0,11.0,23.0,30.0,44.0,18.0,,5.0,8.0,4.0,19.0,3.0,6.0,14.0,26.0,4.0,44.0,10.0,54.0,5.0,4.0,3.0,,7.0,10.0,2.0,5.0,14.0,4.0,26.0,27.0,5.0,14.0,6.0,6.0,6.0,4.0,30.0,85.0,0.7096774193548387,0.7096774193548387,0.40789473684210525,0.75,0.4782608695652174,0.42207792207792205,0.75,0.4782608695652174,0.4943181818181818,0.8,0.5357142857142857,28.908554572271385,0.3,0.36363636363636365,0.23423423423423423,0.061224489795918366,0.30434782608695654,0.06818181818181818,0.25477707006369427,0.06338028169014084,0.04,0.037037037037037035,0.23333333333333334,0.20833333333333334,0.2857142857142857,0.36363636363636365,0.6666666666666666,0.23376623376623376,0.6111111111111112,0.6875,0.4025974025974026,0.25806451612903225,0.25806451612903225,0.375,0.35064935064935066,0.4444444444444444,0.46153846153846156,0.8333333333333334,0.5,1.0,0.24675324675324675,0.4351967532467532,0.5572,0.3898,0.16279069767441862,0.16470588235294117,0.09195402298850575,0.3448275862068966,11.053947368421055,0.28807947019867547,2.0,3.0,,1.0,1.0,,,1.0,1.0,,,8.0,3.0,,1.0,1.0,3.0,,3.0,2.0,1.0,,1.0,1.0,1.0,,3.0,1.0,,,,,1.0,2.0,,1.0,2.0,1.0,1.0,,1.0,0.012987012987012988,,0.039473684210526314,0.1111111111111111,,,0.125,0.2727272727272727,0.8181818181818182,,0.012987012987012988,1.0,1.0,1.0,0.13043478260869565,0.6666666666666666,,,1.0,26.6,0.06060606060606061,,,,,,,,,,,,,0.037037037037037035,,,,,,,,,,,,,,,,0.11764705882352941,1.0,2.0,2.0,0.075,0.04878048780487805,,,,,,,True,,,,,,
951,1610612738,Ray Allen,Ray Allen,951,BOS,6007.0,100,21.0,175,168,43.0,35.0,22.0,343,3.0,6.0,2.0,2.0,,1.0,3.0,4.0,6.0,11.0,14.0,47.0,168,2.0,2.0,2.0,9.0,,1.0,10.0,8.0,4.0,,6.0,8.0,2.0,18.0,,,3.0,10.0,,13.0,,13.0,3.0,2.0,2.0,1.0,2.0,4.0,,2.0,8.0,1.0,10.0,17.0,,4.0,,,,,8.0,42.0,0.6666666666666666,0.6666666666666666,0.5454545454545454,1.0,,0.5892857142857143,0.875,0.75,0.6428571428571429,0.9,0.8333333333333334,19.597989949748744,0.5,,0.14925373134328357,,0.13636363636363635,,0.14606741573033707,,,,0.05555555555555555,0.2692307692307692,0.13333333333333333,0.14285714285714285,,0.21428571428571427,0.5,0.5,0.03571428571428571,,,,0.14285714285714285,0.75,0.75,0.6666666666666666,0.5,1.0,0.8214285714285714,0.5398928571428571,0.6648166666666667,0.48365,0.15151515151515152,0.26666666666666666,0.19148936170212766,0.2127659574468085,8.763636363636364,0.24571428571428572,,,4.0,6.0,13.0,2.0,3.0,7.0,17.0,2.0,3.0,4.0,18.0,3.0,13.0,6.0,,1.0,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,,,,2.0,,1.0,1.0,0.8571428571428571,0.4117647058823529,0.6666666666666666,0.4117647058823529,0.6071428571428571,0.058823529411764705,,,,0.07692307692307693,,0.08695652173913043,0.6666666666666666,0.14285714285714285,0.4642857142857143,0.46153846153846156,0.5,0.8333333333333334,,,0.75,0.6666666666666666,0.46153846153846156,24.58823529411765,,1.0,,1.0,,,1.0,1.0,1.0,2.0,,,0.5,,,0.25,0.25,1.0,0.25,,,0.25,1.0,1.0,,,,1.0,,,0.5,,,,,2.0,1.0,0.05555555555555555,,,,True,,,,,,
200797,1610612738,Ryan Hollins,Ryan Hollins,200797,BOS,4254.0,71,-6.0,114,109,19.0,26.0,13.0,223,3.0,7.0,2.0,3.0,,4.0,,1.0,3.0,12.0,2.0,8.0,104,2.0,4.0,,4.0,,3.0,,2.0,4.0,2.0,3.0,5.0,2.0,12.0,2.0,6.0,2.0,1.0,2.0,5.0,8.0,13.0,,,,,2.0,2.0,,4.0,11.0,,7.0,4.0,,2.0,3.0,1.0,3.0,3.0,,19.0,0.3333333333333333,0.5,0.25,0.5,,0.25,0.5,,0.2857142857142857,0.4,,12.121212121212121,,0.3333333333333333,0.0196078431372549,0.15,0.13333333333333333,0.07692307692307693,0.045454545454545456,0.12121212121212122,0.38461538461538464,,0.06666666666666667,,0.15384615384615385,,1.0,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,0.08333333333333333,,,,0.75,0.6666666666666666,0.5833333333333334,0.5399916666666666,0.576,0.3511666666666667,0.14285714285714285,0.14285714285714285,0.5,,4.266666666666667,0.16666666666666666,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,2.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222222222222222,,,1.0,0.058823529411764705,0.125,,,,1.0,,,True,,,,,,
202340,1610612738,Avery Bradley,Avery Bradley,202340,BOS,1550.0,26,4.0,48,44,8.0,13.0,5.0,92,2.0,3.0,,,,1.0,2.0,3.0,4.0,7.0,3.0,11.0,42,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,4.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,2.0,4.0,,2.0,,,,,2.0,8.0,0.5,0.5,0.5714285714285714,1.0,1.0,0.5,1.0,1.0,0.55,1.0,1.0,19.23076923076923,,,,,,,,,,,,,,,,0.375,0.6666666666666666,0.6666666666666666,0.125,,,,0.375,0.6666666666666666,0.6666666666666666,0.5,,,0.5,0.45394375,0.3746,0.3746,0.2,0.2222222222222222,0.18181818181818182,0.18181818181818182,10.085714285714287,0.16666666666666666,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,0.125,,,,,,,,0.5,0.125,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
