EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,BlockingFouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,Arc3Assists,LongMidRangeAssists,Charge Fouls Drawn,BlockingFoulsDrawn,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffThreePtRebounds,FTDefRebounds,LostBallSteals,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,LiveBallTurnovers,BadPassTurnovers,LongMidRangePctBlocked,LiveBallTurnoverPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyFG3A,FTOffRebounds,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,OffFTReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PtsUnassisted3s,ShortMidRangeAssists,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,on,SecondChanceTurnovers,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Travels,PenaltyCorner3Accuracy,Charge Fouls
1713,1610612742,Vince Carter,Vince Carter,1713,DAL,819.0,14,-11.0,24,25,6,6,2,49,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2,1.0,2.0,5.0,34.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,4,1.0,1.0,1.0,2.0,2.0,2.0,6,1.0,1.0,0.5,0.5,0.5,1.0,0.625,0.5,0.625,0.5,0.5,15.384615384615383,0.375,0.08333333333333333,0.2727272727272727,0.06666666666666667,0.25,0.2,0.5,1.0,0.25,1.0,1.0,0.25,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.446225,0.422575,0.4,13.75,27.1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,3510.0,58,,108,111,16,10,16,219,5.0,16.0,8.0,1.0,2.0,,16.0,34,1.0,2.0,42.0,123.0,4.0,7.0,,9.0,18.0,3.0,2.0,1.0,1.0,3.0,6.0,1.0,7,2.0,2.0,2.0,3.0,8.0,2.0,16,,1.0,0.5,0.5,0.47058823529411764,0.5714285714285714,0.4861111111111111,0.5714285714285714,0.5263157894736842,0.6428571428571429,0.05555555555555555,30.46875,0.08333333333333333,0.020833333333333332,0.125,0.01694915254237288,,0.2,0.09090909090909091,,0.4444444444444444,0.3125,0.38461538461538464,0.2222222222222222,0.05555555555555555,0.5,0.5,1.0,,0.3333333333333333,0.5,0.45572361111111115,0.4676166666666666,0.21428571428571427,8.83235294117647,25.25,0.14814814814814814,4.0,10.0,1.0,2.0,1.0,2.0,7.0,7.0,1.0,4.0,6.0,3.0,11.0,14.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,3.0,11.0,0.4375,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.14705882352941177,0.2,0.1875,0.25,0.05,0.3,0.07142857142857142,0.2777777777777778,0.4,0.5,0.5,0.4,0.875,0.875,0.42857142857142855,0.2857142857142857,0.5,1.0,0.3333333333333333,0.5,0.4547833333333333,0.07894736842105263,0.08333333333333333,0.2619047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,2102.0,35,7.0,64,65,17,11,8,129,2.0,2.0,4.0,1.0,2.0,,3.0,7,2.0,3.0,13.0,69.0,1.0,1.0,,2.0,2.0,6.0,2.0,1.0,,1.0,2.0,,2,,,,,2.0,,17,,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,1.0,0.6,1.0,0.5909090909090909,1.0,0.3,15.277777777777779,0.05263157894736842,,0.07142857142857142,,,0.16666666666666666,,,0.2,1.0,1.0,0.4,0.2,0.5,0.5,1.0,,0.4,0.5,0.488805,0.4056,0.15384615384615385,12.514285714285714,24.866666666666664,0.265625,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,2.0,4.0,,,1.0,2.0,3.0,,,8.0,1.0,,,,,,,2.0,,,1.0,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,,,,0.1111111111111111,,0.125,,0.1,1.0,1.0,1.0,0.5,,,,,,,1.0,1.0,0.7453,0.09090909090909091,0.125,0.15384615384615385,1.0,1.0,2.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2217,1610612742,Brendan Haywood,Brendan Haywood,2217,DAL,3680.0,61,-5.0,113,116,17,11,16,229,,1.0,1.0,,,,4.0,14,,,13.0,131.0,3.0,4.0,,7.0,6.0,,,,6.0,3.0,6.0,7.0,13,1.0,,4.0,8.0,4.0,,17,,,,,0.2857142857142857,0.75,0.2857142857142857,0.75,0.3611111111111111,0.7,,15.037593984962406,0.08108108108108109,0.12,0.09803921568627451,0.1111111111111111,0.1111111111111111,,,0.2,0.07142857142857142,,,0.07142857142857142,,,,,,0.8571428571428571,,0.5310357142857143,0.5429,0.5384615384615384,2.814285714285714,,0.1504424778761062,4.0,12.0,3.0,3.0,1.0,2.0,,5.0,1.0,1.0,2.0,,2.0,2.0,6.0,5.0,1.0,,1.0,,1.0,2.0,2.0,,,2.0,2.0,,,8.0,,,4.0,2.0,0.25,1.0,0.5,0.5,0.5,0.35714285714285715,0.3333333333333333,1.0,0.14285714285714285,0.09523809523809523,0.16666666666666666,,0.8571428571428571,0.3333333333333333,0.5,0.25,,,,,0.75,1.0,,1.0,0.5,0.6563,0.2222222222222222,0.2222222222222222,0.15384615384615385,,,,,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.5,0.07692307692307693,0.18181818181818182,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2753,1610612742,Delonte West,Delonte West,2753,DAL,2227.0,37,-18.0,68,71,5,5,10,139,,2.0,3.0,,,,4.0,9,1.0,1.0,11.0,88.0,,,,,6.0,3.0,,,,2.0,2.0,,2,2.0,,1.0,1.0,1.0,,5,,1.0,1.0,1.0,0.4444444444444444,,0.55,,0.55,,0.1,13.414634146341465,0.08,,0.06451612903225806,,,0.1111111111111111,,0.1,0.2,,,0.3,,,,,,0.5,,0.504965,,,7.466666666666665,23.6,0.07352941176470588,4.0,4.0,,,1.0,1.0,,,,1.0,2.0,,2.0,2.0,,1.0,2.0,2.0,4.0,1.0,2.0,10.0,,,,,1.0,,,,,,,2.0,0.25,0.25,0.5,0.5,0.5,0.1111111111111111,,,,,,,0.4,1.0,1.0,0.25,,,,,,,,0.5,1.0,0.51425,,,0.18181818181818182,1.0,1.0,1.0,,,,0.1,1.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,3031.0,51,1.0,94,96,12,6,14,190,5.0,8.0,1.0,1.0,3.0,,6.0,13,3.0,8.0,24.0,105.0,1.0,2.0,1.0,2.0,10.0,9.0,3.0,1.0,1.0,7.0,10.0,2.0,12,,,3.0,6.0,5.0,,12,,1.0,0.375,0.375,0.46153846153846156,0.5,0.5,0.3333333333333333,0.5217391304347826,0.3333333333333333,0.38095238095238093,24.999999999999996,0.23333333333333334,0.025,0.20930232558139536,0.019230769230769232,0.07142857142857142,0.4,0.18181818181818182,0.21428571428571427,0.38095238095238093,0.625,0.7142857142857143,0.047619047619047616,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,0.5714285714285714,0.3333333333333333,0.5130333333333335,0.5162833333333333,0.08333333333333333,6.6,23.45,0.1276595744680851,1.0,4.0,,1.0,,1.0,,3.0,,,2.0,,,2.0,,2.0,,,,,,,2.0,,1.0,2.0,5.0,,,4.0,,,1.0,,0.16666666666666666,0.16666666666666666,,,,0.15384615384615385,0.25,0.125,0.15384615384615385,,0.09090909090909091,,0.19047619047619047,0.25,0.3333333333333333,1.0,,,,,0.3333333333333333,,,0.3333333333333333,,0.5603833333333333,0.045454545454545456,0.07142857142857142,,2.0,5.0,,,,,0.23809523809523808,0.4,0.4,1.0,,1.0,,,1.0,,2.0,1.0,0.5,,,,0.5,3.0,2.0,,0.6,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,3031.0,51,1.0,94,96,12,6,14,190,,1.0,1.0,3.0,7.0,1.0,2.0,7,4.0,9.0,18.0,105.0,,1.0,1.0,,4.0,6.0,7.0,3.0,2.0,6.0,8.0,2.0,10,4.0,2.0,,1.0,3.0,,12,,0.5,0.4444444444444444,0.4444444444444444,0.2857142857142857,,0.5,,0.5294117647058824,,0.5625,17.857142857142854,0.2,0.05,0.18604651162790697,0.038461538461538464,,,0.2727272727272727,0.21428571428571427,0.0625,,,0.0625,0.4375,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.5,0.875,0.42857142857142855,0.53533125,0.414,,5.5,24.41111111111111,0.1276595744680851,1.0,5.0,,,,,1.0,2.0,,,,,3.0,,,2.0,7.0,5.0,12.0,3.0,2.0,29.0,2.0,,,,3.0,,,3.0,,,,3.0,,,,0.5,0.5,0.2857142857142857,0.4,,0.15384615384615385,0.05,0.18181818181818182,,0.3125,0.2,0.3333333333333333,,,1.0,1.0,,,,,,,0.5743,0.058823529411764705,,0.16666666666666666,1.0,2.0,2.0,2.0,,,0.125,0.5,0.5,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,0.16666666666666666,,1.0,3.0,3.0,,1.0,,,3.0,,,,,,,,,,,,,,1.0,3.0,1.0,6.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.1,True,,,,,,,,,
101133,1610612742,Ian Mahinmi,Ian Mahinmi,101133,DAL,4208.0,70,11.0,134,134,49,18,13,268,2.0,3.0,1.0,,,,9.0,14,,,29.0,136.0,2.0,4.0,,6.0,2.0,,,,7.0,7.0,9.0,9.0,18,3.0,1.0,11.0,13.0,11.0,1.0,49,,,,,0.6428571428571429,0.5,0.6428571428571429,0.5,0.725,0.6,,14.18918918918919,0.15217391304347827,0.1794871794871795,0.140625,0.14754098360655737,0.21428571428571427,0.14285714285714285,0.125,0.1875,0.21428571428571427,0.6666666666666666,1.0,0.07142857142857142,,,,,,0.7142857142857143,,0.5535071428571429,0.58265,0.20689655172413793,3.1357142857142857,,0.3656716417910448,6.0,10.0,2.0,3.0,2.0,2.0,1.0,11.0,2.0,2.0,2.0,5.0,9.0,16.0,2.0,4.0,,,,,,,2.0,,,1.0,1.0,,,13.0,1.0,,4.0,9.0,0.8888888888888888,1.0,1.0,1.0,0.9,0.2857142857142857,0.3,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.14285714285714285,,0.7142857142857143,0.6,0.8571428571428571,0.8333333333333334,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.5,1.0,1.0,0.6805,0.23529411764705882,0.23529411764705882,0.3103448275862069,,,,,1.0,,,,,,2.0,,2.0,1.0,3.0,2.0,3.0,3.0,,0.09090909090909091,0.18181818181818182,0.05555555555555555,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,False,1.0,1.0,3.0,0.25,,,,,
1713,1610612742,Vince Carter,Vince Carter,1713,DAL,5601.0,93,-25.0,182,178,67,49,23,360,2.0,8.0,8.0,,4.0,,8.0,29,2.0,8.0,28.0,191.0,,2.0,,1.0,14.0,6.0,4.0,,3.0,6.0,14.0,4.0,18,4.0,1.0,5.0,9.0,12.0,,67,,1.0,0.25,0.25,0.27586206896551724,,0.2972972972972973,,0.34146341463414637,0.16666666666666666,0.21621621621621623,22.815533980582522,0.11764705882352941,0.046875,0.16666666666666666,0.0449438202247191,0.1111111111111111,,0.1,0.22727272727272727,0.21621621621621623,0.25,0.2857142857142857,0.21621621621621623,0.10810810810810811,,,,,0.5675675675675675,,0.47948783783783777,0.5502,0.03571428571428571,8.26206896551724,23.924999999999997,0.36813186813186816,5.0,13.0,,1.0,1.0,3.0,1.0,6.0,1.0,2.0,7.0,2.0,12.0,2.0,,2.0,,1.0,1.0,1.0,,3.0,7.0,2.0,1.0,4.0,6.0,1.0,,8.0,,,3.0,12.0,0.125,0.125,0.2857142857142857,0.5,0.5454545454545454,0.06896551724137931,0.07692307692307693,0.125,0.25925925925925924,,0.2608695652173913,0.08,0.35135135135135137,0.38461538461538464,0.4166666666666667,0.2,,0.125,0.125,,0.5,,,0.3,0.3333333333333333,0.43436,0.075,0.09375,0.42857142857142855,2.0,4.0,,,1.0,,0.10810810810810811,0.5,0.5,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.2,0.04,,0.05263157894736842,1.0,2.0,1.0,,0.3333333333333333,,2.0,3.0,,1.0,2.0,2.0,1.0,,,,,,0.25,,0.2,,1.0,2.0,,,,0.6666666666666666,0.1,,,False,,,1.0,,2.0,1.0,1.0,1.0,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,5706.0,95,-28.0,182,180,96,49,22,362,8.0,21.0,7.0,,4.0,,17.0,37,,4.0,65.0,220.0,2.0,4.0,,10.0,20.0,,4.0,,1.0,8.0,16.0,2.0,18,1.0,,3.0,6.0,22.0,1.0,96,,,,,0.4594594594594595,0.5,0.4146341463414634,0.5,0.5803571428571429,0.7142857142857143,0.0975609756097561,31.862745098039216,0.17777777777777778,0.0196078431372549,0.1917808219178082,0.025974025974025976,,0.3076923076923077,0.23076923076923078,0.05263157894736842,0.5121951219512195,0.38095238095238093,0.4,0.17073170731707318,0.0975609756097561,,,,,0.3170731707317073,,0.460929268292683,0.4753,0.15384615384615385,9.072972972972973,24.425,0.5274725274725275,5.0,9.0,,1.0,2.0,5.0,4.0,31.0,6.0,8.0,18.0,24.0,40.0,14.0,,3.0,1.0,4.0,5.0,2.0,1.0,14.0,6.0,,1.0,4.0,9.0,,,35.0,5.0,,12.0,40.0,0.4117647058823529,0.4117647058823529,0.4444444444444444,0.38095238095238093,0.6060606060606061,0.08108108108108109,0.2222222222222222,0.047619047619047616,0.21428571428571427,0.058823529411764705,0.18181818181818182,,0.21951219512195122,0.5555555555555556,0.7142857142857143,0.2,0.375,0.5714285714285714,0.5714285714285714,0.75,0.25,,,0.23809523809523808,0.4,0.46322380952380954,0.25,0.2727272727272727,0.6153846153846154,,,2.0,,,2.0,,,,,1.0,2.0,1.0,2.0,,,,,0.5,0.038461538461538464,,,,5.0,1.0,,0.5555555555555556,,,3.0,,4.0,6.0,,8.0,,,,,,0.3333333333333333,,,,3.0,,,,,,0.14285714285714285,,,False,,,8.0,0.14285714285714285,,,,,1.0
