EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,OpponentPoints,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,FTDefRebounds,LostBallSteals,BlockingFouls,DefFTReboundPct,LongMidRangePctAssisted,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFtPoints,HeaveAttempts,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,Charge Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,SelfORebPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,on,BlockedLongMidRange
101144,1610612753,Von Wafer,Von Wafer,101144,ORL,81.0,1,-3,2,3,1,5,5,1.0,1.0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,4176.0,70,-16,128,131,44,259,140,3.0,3.0,44,0.34375,44.0,17.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,10.0,1.0,5.0,4.0,11.0,3.0,13.0,8.0,25.0,1.0,3.0,1.0,6.0,1.0,6.0,8.0,3.0,6.0,10.0,2.0,4.0,4.0,8.0,3.0,1.0,4.0,20.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,9.0,1.0,4.0,1.0,6.0,1.0,0.3333333333333333,0.23076923076923078,0.16666666666666666,0.23076923076923078,0.36363636363636365,0.3333333333333333,0.3541666666666667,0.2777777777777778,0.44642857142857145,0.3,0.5416666666666666,20.0,0.5,0.07142857142857142,0.047619047619047616,0.06349206349206349,0.06666666666666667,0.13333333333333333,0.2,0.16666666666666666,0.5,0.5,0.125,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.25,0.125,0.3333333333333333,0.3333333333333333,1.0,0.4166666666666667,0.2,0.2,0.1111111111111111,0.5555555555555556,0.2,0.7083333333333334,0.2,0.5005291666666666,0.4738166666666667,0.14814814814814814,0.2857142857142857,0.24,9.163636363636364,25.26153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
201583,1610612753,Ryan Anderson,Ryan Anderson,201583,ORL,9014.0,150,-36,265,262,51,527,297,5.0,17.0,50,0.19245283018867926,40.0,32.0,2.0,8.0,,,,3.0,3.0,10.0,2.0,6.0,16.0,1.0,2.0,2.0,11.0,9.0,26.0,4.0,35.0,,3.0,2.0,4.0,2.0,8.0,2.0,27.0,,16.0,6.0,1.0,2.0,3.0,2.0,,1.0,8.0,3.0,10.0,13.0,19.0,3.0,1.0,4.0,1.0,7.0,3.0,14.0,5.0,1.0,3.0,,8.0,,1.0,0.34615384615384615,0.5,0.34615384615384615,0.18181818181818182,,0.4189189189189189,0.42857142857142855,0.44871794871794873,0.5,0.7027027027027027,15.032679738562091,0.42857142857142855,0.10416666666666667,0.08823529411764706,0.1,0.08108108108108109,0.10714285714285714,,0.21621621621621623,0.25,0.5,,,,0.08108108108108109,,,0.2702702702702703,0.3,0.3,1.0,0.43243243243243246,0.375,0.4,0.2857142857142857,0.2857142857142857,0.5,0.918918918918919,0.375,0.5392986486486486,0.4858857142857143,0.07692307692307693,0.23076923076923078,0.22857142857142856,6.663636363636363,24.76153846153846,1.0,5.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,3.0,3.0,6.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.16666666666666666,0.35714285714285715,0.35714285714285715,0.038461538461538464,0.36363636363636365,0.5,0.0625,0.03125,0.06,0.0410958904109589,0.030303030303030304,0.045454545454545456,0.024390243902439025,0.05263157894736842,0.08333333333333333,0.12903225806451613,0.13636363636363635,0.5,1.0,0.7142857142857143,0.2,0.14285714285714285,1.0,1.0,0.42857142857142855,0.5,0.5564,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
2047,1610612753,Quentin Richardson,Quentin Richardson,2047,ORL,2354.0,39,-3,72,75,27,147,68,2.0,5.0,27,0.375,34.0,9.0,,,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,3.0,,2.0,1.0,1.0,,2.0,,2.0,,,,2.0,,,,,,,,,1.0,3.0,10.0,10.0,1.0,,1.0,,2.0,,1.0,,,,,2.0,,,,,,1.0,1.0,0.25,0.3333333333333333,0.25,0.3333333333333333,0.75,7.228915662650603,0.5,0.1111111111111111,0.09090909090909091,0.10526315789473684,0.16666666666666666,,,,,,,,,0.25,1.0,1.0,0.25,,,,0.5,,,0.3333333333333333,0.3333333333333333,,0.75,,0.509875,0.5145333333333334,,,1.0,18.9,24.333333333333332,,,,,,,1.0,1.0,,,2.0,2.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,0.125,0.14285714285714285,,,,,,,,,,0.4525,1.0,6.0,1.0,1.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,10898.0,182,-47,317,318,68,635,356,7.0,13.0,67,0.21451104100946372,70.0,43.0,8.0,16.0,7.0,17.0,6.0,16.0,,1.0,,8.0,24.0,1.0,7.0,21.0,49.0,8.0,25.0,12.0,78.0,2.0,7.0,1.0,7.0,4.0,11.0,40.0,12.0,12.0,23.0,8.0,19.0,14.0,33.0,12.0,2.0,9.0,80.0,7.0,11.0,18.0,19.0,8.0,1.0,2.0,5.0,10.0,3.0,21.0,16.0,1.0,4.0,3.0,9.0,1.0,0.5,0.32,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.44594594594594594,0.25,0.48148148148148145,0.34375,0.33783783783783783,24.462365591397848,0.8,0.09565217391304348,0.16666666666666666,0.11464968152866242,0.11627906976744186,0.08333333333333333,0.07692307692307693,0.21621621621621623,0.5,0.5,0.22972972972972974,0.4117647058823529,0.4666666666666667,0.21621621621621623,0.375,0.375,0.013513513513513514,,,,0.32432432432432434,0.3333333333333333,0.3333333333333333,,0.5,0.14285714285714285,0.5540540540540541,0.34782608695652173,0.4645897260273972,0.46131153846153844,0.0641025641025641,0.07692307692307693,0.14102564102564102,10.110204081632654,26.572,1.0,2.0,2.0,,1.0,,3.0,5.0,,2.0,9.0,2.0,,2.0,,,1.0,1.0,4.0,4.0,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,0.047619047619047616,0.047619047619047616,,0.6,0.42857142857142855,0.5625,,0.04081632653061224,,,0.008403361344537815,,0.005434782608695652,,,0.019230769230769232,,,0.08333333333333333,0.20689655172413793,,0.5,0.2857142857142857,0.5,0.14285714285714285,,,0.14285714285714285,,0.5139250000000001,0.11538461538461539,,,,,,1.0,1.0,3.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,0.11764705882352941,0.024390243902439025,0.14285714285714285,0.14285714285714285,0.5,0.038461538461538464,,,,,,,,,,,,,True,
201175,1610612753,Glen Davis,Glen Davis,201175,ORL,9113.0,152,-32,265,264,39,529,294,5.0,8.0,38,0.1471698113207547,50.0,42.0,16.0,33.0,6.0,10.0,7.0,27.0,,,,,,,,29.0,70.0,,,15.0,73.0,4.0,8.0,,,5.0,13.0,12.0,,,,,1.0,3.0,4.0,3.0,,1.0,11.0,6.0,12.0,21.0,42.0,3.0,,3.0,1.0,6.0,2.0,15.0,20.0,2.0,11.0,,13.0,,,,,,0.4142857142857143,0.5,0.4142857142857143,0.5,0.4620253164556962,0.5909090909090909,,26.813880126182966,0.5,0.12,0.1935483870967742,0.13740458015267176,0.1111111111111111,0.15151515151515152,0.2,0.4714285714285714,0.48484848484848486,0.8421052631578947,0.14285714285714285,0.6,0.6666666666666666,0.38571428571428573,0.25925925925925924,0.25925925925925924,,,,,,,,,,,0.4714285714285714,,0.4632014285714285,0.554425,0.13924050632911392,0.13924050632911392,0.1780821917808219,9.095714285714283,,4.0,8.0,7.0,,,,6.0,14.0,,,18.0,46.0,2.0,15.0,,9.0,12.0,21.0,3.0,3.0,2.0,,1.0,,1.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,0.7931034482758621,0.8214285714285714,,0.42857142857142855,0.42857142857142855,0.5294117647058824,,0.21428571428571427,0.42424242424242425,,0.10619469026548672,0.17307692307692307,0.12727272727272726,0.14634146341463414,0.13043478260869565,0.061224489795918366,0.1891891891891892,0.13333333333333333,0.0967741935483871,0.19047619047619047,0.8125,,0.5714285714285714,0.5,,,,0.875,,0.4536166666666666,0.2465753424657534,3.0,,,0.3,1.0,4.0,,6.0,,,,,,,,1.0,0.1,,0.5,,0.5714285714285714,,1.0,3.0,0.6,0.5,,,,,,,,,True,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,8276.0,138,-35,236,234,38,470,272,5.0,13.0,37,0.16101694915254236,30.0,31.0,6.0,11.0,,6.0,3.0,8.0,,,,5.0,10.0,1.0,3.0,9.0,25.0,5.0,10.0,4.0,37.0,1.0,3.0,1.0,3.0,2.0,7.0,10.0,12.0,3.0,10.0,5.0,8.0,2.0,10.0,1.0,1.0,4.0,22.0,2.0,4.0,9.0,13.0,3.0,1.0,3.0,1.0,6.0,,7.0,7.0,,2.0,,7.0,,0.8,0.5,0.3333333333333333,0.5,0.36,0.3333333333333333,0.4714285714285714,0.4166666666666667,0.4868421052631579,0.5,0.2857142857142857,15.884476534296029,0.5,0.046511627906976744,0.0625,0.05084745762711865,0.03125,0.10714285714285714,0.2,0.3142857142857143,0.5454545454545454,0.6,0.17142857142857143,,,0.22857142857142856,0.375,0.375,,,,,0.2857142857142857,0.5,0.5,,0.5,0.3333333333333333,0.6,0.5,0.45657285714285717,0.5016333333333334,0.07894736842105263,0.07407407407407407,0.1891891891891892,8.768,25.669999999999998,1.0,2.0,3.0,,,,2.0,3.0,2.0,2.0,10.0,8.0,2.0,1.0,,,3.0,4.0,3.0,1.0,2.0,,,,,,1.0,1.0,3.0,2.0,4.0,3.0,0.4444444444444444,0.5,1.0,0.6666666666666666,1.0,1.0,,0.04,0.09090909090909091,,0.031914893617021274,,0.021739130434782608,0.0625,,0.023809523809523808,,,,,0.3333333333333333,0.8,0.4,0.5,,,,0.5,,0.4143333333333333,0.2702702702702703,3.0,2.0,,0.42857142857142855,0.6666666666666666,1.0,2.0,,,1.0,3.0,,,,1.0,1.0,,,,0.4,0.3333333333333333,0.09090909090909091,2.0,1.0,0.25,,2.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,,True,
2202,1610612753,Jason Richardson,Jason Richardson,2202,ORL,8456.0,141,-32,240,239,42,479,276,4.0,7.0,41,0.175,45.0,34.0,5.0,7.0,1.0,5.0,3.0,11.0,1.0,6.0,1.0,9.0,19.0,1.0,5.0,9.0,23.0,10.0,25.0,5.0,53.0,,1.0,1.0,6.0,3.0,6.0,6.0,27.0,3.0,19.0,9.0,3.0,2.0,5.0,1.0,1.0,2.0,12.0,2.0,12.0,15.0,19.0,3.0,1.0,3.0,1.0,6.0,2.0,8.0,12.0,,2.0,1.0,6.0,1.0,0.9,0.4,0.16666666666666666,0.4,0.391304347826087,,0.5,0.21428571428571427,0.5,0.3333333333333333,0.5208333333333334,20.921985815602838,0.5,0.1348314606741573,0.06666666666666667,0.11764705882352941,0.0967741935483871,0.16129032258064516,,0.14583333333333334,0.7142857142857143,1.0,0.10416666666666667,0.2,0.2,0.22916666666666666,0.2727272727272727,0.2727272727272727,0.125,0.16666666666666666,0.16666666666666666,1.0,0.3958333333333333,0.47368421052631576,0.47368421052631576,0.14285714285714285,0.7142857142857143,0.2,0.6666666666666666,0.47368421052631576,0.48032291666666665,0.49480714285714283,0.07692307692307693,0.08,0.11320754716981132,11.356521739130434,25.156000000000002,,,1.0,,3.0,,,2.0,2.0,6.0,6.0,12.0,,2.0,,2.0,2.0,4.0,6.0,5.0,2.0,,,,1.0,,,,2.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.375,0.375,,0.08695652173913043,0.2857142857142857,,0.02197802197802198,0.0392156862745098,0.028169014084507043,0.034482758620689655,,0.022727272727272728,0.05263157894736842,,0.14814814814814814,0.1,0.8,0.8888888888888888,,,0.375,,,0.14285714285714285,,0.5196642857142858,0.11320754716981132,1.0,1.0,,0.14285714285714285,0.3333333333333333,,3.0,,,1.0,,,,,2.0,,,,1.0,0.375,,0.07407407407407407,1.0,1.0,0.5,,2.0,,,,,0.6666666666666666,1.0,1.0,True,
201947,1610612753,Earl Clark,Earl Clark,201947,ORL,2013.0,34,-27,57,61,29,118,68,3.0,4.0,29,0.5087719298245614,34.0,7.0,2.0,5.0,,1.0,,3.0,,,,,,,,2.0,9.0,,,2.0,6.0,1.0,3.0,,,1.0,3.0,2.0,,,,,1.0,,1.0,,,,2.0,1.0,7.0,8.0,12.0,2.0,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3,0.375,,17.64705882352941,1.0,0.3684210526315789,0.1111111111111111,0.2857142857142857,0.4444444444444444,,,0.5555555555555556,0.4,0.5,0.1111111111111111,,,0.3333333333333333,,,,,,,,,,,,,0.5555555555555556,,0.4489555555555555,0.4831666666666667,0.1111111111111111,0.1111111111111111,0.5,8.455555555555556,,,2.0,3.0,,,,,3.0,,,,2.0,,2.0,,,4.0,4.0,1.0,,1.0,,,,,,,,,,,,0.5,0.5,,,,,,0.2222222222222222,0.2,,0.19047619047619047,,0.11428571428571428,0.3333333333333333,0.3333333333333333,0.08333333333333333,,,0.375,0.125,0.5,,0.6666666666666666,,,,,1.0,,0.4434333333333333,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,True,
202350,1610612753,Daniel Orton,Daniel Orton,202350,ORL,109.0,2,-4,3,3,1,6,4,,1.0,1,0.3333333333333333,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
