EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,OffCorner3ReboundPct,BlockingFouls,SecondChanceArc3FGM,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,OffensiveGoaltends,Arc3PctBlocked,on,HeaveAttempts,BlockedArc3
101138,1610612738,Brandon Bass,Brandon Bass,101138,BOS,24893.0,415,59,771,764,140,121,70,1535,19.0,35.0,6.0,13.0,7.0,15.0,7.0,17.0,23.0,53.0,49.0,105.0,42.0,140.0,727,8.0,17.0,4.0,20.0,10.0,23.0,5.0,25.0,72.0,26.0,8.0,9.0,7.0,4.0,11.0,2.0,2.0,1.0,3.0,3.0,26.0,2.0,13.0,1.0,12.0,36.0,9.0,57,16.0,73,1.0,8.0,5.0,3.0,4.0,1.0,2.0,6.0,2.0,1.0,10.0,2.0,2.0,17.0,37,1.0,2.0,3.0,30.0,2.0,1.0,47.0,1.0,23.0,1.0,6.0,1.0,5.0,1.0,1.0,7.0,5.0,1.0,25.0,138,3.0,0.7346938775510204,0.8,0.4666666666666667,0.47058823529411764,0.43478260869565216,0.4666666666666667,0.47058823529411764,0.43478260869565216,0.546875,0.5263157894736842,0.4807692307692308,0.08571428571428572,0.17142857142857143,0.11764705882352941,0.018867924528301886,16.27358490566038,0.4,0.4090909090909091,0.07142857142857142,0.12162162162162163,0.04642857142857143,0.12121212121212122,0.02631578947368421,0.12151898734177215,0.042134831460674156,0.08333333333333333,0.013513513513513514,0.04477611940298507,0.0392156862745098,0.14772727272727273,0.11235955056179775,0.1092436974789916,0.14492753623188406,0.06666666666666667,0.02127659574468085,0.7142857142857143,0.3333333333333333,0.5428571428571428,0.6551724137931034,0.42105263157894735,0.1619047619047619,0.4117647058823529,0.4666666666666667,0.8571428571428571,0.5047619047619047,0.4339622641509434,0.4423076923076923,0.9565217391304348,0.7647058823529411,0.46153846153846156,0.6521739130434783,0.4666666666666667,0.3333333333333333,0.478924761904762,0.5353307692307693,0.5506217391304348,0.18110236220472442,0.18110236220472442,0.14285714285714285,0.17857142857142858,11.139047619047618,0.1815823605706874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,35106.0,585,84,1097,1080,257,237,98,2177,33.0,55.0,3.0,6.0,7.0,13.0,9.0,29.0,19.0,61.0,61.0,145.0,72.0,266.0,1006,3.0,11.0,7.0,19.0,11.0,34.0,23.0,69.0,56.0,66.0,2.0,14.0,43.0,8.0,51.0,2.0,6.0,10.0,10.0,23.0,110.0,1.0,7.0,1.0,17.0,67.0,7.0,91,9.0,100,6.0,22.0,13.0,9.0,20.0,1.0,13.0,19.0,7.0,3.0,39.0,,5.0,24.0,53,6.0,2.0,2.0,66.0,1.0,,83.0,11.0,37.0,6.0,16.0,,10.0,,4.0,16.0,12.0,1.0,67.0,252,4.0,0.45901639344262296,0.4666666666666667,0.4206896551724138,0.2727272727272727,0.3235294117647059,0.45539906103286387,0.3333333333333333,0.4339622641509434,0.5364372469635628,0.4318181818181818,0.5390625,0.09655172413793103,0.14545454545454545,0.1724137931034483,0.01639344262295082,23.655913978494624,0.5128205128205128,0.25,0.05,0.15876777251184834,0.01837270341207349,0.11805555555555555,0.008064516129032258,0.14840989399293286,0.015841584158415842,0.02912621359223301,0.01904761904761905,0.011560693641618497,0.011363636363636364,0.1623931623931624,0.13114754098360656,0.17486338797814208,0.1346153846153846,0.075,0.05405405405405406,0.75,0.25821596244131456,0.6,0.7021276595744681,0.5757575757575758,0.13615023474178403,0.3103448275862069,0.375,0.2222222222222222,0.2863849765258216,0.3114754098360656,0.31666666666666665,0.3684210526315789,0.3333333333333333,0.5,0.24528301886792453,0.5384615384615384,0.5774647887323944,0.49980070422535217,0.5309678571428572,0.47977547169811313,0.16182572614107885,0.21637426900584794,0.07142857142857142,0.2593984962406015,10.03862068965517,0.23427529626253418,4.0,8.0,2.0,4.0,1.0,1.0,20.0,60.0,3.0,7.0,18.0,24.0,68.0,2.0,7.0,8.0,19.0,57.0,15.0,60.0,20.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,0.7916666666666666,0.35294117647058826,0.2857142857142857,0.42105263157894735,0.35294117647058826,0.3192488262910798,0.03755868544600939,0.5,0.5,1.0,0.28169014084507044,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.2222222222222222,0.5,1.0,0.16666666666666666,0.018867924528301886,1.0,0.33962264150943394,0.3888888888888889,0.3333333333333333,0.02857142857142857,25.204411764705885,,,,,,,,,,,,True,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,36636.0,611,120,1136,1122,279,246,104,2258,68.0,114.0,10.0,15.0,18.0,23.0,13.0,41.0,24.0,52.0,105.0,207.0,34.0,259.0,1063,13.0,22.0,1.0,27.0,29.0,45.0,16.0,86.0,32.0,178.0,12.0,14.0,142.0,36.0,178.0,21.0,15.0,69.0,20.0,53.0,392.0,9.0,19.0,,17.0,52.0,3.0,72,28.0,100,5.0,34.0,25.0,9.0,39.0,13.0,30.0,21.0,9.0,2.0,60.0,3.0,14.0,3.0,29,4.0,1.0,,33.0,,3.0,47.0,4.0,16.0,8.0,2.0,,1.0,,1.0,2.0,1.0,,83.0,273,2.0,0.1523809523809524,0.16161616161616163,0.5072463768115942,0.5909090909090909,0.6444444444444445,0.5022321428571429,0.5416666666666666,0.6481481481481481,0.5285714285714286,0.5625,0.6615384615384615,0.06763285024154589,0.08771929824561403,0.0975609756097561,,24.24483306836248,0.65,0.0967741935483871,,0.12410501193317422,0.04773869346733668,0.11409395973154363,0.07317073170731707,0.12147887323943662,0.053742802303262956,0.05982905982905983,0.04672897196261682,0.040229885057471264,0.08235294117647059,0.05042016806722689,0.11382113821138211,0.1807909604519774,0.15306122448979592,0.0392156862745098,0.05319148936170213,0.5,0.5089285714285714,0.5964912280701754,0.6538461538461539,0.08823529411764706,0.18303571428571427,0.3170731707317073,0.35135135135135137,0.07692307692307693,0.23214285714285715,0.46153846153846156,0.46153846153846156,0.375,0.625,0.6666666666666666,0.42592592592592593,0.782608695652174,0.5848214285714286,0.5087348214285714,0.5151470588235294,0.4717518518518518,0.07172995780590717,0.0730593607305936,0.10424710424710425,0.33204633204633205,7.0038647342995155,0.24559859154929578,,2.0,,,,,5.0,15.0,2.0,4.0,9.0,5.0,17.0,,2.0,4.0,9.0,6.0,9.0,15.0,5.0,2.0,,,1.0,,1.0,,,,6.0,0.4,0.29411764705882354,,0.4444444444444444,0.29411764705882354,0.07589285714285714,0.008928571428571428,,,,0.06696428571428571,0.3333333333333333,0.3333333333333333,0.4,0.1,,,,0.08333333333333333,,,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.05555555555555555,25.476470588235298,0.05263157894736842,,,,,,,,,,,True,,
202340,1610612738,Avery Bradley,Avery Bradley,202340,BOS,12633.0,211,78,395,396,73,78,26,791,12.0,23.0,,1.0,1.0,6.0,1.0,3.0,5.0,14.0,18.0,40.0,11.0,62.0,347,1.0,2.0,1.0,6.0,2.0,8.0,3.0,7.0,26.0,10.0,,6.0,7.0,1.0,8.0,1.0,,1.0,3.0,3.0,17.0,,2.0,,5.0,7.0,,12,2.0,14,1.0,8.0,2.0,6.0,6.0,,4.0,3.0,2.0,1.0,9.0,1.0,1.0,6.0,16,,1.0,,10.0,1.0,,16.0,,4.0,4.0,4.0,,1.0,,2.0,4.0,4.0,,5.0,71,2.0,0.7222222222222222,0.7222222222222222,0.45,0.5,0.25,0.4396551724137931,0.4166666666666667,0.18181818181818182,0.4696969696969697,0.42857142857142855,0.2692307692307692,0.15,0.21739130434782608,0.3333333333333333,,17.482517482517483,0.6666666666666666,,,0.03888888888888889,0.015384615384615385,0.1111111111111111,,0.05333333333333334,0.012195121951219513,0.05555555555555555,,,,,0.07142857142857142,0.04225352112676056,0.05714285714285714,0.3,0.034482758620689655,1.0,0.39655172413793105,0.5217391304347826,0.6666666666666666,0.8333333333333334,0.05172413793103448,0.3333333333333333,0.5,1.0,0.2413793103448276,0.35714285714285715,0.35714285714285715,0.4,0.16666666666666666,,0.5454545454545454,0.16666666666666666,0.7068965517241379,0.5453741379310344,0.49629,0.5442318181818182,0.06451612903225806,0.09090909090909091,0.0967741935483871,0.11290322580645161,7.942500000000001,0.1848101265822785,5.0,15.0,1.0,3.0,,2.0,,3.0,1.0,,1.0,5.0,18.0,1.0,4.0,,3.0,15.0,,3.0,,1.0,,,,,,1.0,,,1.0,1.0,0.2777777777777778,0.25,,0.2777777777777778,0.3103448275862069,0.25862068965517243,0.3333333333333333,0.3333333333333333,1.0,0.05172413793103448,,,,,0.5,0.3333333333333333,1.0,0.16666666666666666,0.18181818181818182,,0.09090909090909091,,,,23.777777777777775,,2.0,,,,,,,,,,True,,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,44220.0,737,138,1356,1338,330,306,126,2694,49.0,70.0,8.0,12.0,10.0,17.0,46.0,106.0,63.0,140.0,158.0,316.0,65.0,384.0,1252,17.0,26.0,10.0,44.0,39.0,76.0,21.0,99.0,244.0,72.0,16.0,8.0,22.0,8.0,30.0,4.0,4.0,11.0,2.0,9.0,68.0,8.0,22.0,1.0,42.0,122.0,11.0,175,31.0,206,3.0,23.0,20.0,3.0,15.0,6.0,10.0,29.0,5.0,5.0,44.0,3.0,6.0,28.0,59,2.0,2.0,13.0,94.0,5.0,4.0,80.0,12.0,40.0,6.0,29.0,,23.0,,6.0,29.0,18.0,6.0,99.0,323,2.0,0.7721518987341772,0.8133333333333334,0.5,0.6538461538461539,0.5131578947368421,0.4984375,0.6296296296296297,0.5064935064935064,0.5423728813559322,0.6875,0.55,0.02531645569620253,0.07142857142857142,0.018867924528301886,0.007142857142857143,26.515656229180546,0.3409090909090909,0.2972972972972973,0.03571428571428571,0.2378167641325536,0.04793028322440087,0.23204419889502761,0.04938271604938271,0.23631123919308358,0.04830917874396135,0.046875,0.05223880597014925,0.04568527918781726,0.05504587155963303,0.21232876712328766,0.2838709677419355,0.22169811320754718,0.23015873015873015,0.23636363636363636,0.02,0.6206896551724138,0.21875,0.7,0.7538461538461538,0.7755102040816326,0.33125,0.4339622641509434,0.4423076923076923,0.6304347826086957,0.4375,0.45,0.45323741007194246,0.873015873015873,0.4444444444444444,0.6666666666666666,0.22077922077922077,0.5882352941176471,0.23125,0.43793578124999977,0.47456363636363635,0.4270993506493507,0.11494252873563218,0.11627906976744186,0.11458333333333333,0.2578125,11.760443037974682,0.24336283185840707,,1.0,,,,,1.0,3.0,1.0,,1.0,1.0,4.0,,1.0,,1.0,3.0,,3.0,1.0,2.0,,,1.0,,,,2.0,,6.0,1.0,0.25,,,0.25,0.0125,0.003125,,,,0.009375,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,0.037037037037037035,,,0.012987012987012988,,0.3333333333333333,,25.8,0.03773584905660377,,,,,,,,,,,True,,
2039,1610612738,Keyon Dooling,Keyon Dooling,2039,BOS,10227.0,170,35,302,295,87,89,32,597,5.0,5.0,,,3.0,3.0,1.0,3.0,2.0,6.0,8.0,14.0,2.0,42.0,276,,,,6.0,3.0,3.0,1.0,13.0,4.0,12.0,,2.0,6.0,6.0,12.0,5.0,1.0,2.0,,4.0,30.0,1.0,,,3.0,7.0,,10,1.0,11,,6.0,2.0,4.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,5.0,23,,,,10.0,,5.0,3.0,1.0,1.0,1.0,4.0,,,,3.0,4.0,2.0,,13.0,85,3.0,0.25,0.25,0.5714285714285714,,1.0,0.5714285714285714,1.0,0.75,0.5833333333333334,1.0,0.7222222222222222,0.14285714285714285,,0.3333333333333333,0.16666666666666666,11.209439528023598,0.5,,,0.06306306306306306,,0.06521739130434782,0.022727272727272728,0.06369426751592357,0.007042253521126761,,,,0.037037037037037035,0.06666666666666667,0.030303030303030304,0.08333333333333333,0.08571428571428572,,,0.5,0.14285714285714285,1.0,1.0,0.4,0.08571428571428572,0.3333333333333333,0.5,,0.17142857142857143,0.3333333333333333,0.4,,,,0.375,1.0,0.7428571428571429,0.5458157142857142,0.56365,0.6056750000000001,0.02857142857142857,0.07142857142857142,0.14285714285714285,0.30952380952380953,9.642857142857142,0.28807947019867547,5.0,9.0,1.0,1.0,2.0,3.0,3.0,12.0,2.0,,2.0,8.0,21.0,2.0,3.0,2.0,5.0,24.0,,12.0,3.0,,,1.0,,,,1.0,,,1.0,1.0,0.38095238095238093,0.6666666666666666,0.4,0.38095238095238093,0.6,0.2571428571428571,0.5555555555555556,0.625,1.0,0.34285714285714286,0.25,0.25,1.0,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.375,0.6666666666666666,0.25,,0.25,,24.523809523809526,,,1.0,1.0,0.047619047619047616,0.1111111111111111,0.5,1.0,,,,True,,
2554,1610612738,Mickael Pietrus,Mickael Pietrus,2554,BOS,18608.0,310,55,561,553,165,167,52,1114,4.0,4.0,3.0,3.0,1.0,1.0,,2.0,2.0,4.0,6.0,10.0,9.0,54.0,511,3.0,3.0,3.0,15.0,2.0,2.0,5.0,15.0,6.0,6.0,4.0,2.0,2.0,,2.0,,,1.0,,1.0,4.0,4.0,4.0,,5.0,18.0,,23,8.0,31,,11.0,8.0,3.0,2.0,,2.0,4.0,,,6.0,,1.0,16.0,38,,3.0,1.0,19.0,2.0,6.0,14.0,,4.0,3.0,5.0,,3.0,,1.0,5.0,2.0,,15.0,160,4.0,0.5,0.75,0.6,1.0,1.0,0.3879310344827586,0.8571428571428571,0.45454545454545453,0.4153846153846154,0.8333333333333334,0.46875,0.2,,1.0,,11.254019292604502,0.3333333333333333,,,0.08737864077669903,0.023121387283236993,0.06493506493506493,0.047058823529411764,0.0812720848056537,0.031007751937984496,0.04081632653061224,,0.03076923076923077,0.03636363636363636,0.04918032786885246,0.09230769230769231,0.1125,0.0392156862745098,0.11538461538461539,,0.4,0.06896551724137931,1.0,1.0,0.5,0.034482758620689655,,,,0.06896551724137931,0.5,0.5,0.5,0.42857142857142855,1.0,0.09090909090909091,1.0,0.896551724137931,0.5579640350877192,0.54736,0.557405,0.06451612903225806,0.2857142857142857,0.2777777777777778,0.2777777777777778,9.83,0.29411764705882354,7.0,27.0,2.0,3.0,,5.0,4.0,21.0,1.0,2.0,4.0,11.0,48.0,2.0,4.0,2.0,9.0,27.0,6.0,21.0,4.0,1.0,1.0,1.0,,,,1.0,,,2.0,0.8181818181818182,0.22916666666666666,0.5,0.2222222222222222,0.22916666666666666,0.8275862068965517,0.46551724137931033,0.25925925925925924,0.2692307692307692,0.8571428571428571,0.3620689655172414,0.19047619047619047,0.19047619047619047,0.75,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.5,0.14285714285714285,0.45454545454545453,,0.36363636363636365,0.5,0.19047619047619047,,24.322916666666668,0.06666666666666667,1.0,,1.0,0.020833333333333332,0.037037037037037035,,,1.0,1.0,,True,,
2562,1610612738,Sasha Pavlovic,Sasha Pavlovic,2562,BOS,778.0,13,5,21,24,10,17,3,45,2.0,3.0,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,4.0,17,1.0,1.0,,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,1.0,2.0,,1.0,,,1.0,,1,1.0,2,1.0,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,2.0,1.0,3,1.0,,,,,,,,,,,,,,,,,,2.0,10,,0.5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,,,,,20.833333333333336,0.5,,,0.1111111111111111,0.16666666666666666,,,0.0625,0.1,0.3333333333333333,,,,,,0.16666666666666666,,,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.6497,0.676,0.5844,,,0.5,0.5,0.8333333333333334,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
951,1610612738,Ray Allen,Ray Allen,951,BOS,27667.0,461,78,845,819,222,172,89,1664,13.0,17.0,3.0,3.0,5.0,6.0,2.0,10.0,7.0,17.0,22.0,44.0,26.0,148.0,799,3.0,4.0,3.0,12.0,6.0,12.0,9.0,42.0,32.0,12.0,2.0,1.0,9.0,3.0,12.0,2.0,1.0,3.0,3.0,3.0,27.0,1.0,4.0,,17.0,38.0,1.0,56,5.0,61,,14.0,9.0,5.0,6.0,1.0,4.0,4.0,2.0,,10.0,1.0,1.0,12.0,31,1.0,3.0,1.0,26.0,1.0,1.0,35.0,1.0,9.0,4.0,1.0,,1.0,,,1.0,1.0,,38.0,218,2.0,0.7272727272727273,0.7619047619047619,0.5,0.75,0.5,0.5213675213675214,0.5625,0.55,0.549618320610687,0.6,0.5833333333333334,0.022727272727272728,0.058823529411764705,,,15.0,0.6,0.04,,0.12624584717607973,0.014492753623188406,0.14782608695652175,0.009009009009009009,0.13221153846153846,0.012919896640826873,0.024691358024691357,,0.01818181818181818,,0.11627906976744186,0.09473684210526316,0.15833333333333333,0.17105263157894737,0.10256410256410256,,1.0,0.1452991452991453,0.7647058823529411,0.8125,0.5384615384615384,0.08547008547008547,0.2,0.2,1.0,0.1452991452991453,0.4117647058823529,0.4117647058823529,1.0,0.375,1.0,0.2,0.8333333333333334,0.7692307692307693,0.5221709401709401,0.5710357142857143,0.5141266666666666,0.08661417322834646,0.17307692307692307,0.08108108108108109,0.28378378378378377,9.613636363636362,0.26272189349112424,9.0,22.0,,1.0,2.0,3.0,17.0,51.0,3.0,5.0,15.0,26.0,73.0,1.0,4.0,7.0,18.0,72.0,6.0,51.0,17.0,1.0,,,,4.0,2.0,,,,1.0,0.9230769230769231,0.3561643835616438,0.25,0.3888888888888889,0.3561643835616438,0.6239316239316239,0.18803418803418803,0.4090909090909091,0.4090909090909091,1.0,0.4358974358974359,0.3333333333333333,0.34,0.8823529411764706,0.3333333333333333,0.125,,,0.375,0.1,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.02666666666666667,24.95616438356164,0.03125,2.0,1.0,1.0,0.0136986301369863,,0.3333333333333333,1.0,,,0.0196078431372549,True,,
2605,1610612738,Marquis Daniels,Marquis Daniels,2605,BOS,3057.0,51,24,88,97,29,45,7,185,4.0,6.0,,,1.0,2.0,,2.0,1.0,1.0,5.0,9.0,4.0,14.0,73,,1.0,,,1.0,3.0,2.0,4.0,8.0,2.0,,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,,,,5.0,,5,,5,,1.0,1.0,,,,,1.0,,,1.0,,,3.0,8,,,1.0,4.0,1.0,,5.0,1.0,3.0,,,,,,,,,,4.0,28,,0.8,0.8,0.5555555555555556,,0.3333333333333333,0.5555555555555556,,0.3333333333333333,0.6363636363636364,,0.5,0.1111111111111111,0.16666666666666666,,,12.371134020618557,,,,0.1388888888888889,,,,0.1,,,,,,0.2,0.08333333333333333,0.14285714285714285,,,,,0.6666666666666666,0.6666666666666666,0.8,1.0,0.2222222222222222,,,,0.1111111111111111,1.0,1.0,,,,0.6666666666666666,0.5,0.6666666666666666,0.5691777777777777,0.3136,0.46773333333333333,0.2727272727272727,0.2727272727272727,,0.2857142857142857,3.5999999999999996,0.32954545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
