EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,OffThreePtRebounds,FTOffRebounds,OffRebounds,Rebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,OffFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,FG2M,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,SelfOReb,Fg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefAtRimReboundPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefLongMidRangeReboundPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PtsPutbacks,AtRimAssists,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,PenaltyFtPoints,LiveBallTurnovers,BadPassTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,PtsAssisted2s,DefThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,2pt And 1 Free Throw Trips,on,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,HeaveMakes,HeaveAttempts,LongMidRangeAssists,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,BlockedCorner3,BlockedLongMidRange,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,3SecondViolations,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Clear Path Fouls,3pt And 1 Free Throw Trips
1628591,1610612764,Craig Sword,Craig Sword,1628591,WAS,184.0,3,-1.0,5,4,3.0,4.0,1.0,9,2,1.0,1.0,3.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630225,1610612764,Isaiah Todd,Isaiah Todd,1630225,WAS,1213.0,20,3.0,38,40,29.0,31.0,5.0,78,33,2.0,1.0,29.0,0.7631578947368421,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,8.0,1.0,13.0,2.0,3.0,4.0,7.0,12.0,12.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,12.0,1.0,0.5,0.5714285714285714,0.5,0.5,0.6,0.5,0.6,0.6666666666666666,31.11111111111111,0.5,0.08333333333333333,0.04,0.09090909090909091,1.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.8,0.8,1.0,0.25,0.5,0.1,0.4,1.0,0.3,0.8333333333333334,0.5261,0.3988,0.5213850000000001,0.07692307692307693,0.2,0.9230769230769231,7.6499999999999995,24.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630555,1610612764,Joel Ayayi,Joel Ayayi,1630555,WAS,1213.0,20,3.0,38,40,29.0,31.0,5.0,78,33,,,29.0,0.7631578947368421,1.0,,,3.0,1.0,,,,,1.0,,5.0,,1.0,,2.0,2.0,1.0,,,,,1.0,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,0.16666666666666666,,0.16666666666666666,,0.16666666666666666,13.333333333333332,,,0.04,,,0.16666666666666666,0.5,0.16666666666666666,,,,,0.16666666666666666,,,,,,0.3333333333333333,0.4714749999999999,0.4163,0.3597,,,,9.78,26.4,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,11.0,1.0,2.0,2.0,1.0,0.2,0.4,1.0,0.3333333333333333,0.2,0.07692307692307693,0.1111111111111111,0.5,0.4,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630692,1610612764,Jordan Goodwin,Jordan Goodwin,1630692,WAS,184.0,3,-1.0,5,4,3.0,4.0,1.0,9,2,,,3.0,0.6,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,16.666666666666668,,,,,,,,,,,,,1.0,,,,,1.0,1.0,0.4698,,0.4698,,,,,26.9,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630693,1610612764,Jaime Echenique,Jaime Echenique,1630693,WAS,184.0,3,-1.0,5,4,3.0,4.0,1.0,9,2,,,3.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628988,1610612764,Aaron Holiday,Aaron Holiday,1628988,WAS,550.0,9,,17,18,16.0,9.0,1.0,35,19,,,16.0,0.9411764705882353,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,3.0,3.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,3.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,16.666666666666668,,,,,,0.5,,,,,,,0.5,,0.5,,,0.5,1.0,0.414675,,0.414675,,,1.0,3.7,25.7,,,,,,,,,,,,,1.0,1.0,,,,,,0.2,,0.125,,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630166,1610612764,Deni Avdija,Deni Avdija,1630166,WAS,210.0,4,1.0,6,7,6.0,,1.0,13,4,,,6.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,0.5,28.57142857142857,,,,,1.0,0.5,,,,,,,0.5,,0.5,,,0.5,1.0,0.6678,,0.6678,,,,1.7,25.4,,,,,,1.0,1.0,,1.0,,3.0,,2.0,2.0,,,,,,0.5,,0.5,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630557,1610612764,Corey Kispert,Corey Kispert,1630557,WAS,612.0,10,7.0,19,21,18.0,12.0,2.0,40,11,,,18.0,0.9473684210526315,1.0,1.0,1.0,,,,,,,2.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,2.0,2.0,,2.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,14.285714285714286,,,0.1,,1.0,0.3333333333333333,,,,,,,0.6666666666666666,1.0,0.3333333333333333,,,0.6666666666666666,1.0,0.55005,0.7053,0.55005,,,1.0,,28.85,,1.0,2.0,,1.0,,1.0,,,,2.0,1.0,,,,1.0,,,,,0.2,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630216,1610612764,Cassius Winston,Cassius Winston,1630216,WAS,404.0,7,-3.0,14,15,14.0,15.0,1.0,29,18,,,14.0,1.0,,,,,,,,,,2.0,2.0,,,2.0,2.0,2.0,,,,2.0,2.0,,2.0,,,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,2.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,26.666666666666668,,,,,,,,,,,,,1.0,,,,,1.0,1.0,0.4935,,0.4935,,,1.0,,25.9,,,,,1.0,1.0,2.0,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630264,1610612764,Anthony Gill,Anthony Gill,1630264,WAS,803.0,13,5.0,27,28,20.0,26.0,3.0,55,25,,,20.0,0.7407407407407407,3.0,1.0,2.0,1.0,,,,,,,,4.0,,,3.0,11.0,1.0,3.0,,,9.0,,,,,1.0,6.0,,,,,,1.0,1.0,2.0,4.0,1.0,,,,,,9.0,,,,,1.0,1.0,0.9166666666666666,0.9,,18.75,,,0.058823529411764705,,,0.75,0.25,,,,,,,1.0,0.6666666666666666,,,,0.75,0.5537,0.4541,0.5869,0.2,0.2,0.8181818181818182,2.575,,1.0,4.0,2.0,,1.0,,1.0,,,,2.0,1.0,3.0,5.0,,1.0,,,,0.6,0.1,0.4166666666666667,,0.5,,1.0,1.0,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.18181818181818182,3.0,,,1.0,1.0,,6.0,2.0,0.75,1.0,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.6666666666666666,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
