EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG3M,FtPoints,Points,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,PtsUnassisted3s,Travels,Technical Free Throw Trips,NonShootingFoulsDrawn,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,PtsUnassisted2s,PtsPutbacks,LongMidRangeAssists,OffensiveGoaltends,SecondChanceFg2Pct,AtRimPctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,FTDefRebounds,DefFTReboundPct,Fg3aBlocked,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,Corner3PctAssisted,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls Drawn,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls,LongMidRangePctBlocked,Corner3PctBlocked,HeaveAttempts,DefensiveGoaltends,Defensive 3 Seconds Violations,Clear Path Fouls,BlockedCorner3,3SecondViolations,HeaveMakes
1626196,1610612738,Josh Richardson,Josh Richardson,1626196,BOS,704.0,12,-4.0,22,21,6.0,5.0,3.0,43,2.0,1.0,2.0,1.0,20,2.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,0.3333333333333333,12.0,0.1,0.1666666666666666,0.125,0.25,0.1666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4034333333333333,0.33635,11.6,25.1,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1627823,1610612738,Juancho Hernangomez,Juancho Hernangomez,1627823,BOS,5748.0,96,-38.0,198,198,78.0,89.0,29.0,396,4.0,15.0,9.0,18.0,236,3.0,15.0,9.0,7.0,16.0,25.0,7.0,78.0,0.6666666666666666,15.74468085106383,0.1147540983606557,0.2368421052631578,0.1616161616161616,0.0952380952380952,0.2413793103448276,0.1481481481481481,0.5555555555555556,0.8518518518518519,0.5354777777777778,0.5491277777777778,4.422222222222222,25.622222222222224,0.3939393939393939,2.0,5.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,6.0,19.0,2.0,2.0,2.0,6.0,1.0,6.0,3.0,5.0,4.0,9.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,5.0,3.0,1.0,9.0,2.0,4.0,2.0,2.0,5.0,3.0,1.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,5.0,9.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,0.1666666666666666,1.0,0.1666666666666666,0.2222222222222222,0.3333333333333333,0.2407407407407407,0.75,0.1111111111111111,0.3064516129032258,0.75,0.25,0.1111111111111111,0.25,0.8333333333333334,0.1428571428571428,0.0638297872340425,0.0833333333333333,0.0747663551401869,0.0833333333333333,0.1,0.0980392156862745,0.1,0.2,0.2222222222222222,0.0952380952380952,0.5,0.1851851851851851,0.4,0.4,1.0,0.1111111111111111,0.2,0.2,1.0,0.25,0.5,1.0,1.0,0.2222222222222222,0.5,0.1111111111111111,0.5555555555555556,0.2,0.4963499999999999,0.1612903225806451,0.3846153846153846,0.3157894736842105,0.2631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1628369,1610612738,Jayson Tatum,Jayson Tatum,1628369,BOS,1574.0,26,-6.0,51,52,13.0,19.0,6.0,103,3.0,6.0,9.0,6.0,59,2.0,6.0,2.0,2.0,4.0,4.0,,13.0,0.4,29.82456140350877,0.1111111111111111,0.2222222222222222,0.1481481481481481,0.125,0.2857142857142857,0.2,0.4,0.4,0.44878,0.4215833333333333,15.4,26.116666666666664,0.2549019607843137,,,,,,,,3.0,,,1.0,1.0,3.0,2.0,13.0,,,,,,1.0,2.0,2.0,2.0,6.0,3.0,,1.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,3.0,3.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,0.6666666666666666,0.5,,0.5,0.1111111111111111,,0.3666666666666666,,,0.40625,,0.25,,,,,,,,,,,,0.25,,,1.0,,,,,,0.5,0.5,0.6666666666666666,,,,,,,,0.3333333333333333,0.5,,,,,0.1538461538461538,1.0,6.0,3.0,1.0,1.0,1.0,0.4,0.1666666666666666,0.1666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1629057,1610612738,Robert Williams III,Robert Williams III,1629057,BOS,1847.0,31,-23.0,62,64,12.0,13.0,10.0,126,2.0,,5.0,,91,1.0,,1.0,6.0,7.0,13.0,2.0,12.0,,10.81081081081081,0.3529411764705882,0.1666666666666666,0.3043478260869565,0.4285714285714285,,0.4,,0.6,0.5600799999999999,0.6684,3.4,,0.1935483870967742,2.0,3.0,2.0,1.0,1.0,,,,,,,4.0,,3.0,11.0,3.0,,,6.0,1.0,,1.0,3.0,2.0,,,1.0,2.0,2.0,4.0,2.0,1.0,10.0,2.0,4.0,,6.0,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,2.0,4.0,,2.0,1.0,,1.0,1.0,1.0,3.0,,0.25,1.0,,,,,0.8,1.0,0.8,1.0,1.0,0.7857142857142857,1.0,0.75,0.2,,,,0.2222222222222222,0.1176470588235294,0.1714285714285714,0.25,0.3333333333333333,0.0769230769230769,0.4285714285714285,,0.3333333333333333,,1.0,0.6,0.6666666666666666,1.0,,,,,,0.6666666666666666,,,,1.0,1.0,,,,0.57325,0.2857142857142857,0.2857142857142857,0.5454545454545454,0.2727272727272727,,,,,,,,,,,2.0,2.0,3.0,6.0,6.0,1.0,1.0,1.0,0.3333333333333333,0.125,0.25,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630202,1610612738,Payton Pritchard,Payton Pritchard,1630202,BOS,4105.0,68,-26.0,142,142,71.0,74.0,21.0,284,5.0,25.0,14.0,27.0,167,8.0,25.0,6.0,4.0,10.0,12.0,3.0,71.0,0.6585365853658537,28.823529411764707,0.0930232558139534,0.1935483870967742,0.1351351351351351,0.1428571428571428,0.217391304347826,0.1219512195121951,0.6097560975609756,0.7073170731707317,0.4769073170731706,0.4748760869565217,13.121428571428572,27.21481481481482,0.5,1.0,2.0,,1.0,2.0,2.0,1.0,11.0,,4.0,14.0,3.0,12.0,6.0,48.0,1.0,,4.0,,2.0,15.0,5.0,30.0,,21.0,11.0,1.0,10.0,4.0,14.0,3.0,7.0,32.0,1.0,,1.0,2.0,1.0,,,,3.0,2.0,3.0,1.0,6.0,2.0,6.0,1.0,,,4.0,6.0,1.0,2.0,1.0,,,1.0,1.0,30.0,,,,0.5833333333333334,0.4444444444444444,,0.4444444444444444,0.2142857142857142,0.25,0.5121951219512195,,0.5434782608695652,0.5465116279069767,,0.6,0.0714285714285714,,0.5,0.1666666666666666,,0.0217391304347826,0.0131578947368421,,,0.025,0.0476190476190476,0.125,0.125,0.04,1.0,0.048780487804878,0.5,1.0,,0.048780487804878,0.44,0.44,0.6363636363636364,,0.8,,,0.0869565217391304,0.5,0.0434782608695652,0.6086956521739131,0.44,0.4209,0.0476190476190476,0.1333333333333333,,0.625,1.0,7.0,15.0,1.0,1.0,1.0,0.1707317073170731,0.1428571428571428,0.1428571428571428,,,1.0,,6.0,,2.0,,,0.5,,,0.2,0.2,,,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.5,0.5,1.0,0.4285714285714285,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
202683,1610612738,Enes Freedom,Enes Freedom,202683,BOS,1645.0,27,-5.0,58,58,19.0,22.0,12.0,116,1.0,2.0,10.0,2.0,60,5.0,2.0,3.0,4.0,9.0,16.0,3.0,19.0,0.1666666666666666,19.444444444444446,0.2,0.2142857142857142,0.2058823529411764,0.1111111111111111,0.25,0.0833333333333333,0.1666666666666666,0.9166666666666666,0.5535041666666667,0.5245785714285714,1.65,26.9,0.3275862068965517,5.0,9.0,5.0,3.0,5.0,,,1.0,,,2.0,5.0,1.0,2.0,15.0,5.0,,,6.0,3.0,2.0,,9.0,4.0,3.0,1.0,1.0,,2.0,2.0,2.0,,6.0,3.0,3.0,1.0,7.0,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,9.0,,0.4,0.6666666666666666,1.0,0.5,,0.5,0.5,0.6,0.5416666666666666,0.4,0.6428571428571429,0.5769230769230769,0.5,0.6428571428571429,0.1,,,0.3333333333333333,0.1764705882352941,0.1578947368421052,0.1666666666666666,,0.2857142857142857,0.125,0.2222222222222222,0.5,,,0.6666666666666666,0.75,0.5555555555555556,0.625,0.4,,0.5,0.5,1.0,1.0,,,,0.7142857142857143,0.6,,0.2857142857142857,0.5,0.5748666666666666,0.1538461538461538,0.1818181818181818,0.4,0.6,,,,,,,,,,,2.0,,2.0,6.0,4.0,,,0.4,0.1111111111111111,0.2,0.3333333333333333,,,,0.4,,,1.0,1.0,,,,,,,0.5,,,,0.5,2.0,2.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
203471,1610612738,Dennis Schroder,Dennis Schroder,203471,BOS,760.0,13,2.0,28,26,7.0,12.0,4.0,54,1.0,1.0,5.0,1.0,32,,1.0,,,,,,7.0,0.1666666666666666,24.24242424242424,,,,,,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.4852666666666665,0.5655,12.04,26.8,0.25,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,4.0,1.0,4.0,15.0,1.0,1.0,1.0,3.0,,1.0,,3.0,2.0,3.0,1.0,,1.0,1.0,2.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,3.0,4.0,,2.0,,,,,,3.0,,0.25,0.25,1.0,1.0,1.0,1.0,0.8,,0.9166666666666666,0.75,1.5,0.9375,0.75,1.5,,,,,,,,,,,,,,,,0.1666666666666666,1.0,1.0,,,1.0,1.0,1.0,,0.5,1.0,1.0,,,,1.0,1.0,0.4012,0.25,0.2857142857142857,0.2,0.2,2.0,3.0,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,,1.0,,6.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
203935,1610612738,Marcus Smart,Marcus Smart,203935,BOS,1827.0,30,-10.0,64,63,20.0,27.0,11.0,127,7.0,3.0,8.0,3.0,83,1.0,3.0,,,,,4.0,20.0,0.2727272727272727,22.36842105263158,,,,,,0.6363636363636364,0.2727272727272727,0.3636363636363636,0.4624181818181818,0.502925,6.7125,28.066666666666663,0.3125,1.0,1.0,,,,,,,,1.0,1.0,6.0,,2.0,14.0,,,1.0,,1.0,1.0,2.0,4.0,4.0,,,,1.0,2.0,3.0,2.0,,8.0,,,,,,1.0,1.0,,3.0,1.0,2.0,2.0,5.0,,2.0,2.0,,1.0,2.0,2.0,,,,,,,,4.0,,0.3333333333333333,0.3333333333333333,,,,,0.75,1.0,0.5454545454545454,,0.5,0.5833333333333334,,0.6666666666666666,,,0.6,,,,,,,,,,,,,0.0909090909090909,1.0,1.0,1.0,,,,,,1.0,,,,,,0.5,,0.5124,,,,0.2857142857142857,,,,,,1.0,,,,,,5.0,,8.0,,,,,,,,0.7142857142857143,0.7142857142857143,0.2,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1630174,1610612738,Aaron Nesmith,Aaron Nesmith,1630174,BOS,2508.0,42,-21.0,90,89,53.0,55.0,12.0,179,1.0,5.0,5.0,8.0,101,3.0,5.0,1.0,4.0,5.0,6.0,5.0,53.0,0.6153846153846154,14.814814814814811,0.1538461538461538,0.0526315789473684,0.1111111111111111,0.1111111111111111,0.0625,0.0769230769230769,0.3846153846153846,0.9230769230769232,0.5871192307692309,0.5937714285714286,3.640000000000001,24.8375,0.5888888888888889,4.0,4.0,,2.0,2.0,3.0,3.0,1.0,,,1.0,4.0,1.0,,11.0,,,,,2.0,4.0,,4.0,6.0,3.0,1.0,,,2.0,2.0,2.0,,6.0,,1.0,,1.0,,2.0,2.0,,2.0,2.0,1.0,,3.0,,2.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,4.0,1.0,0.75,0.75,1.0,0.125,,0.125,0.8,0.6666666666666666,0.4230769230769231,,0.2857142857142857,0.4230769230769231,,0.2857142857142857,,,0.6666666666666666,,0.05,,0.0208333333333333,0.1666666666666666,,,0.2307692307692307,,,,,0.3076923076923077,1.0,1.0,0.75,0.2307692307692307,0.2,0.2,1.0,,,,,0.2857142857142857,1.0,0.4285714285714285,0.1428571428571428,0.2,,0.0769230769230769,0.2,,0.3636363636363636,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1627759,1610612738,Jaylen Brown,Jaylen Brown,1627759,BOS,1722.0,29,-3.0,60,62,13.0,15.0,11.0,122,1.0,7.0,7.0,7.0,71,1.0,7.0,,2.0,3.0,5.0,,13.0,0.5,30.55555555555556,0.1052631578947368,,0.0666666666666666,,,0.0714285714285714,0.5,0.7857142857142857,0.5427678571428572,0.51205,6.528571428571429,26.7,0.2166666666666666,1.0,4.0,2.0,,,,,1.0,,1.0,1.0,3.0,1.0,6.0,15.0,3.0,,1.0,6.0,,1.0,,,2.0,3.0,1.0,4.0,,3.0,3.0,3.0,,9.0,1.0,1.0,,2.0,,2.0,2.0,,1.0,,3.0,1.0,4.0,,,,,,6.0,8.0,,4.0,,,,,,,,0.3333333333333333,0.5,1.0,0.1428571428571428,,0.1428571428571428,0.4285714285714285,,0.3214285714285714,0.5,,0.4166666666666667,0.6,,0.5714285714285714,1.0,0.25,,0.0909090909090909,0.0526315789473684,0.0666666666666666,0.2,,0.0588235294117647,0.1,0.25,,,,0.2857142857142857,0.25,1.0,,,0.1428571428571428,0.1666666666666666,1.0,0.5,0.25,,,,,,0.5,0.1428571428571428,0.5384125000000001,0.2222222222222222,0.3636363636363636,0.4,,2.0,2.0,,,,,0.1428571428571428,1.0,1.0,0.5,1.0,,2.0,4.0,2.0,,,0.6666666666666666,0.75,,,,,,0.5,,,,,,,2.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.1428571428571428,0.1428571428571428,,,,True,,,,,,,,,,,,,,,,,,,,,,
