EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,Arc3FGA,FG3A,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,AtRimAssists,Blocked2s,BlockedShortMidRange,Blocks,FG3APct,AtRimPctBlocked,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,OffTwoPtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,TwoPtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyFg3Pct,DefAtRimReboundPct,PenaltyArc3Accuracy,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffCorner3ReboundPct,2pt And 1 Free Throw Trips,SecondChanceArc3FGA,Loose Ball Fouls,OffAtRimReboundPct,SecondChanceArc3Frequency,on,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Fg3aBlocked,Corner3Assists,FTOffRebounds,FTDefRebounds,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,Defensive 3 Seconds Violations,Clear Path Fouls,3SecondViolations,HeaveMakes
1628391,1610612761,D.J. Wilson,D.J. Wilson,1628391,TOR,786.0,13,-5.0,29,28,8.0,8.0,3.0,57,2.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,9.0,30,2.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,8.0,2.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,1.0,0.5,0.25,1.0,21.875,1.0,0.25,0.2222222222222222,0.2352941176470588,0.5,0.1428571428571428,0.5,0.5,1.0,1.0,1.0,0.25,0.25,1.0,1.0,0.5,0.6829,0.4559,0.2222222222222222,0.3333333333333333,7.8,0.2758620689655172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629004,1610612761,Svi Mykhailiuk,Svi Mykhailiuk,1629004,TOR,898.0,15,-19.0,31,33,11.0,5.0,4.0,64,,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,45,,,,,,2.0,,1.0,1.0,2.0,,,5.0,1.0,,1.0,1.0,,,,,,,,,,,11.0,,1.0,1.0,0.3333333333333333,0.2,0.2,,,0.3333333333333333,,14.285714285714286,,,0.0909090909090909,0.0526315789473684,,0.1111111111111111,,0.2,,,,0.2,0.2,1.0,1.0,0.6,0.52918,,,,9.333333333333334,0.3548387096774194,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.2,0.2,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629139,1610612761,Yuta Watanabe,Yuta Watanabe,1629139,TOR,992.0,17,-13.0,34,34,17.0,8.0,7.0,68,3.0,4.0,6.0,1.0,3.0,8.0,13.0,2.0,21.0,51,2.0,4.0,7.0,,10.0,8.0,8.0,1.0,,,,,,1.0,2.0,3.0,6.0,1.0,1.0,2.0,,,1.0,,2.0,,10.0,17.0,,0.5,0.5714285714285714,0.6153846153846154,0.59375,0.6176470588235294,0.6666666666666666,0.5555555555555556,0.0769230769230769,,45.23809523809524,0.5,0.4,0.0909090909090909,0.1875,0.5,0.1,,0.25,0.75,1.0,0.3333333333333333,0.375,0.1875,0.3333333333333333,0.3333333333333333,0.4375,0.52790625,0.5612166666666667,0.1904761904761904,0.4761904761904761,8.761538461538462,0.5,1.0,2.0,3.0,2.0,,,,1.0,,1.0,0.1875,0.25,1.0,0.0625,0.125,26.866666666666664,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.5,0.5555555555555556,0.3,0.1666666666666666,0.4,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.5,0.704,0.0588235294117647,0.0714285714285714,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629682,1610612761,Tremont Waters,Tremont Waters,1629682,TOR,1642.0,27,-25.0,57,58,21.0,13.0,7.0,115,,,1.0,,1.0,,2.0,,6.0,79,,,,,3.0,,,,3.0,3.0,,,6.0,,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,,,,3.0,21.0,,,,,0.3333333333333333,0.3333333333333333,,0.5,,,20.0,0.5,0.2,,0.074074074074074,,,,,,,,0.1111111111111111,0.1111111111111111,,,0.7777777777777778,0.47706875,0.4985,,0.5,15.3,0.3684210526315789,1.0,6.0,7.0,6.0,,,3.0,,,,0.7777777777777778,,,0.1111111111111111,0.6666666666666666,28.11428571428571,,,,,,1.0,,2.0,3.0,2.0,,,1.0,,3.0,3.0,,2.0,,,,2.0,1.0,1.0,,,,0.5,0.2857142857142857,0.2857142857142857,,,,0.5,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,1.0,,,,1.0,0.3333333333333333,0.5829,,,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629752,1610612761,Juwan Morgan,Juwan Morgan,1629752,TOR,1642.0,27,-25.0,57,58,21.0,13.0,7.0,115,1.0,1.0,,,,1.0,1.0,,5.0,79,,,,,3.0,2.0,,,1.0,1.0,1.0,,2.0,2.0,,2.0,4.0,,,,1.0,3.0,,,,,3.0,21.0,,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,,1.5,,,4.615384615384615,,,0.1176470588235294,0.074074074074074,,0.0714285714285714,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,0.6092166666666666,0.5577,,0.6,0.5,0.3684210526315789,,2.0,2.0,2.0,,,,,,,0.6666666666666666,,,,0.6666666666666666,25.25,,,,,,,,1.0,1.0,1.0,,,,,1.0,3.0,,1.0,1.0,2.0,,,,,,,,1.0,0.5,0.5,,,,1.5,0.0625,0.0689655172413793,0.1428571428571428,,,,,,,,0.5,0.5,1.0,,,,,,,1.0,0.5,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,0.0769230769230769,0.3333333333333333,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630187,1610612761,Daniel Oturu,Daniel Oturu,1630187,TOR,1166.0,19,-16.0,40,41,13.0,13.0,2.0,81,2.0,2.0,1.0,,,2.0,3.0,3.0,7.0,54,,,,1.0,1.0,2.0,2.0,1.0,,,,,,2.0,,2.0,2.0,,,,,,3.0,,5.0,,1.0,13.0,,0.5,0.5,0.6666666666666666,0.5,0.5833333333333334,,0.25,0.3333333333333333,1.0,14.285714285714286,,,0.1538461538461538,0.1052631578947368,,0.1818181818181818,,0.5,1.0,1.0,0.5,0.25,,,,0.75,0.5050625,0.35865,,0.1428571428571428,3.0666666666666664,0.325,,1.0,1.0,1.0,,,,,,,0.25,,,,0.25,26.8,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,0.6,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628449,1610612761,Chris Boucher,Chris Boucher,1628449,TOR,457.0,8,-10.0,15,15,3.0,,3.0,30,,2.0,1.0,,,,3.0,4.0,4.0,23,2.0,2.0,1.0,,,,,,1.0,1.0,,,2.0,,,,2.0,1.0,,1.0,,1.0,3.0,,6.0,,,3.0,,,,,,0.25,0.3333333333333333,,,,47.368421052631575,1.0,,,,,,,0.4,,,,0.2,,,,0.8,0.61895,0.616625,0.5,,3.1,0.2,,2.0,2.0,2.0,,,1.0,,,,0.4,,,,0.4,26.3,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,2.0,,,,,3.0,,,,,,,,,,0.1428571428571428,0.1818181818181818,,,,,,,,,,,,0.5,,,0.5,,,0.5,,0.667,0.375,0.5,,,,1.0,1.0,,,1.0,,,,1.0,,0.25,0.5,,1.0,1.0,0.3333333333333333,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630625,1610612761,Dalano Banton,Dalano Banton,1630625,TOR,627.0,10,-12.0,22,23,11.0,5.0,2.0,45,,1.0,,,1.0,,2.0,,,34,,,1.0,,,,,,1.0,3.0,,1.0,8.0,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,11.0,,,,,,,,,,,12.0,1.0,0.5,0.25,0.3333333333333333,,,1.0,0.5,,,,,0.5,,,0.5,0.5748,0.7069,,,10.35,0.5,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626155,1610612761,Sam Dekker,Sam Dekker,1626155,TOR,54.0,1,-5.0,2,2,2.0,2.0,,4,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629018,1610612761,Gary Trent Jr.,Gary Trent Jr.,1629018,TOR,146874.0,2448,170.0,4906,4903,1182.0,1214.0,651.0,9809,66.0,120.0,190.0,94.0,231.0,241.0,541.0,174.0,1283.0,5501,13.0,109.0,116.0,84.0,332.0,198.0,284.0,38.0,72.0,141.0,21.0,7.0,351.0,102.0,61.0,165.0,191.0,35.0,23.0,72.0,51.0,144.0,152.0,8.0,204.0,25.0,324.0,1162.0,16.0,0.4107883817427386,0.4125,0.4454713493530499,0.5105893186003683,0.5424164524421594,0.5,0.592057761732852,0.0702402957486136,0.0842105263157894,21.75364610788965,0.4861111111111111,0.054030115146147,0.0970504281636536,0.0747706422018348,0.0543689320388349,0.0964028776978417,0.098314606741573,0.1104972375690607,0.55,0.6346153846153846,0.5606060606060606,0.1749539594843462,0.212707182320442,0.4069264069264069,0.4177777777777778,0.6123388581952118,0.5011055504162814,0.4774971861471862,0.0849571317225253,0.2587685113016368,11.18650646950092,0.2409294741133306,110.0,435.0,545.0,432.0,69.0,47.0,44.0,19.0,11.0,19.0,0.501841620626151,0.1333333333333333,0.4042553191489361,0.1012891344383057,0.4005524861878453,25.770825688073383,4.0,12.0,11.0,29.0,81.0,20.0,19.0,169.0,99.0,209.0,12.0,38.0,64.0,55.0,118.0,480.0,2.0,169.0,16.0,26.0,11.0,37.0,10.0,18.0,60.0,7.0,9.0,0.7655502392344498,0.3834862385321101,0.3856088560885609,0.3157894736842105,0.4741379310344827,0.4705882352941176,0.5299145299145299,0.0113234253361641,0.0100321027287319,0.0158227848101265,,0.0710900473933649,0.019197207678883,0.4736842105263157,0.4263157894736842,0.4655172413793103,0.2962962962962963,0.3885057471264367,0.3903002309468822,0.7218934911242604,0.1176470588235294,0.3333333333333333,0.196078431372549,0.1239316239316239,0.3793103448275862,0.0811965811965812,0.4230769230769231,0.3912037037037037,0.5119717105263158,0.0604203152364273,0.1018675721561969,40.0,46.0,147.0,122.0,52.0,70.0,6.0,12.0,0.3898305084745763,0.0446650124069478,0.404040404040404,9.0,18.0,0.0083410565338276,0.0122950819672131,12.0,44.0,5.0,0.014018691588785,0.4313725490196078,False,40.0,8.0,6.0,16.0,24.0,3.0,6.0,22.0,1.0,2.0,2.0,1.0,7.0,5.0,11.0,1.0,15.0,1.0,20.0,9.0,1.0,1.0,0.375,0.0110091743119266,0.0259740259740259,0.0363636363636363,0.0045977011494252,0.0165289256198347,0.0086206896551724,0.0071856287425149,0.3636363636363636,0.3773584905660377,0.95,0.25,0.4,0.75,0.3636363636363636,0.8125,0.3157894736842105,0.0162748643761302,,,,,,,,
