EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,PenaltyArc3FGA,FG2M,FG2A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsAssisted2s,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,PenaltyArc3FGM,OffTwoPtRebounds,OffTwoPtReboundPct,OffAtRimReboundPct,PenaltyArc3Accuracy,SecondChanceArc3FGA,PtsUnassisted3s,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,DefFTReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SecondChanceArc3Frequency,ShortMidRangeFGM,LongMidRangeFGM,ShortMidRangeAssists,LostBallSteals,Offensive Fouls,Loose Ball Fouls Drawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,HeaveAttempts,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,Fg3aBlocked,BlockedShortMidRange,FG3APctBlocked,Corner3PctBlocked,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,DefCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceFtPoints,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,Travels,NonShootingPenaltyNonTakeFouls,SelfOReb,SelfORebPct,on,SecondChanceArc3FGM,Loose Ball Fouls,Charge Fouls Drawn,Arc3PctBlocked,OffLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Charge Fouls,OffensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Clear Path Fouls
1626145,1610612763,Tyus Jones,Tyus Jones,1626145,MEM,1004.0,17,-3.0,33,34,9.0,7.0,6,67,1.0,1.0,1.0,1.0,3.0,40,3.0,1.0,1.0,2.0,4.0,6.0,2.0,2.0,2.0,16.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.5,1.5,1.0,2.4390243902439024,1.0,1.0,1.0,1.0,1.0,1.0,0.525,24.7,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1628991,1610612763,Jaren Jackson Jr.,Jaren Jackson Jr.,1628991,MEM,296.0,5,-3.0,9,9,5.0,,2,18,,2.0,,2.0,4.0,13,,2.0,,,1.0,1.0,1.0,,,3.0,,,2.0,5.0,,,,0.25,0.4,0.5,41.66666666666667,0.5,,,,0.75,,0.5424625,25.95,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.5,0.25,0.16666666666666666,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.54405,0.2,0.3333333333333333,0.5,0.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629630,1610612763,Ja Morant,Ja Morant,1629630,MEM,584.0,10,-10.0,22,20,12.0,2.0,5,42,,2.0,1.0,3.0,6.0,29,3.0,2.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,2.0,12.0,1.0,0.3333333333333333,0.3333333333333333,0.3125,0.3333333333333333,0.375,42.857142857142854,0.25,,,,0.875,,0.57674375,24.833333333333332,0.5454545454545454,1.0,4.0,1.0,2.0,,2.0,1.0,5.0,1.0,1.0,2.0,5.0,3.0,,5.0,,,1.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,0.2,0.5,0.8333333333333334,0.8333333333333334,0.3125,0.125,0.0625,,0.5,0.25,0.25,,0.6666666666666666,0.5,0.25,0.57674375,0.1111111111111111,0.16666666666666666,0.8333333333333334,0.8333333333333334,5.859999999999999,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.3125,0.6666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.2,0.5,0.3333333333333333,1.0,0.125,0.125,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.25,0.125,1.0,0.61305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1630217,1610612763,Desmond Bane,Desmond Bane,1630217,MEM,209.0,3,6.0,7,6,6.0,,3,13,1.0,2.0,2.0,4.0,6.0,7,6.0,2.0,1.0,,,,,,,,,,,6.0,1.0,0.5,0.5,0.75,0.75,1.0,36.36363636363637,0.5,0.5,0.5,1.0,1.0,0.5,0.5668124999999999,24.45,0.8571428571428571,,,,,,2.0,,,,,,,3.0,,6.0,,,,1.0,1.0,,,,,6.0,,,,,1.0,,0.16666666666666666,,,,,,,,0.6666666666666666,0.57435,,,,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,0.6666666666666666,,1.0,,,,,,,,,,,0.5,0.5,0.5,1.0,,1.0,,,,,0.3333333333333333,1.0,0.5442,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1630241,1610612763,Sam Merrill,Sam Merrill,1630241,MEM,3470.0,58,-9.0,121,117,33.0,49.0,23,238,6.0,18.0,7.0,23.0,25.0,133,15.0,18.0,6.0,4.0,,4.0,,,3.0,8.0,,,5.0,33.0,0.7142857142857143,0.30434782608695654,0.30434782608695654,0.4791666666666667,0.5,0.9583333333333334,18.0,0.75,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5324104166666667,25.452173913043477,0.2727272727272727,1.0,1.0,,,,5.0,1.0,1.0,2.0,,,,6.0,,3.0,,,1.0,1.0,7.0,2.0,3.0,4.0,2.0,3.0,1.0,,,,0.25,0.021739130434782608,0.0125,,0.041666666666666664,1.0,1.0,,,,0.8333333333333334,0.534725,0.08,1.0,,0.12,1.1,,,,1.0,5.0,,1.0,,1.0,,3.0,,,1.0,2.0,,1.0,4.0,6.0,2.0,,,,2.0,,1.0,1.0,,0.16666666666666666,,0.25,1.0,,0.125,0.047619047619047616,0.09433962264150944,0.027777777777777776,,0.05263157894736842,1.0,,0.20833333333333334,0.2,0.2,1.0,,0.3333333333333333,,,,,0.16666666666666666,,0.4992,1.0,,,,0.2,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1630214,1610612763,Xavier Tillman,Xavier Tillman,1630214,MEM,1682.0,28,-7.0,55,53,8.0,28.0,10,108,,2.0,,3.0,8.0,70,,2.0,,2.0,1.0,3.0,1.0,,1.0,7.0,1.0,,2.0,8.0,,,,0.42857142857142855,0.5,0.42857142857142855,16.666666666666664,0.2857142857142857,,,,0.42857142857142855,,0.4490785714285715,24.7,0.14545454545454545,,,,,3.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,,,4.0,,1.0,2.0,9.0,1.0,2.0,2.0,1.0,,0.75,1.0,1.0,1.0,,0.05263157894736842,0.058823529411764705,,,,,0.42857142857142855,,,1.0,0.52035,0.125,0.2,0.25,,14.024999999999999,,,1.0,,1.0,,,,,,,,,,2.0,,3.0,3.0,7.0,2.0,,1.0,1.0,3.0,,0.3333333333333333,0.3333333333333333,,,,,0.6666666666666666,,0.21428571428571427,0.25,0.23076923076923078,0.0625,,0.3,,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,1.0,0.06666666666666667,0.2,,,,,1.0,1.0,,,,,0.5,0.25,0.2222222222222222,,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1630533,1610612763,Ziaire Williams,Ziaire Williams,1630533,MEM,541.0,9,-14.0,18,19,7.0,7.0,2,37,,3.0,,3.0,,29,,2.0,,1.0,,1.0,,,1.0,2.0,,,,7.0,,,,,,0.75,20.0,0.75,,,,0.75,,0.47828333333333334,32.13333333333333,0.3888888888888889,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,22.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,0.25,,0.125,,,,,0.25,,,,,,,,,,,,,0.5286,,,,,,1.0,,,,,,,,,,,0.25,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629001,1610612763,De'Anthony Melton,De'Anthony Melton,1629001,MEM,529.0,9,-1.0,19,17,4.0,,5,36,2.0,2.0,2.0,3.0,10.0,22,6.0,2.0,2.0,,1.0,1.0,,1.0,,3.0,,,2.0,4.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.5,32.0,0.3333333333333333,1.0,1.0,1.0,0.8333333333333334,1.0,0.5187666666666666,26.366666666666664,0.21052631578947367,1.0,2.0,,1.0,,,1.0,3.0,2.0,,1.0,,,2.0,2.0,,,,1.0,3.0,,,2.0,,2.0,0.3333333333333333,,,,1.0,,0.08333333333333333,,0.3333333333333333,0.5,0.5,,1.0,,,,,,,0.2,7.966666666666666,,,1.0,,1.0,,,,,,,,,,2.0,,,2.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,0.3333333333333333,,0.2857142857142857,,1.0,,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,0.5342,,1.0,0.16666666666666666,,,,,,,1.0,,1.0,,,,0.5,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
203500,1610612763,Steven Adams,Steven Adams,203500,MEM,375.0,6,-8.0,14,13,4.0,,4,27,,,,,,19,,,,1.0,,1.0,,,1.0,2.0,,,,4.0,,,,,,,10.526315789473685,,,,,,,0.3891,,0.2857142857142857,,,,,2.0,,,2.0,,,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,0.2,0.2,,,,,1.0,,,,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.438,,1.0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
203937,1610612763,Kyle Anderson,Kyle Anderson,203937,MEM,414.0,7,4.0,15,14,10.0,7.0,2,29,,,1.0,2.0,7.0,15,3.0,,,,1.0,1.0,1.0,,,3.0,1.0,,,10.0,1.0,0.5,0.5,0.7,0.7,0.4,29.41176470588235,,,,,0.8,,0.65334,23.700000000000003,0.6666666666666666,2.0,2.0,,,1.0,,2.0,3.0,,,1.0,,1.0,,5.0,2.0,,,,,,,,,5.0,0.6666666666666666,,,,1.25,,,,0.4,1.0,1.0,0.2,,,,0.75365,,,,0.7142857142857143,3.6999999999999997,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,0.5,0.5,,1.0,1.0,1.25,,,,,,,,,0.5,,0.4,0.5,1.0,1.0,,,,,0.5,1.0,0.5,1.0,0.3805,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
