EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,PenaltyFG2A,PtsUnassisted2s,FTDefRebounds,SelfOReb,Fouls,Blocked2s,BlockedAtRim,Blocks,DefFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,PenaltyShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,DefThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PtsPutbacks,OffThreePtRebounds,BadPassTurnovers,ShootingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,SecondChanceArc3Frequency,LongMidRangePctBlocked,LongMidRangePctAssisted,Loose Ball Fouls,BlockedShortMidRange,ShortMidRangePctAssisted,PenaltyTurnovers,LongMidRangeAssists,RecoveredBlocks,BlocksRecoveredPct,ThreePtAssists,Arc3Assists,ShortMidRangePctBlocked,DefArc3ReboundPct,on,SecondChanceFtPoints,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,Travels,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,Corner3FGM,Corner3FGA,Corner3Assists,Technical Free Throw Trips,Defensive 3 Seconds Violations,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,Offensive Fouls,BlockedLongMidRange,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,DefensiveGoaltends,3SecondViolations,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct
1542,1610612760,Predrag Drobnjak,Predrag Drobnjak,1542,SEA,358.0,6,2.0,10,10,8.0,10.0,3.0,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,15.384615384615383,0.5,0.16666666666666666,0.5,0.16666666666666666,0.25,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.44555,0.5355,1.0,10.75,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,1610612760,Ansu Sesay,Ansu Sesay,1738,SEA,1145.0,19,2.0,31,31,7.0,9.0,5.0,62,1.0,1.0,,,1.0,1.0,3.0,2.0,29,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,7.0,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,7.894736842105263,,0.08333333333333333,,0.07142857142857142,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,0.4219333333333333,,,10.9,0.22580645161290322,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.5,0.3333333333333333,0.3601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,1610612760,Shammond Williams,Shammond Williams,1742,SEA,2271.0,38,1.0,62,62,14.0,19.0,11.0,124,2.0,3.0,,,3.0,4.0,10.0,16.0,70,,,,,3.0,3.0,2.0,6.0,1.0,2.0,3.0,1.0,4.0,2.0,,14.0,,,0.4,,0.5,,0.5333333333333333,,24.675324675324674,0.1,0.037037037037037035,0.125,0.030303030303030304,,0.08333333333333333,0.21428571428571427,0.6666666666666666,0.6666666666666666,,0.21428571428571427,,,,0.5,0.5046857142857143,,,10.01,0.22580645161290322,4.0,3.0,8.0,,,1.0,,,,,0.08333333333333333,,0.2857142857142857,0.5366,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,5.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.625,0.2857142857142857,0.25,0.25,0.25,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.5,0.5,0.5,0.25,1.0,0.25,0.5,0.13333333333333333,0.18181818181818182,0.3125,24.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,1610612760,Olumide Oyedeji,Olumide Oyedeji,2071,SEA,937.0,16,14.0,27,27,11.0,14.0,8.0,54,4.0,5.0,3.0,3.0,,4.0,5.0,9.0,23,3.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,6.0,,,11.0,0.25,1.0,0.8,1.0,0.8,1.0,0.5625,0.75,24.324324324324326,0.25,0.21428571428571427,0.18181818181818182,0.23529411764705882,,0.2,1.0,0.8,0.8,0.25,,1.0,1.0,,1.0,0.7605000000000001,0.70325,0.6666666666666666,0.7,0.4074074074074074,,2.0,6.0,,,2.0,,,,,0.3333333333333333,,,0.7914,2.0,2.0,,,,,,,,1.0,2.0,,,4.0,,,,,,,,1.0,,,,,1.0,1.0,5.0,,1.0,4.0,,,,1.0,1.0,0.5,,1.0,,,,,,,,,,,,1.0,1.0,,,0.16666666666666666,0.16666666666666666,0.4444444444444444,,6.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,1610612760,Randy Livingston,Randy Livingston,988,SEA,1023.0,17,16.0,29,30,11.0,14.0,8.0,59,2.0,3.0,1.0,1.0,1.0,2.0,6.0,8.0,23,1.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,,1.0,1.0,,1.0,,,11.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4,0.25,25.0,0.09090909090909091,,0.07142857142857142,,,0.16666666666666666,0.375,0.6666666666666666,1.0,1.0,0.125,0.25,1.0,1.0,0.625,0.48224999999999996,0.45525,0.25,7.316666666666667,0.3793103448275862,2.0,2.0,,,,1.0,,,,,,,0.25,0.5069333333333333,1.0,1.0,,,,2.0,1.0,,2.0,4.0,1.0,1.0,2.0,4.0,,,2.0,,1.0,,,,,,,,,,4.0,,1.0,4.0,,,,0.5,0.3333333333333333,0.5,0.25,,,,,,,,,0.25,,,,0.3333333333333333,1.0,0.3333333333333333,,0.1111111111111111,0.14285714285714285,0.5,24.450000000000003,,,,1.0,1.0,,,,,,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.25,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,1610612760,Desmond Mason,Desmond Mason,2046,SEA,1429.0,24,1.0,40,39,4.0,12.0,6.0,79,1.0,1.0,,,4.0,3.0,5.0,8.0,42,,1.0,,2.0,,,,,1.0,4.0,4.0,1.0,5.0,1.0,1.0,4.0,0.3333333333333333,0.3333333333333333,0.6,,0.5,,0.5714285714285714,,18.367346938775512,0.3076923076923077,0.05,0.25,0.043478260869565216,,0.3,0.16666666666666666,1.0,1.0,,0.6666666666666666,,,,0.3333333333333333,0.43649999999999994,0.3428,,16.380000000000003,0.1,,,4.0,,,1.0,,,,,,,,,,,,2.0,,1.0,,,1.0,2.0,,,2.0,2.0,,,1.0,,,,,2.0,,,,1.0,2.0,,2.0,,,2.0,,,,,,1.0,0.16666666666666666,1.0,,0.5,,,,0.5,0.6666666666666666,0.16666666666666666,,,,,,,,,,0.25,25.4,,,1.0,1.0,1.0,,,0.2,,,,,1.0,0.2,,,0.25,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1610612760,Rashard Lewis,Rashard Lewis,1740,SEA,224.0,4,-6.0,7,6,,,,13,,,,,1.0,1.0,2.0,2.0,10,,,,,,,,,,1.0,1.0,,1.0,,,,,,0.5,,0.5,,0.5,,28.57142857142857,1.0,,1.0,,,1.0,,,,,0.5,,,,,0.3583,,,11.3,,1.0,,2.0,,,,,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1610612760,Vin Baker,Vin Baker,452,SEA,1101.0,18,-14.0,29,28,3.0,3.0,2.0,57,,1.0,,,2.0,3.0,5.0,6.0,43,,,,4.0,,,,,,1.0,2.0,,2.0,1.0,,3.0,0.6666666666666666,0.6666666666666666,0.6,,0.6,,0.6,,15.625,0.125,,0.1111111111111111,,,0.2,0.2,,,,0.4,,,,0.2,0.45502000000000004,,,10.6,0.10344827586206896,2.0,,2.0,1.0,,2.0,1.0,,1.0,1.0,,,0.4,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.2,1.0,,,0.5,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1610612760,Brent Barry,Brent Barry,699,SEA,520.0,9,-5.0,14,14,3.0,,1.0,28,,,,,,,,3.0,21,,,,,,,,,,1.0,1.0,1.0,2.0,,,3.0,,,,,1.5,,1.5,,13.333333333333334,0.2,,0.2,0.25,,,,,,,,,,,1.0,0.465,,,,0.21428571428571427,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,3.0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,24.4,,1.0,1.0,,,,0.5,,0.5,0.5,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,1610612760,Jerome James,Jerome James,1744,SEA,871.0,15,4.0,21,21,3.0,7.0,5.0,42,1.0,1.0,,,,2.0,4.0,4.0,26,,,,2.0,1.0,1.0,,2.0,,,1.0,,1.0,,,3.0,0.5,0.5,0.5,,0.5,,0.5,,13.793103448275863,,,0.125,,,,0.25,1.0,1.0,,,,,,0.25,0.403225,,,7.775,0.14285714285714285,3.0,1.0,2.0,,,2.0,2.0,1.0,2.0,,,,0.75,0.3424,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
