EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Usage,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShootingFouls,Fouls,FTDefRebounds,DefRebounds,Rebounds,DefFTReboundPct,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,FG3APct,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,on,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,DeadBallTurnovers,Turnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG2APctBlocked,LongMidRangePctBlocked,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Loose Ball Fouls,OffShortMidRangeReboundPct,SecondChanceFtPoints,OffThreePtRebounds,SelfOReb,Travels,SecondChanceTurnovers,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,Corner3Assists,LostBallOutOfBoundsTurnovers,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,BlocksRecoveredPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,82.0,1,-4,2,2,2,2,4,1.0,1.0,5,1.0,1.0,2.0,1.0,1.0,2,0.5,0.5,50.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,1610612750,Marc Jackson,Marc Jackson,1531,MIN,82.0,1,-4,2,2,2,2,4,,,5,,,,,,2,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,82.0,1,-4,2,2,2,2,4,,,5,,,,,,2,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,82.0,1,-4,2,2,2,2,4,,,5,,,,,,2,,,50.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52065,0.52065,23.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612750,Joe Smith,Joe Smith,693,MIN,82.0,1,-4,2,2,2,2,4,,,5,,,,,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1610612750,Robert Pack,Robert Pack,123,MIN,615.0,10,-32,22,24,13,9,46,1.0,3.0,39,1.0,3.0,1.0,1.0,3.0,13,0.3,0.3,25.0,0.2,0.25,1.0,0.5909090909090909,2.0,5.0,,,,,,,1.0,1.0,0.2,,,0.6,0.50379,0.50379,25.1,False,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.2,0.2,0.25,0.5,0.4,0.5,0.5,0.4,0.2,0.4,0.5,0.2,9.475000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,7949.0,132,4,264,265,118,84,529,13.0,65.0,294,5.0,38.0,18.0,6.0,38.0,118,0.543859649122807,0.578125,21.29032258064516,0.10909090909090909,0.15,0.5846153846153846,0.44696969696969696,1.0,14.0,,14.0,15.0,,3.0,1.0,15.0,9.0,0.29411764705882354,0.058823529411764705,0.03333333333333333,0.5098039215686274,0.4959058823529411,0.47831000000000007,24.57333333333333,False,42.0,6.0,11.0,5.0,7.0,15.0,12.0,8.0,17.0,36.0,12.0,21.0,28.0,12.0,2.0,3.0,9.0,1.0,2.0,0.4722222222222222,0.5714285714285714,0.5098039215686274,0.55,0.05555555555555555,,0.21568627450980393,0.5454545454545454,0.6666666666666666,0.29411764705882354,0.23529411764705882,0.23333333333333334,0.7142857142857143,0.26666666666666666,10.369444444444447,1.0,1.0,4.0,10.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,6.0,2.0,3.0,2.0,2.0,10.0,3.0,6.0,12.0,6.0,2.0,4.0,15.0,2.0,17.0,2.0,5.0,4.0,6.0,36.0,1.0,4.0,10.0,1.0,3.0,2.0,1.0,6.0,2.0,4.0,2.0,8.0,4.0,2.0,1.0,1.0,1.0,7.0,0.17647058823529413,0.1875,0.6666666666666666,0.4,1.0,0.3333333333333333,0.4,0.6666666666666666,1.0,1.0,0.18181818181818182,0.6666666666666666,0.10638297872340426,0.01020408163265306,0.1111111111111111,0.1076923076923077,0.008547008547008548,0.045454545454545456,0.07407407407407407,0.06666666666666667,0.16216216216216217,0.09375,0.25,0.16666666666666666,0.19607843137254902,0.4,0.4,0.4666666666666667,0.4666666666666667,0.2857142857142857,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.5,0.2,1.0,0.2,1.0,1.0,0.2,1.0,1.0,1.0,0.25,0.3333333333333333,0.4780375,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,1774.0,30,-10,57,60,27,29,117,1.0,4.0,72,,,2.0,1.0,,27,0.4,,9.375,0.2,0.3333333333333333,,0.47368421052631576,1.0,6.0,,,1.0,,2.0,,2.0,,0.5,0.5,,1.0,0.5508,,23.9,False,7.0,,2.0,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,0.375,,,,0.5,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,3.0,,,1.0,,1.0,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,0.5,,,0.5,,,,,,,0.043478260869565216,,,0.037037037037037035,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,7716.0,129,-22,259,259,127,84,518,16.0,60.0,304,12.0,27.0,18.0,6.0,27.0,127,0.5660377358490566,0.5625,20.06578947368421,0.12,0.14634146341463414,0.45,0.49034749034749037,2.0,8.0,,11.0,20.0,,4.0,3.0,9.0,5.0,0.20454545454545456,0.09090909090909091,0.17647058823529413,0.38636363636363635,0.48879772727272724,0.5103794117647058,24.311111111111114,False,41.0,6.0,8.0,3.0,3.0,11.0,5.0,2.0,19.0,35.0,6.0,12.0,24.0,5.0,1.0,3.0,8.0,1.0,,0.5428571428571428,0.5,0.5,0.4411764705882353,0.02857142857142857,,0.18181818181818182,0.75,0.75,0.25,0.11363636363636363,0.17647058823529413,1.0,0.11764705882352941,9.051428571428572,1.0,2.0,7.0,16.0,6.0,,,,,2.0,,1.0,1.0,2.0,5.0,6.0,,1.0,12.0,1.0,14.0,6.0,,4.0,2.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,13.0,8.0,7.0,4.0,9.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,4.0,,3.0,,,,,0.3684210526315789,0.4117647058823529,1.0,0.2222222222222222,,0.2,0.2222222222222222,0.8333333333333334,0.7142857142857143,0.6666666666666666,,0.625,0.04395604395604396,0.08080808080808081,0.21875,0.08943089430894309,0.07563025210084033,,0.07692307692307693,0.03333333333333333,0.02857142857142857,0.18518518518518517,0.4,0.5,0.36363636363636365,0.4375,0.4666666666666667,0.5454545454545454,0.5454545454545454,0.5,,,,0.4,0.4,1.0,0.2857142857142857,0.5,,,,0.14285714285714285,,,,0.5,0.4,0.47774285714285714,0.2,1.0,0.13636363636363635,2.0,1.0,1.0,1.0,2.0,0.0625,0.05,0.0625,0.14285714285714285,0.045454545454545456,0.14285714285714285,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,3934.0,66,-8,131,132,64,60,263,4.0,27.0,140,3.0,16.0,6.0,2.0,16.0,64,0.6136363636363636,0.7272727272727273,17.94871794871795,0.09523809523809523,0.15384615384615385,0.5925925925925926,0.48854961832061067,,5.0,,12.0,13.0,,3.0,2.0,8.0,4.0,0.42105263157894735,0.15789473684210525,0.2222222222222222,0.5789473684210527,0.47608157894736847,0.4785944444444444,25.0625,False,23.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,11.0,2.0,5.0,2.0,5.0,1.0,2.0,6.0,2.0,,0.36363636363636365,0.4,0.6052631578947368,0.7222222222222222,0.09090909090909091,,0.15789473684210525,0.6666666666666666,1.0,0.2631578947368421,0.2631578947368421,0.2222222222222222,1.0,0.2222222222222222,11.654545454545454,,,,3.0,2.0,2.0,,,1.0,3.0,,,2.0,5.0,1.0,1.0,,,2.0,3.0,6.0,9.0,6.0,,3.0,1.0,1.0,2.0,1.0,,1.0,,5.0,,5.0,7.0,1.0,4.0,2.0,2.0,4.0,,4.0,,4.0,,1.0,,,,2.0,0.75,0.75,0.6,0.625,,0.75,0.625,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.16279069767441862,,0.29411764705882354,0.2,,,0.09090909090909091,0.16666666666666666,0.2,0.29411764705882354,,0.5,0.15789473684210525,,,0.4,0.4,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.6,0.3333333333333333,,,,,,,,,0.5,1.0,0.6,,0.07407407407407407,,,,,,,,,,,,,,1.0,0.1111111111111111,,,,,,,,,
