EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,ShortMidRangeFGA,FG2A,PenaltyFG2A,Fouls,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Usage,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,AtRimFGM,AtRimFGA,FG2M,Points,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimFG3AFrequency,SecondChanceOffPoss,ShortMidRangeFGM,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,DeadBallTurnovers,Travels,Turnovers,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,FtPoints,PenaltyFG3A,PenaltyFtPoints,HeaveAttempts,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,FTDefRebounds,BadPassTurnovers,2pt And 1 Free Throw Trips,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,Arc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,on,Corner3FGA,PenaltyCorner3FGA,Corner3Assists,OffThreePtRebounds,BadPassSteals,RecoveredBlocks,ShortMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SelfOReb,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,SecondChanceFg3Pct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,Corner3PctBlocked
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,52.0,1.0,-4,2.0,2,2.0,2,4,4,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,110.0,2.0,-2,4.0,3,4.0,3,7,4,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,50.0,1.0,0.39115,0.39115,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,598.0,10.0,-9,17.0,19,6.0,13,36,26,6.0,0.35294117647058826,,1.0,,1.0,,,5.88235294117647,,0.5463,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,1527.0,25.0,-15,49.0,52,20.0,25,101,68,20.0,0.40816326530612246,5.0,6.0,1.0,9.0,,1.0,13.72549019607843,0.8333333333333334,0.43755000000000005,0.3798,7.333333333333333,1.0,1.0,3.0,6.0,2.0,,,,,,4.0,5.0,,,5.0,0.5,0.5,0.5,,0.21052631578947367,,0.16666666666666666,1.0,1.0,0.16666666666666666,2.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3076923076923077,0.0625,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.42857142857142855,1.0,0.4,0.4,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,993.0,17.0,-6,34.0,36,16.0,15,70,40,16.0,0.47058823529411764,2.0,5.0,4.0,1.0,,,22.22222222222222,0.3333333333333333,0.38715000000000005,0.36372499999999997,13.88,,,2.0,7.0,2.0,1.0,2.0,,5.0,,,,,,,0.4,0.5833333333333334,0.5833333333333334,,,,,,,0.16666666666666666,2.0,1.0,2.0,4.0,2.0,,,,1.0,,2.0,,,,,4.0,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.5,0.5,,0.5714285714285714,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,1400.0,23.0,-8,46.0,46,17.0,19,92,61,17.0,0.3695652173913043,4.0,11.0,5.0,2.0,,1.0,31.25,0.3333333333333333,0.4502636363636364,0.44258,10.209090909090909,3.0,3.0,8.0,21.0,10.0,,,,,3.0,5.0,5.0,,,1.0,0.7272727272727273,0.6666666666666666,0.7142857142857143,0.75,0.3125,0.6666666666666666,0.25,1.0,1.0,0.3333333333333333,2.0,4.0,3.0,8.0,6.0,,2.0,,,,1.0,,,,,8.0,0.375,0.375,0.6,0.5,0.5714285714285714,0.16666666666666666,,,,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.0,1.0,,0.38095238095238093,1.0,4.0,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,0.08333333333333333,1.0,0.3333333333333333,0.25,0.25,1.0,0.08333333333333333,,,,43.2,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.07692307692307693,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,1228.0,20.0,-9,40.0,43,15.0,16,83,53,15.0,0.375,4.0,8.0,2.0,1.0,,1.0,28.571428571428573,0.4444444444444444,0.4850055555555556,0.44815,7.125,1.0,3.0,4.0,14.0,6.0,2.0,2.0,1.0,4.0,,1.0,2.0,,,,0.5,0.6111111111111112,0.7,,,,0.3333333333333333,0.3333333333333333,0.5,0.4444444444444444,2.0,3.0,1.0,3.0,2.0,1.0,,1.0,,,2.0,,,,,3.0,0.25,0.3333333333333333,0.5,0.5,0.75,,0.07692307692307693,0.07142857142857142,,,,,0.75,0.75,0.3333333333333333,0.21428571428571427,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,,1.0,,1.0,1.0,0.1111111111111111,1.0,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,1.0,24.5,1.0,1.0,,3.0,,1.0,,3.0,,2.0,,,0.5,1.0,,0.2,0.2222222222222222,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.3333333333333333,1.0,0.2,1.0,0.4646,0.14285714285714285,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1610612742,Johnny Newman,Johnny Newman,271,DAL,30.0,,-3,,1,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,1367.0,23.0,-7,43.0,47,16.0,22,90,58,16.0,0.37209302325581395,2.0,3.0,1.0,2.0,,,13.333333333333332,0.4,0.4377,0.48275,14.666666666666666,,,1.0,3.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,2.0,,,1.0,0.3333333333333333,0.2,0.25,0.16666666666666666,0.11764705882352941,0.25,,,,0.4,2.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,0.16666666666666666,0.09090909090909091,,,,,0.16666666666666666,,,,,0.3333333333333333,1.0,1.0,,2.0,,2.0,,2.0,,,,1.0,,,,,,,0.4,,0.2,1.0,1.0,,0.4,,,,24.9,,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,183.0,3.0,-7,6.0,7,4.0,5,13,13,4.0,0.6666666666666666,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
