EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,ThreePtAssists,Assists,Arc3Assists,AssistPoints,LongMidRangeFrequency,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,on,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,AtRimPctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,Corner3Assists,ShortMidRangeAssists,NonShootingFoulsDrawn,Corner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,DefFTReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PtsUnassisted3s,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,BlocksRecoveredPct,Travels,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,236.0,4.0,-6.0,7.0,7.0,2.0,7.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,33.333333333333336,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5334833333333333,0.5659,1.0,1.5,24.6,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,236.0,4.0,-6.0,7.0,7.0,2.0,7.0,1.0,14.0,,,,,,,,1.0,,,11.0,,,,,,,,,,2.0,,,,,,,,11.11111111111111,,,,,,,,,,,,0.3575,,,15.8,,0.2857142857142857,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,1610612755,Alvin Jones,Alvin Jones,2264,PHI,236.0,4.0,-6.0,7.0,7.0,2.0,7.0,1.0,14.0,,,,,,,,,,,11.0,,,,,,,,,1.0,2.0,,,,,,,,11.11111111111111,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,235.0,4.0,-6.0,7.0,7.0,2.0,7.0,1.0,14.0,,,,,,1.0,,1.0,1.0,3.0,11.0,,1.0,,,,1.0,,,,2.0,,,0.75,,0.75,,0.5,22.22222222222222,,,,,,,,0.5,,,0.5,0.45935,,,16.5,26.1,0.2857142857142857,1.0,,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5226,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,1610612755,Corie Blount,Corie Blount,916,PHI,235.0,4.0,-6.0,7.0,7.0,2.0,7.0,1.0,14.0,,,,,,,,1.0,,,11.0,,,,,,,,1.0,1.0,2.0,,,,,,,,11.11111111111111,,0.2,,,,,,,,,,0.388,,,15.8,,0.2857142857142857,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,7079.0,118.0,1.0,217.0,217.0,47.0,30.0,32.0,434.0,8.0,16.0,1.0,6.0,,,22.0,44.0,,51.0,230.0,5.0,13.0,11.0,2.0,,,11.0,13.0,26.0,47.0,0.5,0.38461538461538464,0.5,0.38461538461538464,0.5425531914893617,0.39285714285714285,,20.47244094488189,0.11956521739130435,0.12264150943396226,0.0425531914893617,0.36363636363636365,0.5,0.5714285714285714,,,0.46153846153846156,0.16666666666666666,0.36363636363636365,0.46149090909090906,0.46460833333333335,0.21568627450980393,10.063636363636364,,0.21658986175115208,22.0,,7.0,,14.0,0.5,9.0,13.0,4.0,2.0,5.0,0.8,0.125,0.12380952380952381,0.14814814814814814,,,,,,,12.0,,,4.0,9.0,,12.0,,,,,0.46153846153846156,0.46153846153846156,0.09090909090909091,,,,,,,,0.5574461538461539,0.23529411764705882,2.0,0.14285714285714285,0.07692307692307693,False,4.0,9.0,2.0,6.0,12.0,7.0,1.0,6.0,13.0,42.0,7.0,1.0,6.0,4.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,12.0,1.0,1.0,3.0,6.0,2.0,0.9545454545454546,0.9545454545454546,0.46153846153846156,0.125,0.3333333333333333,0.12121212121212122,0.24,0.15,1.0,0.14285714285714285,0.08333333333333333,0.10714285714285714,0.2,1.0,0.13636363636363635,0.3333333333333333,0.5,0.5,0.5454545454545454,0.5454545454545454,1.0,1.0,0.6923076923076923,0.4444444444444444,0.1276595744680851,0.1276595744680851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,171.0,3.0,4.0,5.0,5.0,5.0,5.0,,10.0,,,,,,,,,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,2716.0,45.0,-6.0,82.0,87.0,22.0,31.0,10.0,169.0,,1.0,,,,1.0,4.0,10.0,1.0,12.0,88.0,,,,4.0,,1.0,1.0,1.0,1.0,22.0,0.4,,0.36363636363636365,,0.42857142857142855,,0.09090909090909091,17.894736842105264,0.03333333333333333,0.023809523809523808,0.06666666666666667,0.09090909090909091,,,,0.09090909090909091,,,0.18181818181818182,0.4350772727272727,,,15.13,24.7,0.2682926829268293,8.0,2.0,13.0,,28.0,0.7272727272727273,,,3.0,1.0,3.0,1.0,,,,,,,,,,1.0,,,,6.0,,1.0,,,,,,0.25,,,,,,,,,0.3359,0.08333333333333333,,,,False,,,,1.0,4.0,4.0,,,1.0,4.0,11.0,7.0,2.0,,5.0,2.0,3.0,2.0,,,,1.0,8.0,,,,2.0,2.0,0.5,0.5,,,,,,,,,,,,,0.09090909090909091,,,,0.5,0.5,0.5,,,,0.15384615384615385,0.16666666666666666,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
