EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGA,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,Corner3PctBlocked,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,on,SecondChanceCorner3FGM,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,BlockedCorner3
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,32173.0,536,54,1035,1037,373,278.0,124.0,2072,38.0,62.0,14.0,26.0,17.0,21.0,17.0,49.0,13.0,33.0,1.0,2.0,6.0,1.0,2.0,4.0,68.0,144.0,2.0,7.0,74.0,216.0,1065.0,18.0,39.0,1.0,14.0,50.0,22.0,44.0,2.0,4.0,36.0,86.0,66.0,70.0,3.0,3.0,24.0,6.0,2.0,17.0,21.0,6.0,27.0,3.0,3.0,11.0,6.0,4.0,60.0,9.0,35.0,2.0,13.0,73.0,17.0,103.0,46.0,149.0,5.0,18.0,13.0,5.0,19.0,6.0,10.0,18.0,5.0,9.0,1.0,37.0,4.0,18.0,37.0,76,10.0,4.0,98.0,6.0,39.0,13.0,20.0,14.0,6.0,20.0,10.0,1.0,2.0,5.0,86.0,373,10.0,0.4852941176470588,0.5892857142857143,0.5,0.2857142857142857,0.5,0.2857142857142857,0.4722222222222222,0.46153846153846156,0.5,0.47019867549668876,0.45,0.5208333333333334,0.5482233502538071,0.5208333333333334,0.6142857142857143,0.046357615894039736,0.11805555555555555,0.12903225806451613,0.16326530612244897,0.030303030303030304,19.630872483221477,0.5135135135135135,0.5483870967741935,0.047619047619047616,0.17804878048780487,0.0938337801608579,0.09558823529411764,0.09090909090909091,0.1575091575091575,0.09322033898305085,0.1619047619047619,0.08421052631578947,0.057803468208092484,0.13559322033898305,0.025,0.15730337078651685,0.18633540372670807,0.18125,0.11458333333333333,0.05,0.07936507936507936,0.5,0.4105960264900662,0.6129032258064516,0.7037037037037037,0.4473684210526316,0.32450331125827814,0.3469387755102041,0.4146341463414634,0.23529411764705882,0.2185430463576159,0.3939393939393939,0.40625,0.9230769230769231,0.006622516556291391,0.039735099337748346,0.3333333333333333,0.3333333333333333,0.5,0.65,0.5384615384615384,0.14285714285714285,0.025,0.4375,0.8095238095238095,0.08333333333333333,0.5,0.45695364238410596,0.3333333333333333,0.463341059602649,0.5083391891891892,0.46423229166666663,0.21195652173913043,0.22033898305084745,0.23148148148148148,0.39814814814814814,6.3819444444444455,22.47142857142857,0.36038647342995167,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1444,1610612758,Lawrence Funderburke,Lawrence Funderburke,1444,SAC,545.0,9,-3,16,17,7,9.0,3.0,33,,1.0,,,,,,,,,,,,,,,,1.0,,,,,21.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,2,,,,,,,,,,,,,,,,7,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,5.2631578947368425,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5123,,,,,,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1517,1610612758,Bobby Jackson,Bobby Jackson,1517,SAC,10980.0,183,-32,357,362,176,147.0,45.0,719,16.0,26.0,3.0,3.0,8.0,13.0,2.0,6.0,7.0,17.0,9.0,,6.0,1.0,,4.0,25.0,49.0,1.0,15.0,19.0,72.0,404.0,4.0,6.0,1.0,4.0,12.0,13.0,24.0,,10.0,11.0,37.0,22.0,28.0,3.0,,6.0,6.0,,4.0,15.0,3.0,18.0,2.0,1.0,7.0,2.0,6.0,39.0,1.0,7.0,,8.0,10.0,1.0,19.0,8.0,27.0,3.0,5.0,2.0,3.0,4.0,,3.0,8.0,4.0,1.0,2.0,12.0,1.0,5.0,4.0,15,,1.0,24.0,1.0,8.0,4.0,,,,,,,,,37.0,176,6.0,0.44,0.5,1.0,0.06666666666666667,,0.06666666666666667,0.5102040816326531,0.6666666666666666,0.5416666666666666,0.4140625,0.5714285714285714,0.38235294117647056,0.47333333333333333,0.6666666666666666,0.43902439024390244,0.234375,0.08163265306122448,0.15384615384615385,,,21.06537530266344,0.3333333333333333,0.06666666666666667,,0.07042253521126761,0.059322033898305086,0.14545454545454545,0.022222222222222223,0.09137055837563451,0.049079754601226995,0.05,,0.10416666666666667,0.041666666666666664,,,0.09523809523809523,0.09302325581395349,0.16279069767441862,0.08333333333333333,0.08823529411764706,,0.40625,0.6153846153846154,0.7272727272727273,0.5,0.09375,0.3333333333333333,0.3333333333333333,,0.265625,0.4117647058823529,0.4117647058823529,0.42857142857142855,0.140625,0.09375,,,,0.42857142857142855,1.0,,0.14285714285714285,0.38235294117647056,0.6153846153846154,0.11764705882352941,,0.640625,,0.51127265625,0.49905000000000005,0.5181794117647058,0.11267605633802817,0.14285714285714285,0.16666666666666666,0.5138888888888888,7.367346938775509,24.026666666666664,0.49299719887955185,1.0,6.0,1.0,0.1111111111111111,0.1111111111111111,1.0,0.17647058823529413,,,,,,,,,,,,,,,,,True,,,,,,,,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,28845.0,481,54,939,938,326,246.0,111.0,1877,18.0,34.0,1.0,1.0,6.0,8.0,11.0,19.0,32.0,87.0,10.0,11.0,27.0,3.0,2.0,8.0,61.0,140.0,17.0,37.0,51.0,224.0,957.0,2.0,4.0,3.0,4.0,11.0,16.0,39.0,3.0,10.0,36.0,77.0,42.0,80.0,45.0,6.0,,27.0,11.0,13.0,41.0,13.0,54.0,6.0,7.0,22.0,2.0,17.0,121.0,2.0,9.0,,14.0,20.0,,34.0,11.0,45.0,1.0,19.0,12.0,7.0,22.0,3.0,13.0,5.0,1.0,9.0,,27.0,1.0,8.0,6.0,18,,1.0,64.0,2.0,18.0,15.0,2.0,1.0,1.0,2.0,2.0,,,,77.0,326,2.0,0.3442622950819672,0.3442622950819672,0.8823529411764706,0.4594594594594595,0.3,0.4594594594594595,0.4357142857142857,0.5,0.41025641025641024,0.4887005649717514,0.5,0.41836734693877553,0.5384615384615384,0.55,0.5422535211267606,0.20903954802259886,0.09285714285714286,0.23529411764705882,0.15789473684210525,0.022988505747126436,21.719038817005544,0.8148148148148148,,,0.055248618784530384,0.026392961876832845,0.11290322580645161,0.02247191011235955,0.06995884773662552,0.02558139534883721,0.04040404040404041,0.012048192771084338,0.025157232704402517,0.01818181818181818,0.029411764705882353,0.08108108108108109,0.04861111111111111,0.04861111111111111,0.10227272727272728,0.1388888888888889,0.011627906976744186,1.0,0.192090395480226,0.5294117647058824,0.6923076923076923,0.3333333333333333,0.10734463276836158,0.5789473684210527,0.6875,0.2727272727272727,0.4915254237288136,0.367816091954023,0.3764705882352941,0.375,0.05649717514124294,0.15254237288135594,0.4074074074074074,0.4074074074074074,0.8181818181818182,0.14285714285714285,1.0,1.0,0.42857142857142855,0.16326530612244897,0.75,0.16326530612244897,0.25,0.4011299435028249,0.4074074074074074,0.4765087570621468,0.5198428571428572,0.45511632653061224,0.09326424870466321,0.11538461538461539,0.049107142857142856,0.34375,12.857857142857142,24.66756756756757,0.34717784877529284,6.0,2.0,,0.6,0.6,1.0,0.04081632653061224,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,True,,,,,,,,
2045,1610612758,Hedo Turkoglu,Hedo Turkoglu,2045,SAC,17174.0,286,32,554,552,200,139.0,70.0,1106,10.0,21.0,3.0,6.0,2.0,5.0,6.0,9.0,11.0,29.0,4.0,6.0,14.0,4.0,1.0,6.0,27.0,59.0,8.0,18.0,5.0,83.0,565.0,4.0,7.0,4.0,,14.0,9.0,17.0,2.0,8.0,4.0,28.0,34.0,20.0,24.0,,6.0,14.0,6.0,3.0,9.0,3.0,12.0,1.0,2.0,,1.0,8.0,27.0,2.0,8.0,1.0,8.0,24.0,2.0,34.0,11.0,45.0,1.0,2.0,,2.0,2.0,1.0,2.0,7.0,3.0,,,9.0,2.0,4.0,9.0,23,4.0,2.0,14.0,,5.0,2.0,4.0,1.0,2.0,4.0,4.0,,,,28.0,200,2.0,0.6296296296296297,0.7083333333333334,1.0,0.4444444444444444,0.25,0.4444444444444444,0.4576271186440678,0.5714285714285714,0.5294117647058824,0.5064935064935064,0.6363636363636364,0.48,0.49404761904761907,0.6363636363636364,0.4827586206896552,0.23376623376623376,0.05084745762711865,0.14285714285714285,,,14.645669291338583,0.2222222222222222,0.125,0.037037037037037035,0.11214953271028037,0.04020100502512563,0.1038961038961039,0.041666666666666664,0.10996563573883161,0.04048582995951417,0.043478260869565216,,0.05714285714285714,0.06451612903225806,,0.10810810810810811,0.10309278350515463,0.125,0.12962962962962962,0.043478260869565216,0.02631578947368421,1.0,0.2727272727272727,0.47619047619047616,0.5555555555555556,0.5,0.11688311688311688,0.6666666666666666,0.6666666666666666,0.5,0.37662337662337664,0.3793103448275862,0.3793103448275862,0.8181818181818182,0.05194805194805195,0.18181818181818182,0.42857142857142855,0.46153846153846156,1.0,0.5454545454545454,0.5,,0.36363636363636365,0.2,0.4,0.24,0.16666666666666666,0.5064935064935064,0.42857142857142855,0.49015974025974024,0.5444277777777777,0.47574599999999995,0.06097560975609756,0.078125,0.1686746987951807,0.3373493975903614,10.872881355932206,24.81666666666667,0.36101083032490977,2.0,2.0,,0.5,0.5,1.0,0.08,1.0,2.0,2.0,0.5,0.5,1.0,0.5,1.0,1.0,0.05555555555555555,0.07142857142857142,,,,,,True,,,,,,,,
57,1610612758,Doug Christie,Doug Christie,57,SAC,28494.0,475,77,915,918,323,237.0,110.0,1833,25.0,37.0,1.0,3.0,8.0,10.0,2.0,6.0,4.0,12.0,29.0,5.0,23.0,4.0,2.0,6.0,31.0,55.0,16.0,52.0,29.0,139.0,931.0,1.0,3.0,6.0,2.0,7.0,10.0,14.0,7.0,22.0,19.0,60.0,30.0,32.0,48.0,,,23.0,5.0,6.0,51.0,12.0,63.0,5.0,7.0,28.0,3.0,20.0,138.0,2.0,9.0,1.0,15.0,40.0,1.0,56.0,12.0,68.0,1.0,25.0,18.0,7.0,15.0,5.0,12.0,15.0,1.0,3.0,,30.0,1.0,12.0,11.0,42,2.0,7.0,35.0,1.0,6.0,10.0,7.0,,5.0,7.0,6.0,,1.0,,60.0,323,4.0,0.4838709677419355,0.4838709677419355,1.0,0.3076923076923077,0.3181818181818182,0.3076923076923077,0.5636363636363636,0.3333333333333333,0.7142857142857143,0.514018691588785,0.2777777777777778,0.5694444444444444,0.5491803278688525,0.35,0.6304347826086957,0.48598130841121495,0.10909090909090909,0.13513513513513514,0.16666666666666666,,14.367269267364415,0.5,0.037037037037037035,0.02857142857142857,0.10899182561307902,0.02710843373493976,0.12931034482758622,0.025,0.11387163561076605,0.02669902912621359,0.010752688172043012,0.024390243902439025,0.03821656050955414,0.041666666666666664,,0.07142857142857142,0.1386861313868613,0.10273972602739725,0.12345679012345678,0.14285714285714285,0.019230769230769232,0.8571428571428571,0.34579439252336447,0.6756756756756757,0.78125,0.44,0.056074766355140186,0.3333333333333333,0.4,0.5,0.11214953271028037,0.3333333333333333,0.3333333333333333,0.75,0.27102803738317754,0.21495327102803738,0.21739130434782608,0.21739130434782608,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.2777777777777778,0.8,0.16666666666666666,0.3333333333333333,0.8317757009345794,0.21739130434782608,0.5601943925233644,0.583075,0.5494083333333334,0.05357142857142857,0.1,0.050359712230215826,0.4316546762589928,5.243636363636363,24.290384615384614,0.35300546448087433,11.0,16.0,5.0,0.3793103448275862,0.4074074074074074,1.0,0.4444444444444444,5.0,1.0,1.0,0.16666666666666666,0.25,1.0,0.3125,2.0,2.0,0.038461538461538464,,2.0,0.06896551724137931,0.2222222222222222,,,True,,,,,,,,
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,13627.0,227,37,421,425,135,96.0,47.0,846,12.0,23.0,,5.0,3.0,3.0,6.0,13.0,9.0,22.0,11.0,5.0,13.0,2.0,3.0,5.0,27.0,58.0,9.0,24.0,16.0,97.0,428.0,3.0,8.0,3.0,4.0,10.0,12.0,20.0,4.0,8.0,5.0,41.0,32.0,22.0,24.0,3.0,2.0,13.0,5.0,7.0,5.0,1.0,6.0,1.0,,1.0,,4.0,13.0,1.0,9.0,,8.0,24.0,1.0,33.0,10.0,43.0,3.0,1.0,1.0,,6.0,2.0,2.0,8.0,2.0,4.0,,14.0,,4.0,6.0,11,1.0,1.0,20.0,1.0,6.0,2.0,,,,,,,,,41.0,135,1.0,0.5925925925925926,0.6153846153846154,0.8888888888888888,0.375,0.5,0.375,0.46551724137931033,0.375,0.6,0.49390243902439024,0.2727272727272727,0.6428571428571429,0.5224719101123596,0.375,0.6833333333333333,0.2926829268292683,0.1206896551724138,0.21739130434782608,0.15384615384615385,,21.10655737704918,0.42857142857142855,0.125,,0.13559322033898305,0.061224489795918366,0.16326530612244897,0.02,0.1415929203539823,0.050761421319796954,0.06976744186046512,0.10416666666666667,0.017857142857142856,0.03225806451612903,,0.06666666666666667,0.09615384615384616,0.2,0.14705882352941177,0.2,0.07692307692307693,,0.2804878048780488,0.5217391304347826,0.6666666666666666,0.8333333333333334,0.15853658536585366,0.46153846153846156,0.5454545454545454,0.16666666666666666,0.2682926829268293,0.4090909090909091,0.4090909090909091,0.5555555555555556,0.13414634146341464,0.15853658536585366,0.38461538461538464,0.38461538461538464,1.0,0.45454545454545453,,,0.18181818181818182,0.10714285714285714,1.0,0.17857142857142858,0.6,0.573170731707317,0.38461538461538464,0.5113737804878049,0.5324833333333334,0.47116964285714286,0.06896551724137931,0.09523809523809523,0.10309278350515463,0.422680412371134,8.805172413793104,24.120833333333337,0.32066508313539194,4.0,3.0,5.0,0.36363636363636365,0.36363636363636365,0.75,0.10714285714285714,1.0,,,,,,0.3333333333333333,,,,,1.0,,0.09090909090909091,,,True,,,,,,,,
2222,1610612758,Gerald Wallace,Gerald Wallace,2222,SAC,332.0,6,-2,11,9,3,,1.0,20,,,,,,,,,,,,,,,,,,,,,4.0,4.0,14.0,,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4.0,,2.0,,1.0,,1.0,1.0,,,,,2.0,3,,,,,,,,,,,,,,1.0,,1.0,,,,,,16.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,,,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1513,1610612758,Scot Pollard,Scot Pollard,1513,SAC,1542.0,26,2,44,45,19,13.0,9.0,89,2.0,2.0,2.0,2.0,,,,1.0,,,,,,,,,2.0,3.0,,,,4.0,46.0,2.0,2.0,,,4.0,,,,,,,,4.0,,,4.0,,,1.0,,,,,,,,,,1.0,3.0,,,3.0,,3.0,4.0,7.0,,1.0,,1.0,,,,,,,,,,,3.0,3,,,,,,,1.0,1.0,,1.0,1.0,,,,,19,,,,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,0.3333333333333333,,1.0,,5.357142857142857,,,,0.11538461538461539,0.15,,0.2,0.10344827586206896,0.16,0.25,0.16666666666666666,0.1,0.5,,,,0.2,,,,1.0,0.6666666666666666,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,,,,,,,0.6666666666666666,,0.5111333333333333,0.5658,,,,1.0,,3.1999999999999997,,0.4318181818181818,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
185,1610612758,Chris Webber,Chris Webber,185,SAC,27153.0,453,51,883,882,303,225.0,100.0,1765,58.0,78.0,18.0,24.0,15.0,20.0,28.0,64.0,34.0,83.0,,,1.0,,,,120.0,225.0,,1.0,40.0,280.0,894.0,24.0,38.0,,12.0,60.0,31.0,63.0,,,16.0,78.0,138.0,102.0,,,30.0,1.0,,5.0,39.0,11.0,50.0,8.0,3.0,21.0,5.0,13.0,111.0,6.0,26.0,1.0,20.0,62.0,4.0,86.0,33.0,119.0,10.0,9.0,4.0,5.0,13.0,2.0,7.0,19.0,2.0,6.0,3.0,32.0,1.0,9.0,21.0,45,4.0,11.0,69.0,7.0,29.0,9.0,16.0,4.0,10.0,19.0,12.0,1.0,,1.0,78.0,303,1.0,0.575,0.6571428571428571,,,,,0.5333333333333333,0.631578947368421,0.49206349206349204,0.5309734513274337,0.631578947368421,0.49206349206349204,0.5447470817120622,0.6521739130434783,0.4936708860759494,0.004424778761061947,0.022222222222222223,0.02564102564102564,0.046875,,28.55731225296443,0.40625,0.16666666666666666,0.02631578947368421,0.17971014492753623,0.0804953560371517,0.1724137931034483,0.07692307692307693,0.17787418655097614,0.0798004987531172,0.16483516483516483,0.06329113924050633,0.0392156862745098,0.045454545454545456,0.11764705882352941,0.1323529411764706,0.16551724137931034,0.2196969696969697,0.1875,0.1388888888888889,0.09900990099009901,0.631578947368421,0.34513274336283184,0.7435897435897436,0.7631578947368421,0.5862068965517241,0.2831858407079646,0.4375,0.45901639344262296,0.25,0.3672566371681416,0.40963855421686746,0.40963855421686746,0.8235294117647058,,0.004424778761061947,,,,0.631578947368421,0.75,0.2222222222222222,,0.31746031746031744,0.75,,,0.3495575221238938,,0.4696800884955753,0.508760606060606,0.46197777777777776,0.11693548387096774,0.11740890688259109,0.21428571428571427,0.2785714285714286,8.846666666666666,25.5,0.3431483578708947,,,,,,,,,,,,,,,,2.0,,,,,,3.0,3.0,True,,,,,,,,
