EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,PenaltyFg3Pct,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,PtsUnassisted3s,ThreePtAssists,Corner3Assists,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,Arc3Assists,Technical Free Throw Trips,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
123,1610612750,Robert Pack,Robert Pack,123,MIN,228.0,4,-6,9,9,7,3,1.0,18,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,13,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7,0.3333333333333333,0.3333333333333333,0.25,0.25,0.375,0.375,0.25,0.3333333333333333,1.0,40.0,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.75,0.5306375,0.5306375,0.25,0.3333333333333333,1.0,5.766666666666667,25.1,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,5563.0,93,-22,188,186,88,38,28.0,374,8.0,10.0,1.0,2.0,4.0,,,15.0,31.0,,4.0,34.0,223,3.0,8.0,,2.0,8.0,10.0,,2.0,10.0,9.0,1.0,4.0,8.0,88,0.4838709677419355,0.375,0.4838709677419355,0.375,0.4857142857142857,0.4444444444444444,,0.06451612903225806,,17.808219178082194,0.3225806451612903,0.8,0.8888888888888888,0.12903225806451613,,0.25,0.5,,0.3225806451612903,0.44699032258064514,0.46668750000000003,0.11764705882352941,0.11764705882352941,0.23529411764705882,6.625806451612903,,0.46808510638297873,4.0,4.0,6.0,17.0,1.0,4.0,7.0,2.0,10.0,20.0,6.0,3.0,3.0,1.0,1.0,1.0,6.0,2.0,4.0,3.0,10.0,1.0,14.0,6.0,20.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.5714285714285714,0.5714285714285714,0.625,0.1,0.058823529411764705,0.75,0.5,0.1694915254237288,0.056338028169014086,0.13043478260869565,0.15384615384615385,0.15853658536585366,0.07142857142857142,0.2727272727272727,0.043478260869565216,0.1111111111111111,0.25,0.17647058823529413,0.2777777777777778,0.08333333333333333,0.15789473684210525,0.625,0.5483870967741935,0.35294117647058826,0.375,0.6666666666666666,0.25,0.25,1.0,0.5714285714285714,1.0,0.25,0.4935285714285714,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,5510.0,92,-20,186,184,86,36,28.0,370,2.0,4.0,1.0,1.0,7.0,3.0,,11.0,25.0,6.0,11.0,36.0,221,3.0,8.0,3.0,9.0,15.0,12.0,3.0,1.0,8.0,12.0,,4.0,15.0,86,0.44,0.375,0.4032258064516129,0.2727272727272727,0.4864864864864865,0.46875,0.1935483870967742,0.04,,20.276497695852534,0.12903225806451613,0.5,0.5,0.22580645161290322,0.0967741935483871,0.09090909090909091,1.0,,0.3225806451612903,0.46712741935483865,0.47409999999999997,0.11428571428571428,0.13793103448275862,0.4166666666666667,9.552,24.016666666666666,0.46236559139784944,,1.0,6.0,14.0,3.0,4.0,5.0,1.0,9.0,10.0,2.0,4.0,4.0,2.0,2.0,,8.0,,6.0,4.0,3.0,,7.0,6.0,13.0,2.0,1.0,4.0,4.0,3.0,,,7.0,3.0,2.0,2.0,,,0.45454545454545453,0.5,0.8,0.6666666666666666,0.6428571428571429,,0.07142857142857142,0.5714285714285714,,0.05084745762711865,0.08571428571428572,0.18181818181818182,,0.08641975308641975,0.07317073170731707,,0.08695652173913043,,,0.058823529411764705,0.05555555555555555,0.041666666666666664,0.1111111111111111,1.0,0.45161290322580644,0.42857142857142855,0.46153846153846156,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.16666666666666666,,,0.4649666666666666,0.25,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.5,0.05555555555555555,0.0967741935483871,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.2727272727272727,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,2104.0,35,-7,71,70,36,25,12.0,141,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,17.0,78,1.0,2.0,2.0,3.0,11.0,2.0,1.0,,3.0,6.0,,2.0,11.0,36,0.5,0.5,0.9285714285714286,1.0,0.85,0.9166666666666666,0.42857142857142855,,,16.666666666666668,0.14285714285714285,1.0,1.0,0.42857142857142855,0.14285714285714285,0.25,1.0,0.25,0.5714285714285714,0.48109285714285716,0.491675,0.2222222222222222,0.3333333333333333,0.6470588235294118,14.675,24.7,0.5070422535211268,,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,1.0,,1.0,,2.0,,,2.0,4.0,,6.0,1.0,7.0,,,2.0,2.0,2.0,,,4.0,3.0,,1.0,,1.0,0.5,0.5,1.0,1.0,1.0,,,0.5,,0.16666666666666666,,0.3333333333333333,,0.2,,,,,,0.14285714285714285,0.2,0.16666666666666666,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,0.11764705882352941,2.0,1.0,1.0,,3.0,,9.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,0.2857142857142857,1.0,1.0,1.0,,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,5007.0,83,-20,167,166,74,24,24.0,333,10.0,13.0,3.0,6.0,5.0,1.0,1.0,17.0,32.0,1.0,18.0,55.0,199,6.0,14.0,1.0,13.0,28.0,20.0,1.0,3.0,5.0,24.0,2.0,9.0,28.0,74,0.53125,0.42857142857142855,0.5606060606060606,0.5,0.625,0.6086956521739131,0.030303030303030304,0.09375,,27.835051546391753,0.3939393939393939,0.7692307692307693,0.9090909090909091,0.15151515151515152,0.030303030303030304,0.4,0.5,0.06666666666666667,0.42424242424242425,0.4647606060606061,0.4642866666666666,0.225,0.23076923076923078,0.509090909090909,6.340625,24.2,0.4431137724550898,4.0,6.0,6.0,14.0,1.0,4.0,6.0,1.0,9.0,14.0,8.0,8.0,11.0,5.0,1.0,2.0,25.0,1.0,9.0,7.0,16.0,1.0,24.0,10.0,34.0,1.0,1.0,2.0,1.0,8.0,,1.0,10.0,3.0,2.0,4.0,1.0,,0.4117647058823529,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.15384615384615385,0.07142857142857142,0.2,0.5,0.3076923076923077,0.15,0.30434782608695654,0.09090909090909091,0.30666666666666664,0.14084507042253522,0.09090909090909091,0.1,,0.25,0.2,0.29411764705882354,0.4,0.3157894736842105,0.2,0.42424242424242425,0.42857142857142855,0.46153846153846156,0.6666666666666666,0.2,0.2,1.0,1.0,0.6666666666666666,,0.57068,0.16363636363636364,,,1.0,,1.0,,,1.0,,,1.0,4.0,,,2.0,,1.0,1.0,0.20689655172413793,0.25,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,0.75,,,True,,,,,,,,,,
693,1610612750,Joe Smith,Joe Smith,693,MIN,1397.0,23,-16,51,51,28,11,7.0,102,1.0,1.0,1.0,1.0,,,,1.0,2.0,,5.0,7.0,68,1.0,2.0,,2.0,4.0,2.0,,,4.0,6.0,,2.0,4.0,28,0.5,0.5,0.5,0.5,0.7,0.6666666666666666,,,,10.344827586206897,0.5,1.0,1.0,,,0.5,1.0,,0.5,0.48329999999999995,0.48329999999999995,0.5,0.5,0.5714285714285714,4.25,,0.5490196078431373,1.0,1.0,,1.0,,1.0,1.0,2.0,4.0,,2.0,,,,,,,1.0,1.0,,3.0,,3.0,2.0,5.0,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,0.25,0.058823529411764705,,0.3333333333333333,0.16666666666666666,0.1,,,0.5,,0.25,,0.4,,,0.5,,,,,,,1.0,1.0,,0.606,0.5714285714285714,,,,,,,,,,,,,,1.0,1.0,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
718,1610612750,Gary Trent,Gary Trent,718,MIN,236.0,4,-3,9,8,8,7,1.0,17,,,,,,,,,2.0,,,,14,,1.0,,,,,,1.0,1.0,,,,,8,,,,,,,,0.5,,20.0,,,,,,,,,,0.42235,0.4536,,,,6.85,,0.8888888888888888,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,5335.0,89,-16,179,177,81,35,27.0,356,4.0,8.0,3.0,4.0,10.0,8.0,5.0,12.0,26.0,10.0,8.0,41.0,210,8.0,14.0,6.0,3.0,25.0,18.0,8.0,2.0,9.0,9.0,,2.0,25.0,81,0.46153846153846156,0.5714285714285714,0.4583333333333333,0.55,0.5,0.5714285714285714,0.2777777777777778,0.07692307692307693,,21.5311004784689,0.2222222222222222,0.5,0.6666666666666666,0.2777777777777778,0.2222222222222222,0.2,0.75,0.25,0.5,0.5046111111111111,0.48077500000000006,0.05263157894736842,0.07142857142857142,0.6097560975609756,9.957692307692309,24.49,0.45251396648044695,1.0,1.0,3.0,8.0,5.0,2.0,3.0,,4.0,6.0,2.0,9.0,11.0,2.0,3.0,4.0,24.0,,1.0,2.0,6.0,,8.0,1.0,9.0,2.0,2.0,4.0,3.0,2.0,,1.0,6.0,5.0,,1.0,,5.0,0.25,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,,0.6666666666666666,,0.1016949152542373,0.014705882352941176,0.09523809523809523,,0.1,0.0125,0.1,,,,0.058823529411764705,0.1111111111111111,0.125,0.05555555555555555,0.25,0.2222222222222222,0.375,0.375,,0.5,0.5,0.4,0.3333333333333333,1.0,,0.44813333333333333,0.0975609756097561,2.0,1.0,2.0,,3.0,,3.0,2.0,,,2.0,,,,,0.3333333333333333,0.3,0.3,,0.3333333333333333,,0.05555555555555555,0.25,0.25,,,0.05,0.25,1.0,1.0,1.0,2.0,,0.3333333333333333,,0.5,0.5,1.0,1.0,0.2,6.0,2.0,,,,,,,,,2.0,3.0,True,,,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,371.0,6,-2,13,12,12,4,1.0,25,,,,,,,,,,,,,17,,,,,,,,,2.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9230769230769231,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,0.25,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,2064.0,34,2,67,67,20,7,11.0,134,1.0,1.0,,,6.0,,,3.0,9.0,,2.0,8.0,72,,1.0,,,,,,1.0,5.0,2.0,,1.0,,20,0.3333333333333333,,0.3333333333333333,,0.4,,,0.1111111111111111,,12.5,0.1111111111111111,1.0,1.0,0.6666666666666666,,,,,0.1111111111111111,0.4442111111111111,0.4122,0.1,0.1,,14.91111111111111,,0.29850746268656714,,,,2.0,2.0,,,,,6.0,,3.0,3.0,1.0,,2.0,6.0,,,,2.0,,2.0,,2.0,1.0,1.0,,,,,,,,2.0,,1.0,,1.0,1.0,,,,,0.5,,,0.07142857142857142,,,,0.05405405405405406,,,,,,,0.1,0.1,,1.0,0.2222222222222222,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,True,,,,,,,,,,
