EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyOffPossExcludingTakeFouls,Usage,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGM,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,SelfOReb,ShootingFouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,Fg3aBlocked,LongMidRangeAssists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,PenaltyTurnovers,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGA,HeaveAttempts,ShortMidRangeAssists,ShortMidRangePctBlocked,DefCorner3ReboundPct,PenaltyArc3Frequency,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,on,LostBallSteals,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,Travels,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Corner3PctBlocked
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,156.0,3,5,5,3.0,3,1.0,10,1.0,1.0,8,3.0,16.666666666666668,1.0,0.3741,17.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,2299.0,38,77,77,31.0,44,8.0,154,8.0,16.0,81,31.0,26.74418604651163,0.4444444444444444,0.46400277777777776,10.95625,0.4025974025974026,-7.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,8.0,21.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,8.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,9.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,4.0,1.0,8.0,0.8,0.8,1.0,0.5,0.5,0.3125,1.0,0.2,0.3611111111111111,0.5,0.2,0.4772727272727273,0.5,0.5,0.1111111111111111,0.0625,0.25,1.0,0.25,0.2857142857142857,0.09090909090909091,0.21052631578947367,0.02564102564102564,0.125,0.3333333333333333,0.25,0.3076923076923077,0.2222222222222222,0.2222222222222222,0.25,0.25,1.0,0.5,0.5,0.75,0.05555555555555555,0.05555555555555555,1.0,1.0,1.0,0.5,0.6,0.3333333333333333,1.0,0.5127,0.47363999999999995,0.19047619047619047,0.21052631578947367,0.09523809523809523,0.38095238095238093,24.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,2589.0,43,87,86,37.0,52,9.0,173,3.0,10.0,99,37.0,19.587628865979383,0.1875,0.522665625,7.51,0.42528735632183906,-10.0,6.0,3.0,,1.0,2.0,1.0,,2.0,5.0,4.0,3.0,6.0,3.0,20.0,2.0,5.0,,4.0,2.0,5.0,,4.0,4.0,4.0,9.0,5.0,2.0,,1.0,1.0,2.0,3.0,5.0,8.0,,,,,,11.0,6.0,,,2.0,1.0,4.0,0.5,1.0,1.0,0.5,0.5,0.4,0.4,0.4,0.53125,0.4,0.4,0.5263157894736842,0.4,0.3333333333333333,0.375,,,,0.5,0.03333333333333333,0.08333333333333333,0.025,0.11904761904761904,,,0.07142857142857142,,0.375,0.0625,,,,0.6666666666666666,0.6666666666666666,1.0,0.0625,0.3125,0.4,0.4,1.0,,0.6,0.75,0.4,0.55045,0.47492,0.1111111111111111,0.16666666666666666,0.2,0.2,24.599999999999998,2.0,2.0,5.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,0.13333333333333333,0.18181818181818182,0.25,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,2528.0,42,83,83,33.0,49,9.0,166,2.0,10.0,95,33.0,20.43010752688172,0.15384615384615385,0.4740000000000001,7.659999999999999,0.39759036144578314,-11.0,3.0,,3.0,5.0,1.0,1.0,,,2.0,7.0,1.0,3.0,5.0,22.0,1.0,1.0,,4.0,1.0,3.0,3.0,8.0,6.0,8.0,3.0,2.0,,,,4.0,,5.0,1.0,6.0,1.0,1.0,2.0,1.0,3.0,5.0,7.0,,1.0,2.0,1.0,8.0,0.42857142857142855,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.7,1.0,0.3333333333333333,0.6538461538461539,1.0,0.625,0.65625,1.0,0.6666666666666666,0.23076923076923078,,,0.6666666666666666,,0.13333333333333333,,0.125,0.024390243902439025,,,,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.6,0.6,0.3333333333333333,0.5,0.5,,0.07692307692307693,0.15384615384615385,,,,,,0.46153846153846156,,0.3599,0.4313125,0.13333333333333333,0.16666666666666666,0.18181818181818182,0.36363636363636365,24.166666666666668,3.0,,,,1.0,,1.0,2.0,3.0,1.0,1.0,,8.0,1.0,,3.0,1.0,,,,2.0,0.034482758620689655,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.1,0.1,0.1111111111111111,0.6666666666666666,0.25,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,1697.0,28,58,57,29.0,42,6.0,115,1.0,8.0,65,29.0,21.538461538461537,0.09090909090909091,0.45747,5.262499999999999,0.5,-6.0,4.0,3.0,1.0,3.0,,,,,3.0,3.0,,3.0,1.0,7.0,,,,,3.0,5.0,1.0,7.0,,6.0,,2.0,,1.0,,1.0,,2.0,,2.0,,,3.0,3.0,3.0,4.0,1.0,1.0,,1.0,,7.0,,,,,,0.375,,0.6,0.2727272727272727,,0.42857142857142855,0.3181818181818182,,0.5,0.2727272727272727,0.125,,1.0,,0.06666666666666667,,0.08333333333333333,,,,0.2,,0.36363636363636365,0.2727272727272727,0.3333333333333333,0.5,,,,,,0.2727272727272727,,,,,0.42857142857142855,0.6363636363636364,,,0.47908333333333336,0.09090909090909091,0.125,,1.0,33.93333333333334,2.0,,,2.0,,,3.0,,3.0,,,2.0,6.0,,,,2.0,,,,3.0,,,,,,0.5,0.5,,,,,,0.6666666666666666,,,,,2.0,,,1.0,,,,1.0,,,,0.1111111111111111,,,,,,2.0,1.0,1.0,0.3333333333333333,1.0,0.2857142857142857,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,1909.0,32,65,64,28.0,41,7.0,129,4.0,7.0,64,28.0,17.808219178082194,0.4,0.49372000000000005,12.885714285714286,0.4307692307692308,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,3.0,2.0,11.0,,,,,2.0,5.0,1.0,5.0,,6.0,3.0,3.0,1.0,,,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,5.0,,,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.4,0.45,,0.4,0.5,,0.5,0.3,,,0.3333333333333333,,,,0.06451612903225806,0.029411764705882353,,,,,0.2,0.1,1.0,1.0,,0.25,0.25,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,0.4,0.5,0.3333333333333333,,0.49174000000000007,0.1,0.14285714285714285,,0.45454545454545453,25.100000000000005,1.0,,,1.0,,,5.0,2.0,7.0,2.0,,1.0,16.0,1.0,,2.0,,,,,,0.043478260869565216,,,,,0.5,0.5,,,,,,0.5,,,,,,,3.0,2.0,,2.0,,2.0,,,,0.25,0.125,0.2857142857142857,,,,,,1.0,,,,2.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,1067.0,18,37,38,17.0,19,5.0,75,1.0,3.0,46,17.0,14.285714285714286,0.25,0.43635,6.8,0.4594594594594595,2.0,1.0,,1.0,1.0,,1.0,,,,2.0,,1.0,2.0,6.0,,,,,1.0,2.0,2.0,4.0,2.0,2.0,,,,,1.0,2.0,,2.0,2.0,4.0,,,1.0,1.0,1.0,1.0,2.0,,,,1.0,4.0,0.5,0.5,,,,0.6666666666666666,,0.5,0.5,,0.5,0.6,,0.6666666666666666,0.25,,,1.0,,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.15384615384615385,0.5,,0.125,0.14285714285714285,0.25,0.25,1.0,1.0,,,,,0.25,,,,,,,0.5,,,0.27805,,,,0.6666666666666666,23.8,1.0,,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,,,,,,0.1,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,0.25,,1.0,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,195.0,3,5,5,1.0,2,,10,,1.0,8,1.0,20.0,,0.2814,3.7,0.2,-6.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,1610612742,Johnny Newman,Johnny Newman,271,DAL,305.0,5,11,9,3.0,2,,20,,,15,3.0,9.090909090909092,,0.58815,,0.2727272727272727,-7.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,1610612742,Evan Eschmeyer,Evan Eschmeyer,1915,DAL,53.0,1,3,2,3.0,2,,5,,,4,3.0,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
