EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFG2M,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DefThreePtRebounds,Steals,BadPassSteals,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Fg2aBlocked,OffThreePtRebounds,Loose Ball Fouls,Offensive Fouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFGA,SecondChanceFtPoints,FTDefRebounds,DefensiveGoaltends,DefFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,Arc3FGM,NonHeaveArc3FGM,ShortMidRangeAssists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3Assists,LostBallSteals,SecondChanceAtRimFGM,PenaltyArc3FGM,SelfOReb,Blocked2s,BlockedAtRim,Blocks,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,PtsPutbacks,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,on,SecondChanceArc3FGA,LostBallTurnovers,SecondChanceArc3Frequency,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,PtsUnassisted3s,LongMidRangePctBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
1507,1610612757,Derek Anderson,Derek Anderson,1507,POR,1808.0,30.0,11.0,56.0,56,25.0,24,10.0,112,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,8.0,1.0,3.0,6.0,19.0,50.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0,3.0,3.0,14.0,6.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,3.0,1.0,14.0,25.0,0.6,0.6,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.625,0.8,0.5909090909090909,0.75,0.6875,0.6785714285714286,0.75,0.7777777777777778,0.2727272727272727,24.242424242424242,0.5,0.05263157894736842,0.045454545454545456,0.03225806451612903,0.03333333333333333,0.16666666666666666,0.125,0.09090909090909091,1.0,1.0,0.36363636363636365,0.25,0.25,0.2727272727272727,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,1.0,1.0,0.125,1.0,0.125,1.0,0.25,0.36363636363636365,0.4339954545454546,0.513275,0.45375624999999997,0.23076923076923078,0.3,0.15789473684210525,0.7368421052631579,10.1125,24.433333333333334,0.44642857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1719,1610612757,Bonzi Wells,Bonzi Wells,1719,POR,1508.0,25.0,23.0,48.0,49,25.0,22,8.0,97,1.0,3.0,1.0,1.0,1.0,1.0,,3.0,,1.0,,,,1.0,3.0,2.0,2.0,7.0,,4.0,,4.0,37.0,2.0,,,2.0,1.0,2.0,,3.0,,2.0,2.0,2.0,,3.0,4.0,5.0,1.0,11.0,,3.0,4.0,,4.0,,,,,,,,1.0,1.0,1.0,,2.0,25.0,0.5,0.5,,,,,,0.2857142857142857,0.5,0.18181818181818182,0.5,0.2,0.18181818181818182,0.5,0.2,0.36363636363636365,19.642857142857142,,0.17647058823529413,,0.16666666666666666,,,0.2222222222222222,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.09090909090909091,1.0,1.0,0.2727272727272727,,,,0.09090909090909091,,,,0.2727272727272727,,,,0.2,1.0,0.2,,0.4,0.6363636363636364,0.4772090909090909,0.33935,0.49479000000000006,0.09090909090909091,0.14285714285714285,0.5,0.5,8.200000000000001,25.05,0.5208333333333334,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,5.0,1.0,0.5,0.14285714285714285,0.2,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,1256.0,21.0,-6.0,39.0,40,16.0,15,6.0,79,,2.0,,1.0,,2.0,,,,,,,,,,,,4.0,,,2.0,2.0,44.0,1.0,,,,,2.0,,,,,,,,,,,,,,2.0,3.0,1.0,4.0,,,1.0,,1.0,,,4.0,,2.0,,,16.0,,,,,,,,,,,,,0.16666666666666666,,,,15.555555555555555,,0.16666666666666666,,0.13636363636363635,0.045454545454545456,,,0.5,,,0.5,,,,,,,,,,,,,,,0.5,,,,,0.5,0.47659999999999997,,0.4824,0.3333333333333333,0.3333333333333333,,,5.4,,0.41025641025641024,,,,,1.0,1.0,1.0,,3.0,2.0,,0.1,,,,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.14285714285714285,0.16666666666666666,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
431,1610612757,Shawn Kemp,Shawn Kemp,431,POR,2133.0,36.0,20.0,68.0,70,31.0,29,12.0,138,1.0,3.0,,,1.0,1.0,,3.0,,,,,,,,,2.0,7.0,,,7.0,11.0,62.0,1.0,,,1.0,,2.0,,,1.0,1.0,4.0,,,,,,,,1.0,3.0,6.0,2.0,8.0,1.0,1.0,1.0,,2.0,,,10.0,,4.0,1.0,1.0,31.0,1.0,1.0,,,,,,0.2857142857142857,,0.2857142857142857,,,0.4583333333333333,0.25,0.16666666666666666,,17.5,0.5,0.13636363636363635,0.04,0.08571428571428572,0.058823529411764705,,0.3,0.42857142857142855,0.3333333333333333,0.5,0.14285714285714285,1.0,1.0,0.42857142857142855,,,,,,,,,,,,,,,,,0.42857142857142855,0.4610285714285714,,0.4047,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.09090909090909091,10.928571428571429,,0.45588235294117646,,,,,,1.0,1.0,4.0,8.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,,0.1111111111111111,0.14285714285714285,,,1.0,1.0,3.0,1.0,0.5,0.1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
70,1610612757,Steve Kerr,Steve Kerr,70,POR,934.0,16.0,1.0,29.0,29,11.0,14,2.0,58,,,,,,,1.0,1.0,,,,,,,2.0,,1.0,1.0,1.0,2.0,2.0,7.0,35.0,,,,,,,,,2.0,2.0,2.0,,3.0,2.0,2.0,2.0,1.0,4.0,,1.0,1.0,,1.0,,,,,,,,2.0,,,1.0,2.0,11.0,1.0,1.0,1.0,0.5,,,0.5,1.0,,0.8333333333333334,,,0.875,,1.0,0.6666666666666666,12.5,,0.1111111111111111,,0.0625,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,0.6666666666666666,,,,,,,,,0.6666666666666666,0.5105333333333334,,,,,,0.2857142857142857,19.3,24.75,0.3793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,787.0,13.0,13.0,26.0,28,11.0,7,6.0,54,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,3.0,4.0,2.0,9.0,,,1.0,,1.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4230769230769231,,1.0,,,1.0,2.0,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
937,1610612757,Scottie Pippen,Scottie Pippen,937,POR,936.0,16.0,19.0,31.0,32,14.0,11,7.0,63,2.0,3.0,,1.0,,2.0,,2.0,1.0,2.0,,1.0,,1.0,2.0,1.0,2.0,7.0,2.0,4.0,5.0,15.0,23.0,2.0,,1.0,2.0,,3.0,1.0,2.0,3.0,6.0,4.0,,6.0,2.0,1.0,3.0,,8.0,2.0,3.0,6.0,2.0,8.0,,,,,,,,6.0,,1.0,2.0,6.0,14.0,1.0,1.0,1.0,0.5,,0.5,0.5,0.2857142857142857,,0.45454545454545453,0.3333333333333333,0.3,0.5357142857142857,0.3333333333333333,0.42857142857142855,0.36363636363636365,35.0,,0.2727272727272727,0.15384615384615385,0.26666666666666666,0.1111111111111111,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.18181818181818182,,,0.18181818181818182,,,,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,0.3333333333333333,,,0.2,,0.2,,0.2,0.6363636363636364,0.5139772727272728,0.5470333333333334,0.49226000000000003,0.08333333333333333,0.125,0.13333333333333333,0.4,6.757142857142858,24.275,0.45161290322580644,1.0,2.0,1.0,1.0,1.0,,,2.0,5.0,1.0,0.5,0.25,0.5,0.3333333333333333,1.0,,,1.0,,,,,,,0.4,,1.0,,2.0,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,0.5,0.5,1.0,0.5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,
739,1610612757,Rasheed Wallace,Rasheed Wallace,739,POR,1295.0,22.0,18.0,42.0,44,21.0,21,9.0,86,5.0,5.0,5.0,5.0,4.0,8.0,1.0,1.0,,,,,,,,,10.0,14.0,,,4.0,24.0,36.0,2.0,,,4.0,5.0,6.0,,,4.0,14.0,8.0,12.0,,,1.0,1.0,,2.0,1.0,1.0,4.0,1.0,5.0,,,,,,,,5.0,1.0,2.0,1.0,14.0,21.0,0.4,0.4444444444444444,,,,,,0.7142857142857143,0.8333333333333334,0.7142857142857143,1.0,0.8333333333333334,0.75,1.0,0.875,,32.0,,0.07692307692307693,0.058823529411764705,0.14285714285714285,0.047619047619047616,0.25,0.16666666666666666,0.35714285714285715,1.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.07142857142857142,1.0,1.0,1.0,,,,,,,,,0.8333333333333334,1.0,,,,0.35714285714285715,0.43652857142857143,0.5003500000000001,0.53375,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.5833333333333334,5.5857142857142845,,0.5,2.0,,,1.0,2.0,,,1.0,1.0,,1.0,0.25,,0.2857142857142857,0.4,1.0,,,,0.07142857142857142,,0.125,,,,,1.0,,1.0,,0.2,,0.25,0.5,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,1.0,True,,,,,,,,,,,,,
201,1610612757,Chris Dudley,Chris Dudley,201,POR,3.0,,2.0,1.0,1,1.0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
905,1610612757,Dale Davis,Dale Davis,905,POR,5.0,,-1.0,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
