EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2A,PtsUnassisted2s,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DeadBallTurnovers,Travels,Offensive Fouls,BlockedAtRim,SecondChanceAtRimFGM,PenaltyAtRimFGA,Arc3FGA,FG3A,SecondChanceFG2M,SecondChancePoints,NonHeaveArc3FGA,ShortMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,Technical Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,PenaltyAtRimFGM,SecondChanceFtPoints,PtsPutbacks,3SecondViolations,ShortMidRangePctBlocked,PenaltyAtRimAccuracy,PtsUnassisted3s,on,Corner3FGM,PenaltyCorner3FGA,Blocked3s,BlockedArc3,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,OffCorner3ReboundPct,Corner3Assists,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,1391.0,23.0,-11.0,39,42,4.0,4,4.0,81,1.0,1.0,3.0,1.0,4.0,2.0,43.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.25,0.25,0.25,0.25,1.0,11.11111111111111,1.0,0.2,0.16666666666666666,0.19047619047619047,0.2857142857142857,0.2,0.16666666666666666,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,0.426925,0.3452,12.125,0.10256410256410256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,181.0,3.0,4.0,5,5,1.0,4,1.0,10,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,14.285714285714285,,,,,,,,1.0,,,,,1.0,0.5407,,,0.2,1.0,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,4754.0,79.0,-2.0,146,148,15.0,11,19.0,294,6.0,4.0,11.0,9.0,23.0,20.0,147.0,3.0,16.0,2.0,2.0,4.0,1.0,10.0,1.0,11.0,14.0,23.0,3.0,1.0,3.0,2.0,6.0,15.0,0.8888888888888888,0.8888888888888888,0.391304347826087,0.391304347826087,0.4166666666666667,0.08695652173913043,0.3333333333333333,16.071428571428573,1.0,0.1746031746031746,0.06666666666666667,0.15384615384615385,0.2777777777777778,0.13793103448275862,0.07142857142857142,0.2608695652173913,0.4782608695652174,0.36363636363636365,0.36363636363636365,1.0,0.2608695652173913,0.4160521739130435,0.33213333333333334,11.14782608695652,0.10273972602739725,5.0,9.0,0.078125,0.11688311688311688,0.0625,3.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3076923076923077,0.07692307692307693,0.10526315789473684,0.4,0.125,0.08333333333333333,1.0,0.5,0.75,1.0,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.5,1.0,0.401,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,780.0,13.0,-10.0,23,24,,1,1.0,47,,1.0,1.0,1.0,2.0,2.0,21.0,,2.0,,,,,,1.0,,1.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,0.5,0.5,0.5,,,16.666666666666668,,,0.5,0.07692307692307693,,,0.5,,0.5,1.0,1.0,1.0,,0.41255,,16.75,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,0.5,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,5336.0,89.0,-7.0,167,166,20.0,18,22.0,333,9.0,4.0,9.0,8.0,18.0,18.0,164.0,1.0,6.0,1.0,18.0,25.0,9.0,57.0,3.0,5.0,8.0,10.0,6.0,,12.0,6.0,12.0,20.0,0.375,0.375,0.4444444444444444,0.42105263157894735,0.45,0.05555555555555555,0.1111111111111111,16.666666666666668,0.5,0.07246376811594203,0.1875,0.09411764705882353,,0.06666666666666667,0.2,0.47368421052631576,0.47368421052631576,0.4444444444444444,0.4444444444444444,0.25,0.5263157894736842,0.497078947368421,0.5938,10.216666666666665,0.11976047904191617,2.0,2.0,0.02666666666666667,0.022727272727272728,0.027777777777777776,4.0,2.0,,,2.0,2.0,10.0,7.0,7.0,6.0,,,1.0,2.0,1.0,6.0,1.0,,3.0,1.0,2.0,,,,,1.0,,,0.05555555555555555,,,0.16666666666666666,0.1,,0.4444444444444444,0.5,0.5,,,,,1.0,0.5228999999999999,0.1,0.10526315789473684,6.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.05263157894736842,0.05263157894736842,0.5,1.0,1.0,0.1111111111111111,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1563,1610612754,Kevin Ollie,Kevin Ollie,1563,IND,13.0,,,1,1,1.0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,4150.0,69.0,5.0,133,131,20.0,17,18.0,264,4.0,7.0,18.0,11.0,26.0,48.0,129.0,4.0,16.0,1.0,3.0,3.0,1.0,6.0,1.0,4.0,5.0,5.0,,,3.0,2.0,4.0,20.0,0.7272727272727273,0.7272727272727273,0.4230769230769231,0.5,0.5348837209302325,0.038461538461538464,0.25,29.87012987012987,,0.07272727272727272,0.09090909090909091,0.07575757575757576,0.06666666666666667,0.12,,0.1,0.45,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.45,0.47551375,0.4438,14.161538461538461,0.15037593984962405,,,,,,3.0,,1.0,4.0,8.0,3.0,6.0,,,1.0,,,,2.0,2.0,,1.0,,9.0,1.0,3.0,,,,,,,,,,,,,,0.75,1.0,1.0,0.1,0.25,0.25,1.0,,0.44428999999999996,0.07142857142857142,0.10714285714285714,3.0,,1.0,,,1.0,12.0,14.0,,3.0,12.0,1.0,,,2.0,1.0,,0.3,0.3,0.35,0.3,,,0.16666666666666666,0.0625,25.45,2.0,1.0,6.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,8.0,18.0,6.0,1.0,2.0,1.0,8.0,1.0,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.5833333333333334,0.5714285714285714,0.07142857142857142,0.08333333333333333,1.0,0.05,0.5,0.5454545454545454,1.0,0.2,0.2,1.0,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,,,,,True,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,4643.0,77.0,-6.0,148,145,19.0,15,19.0,293,8.0,3.0,10.0,15.0,36.0,37.0,145.0,6.0,12.0,6.0,,,,,3.0,12.0,17.0,21.0,1.0,,3.0,3.0,6.0,19.0,0.4,0.46153846153846156,0.4166666666666667,0.40540540540540543,0.45121951219512196,0.16666666666666666,0.125,25.88235294117647,0.3333333333333333,0.19672131147540983,0.21428571428571427,0.2,0.2222222222222222,0.19230769230769232,0.23076923076923078,0.21621621621621623,0.2702702702702703,0.3,0.3,0.3333333333333333,0.24324324324324326,0.4108527027027027,0.37091666666666673,9.405555555555557,0.12837837837837837,4.0,4.0,0.06349206349206349,0.05263157894736842,0.03125,5.0,2.0,7.0,18.0,7.0,7.0,18.0,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,10.0,2.0,5.0,3.0,,3.0,2.0,,1.0,,,0.16666666666666666,,0.17647058823529413,0.125,0.6666666666666666,0.625,0.7142857142857143,0.4,0.4864864864864865,0.3888888888888889,0.5384615384615384,0.42857142857142855,0.2857142857142857,0.39151428571428576,0.125,0.1282051282051282,2.0,1.0,,3.0,2.0,1.0,,1.0,2.0,5.0,,,,,,1.0,0.2857142857142857,0.2857142857142857,0.3125,0.02702702702702703,,1.0,,0.16666666666666666,0.13513513513513514,23.2,1.0,,,,,,,,,,1.0,,,3.0,5.0,,,,,1.0,5.0,,,,,,0.16666666666666666,0.16666666666666666,0.3125,,,,0.02702702702702703,,,,,,,,,,,0.13513513513513514,1.0,1.0,4.0,1.0,0.2777777777777778,1.0,,True,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,1104.0,18.0,-15.0,34,33,5.0,4,6.0,67,2.0,,1.0,2.0,3.0,4.0,38.0,,,,,,,,,1.0,1.0,4.0,,,1.0,,2.0,5.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,10.0,,0.08333333333333333,,0.06666666666666667,,,,0.6666666666666666,0.3333333333333333,,,,0.6666666666666666,0.5166,,5.533333333333334,0.14705882352941177,3.0,3.0,0.14285714285714285,0.14285714285714285,0.1111111111111111,2.0,2.0,,,,2.0,4.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,0.14285714285714285,0.2,,0.5,,,1.0,1.0,,,,,,1.0,0.60175,0.3333333333333333,0.3333333333333333,1.0,,1.0,,2.0,,,,2.0,4.0,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,True,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,4328.0,72.0,7.0,139,135,15.0,15,20.0,274,7.0,2.0,5.0,5.0,14.0,26.0,132.0,2.0,2.0,,4.0,4.0,1.0,8.0,2.0,13.0,15.0,18.0,2.0,1.0,3.0,1.0,5.0,15.0,0.2,0.2,0.35714285714285715,0.5238095238095238,0.5416666666666666,,,16.9811320754717,0.6666666666666666,0.22807017543859648,0.15384615384615385,0.21428571428571427,0.26666666666666666,0.3076923076923077,0.16666666666666666,0.3333333333333333,0.23809523809523808,0.4,0.4,0.5,0.6666666666666666,0.5155642857142857,0.45265,8.392857142857142,0.1079136690647482,3.0,3.0,0.05454545454545454,0.04411764705882353,0.037037037037037035,3.0,1.0,,2.0,4.0,1.0,8.0,,,2.0,,,2.0,6.0,2.0,1.0,,3.0,6.0,,2.0,,,,,1.0,,,0.15384615384615385,,,0.0625,0.16666666666666666,,0.42857142857142855,0.42857142857142855,,0.09523809523809523,,,,1.0,0.5409,0.08695652173913043,0.125,1.0,,,,,2.0,7.0,7.0,,,7.0,1.0,4.0,1.0,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,,25.37142857142857,,,4.0,,,,,4.0,,,2.0,,,1.0,5.0,9.0,4.0,,,1.0,5.0,0.75,0.5714285714285714,,,0.5714285714285714,1.0,1.0,0.8333333333333334,,,,,0.5714285714285714,0.5714285714285714,0.75,,,,,,,0.5714285714285714,0.19230769230769232,2.0,,,,,1.0,3.0,True,,,,,,,,,,,,,,,,
