EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,LongMidRangeAssists,Loose Ball Fouls,DefensiveGoaltends,ShortMidRangePctBlocked,DefArc3ReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Corner3Assists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceTurnovers,OffLongMidRangeReboundPct,SecondChanceFtPoints,ShortMidRangeAssists,Technical Free Throw Trips,LongMidRangePctBlocked,RecoveredBlocks,BlocksRecoveredPct,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,on,OffCorner3ReboundPct,BlockedLongMidRange,3SecondViolations,SecondChanceCorner3FGA,Travels,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,355.0,6,14,14,6.0,13.0,1.0,28,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.5,0.5,0.5,13.333333333333334,0.14285714285714285,0.14285714285714285,0.25,0.5,1.0,1.0,1.0,0.5,1.0,0.619475,24.9,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,6114.0,102,207,204,51.0,76.0,16.0,411,6.0,10.0,4.0,15.0,39.0,6.0,61.0,228,22.0,4.0,,3.0,,9.0,26.0,32.0,35.0,51.0,0.7333333333333333,0.7857142857142857,0.38461538461538464,0.5,0.5754716981132075,0.13333333333333333,26.10619469026549,0.3058823529411765,0.2647058823529412,0.3157894736842105,0.2222222222222222,0.6,0.6666666666666666,0.6666666666666666,0.08888888888888889,0.35555555555555557,0.4699066666666667,24.45,0.2463768115942029,-10.0,2.0,3.0,2.0,3.0,1.0,8.0,8.0,21.0,2.0,2.0,3.0,1.0,1.0,5.0,16.0,2.0,4.0,1.0,1.0,7.0,4.0,11.0,8.0,16.0,8.0,12.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,3.0,1.0,8.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,2.0,10.0,12.0,1.0,20.0,4.0,9.0,3.0,2.0,1.0,1.0,2.0,16.0,1.0,0.8,0.8333333333333334,1.0,0.8333333333333334,0.5,0.36363636363636365,0.7,0.36363636363636365,0.7,0.5333333333333333,0.02564102564102564,0.1,0.3333333333333333,0.5555555555555556,0.02631578947368421,0.058823529411764705,0.041666666666666664,0.03,0.07142857142857142,0.04,0.045454545454545456,0.2777777777777778,0.3333333333333333,0.14285714285714285,0.041666666666666664,0.17777777777777778,0.125,0.125,0.4666666666666667,0.38095238095238093,0.38095238095238093,0.875,0.044444444444444446,1.0,1.0,0.5,0.75,0.75,1.0,0.6,0.6666666666666666,0.5,0.2,1.0,1.0,0.2727272727272727,0.6666666666666666,0.75,0.60662,0.4350727272727273,0.18,0.20454545454545456,0.11475409836065574,0.26229508196721313,11.179487179487179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,7393.0,123,251,247,59.0,92.0,23.0,498,6.0,8.0,,16.0,23.0,,37.0,267,24.0,,1.0,1.0,,2.0,6.0,10.0,13.0,59.0,0.75,0.8571428571428571,0.6956521739130435,0.6956521739130435,0.6851851851851852,,10.431654676258994,0.06060606060606061,0.06557377049180328,0.038461538461538464,0.34782608695652173,0.75,0.75,0.8333333333333334,,0.34782608695652173,0.44586956521739135,,0.2350597609561753,1.0,1.0,2.0,3.0,3.0,6.0,8.0,4.0,7.0,,,,,,,5.0,3.0,4.0,,,6.0,4.0,6.0,1.0,9.0,8.0,,,4.0,,1.0,,,,3.0,2.0,2.0,3.0,,3.0,1.0,2.0,,1.0,,2.0,2.0,,4.0,22.0,1.0,8.0,,4.0,,,,,,9.0,3.0,,,,,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6428571428571429,0.043478260869565216,,,0.18181818181818182,0.031914893617021274,0.08695652173913043,,0.02459016393442623,0.1,0.03225806451612903,,0.024390243902439025,0.125,0.09090909090909091,,0.34782608695652173,0.75,0.8571428571428571,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.75,,,,,,,,0.5,0.5,,,,,0.5,1.0,,0.52145,0.48015,0.14814814814814814,0.14814814814814814,0.16216216216216217,0.24324324324324326,8.521739130434783,1.0,2.0,1.0,0.125,0.08333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,7134.0,119,241,236,59.0,91.0,23.0,477,4.0,7.0,12.0,14.0,38.0,13.0,62.0,257,10.0,12.0,5.0,6.0,2.0,13.0,7.0,10.0,15.0,59.0,0.35714285714285715,0.4166666666666667,0.3684210526315789,0.5098039215686274,0.543859649122807,0.2549019607843137,23.134328358208954,0.07291666666666667,0.07563025210084033,0.04,0.13725490196078433,0.5714285714285714,0.6666666666666666,1.0,0.23529411764705882,0.39215686274509803,0.48087352941176464,24.776923076923076,0.24481327800829875,1.0,,,,,7.0,18.0,3.0,13.0,1.0,1.0,7.0,,,8.0,10.0,3.0,6.0,,,6.0,2.0,9.0,,13.0,18.0,21.0,3.0,4.0,7.0,2.0,1.0,,3.0,2.0,2.0,1.0,5.0,1.0,5.0,4.0,1.0,2.0,,,3.0,5.0,2.0,5.0,6.0,,12.0,,6.0,,2.0,1.0,1.0,2.0,13.0,,0.875,0.6153846153846154,,0.6153846153846154,0.5,0.2222222222222222,0.5,0.5,0.5,0.5,0.05263157894736842,0.14285714285714285,0.4,0.1111111111111111,0.021505376344086023,0.08695652173913043,0.1111111111111111,0.041666666666666664,0.05,0.03225806451612903,0.125,0.075,0.0967741935483871,0.09090909090909091,0.04,0.35294117647058826,0.3888888888888889,0.4117647058823529,0.2549019607843137,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.0196078431372549,1.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.8571428571428571,,,,,,,,,0.5833333333333334,0.37567500000000004,0.41786153846153845,0.10526315789473684,0.13636363636363635,0.0967741935483871,0.20967741935483872,9.981578947368419,3.0,,,0.05555555555555555,0.08333333333333333,,1.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,0.75,0.07692307692307693,1.0,0.23076923076923078,0.6666666666666666,,,,,,,,,,,,True,,,,,,,,,,,,,
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,3597.0,60,123,119,46.0,67.0,12.0,242,,2.0,5.0,8.0,17.0,8.0,26.0,124,2.0,5.0,5.0,11.0,3.0,28.0,4.0,6.0,8.0,46.0,0.125,0.125,0.47058823529411764,0.44,0.4642857142857143,0.32,23.188405797101453,0.08888888888888889,0.10344827586206896,0.058823529411764705,0.08,,,,0.2,0.4,0.457672,24.3625,0.37398373983739835,6.0,,2.0,,,5.0,10.0,3.0,5.0,2.0,3.0,,,,2.0,4.0,,2.0,,,,1.0,5.0,4.0,9.0,14.0,6.0,,,,1.0,6.0,5.0,1.0,1.0,2.0,,2.0,,2.0,2.0,,3.0,,3.0,1.0,4.0,1.0,3.0,7.0,1.0,6.0,,,3.0,,,,,9.0,1.0,1.0,0.25,,0.25,,0.2,,0.3125,,0.4090909090909091,0.058823529411764705,0.5,0.75,,0.022222222222222223,0.15384615384615385,0.07142857142857142,0.03389830508474576,,,0.08333333333333333,0.21428571428571427,,,,0.4,0.5,0.5,0.2,0.6,0.6,,0.12,0.6666666666666666,0.6666666666666666,1.0,,,,1.0,,,,,,,,,0.59305,0.45799375,,,,0.34615384615384615,10.299999999999999,2.0,,,,0.4,0.2,1.0,2.0,,1.0,1.0,3.0,1.0,,,0.3333333333333333,0.25,0.5,0.125,,1.0,0.05,,,,,,,,,,True,,,,,,,,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,6264.0,104,218,213,46.0,74.0,19.0,431,,4.0,14.0,10.0,28.0,15.0,58.0,223,,14.0,19.0,26.0,9.0,59.0,4.0,9.0,10.0,46.0,,,0.35714285714285715,0.47674418604651164,0.5408163265306123,0.3488372093023256,24.583333333333336,0.04597701149425287,0.07692307692307693,,0.09302325581395349,,,,0.32558139534883723,0.4418604651162791,0.4700095238095238,26.266666666666666,0.21100917431192662,12.0,,,,1.0,4.0,8.0,6.0,16.0,,1.0,7.0,,1.0,7.0,17.0,,1.0,,1.0,2.0,,1.0,9.0,15.0,20.0,9.0,12.0,,7.0,1.0,7.0,5.0,,1.0,4.0,1.0,1.0,,1.0,1.0,,7.0,2.0,5.0,3.0,10.0,2.0,2.0,7.0,,17.0,,3.0,3.0,,,,,15.0,1.0,0.42857142857142855,0.4666666666666667,,0.4666666666666667,,,,1.0,0.3333333333333333,1.0,0.03571428571428571,,0.7,0.09090909090909091,0.012658227848101266,0.23529411764705882,,0.009615384615384616,0.058823529411764705,,,0.027777777777777776,0.10714285714285714,0.25,,0.18604651162790697,0.5,0.5,0.37209302325581395,0.375,0.4,,0.023255813953488372,,,,0.5,0.5,0.42857142857142855,,,,0.5,,,0.3333333333333333,,0.5,0.361475,0.5586,0.06521739130434782,0.0967741935483871,0.034482758620689655,0.25862068965517243,13.196428571428571,6.0,,,,0.2222222222222222,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,0.6666666666666666,1.0,1.0,,2.0,4.0,5.0,0.0625,,,,,,True,,,,,,,,,,,,,
1711,1610612742,Raef LaFrentz,Raef LaFrentz,1711,DAL,4244.0,71,142,142,3.0,16.0,14.0,284,4.0,6.0,7.0,6.0,12.0,9.0,22.0,143,10.0,7.0,1.0,2.0,,5.0,7.0,10.0,13.0,3.0,0.8333333333333334,1.0,0.5,0.5,0.5238095238095238,0.42857142857142855,14.012738853503183,0.1206896551724138,0.125,0.15384615384615385,0.2857142857142857,0.6666666666666666,0.8,0.75,0.3333333333333333,0.7142857142857143,0.5477642857142857,24.37777777777778,0.02112676056338028,25.0,2.0,2.0,,,,1.0,2.0,5.0,1.0,2.0,2.0,,,3.0,1.0,2.0,2.0,,,4.0,,,,,2.0,6.0,3.0,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,,7.0,14.0,1.0,2.0,2.0,2.0,,7.0,4.0,3.0,7.0,,1.0,0.6666666666666666,0.3333333333333333,,0.3333333333333333,1.0,,1.0,,1.0,,0.08333333333333333,0.16666666666666666,,0.2,0.038461538461538464,0.14285714285714285,0.06666666666666667,0.04477611940298507,0.07692307692307693,,0.07692307692307693,0.14285714285714285,0.058823529411764705,0.14285714285714285,0.09090909090909091,0.047619047619047616,,,0.23809523809523808,0.4,0.4,1.0,0.09523809523809523,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,0.5,1.0,1.0,0.5,,,,,,0.2857142857142857,,,0.09523809523809523,0.16666666666666666,0.18181818181818182,,8.016666666666667,1.0,1.0,,,0.14285714285714285,,,,,,,,1.0,,,,,,,,,0.04,,,,,3.0,0.42857142857142855,,,,True,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,1224.0,20,40,40,19.0,23.0,6.0,80,,2.0,,,5.0,,,46,,,1.0,1.0,,2.0,2.0,5.0,9.0,19.0,,,,,,,10.416666666666668,0.16666666666666666,0.3125,0.5,0.4,,,,,0.4,0.43492,,0.475,-14.0,,2.0,,1.0,,1.0,,2.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,3.0,3.0,,4.0,,1.0,1.0,,,,,,,,5.0,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.15,0.75,,0.13043478260869565,0.2857142857142857,,,0.2,,0.6666666666666666,,0.2,,,0.4,,,,,,,,,,,0.6666666666666666,,,,,,0.5,,,0.5941000000000001,0.4076,,,,,8.46,,,,,1.0,,,,,,,,,,,,,,,,,0.14285714285714285,,1.0,,,,,1.0,0.3333333333333333,,True,,,,,,,,,,,,,
271,1610612742,Johnny Newman,Johnny Newman,271,DAL,42.0,1,1,1,1.0,1.0,,2,,,,,,,,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1915,1610612742,Evan Eschmeyer,Evan Eschmeyer,1915,DAL,220.0,4,7,7,,,1.0,14,,,,,,,,7,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,0.3333333333333333,0.25,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,0.25,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,
