EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,AtRimAssists,ShortMidRangeAssists,LostBallSteals,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Accuracy,OffThreePtRebounds,PenaltyTurnovers,2pt And 1 Free Throw Trips,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Blocked2s,BlockedAtRim,Loose Ball Fouls,BlockedShortMidRange,PtsUnassisted3s,Corner3Assists,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SelfOReb,SelfORebPct,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,on,Travels,3SecondViolations,ShortMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,1819.0,30,10.0,57,56,17,12,3.0,113,1.0,6.0,10.0,6.0,11.0,3.0,15.0,49,2.0,2.0,2.0,8.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,17,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.5769230769230769,0.3333333333333333,0.09090909090909091,1.0,21.311475409836067,0.05263157894736842,0.05,0.2,0.09090909090909091,0.9090909090909091,0.6,0.6,0.6666666666666666,0.09090909090909091,0.40347272727272726,0.3617,0.08333333333333333,0.08333333333333333,0.13333333333333333,16.009090909090908,0.2982456140350877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,3575.0,60,31.0,112,111,34,36,11.0,223,6.0,4.0,6.0,6.0,14.0,6.0,24.0,82,4.0,2.0,8.0,6.0,6.0,1.0,1.0,2.0,1.0,5.0,7.0,10.0,14.0,1.0,1.0,2.0,7.0,8.0,4.0,,8.0,34,0.5,0.6,0.42857142857142855,0.45,0.5,0.5,0.07142857142857142,0.16666666666666666,24.0,0.16666666666666666,0.16,0.3333333333333333,0.3,0.3,0.6666666666666666,0.6666666666666666,0.75,0.6,0.47269500000000003,0.4946285714285715,0.16666666666666666,0.2222222222222222,0.3333333333333333,10.178571428571429,0.30357142857142855,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,6.0,2.0,3.0,1.0,5.0,3.0,3.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,0.6666666666666666,0.42857142857142855,0.625,0.3,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.09302325581395349,0.125,0.0784313725490196,0.07142857142857142,0.07692307692307693,0.125,0.0625,0.17647058823529413,0.5,1.0,0.3333333333333333,0.4,0.1,0.15,0.3333333333333333,0.3333333333333333,1.0,0.15,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.535,0.20833333333333334,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1563,1610612754,Kevin Ollie,Kevin Ollie,1563,IND,3195.0,53,24.0,99,98,31,24,8.0,197,3.0,3.0,6.0,4.0,11.0,4.0,15.0,76,2.0,,3.0,8.0,,1.0,12.0,13.0,7.0,27.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,,3.0,31,1.0,1.0,0.36363636363636365,0.4583333333333333,0.5357142857142857,0.5,0.09090909090909091,0.3333333333333333,14.953271028037383,0.08108108108108109,0.06818181818181818,,0.25,0.5,0.5,0.5,1.0,0.3333333333333333,0.41543750000000007,0.45775000000000005,0.14285714285714285,0.15384615384615385,0.2,12.963636363636367,0.31313131313131315,,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,,2.0,2.0,,,2.0,,,,,,,1.0,1.0,1.0,,,,0.5,,0.08333333333333333,,,1.0,,,,,,,,0.07142857142857142,0.125,,,,,0.16666666666666666,,,,,0.08333333333333333,1.0,1.0,1.0,,,0.3333333333333333,,,0.3333333333333333,1.0,0.3586,,25.1,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,1807.0,30,16.0,56,55,15,18,7.0,111,2.0,,1.0,1.0,5.0,4.0,6.0,36,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,,5.0,6.0,8.0,11.0,,,1.0,2.0,5.0,2.0,1.0,1.0,15,1.0,1.0,0.2,0.2,0.42857142857142855,0.16666666666666666,0.2,0.5,12.698412698412698,0.2222222222222222,0.25,0.25,0.4,0.2,,,,0.4,0.40865999999999997,0.42624999999999996,0.3333333333333333,0.3333333333333333,0.16666666666666666,7.6,0.26785714285714285,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,3.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.043478260869565216,0.4,0.1111111111111111,,,0.125,0.15384615384615385,0.3,,,0.5,1.0,0.4,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,,,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,753.0,13,-3.0,25,26,8,11,4.0,51,,2.0,2.0,2.0,3.0,,4.0,19,1.0,,2.0,,4.0,,,,,,1.0,1.0,1.0,,,1.0,2.0,,,,2.0,8,,,0.6666666666666666,0.5,0.5,1.0,,,16.666666666666668,0.125,0.09090909090909091,,,0.5,1.0,1.0,,0.25,0.42464999999999997,0.4075,,,0.5,12.766666666666666,0.32,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,0.25,,,1.0,,,,,,,,,0.25,,1.0,,,0.25,,,,,0.25,,,,,,,,,,,,,24.3,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,1798.0,30,25.0,56,54,18,11,3.0,110,5.0,1.0,3.0,4.0,8.0,2.0,13.0,42,3.0,,2.0,6.0,2.0,1.0,3.0,3.0,2.0,6.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,2.0,1.0,,2.0,18,0.75,0.75,0.5,0.55,0.5909090909090909,0.3333333333333333,0.125,0.2,20.0,0.15789473684210525,0.14285714285714285,,0.5,0.3,0.3333333333333333,0.3333333333333333,1.0,0.7,0.524575,0.4870666666666667,0.09090909090909091,0.1111111111111111,0.15384615384615385,8.675,0.32142857142857145,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,2.0,,,,,1.0,,3.0,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,0.5,0.5,,0.3333333333333333,,0.3333333333333333,,0.2,,,,0.5,,,,,,,0.14285714285714285,0.25,,0.5,0.6,0.75,,0.1,,,,0.1,1.0,1.0,1.0,,,0.3333333333333333,1.0,,,1.0,,,24.85,,,,,1.0,2.0,,,,,,,,,,,,,,0.6666666666666666,2.0,,1.0,2.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,2204.0,37,21.0,69,68,20,26,9.0,137,2.0,1.0,4.0,4.0,8.0,4.0,18.0,48,3.0,2.0,11.0,6.0,2.0,,3.0,4.0,,9.0,6.0,7.0,7.0,1.0,,,1.0,5.0,1.0,,11.0,20,0.75,0.75,0.5,0.5833333333333334,0.6428571428571429,0.9166666666666666,,,22.78481012658228,0.21428571428571427,0.2,0.25,0.16666666666666666,0.3333333333333333,0.25,0.25,1.0,0.5,0.46888636363636355,0.430475,0.14285714285714285,0.1111111111111111,0.6111111111111112,11.799999999999999,0.2898550724637681,2.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,1.0,2.0,4.0,,,,,3.0,2.0,3.0,,3.0,2.0,,1.0,,,1.0,,,2.0,1.0,2.0,1.0,4.0,,,,,,,0.5,0.5,0.5,,1.0,,0.9,,0.3333333333333333,,,0.5,,,0.14285714285714285,,,,,0.14285714285714285,0.3,0.5,,1.0,1.0,0.16666666666666666,0.08333333333333333,,,,0.25,0.6666666666666666,0.6666666666666666,0.5,,,0.2,1.0,0.2,0.2,0.6666666666666666,,,28.075,1.0,1.0,1.0,1.0,2.0,1.0,,0.5,0.5,0.5,1.0,1.0,,,,,,,,0.5,,,,,3.0,1.0,2.0,1.0,0.2,,,,,,True,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,1633.0,27,15.0,53,51,21,17,5.0,104,4.0,,,6.0,13.0,2.0,14.0,38,6.0,2.0,10.0,8.0,4.0,,1.0,1.0,1.0,2.0,1.0,5.0,7.0,1.0,1.0,1.0,4.0,2.0,,1.0,10.0,21,0.6666666666666666,0.8,0.46153846153846156,0.46153846153846156,0.5,0.7142857142857143,,,27.118644067796613,0.06666666666666667,0.10526315789473684,,0.3076923076923077,,,,,0.3076923076923077,0.3907538461538462,0.34546666666666664,,,0.7142857142857143,6.907692307692306,0.39622641509433965,2.0,1.0,1.0,2.0,2.0,9.0,,,,,,,,,1.0,3.0,,2.0,4.0,,,2.0,,,,,,2.0,1.0,3.0,2.0,,,2.0,,2.0,,2.0,,,1.0,,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,,,,,0.5,0.10526315789473684,0.25,0.08695652173913043,0.2,0.16666666666666666,,0.25,,,,0.5,0.5,0.6923076923076923,,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,,,,0.3657333333333333,0.14285714285714285,,4.0,,,,,,,,0.4444444444444444,0.4444444444444444,0.75,,,1.0,,,,,0.3333333333333333,0.5,1.0,1.0,,,,,,,,1.0,0.14285714285714285,,,,True,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,712.0,12,10.0,21,23,4,13,2.0,44,1.0,,,1.0,2.0,1.0,3.0,14,1.0,,,2.0,,,,,,,4.0,4.0,5.0,1.0,,,1.0,2.0,1.0,,,4,1.0,1.0,0.5,0.5,0.5,,,,12.5,0.4,0.3333333333333333,0.3333333333333333,0.5,,,,,0.5,0.60385,0.434,0.3333333333333333,0.3333333333333333,,4.1,0.19047619047619047,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,0.5,,0.5,,,,,,,,,,,,0.5,0.4,,,1.0,1.0,0.5,,,,,,,,,0.5,1.0,,,,,,0.434,0.6666666666666666,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,181.0,3,4.0,5,5,1,4,1.0,10,,,,,,,,1,,,,,,,,1.0,,3.0,,,,,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
