EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeAssists,BadPassSteals,LostBallTurnovers,OffShortMidRangeReboundPct,SecondChanceFtPoints,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,Clear Path Fouls,Technical Free Throw Trips,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsPutbacks,FTOffRebounds,SecondChanceTurnovers,BlockedShortMidRange,3SecondViolations,OffFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,OffAtRimReboundPct,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,OffensiveGoaltends,SecondChanceArc3FGA,SecondChanceFG3A,AtRimPctBlocked,OffCorner3ReboundPct,SecondChanceArc3Frequency,on,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Travels,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,PenaltyArc3FGM,PenaltyArc3Accuracy,HeaveAttempts,LongMidRangePctBlocked
1601,1610612762,Rusty LaRue,Rusty LaRue,1601,UTA,846.0,14,-3.0,30,28,19.0,17,6.0,58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,9.0,25,1.0,2.0,2.0,2.0,2.0,1.0,3.0,7.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2,4.0,2.0,7.0,19.0,0.3333333333333333,0.3333333333333333,0.75,0.5,1.0,0.6,0.5,0.6666666666666666,0.6428571428571429,0.5,0.7,0.2,23.684210526315788,0.07142857142857142,0.05555555555555555,0.2,0.2,1.0,1.0,1.0,0.2,1.0,1.0,0.4,0.5,0.5,0.2,0.5,1.0,1.0,0.3333333333333333,0.4,0.37053,0.5011,0.2834833333333333,0.2222222222222222,0.7777777777777778,11.375,32.2,0.6333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1900,1610612762,Quincy Lewis,Quincy Lewis,1900,UTA,3332.0,56,18.0,105,103,33.0,30,18.0,208,2.0,4.0,1.0,1.0,1.0,4.0,4.0,10.0,3.0,2.0,7.0,18.0,5.0,,17.0,79,2.0,2.0,4.0,1.0,4.0,4.0,,5.0,10.0,4.0,3.0,2.0,,2.0,,2.0,4.0,1.0,2.0,3.0,,2.0,3.0,2.0,,10,4.0,,5.0,33.0,0.7142857142857143,0.7142857142857143,0.3888888888888889,1.0,0.25,0.3695652173913043,1.0,0.3125,0.34,1.0,0.3125,0.21739130434782608,22.22222222222222,0.02564102564102564,0.016666666666666666,,0.17391304347826086,0.5,0.5,0.5,0.17391304347826086,0.25,0.5,0.43478260869565216,0.4,0.4,0.13043478260869565,0.5,1.0,,0.25,0.391304347826087,0.4467108695652174,0.501,0.40301875,0.23529411764705882,0.29411764705882354,12.05,23.98,0.3142857142857143,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.2,0.2,0.1111111111111111,0.5,0.3333333333333333,0.3333333333333333,0.5,0.02631578947368421,0.022222222222222223,0.05555555555555555,0.07142857142857142,0.08333333333333333,1.0,1.0,0.75,0.08695652173913043,0.5,0.5,1.0,0.25,0.5,0.08,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,948.0,16,,32,30,7.0,7,6.0,62,1.0,1.0,,,,,,,,,1.0,1.0,,2.0,4.0,31,,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,2.0,2.0,2.0,3.0,,,2.0,,1.0,1,4.0,,1.0,7.0,1.0,1.0,1.0,,,1.0,,,0.6666666666666666,,0.5,,13.157894736842104,0.125,0.11764705882352941,0.2,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.3532,,,,0.25,3.7,,0.21875,,,,,,,,,,1.0,,1.0,,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,0.09090909090909091,0.08333333333333333,,0.25,,1.0,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,1951.0,33,13.0,62,60,16.0,17,11.0,122,5.0,5.0,,,,1.0,3.0,8.0,1.0,,8.0,14.0,1.0,10.0,26.0,49,,,2.0,,2.0,,4.0,4.0,14.0,2.0,1.0,4.0,,4.0,,1.0,8.0,5.0,8.0,9.0,,1.0,1.0,,1.0,4,11.0,1.0,4.0,16.0,0.875,0.875,0.5714285714285714,,,0.5333333333333333,,,0.625,1.0,0.5,0.06666666666666667,28.767123287671232,0.23809523809523808,0.25,0.16666666666666666,0.3333333333333333,1.0,1.0,0.8,0.06666666666666667,,,0.5333333333333333,0.375,0.375,0.06666666666666667,,,,,0.4,0.4589933333333333,,0.40149999999999997,0.07692307692307693,0.15384615384615385,10.385714285714284,23.9,0.25806451612903225,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,1.0,4.0,,,,,,,,,,,,,,,0.5,,0.037037037037037035,,0.375,,,,1.0,,,,,,,0.21052631578947367,0.2222222222222222,2.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,0.2857142857142857,0.2,0.25,0.14285714285714285,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,2323.0,39,6.0,71,71,28.0,21,11.0,142,4.0,4.0,2.0,2.0,,1.0,,,,,4.0,5.0,,,8.0,54,2.0,2.0,4.0,1.0,2.0,,,2.0,6.0,2.0,,1.0,,1.0,,1.0,2.0,6.0,9.0,14.0,1.0,2.0,3.0,1.0,4.0,4,6.0,1.0,2.0,28.0,0.75,1.0,0.8,1.0,0.5,0.8,1.0,0.5,0.5,0.6666666666666666,0.25,,12.941176470588236,0.2222222222222222,0.20454545454545456,0.25,0.8,1.0,1.0,0.75,0.2,,,,,,,1.0,1.0,0.5,,0.8,0.46340000000000003,0.50605,0.4434,0.5,0.25,2.8,,0.39436619718309857,,,,,,,,,,4.0,,5.0,,,,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,0.3333333333333333,,0.15384615384615385,0.13333333333333333,0.25,0.1,,1.0,,,,,,,,,0.2857142857142857,0.2857142857142857,,,,0.1111111111111111,,,,3.0,,,0.17647058823529413,,,0.4,0.25,0.1111111111111111,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.5,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,
923,1610612762,Donyell Marshall,Donyell Marshall,923,UTA,2996.0,50,20.0,93,91,31.0,29,15.0,184,2.0,4.0,,1.0,4.0,10.0,1.0,3.0,1.0,1.0,7.0,17.0,1.0,7.0,21.0,68,1.0,4.0,6.0,,3.0,1.0,,,8.0,6.0,1.0,1.0,,1.0,,,2.0,7.0,13.0,18.0,,2.0,3.0,,,1,8.0,,,31.0,0.5714285714285714,0.5714285714285714,0.4117647058823529,0.25,,0.3888888888888889,0.25,,0.4772727272727273,0.5,,0.05555555555555555,22.52252252252252,0.2,0.23214285714285715,0.07142857142857142,0.2222222222222222,0.5,0.5,1.0,0.5555555555555556,0.4,0.4,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.25,,,0.25,0.2777777777777778,0.3982916666666666,0.35995,0.3343875,0.2857142857142857,,7.5588235294117645,23.9,0.3333333333333333,,,,,,,,,,3.0,,5.0,,1.0,1.0,1.0,1.0,,4.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,0.3333333333333333,,0.08333333333333333,0.07142857142857142,0.058823529411764705,0.23076923076923078,,0.3333333333333333,0.25,1.0,,,,,,,0.18181818181818182,0.19047619047619047,,,,,4.0,1.0,,6.0,,,0.2857142857142857,,,0.375,0.2727272727272727,0.3,,1.0,,2.0,,1.0,1.0,0.25,0.25,,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,1730.0,29,20.0,55,55,15.0,14,10.0,110,2.0,2.0,,,1.0,2.0,,,1.0,1.0,3.0,4.0,1.0,2.0,8.0,30,,,,1.0,1.0,1.0,,2.0,6.0,,1.0,1.0,,1.0,,,2.0,2.0,4.0,8.0,2.0,4.0,5.0,1.0,,2,2.0,,2.0,15.0,1.0,1.0,0.75,,1.0,0.6,,0.5,0.6666666666666666,,0.5,0.2,16.176470588235293,0.1111111111111111,0.11428571428571428,0.25,0.4,1.0,1.0,1.0,0.4,0.5,0.5,,,,0.2,,,,0.5,0.6,0.46506,,0.33305,,0.25,3.825,24.4,0.2727272727272727,,,,,,,,,1.0,4.0,,4.0,,,,1.0,1.0,,1.0,,,,,2.0,,,,,1.0,,,1.0,0.2,,0.2222222222222222,0.18181818181818182,0.1,,,,1.0,,,,,,,,0.16666666666666666,0.2,1.0,,,0.6,,,,2.0,,,0.11764705882352941,,,,0.09090909090909091,0.16666666666666666,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,2493.0,42,21.0,76,75,15.0,13,13.0,151,,2.0,,,,2.0,2.0,6.0,1.0,1.0,2.0,10.0,1.0,,4.0,54,,1.0,,1.0,3.0,1.0,,2.0,4.0,,1.0,15.0,,15.0,,9.0,30.0,2.0,4.0,6.0,,2.0,5.0,1.0,1.0,5,1.0,,2.0,15.0,1.0,1.0,0.2,,0.3333333333333333,0.18181818181818182,,0.25,0.18181818181818182,,0.25,0.09090909090909091,17.77777777777778,0.08,0.09523809523809523,0.2,0.18181818181818182,,,,0.18181818181818182,,,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.09090909090909091,,,,0.25,0.2727272727272727,0.44708636363636367,0.3643,0.43971249999999995,,0.5,13.26,24.8,0.19736842105263158,,,,,,,,1.0,,,,2.0,,3.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,0.1,,,0.6,,,0.05714285714285714,,,,,,1.0,,,,,,,,,5.0,2.0,,,,1.0,2.0,2.0,,1.0,0.11764705882352941,0.3333333333333333,0.2,,0.1111111111111111,0.125,,1.0,,,1.0,,,,0.25,,,1.0,,,1.0,1.0,0.5,1.0,0.5,True,,,,,,,,,,,,,,,
935,1610612762,Bryon Russell,Bryon Russell,935,UTA,41.0,1,-5.0,1,2,1.0,2,,3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1601,1610612762,Rusty LaRue,Rusty LaRue,1601,UTA,2305.0,38,-12.0,77,80,41.0,43,11.0,157,,,,,,1.0,1.0,6.0,3.0,2.0,1.0,7.0,4.0,3.0,11.0,91,,1.0,,,2.0,3.0,2.0,5.0,2.0,,3.0,2.0,2.0,4.0,1.0,1.0,10.0,4.0,5.0,5.0,1.0,1.0,2.0,1.0,,4,6.0,1.0,5.0,41.0,1.0,1.0,0.14285714285714285,,,0.36363636363636365,,0.3,0.39285714285714285,,0.35714285714285715,0.36363636363636365,17.02127659574468,0.125,0.125,0.1111111111111111,,,,,0.09090909090909091,,,0.5454545454545454,0.16666666666666666,0.16666666666666666,0.2727272727272727,,,,0.4,0.36363636363636365,0.4285545454545454,0.3976,0.40459999999999996,,0.45454545454545453,17.914285714285715,24.025,0.5324675324675324,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,1.0,,1.0,1.0,,2.0,,,,,3.0,0.5,0.5,0.3333333333333333,0.5,,,,,0.5,,,,,0.3333333333333333,,,,1.0,0.09090909090909091,1.0,1.0,,0.2,1.0,0.15384615384615385,0.2222222222222222,1.0,1.0,,,,,,1.0,,,0.125,,,0.09090909090909091,,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,,,0.5,False,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,
