EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,FTOffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGA,Arc3FGM,FG3M,FtPoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,SelfOReb,LostBallTurnovers,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefLongMidRangeReboundPct,2pt And 1 Free Throw Trips,3SecondViolations,on,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,LongMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Travels,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,3pt And 1 Free Throw Trips,BlockedCorner3,LongMidRangePctBlocked,OffensiveGoaltends,Corner3PctBlocked
109,1610612747,Robert Horry,Robert Horry,109,LAL,57.0,1,-4.0,1,2,2,1.0,3,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,1242.0,21,-7.0,36,40,25,9.0,76,48.0,,,,13.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,13.0,2.0,0.6666666666666666,1.0,0.6,1.0,0.3333333333333333,0.6,1.0,0.3333333333333333,0.6,1.0,0.3333333333333333,13.043478260869565,1.0,0.08333333333333333,0.125,0.05,0.0625,0.2,0.2,0.6,1.0,1.0,0.6666666666666666,0.2,0.2,1.0,1.0,0.5,0.3333333333333333,1.0,0.6,0.49626000000000003,0.5536,0.43670000000000003,0.6666666666666666,0.3333333333333333,5.359999999999999,0.3611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,1610612747,Rick Fox,Rick Fox,296,LAL,865.0,14,-9.0,26,29,23,8.0,55,35.0,,,,12.0,1.0,2.0,,,,1.0,,1.0,1.0,3.0,2.0,,,,,1.0,,,2.0,,1.0,1.0,,1.0,2.0,3.0,1.0,2.0,1.0,,,12.0,1.0,,,0.3333333333333333,,,0.25,,,0.25,,,17.142857142857142,,0.08333333333333333,0.2,0.1,0.06666666666666667,,,0.5,0.5,1.0,,,0.25,,,,0.5,,0.75,0.5146999999999999,,0.5259,,,7.533333333333334,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.5,0.5,0.2,0.3333333333333333,0.25,0.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,608.0,10,1.0,19,21,16,5.0,40,23.0,,,,12.0,,1.0,,1.0,,,,,,1.0,4.0,,1.0,,,,1.0,,,,,1.0,,2.0,1.0,3.0,,1.0,2.0,,1.0,12.0,,,,,,,0.5,,,0.5,,0.5,20.833333333333336,,,0.3333333333333333,0.25,0.16666666666666666,,0.5,0.3333333333333333,,,,,,1.0,,,,,1.0,0.5695666666666667,,,,0.25,,0.631578947368421,1.0,,2.0,,1.0,,2.0,1.0,3.0,,1.0,7.0,,,,1.0,,,1.0,1.0,,0.6666666666666666,,,1.0,,,,0.3333333333333333,,24.25,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.2,0.5,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,997.0,17,-3.0,29,32,22,8.0,61,38.0,,,,12.0,1.0,3.0,,,,,3.0,1.0,4.0,7.0,11.0,,1.0,3.0,3.0,3.0,6.0,2.0,6.0,,2.0,,,,2.0,2.0,,2.0,,,6.0,12.0,,0.25,0.25,0.5714285714285714,,1.0,0.6875,0.75,1.0,0.6875,0.75,1.0,26.31578947368421,,0.16666666666666666,,,0.13333333333333333,0.2,,0.375,0.3333333333333333,0.5,,0.375,0.125,,,,,,0.5,0.49780625,0.472075,0.39643333333333336,0.2727272727272727,0.5454545454545454,6.357142857142857,0.41379310344827586,,,1.0,,,2.0,3.0,,3.0,,2.0,6.0,,,,2.0,1.0,,,1.0,,0.125,0.2857142857142857,0.3333333333333333,1.0,,,,,,23.3,1.0,,1.0,,,3.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,0.125,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,377.0,6,2.0,10,11,2,1.0,21,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,27.272727272727273,,,0.3333333333333333,0.2,,,0.3333333333333333,,,,,,,,,,,,1.0,0.431775,,0.2235,,,,0.1,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,0.5,1.0,25.3,1.0,,,,,,,,,,1.0,,,,,,,,,0.14285714285714285,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058,1610612747,Mark Madsen,Mark Madsen,2058,LAL,37.0,1,,1,2,2,,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1610612747,Lindsey Hunter,Lindsey Hunter,283,LAL,265.0,4,-2.0,7,9,4,2.0,16,8.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,614.0,10,-10.0,17,18,8,3.0,35,27.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,4.761904761904762,,,0.25,0.18181818181818182,,,,,,,,,,,,,,,1.0,0.56415,,,,,,,1.0,,1.0,,1.0,,4.0,,4.0,,2.0,8.0,,,,,,,,,,1.0,,,,,,0.5,1.0,,24.5,,,,,,,,,2.0,,1.0,,,1.0,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1610612747,Shaquille O'Neal,Shaquille O'Neal,406,LAL,1148.0,19,-3.0,34,36,21,8.0,70,44.0,1.0,1.0,1.0,12.0,4.0,5.0,,,2.0,2.0,7.0,,8.0,12.0,18.0,1.0,2.0,2.0,2.0,3.0,4.0,14.0,2.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,4.0,12.0,,0.875,0.875,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6923076923076923,0.5,0.6666666666666666,32.55813953488372,,0.09090909090909091,0.14285714285714285,0.05555555555555555,0.07142857142857142,,0.25,0.4166666666666667,0.8,0.8,1.0,0.5833333333333334,,,,,0.6666666666666666,1.0,0.4166666666666667,0.4694583333333333,0.3296,0.4827333333333333,0.1111111111111111,0.2222222222222222,4.925,0.35294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,2.0,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,0.15384615384615385,0.15384615384615385,4.0,,,,,,,,,,0.5714285714285714,0.5714285714285714,0.75,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
