EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Loose Ball Fouls,OffShortMidRangeReboundPct,SecondChanceFtPoints,OffThreePtRebounds,FTDefRebounds,SelfOReb,Travels,SecondChanceTurnovers,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,Corner3Assists,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,on
123,1610612750,Robert Pack,Robert Pack,123,MIN,379.0,6,-20,14,15,10.0,7,2.0,29,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,27,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,10.0,0.25,0.25,0.25,0.25,0.375,0.375,0.25,0.5,25.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.525675,0.525675,0.25,0.25,1.0,9.475000000000001,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,7422.0,124,-6,247,247,119.0,80,39.0,494,6.0,11.0,5.0,7.0,15.0,17.0,36.0,12.0,64.0,282,12.0,21.0,5.0,38.0,28.0,2.0,,12.0,16.0,2.0,6.0,38.0,119.0,0.4722222222222222,0.5714285714285714,0.5098039215686274,0.55,0.5446428571428571,0.578125,0.05555555555555555,,22.413793103448278,0.21568627450980393,0.5454545454545454,0.6666666666666666,0.29411764705882354,0.23333333333333334,0.7142857142857143,0.5098039215686274,0.4959058823529411,0.47831000000000007,0.10909090909090909,0.15,0.59375,10.369444444444447,0.4817813765182186,1.0,1.0,4.0,10.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,12.0,1.0,1.0,2.0,8.0,6.0,15.0,2.0,3.0,2.0,2.0,10.0,3.0,9.0,6.0,12.0,6.0,2.0,12.0,4.0,13.0,2.0,15.0,2.0,5.0,4.0,4.0,32.0,1.0,3.0,9.0,12.0,1.0,13.0,3.0,2.0,1.0,6.0,2.0,4.0,3.0,2.0,9.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,0.17647058823529413,0.1875,0.6666666666666666,0.4,1.0,0.3333333333333333,0.4,0.6666666666666666,1.0,1.0,0.29411764705882354,0.18181818181818182,0.6666666666666666,0.0967741935483871,0.01098901098901099,0.0967741935483871,0.0967741935483871,0.009009009009009009,0.05,0.037037037037037035,0.06451612903225806,0.17142857142857143,0.07407407407407407,0.25,0.16666666666666666,0.19607843137254902,0.4,0.4,0.4666666666666667,0.4666666666666667,0.2857142857142857,0.058823529411764705,0.6666666666666666,0.6666666666666666,1.0,0.23529411764705882,0.3333333333333333,0.3333333333333333,0.5,0.2,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.03333333333333333,1.0,0.26666666666666666,0.25,0.3333333333333333,0.4780375,0.15625,24.57333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,1181.0,20,-12,39,41,26.0,23,5.0,80,,1.0,,,,,1.0,,,55,,,,,,,1.0,3.0,,,,,26.0,,,,,,,,,4.545454545454546,0.5,,,,,,1.0,0.516625,,,,,,0.6666666666666666,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,,,,0.058823529411764705,,,0.047619047619047616,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,23.7,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,True
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,7798.0,130,-26,261,261,129.0,86,41.0,522,6.0,8.0,3.0,3.0,11.0,19.0,35.0,16.0,60.0,309,6.0,12.0,12.0,27.0,24.0,1.0,2.0,8.0,18.0,,6.0,27.0,129.0,0.5428571428571428,0.5,0.5,0.4411764705882353,0.5660377358490566,0.5625,0.02857142857142857,,19.934640522875817,0.18181818181818182,0.75,0.75,0.25,0.17647058823529413,1.0,0.38636363636363635,0.48879772727272724,0.5103794117647058,0.12,0.14634146341463414,0.45,9.051428571428572,0.4942528735632184,1.0,2.0,7.0,16.0,6.0,,4.0,,,,3.0,2.0,5.0,,1.0,1.0,2.0,2.0,9.0,5.0,6.0,,1.0,12.0,1.0,5.0,14.0,6.0,,4.0,5.0,2.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,13.0,8.0,7.0,4.0,12.0,9.0,21.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,8.0,4.0,1.0,,3.0,,,,,0.3684210526315789,0.4117647058823529,1.0,0.2222222222222222,,0.2,0.2222222222222222,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.20454545454545456,,0.625,0.043010752688172046,0.08080808080808081,0.21875,0.088,0.075,,0.07407407407407407,0.03225806451612903,0.02857142857142857,0.18518518518518517,0.4,0.5,0.36363636363636365,0.4375,0.4666666666666667,0.5454545454545454,0.5454545454545454,0.5,0.09090909090909091,,,,0.11363636363636363,0.4,0.4,1.0,0.2857142857142857,0.5,,,,0.14285714285714285,,,0.17647058823529413,,0.11764705882352941,0.5,0.4,0.47774285714285714,0.2,24.311111111111114,1.0,0.13636363636363635,2.0,1.0,1.0,1.0,1.0,2.0,0.0625,0.25,0.047619047619047616,0.0625,0.125,0.045454545454545456,0.14285714285714285,,,,,,,,,,,,True
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,3321.0,55,-6,112,111,63.0,55,21.0,223,2.0,3.0,2.0,2.0,4.0,3.0,8.0,4.0,22.0,122,2.0,5.0,3.0,16.0,2.0,1.0,,4.0,6.0,,2.0,16.0,63.0,0.375,0.4,0.5625,0.65,0.5789473684210527,0.6666666666666666,0.125,,17.777777777777775,0.1875,0.6666666666666666,1.0,0.25,0.2,1.0,0.6875,0.48746875,0.48279999999999995,0.1111111111111111,0.2,0.7272727272727273,10.8125,0.5625,,,,1.0,1.0,2.0,4.0,,,1.0,3.0,2.0,4.0,,,2.0,2.0,4.0,8.0,1.0,1.0,,,2.0,3.0,5.0,4.0,9.0,3.0,,4.0,2.0,1.0,1.0,2.0,1.0,,1.0,,5.0,,4.0,6.0,10.0,1.0,11.0,3.0,1.0,2.0,3.0,,3.0,2.0,,5.0,4.0,2.0,,1.0,,,,2.0,0.6666666666666666,0.6666666666666666,0.75,0.5,,0.6,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.6,0.14634146341463414,,0.3333333333333333,0.18867924528301888,,,0.09090909090909091,0.15384615384615385,0.17647058823529413,0.3333333333333333,,0.5,0.0625,,,0.25,0.25,1.0,0.25,0.5,0.5,1.0,0.25,0.5,0.5,0.5,,,,,,,,,0.3,0.3333333333333333,0.2,1.0,0.5,,0.09090909090909091,24.825,,,,,,,,,,,,,,,,1.0,0.14285714285714285,,,,,,,,,,True
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,5510.0,92,-20,186,184,86.0,36,28.0,370,8.0,10.0,1.0,2.0,4.0,15.0,31.0,4.0,34.0,221,3.0,8.0,2.0,8.0,10.0,2.0,8.0,10.0,9.0,1.0,4.0,8.0,86.0,0.4838709677419355,0.375,0.4838709677419355,0.375,0.4857142857142857,0.4444444444444444,0.06451612903225806,,17.972350230414747,0.3225806451612903,0.8,0.8888888888888888,0.12903225806451613,0.25,0.5,0.3225806451612903,0.44699032258064514,0.46668750000000003,0.11764705882352941,0.11764705882352941,0.23529411764705882,6.625806451612903,0.46236559139784944,4.0,4.0,6.0,17.0,1.0,,,,,,,,,,,,,,,4.0,7.0,,,10.0,,,20.0,,,6.0,,,3.0,,3.0,,1.0,1.0,1.0,6.0,4.0,3.0,10.0,14.0,6.0,20.0,1.0,1.0,,3.0,,2.0,1.0,1.0,4.0,2.0,,,1.0,,,,1.0,0.6666666666666666,0.8333333333333334,,,,,,0.5714285714285714,0.5714285714285714,0.625,,0.1,0.75,0.1694915254237288,0.05714285714285714,0.13636363636363635,0.16049382716049382,0.07317073170731707,0.2727272727272727,0.17647058823529413,0.2777777777777778,0.08333333333333333,0.16666666666666666,,0.625,0.5483870967741935,0.35294117647058826,0.375,0.25,0.25,1.0,,,,,,,,,0.5714285714285714,1.0,,,,,,,,,,,,0.4935285714285714,0.29411764705882354,,,,2.0,2.0,1.0,,,,0.058823529411764705,0.5,0.16666666666666666,0.043478260869565216,0.25,,0.6666666666666666,,,1.0,1.0,0.125,0.25,,,,,,True
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,6934.0,116,-8,232,230,108.0,62,36.0,462,10.0,19.0,3.0,10.0,8.0,22.0,46.0,23.0,70.0,266,7.0,20.0,18.0,35.0,26.0,4.0,2.0,8.0,32.0,2.0,12.0,35.0,108.0,0.4782608695652174,0.35,0.4895833333333333,0.38636363636363635,0.5555555555555556,0.5147058823529411,0.08695652173913043,,27.205882352941174,0.3958333333333333,0.5263157894736842,0.625,0.16666666666666666,0.45454545454545453,0.3,0.4375,0.4619104166666666,0.47586818181818186,0.20689655172413793,0.21428571428571427,0.5,7.002173913043477,0.46551724137931033,4.0,8.0,9.0,19.0,3.0,,,,,,,1.0,2.0,,,1.0,2.0,1.0,2.0,5.0,9.0,,,14.0,1.0,2.0,18.0,,3.0,8.0,2.0,1.0,9.0,5.0,14.0,1.0,5.0,1.0,3.0,33.0,14.0,9.0,25.0,35.0,15.0,50.0,2.0,2.0,,2.0,1.0,1.0,9.0,1.0,11.0,3.0,2.0,,5.0,5.0,1.0,5.0,1.0,0.4090909090909091,0.5,,0.5,,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.041666666666666664,0.15789473684210525,0.18181818181818182,0.30120481927710846,0.16666666666666666,0.2903225806451613,0.2982456140350877,0.1485148514851485,0.19047619047619047,0.2608695652173913,0.2413793103448276,0.3870967741935484,0.3076923076923077,0.2,0.2,0.3958333333333333,0.47368421052631576,0.5,0.375,0.375,1.0,,,,,0.041666666666666664,0.5,0.5,,0.8888888888888888,0.5,,,,,,,,,0.09090909090909091,0.5,0.5,0.5415375,0.2,24.75,1.0,0.19444444444444445,4.0,1.0,1.0,2.0,4.0,,0.05263157894736842,0.5,0.058823529411764705,0.1111111111111111,0.16666666666666666,0.09523809523809523,0.4444444444444444,,,1.0,1.0,,,4.0,3.0,1.0,4.0,0.8,True
693,1610612750,Joe Smith,Joe Smith,693,MIN,2235.0,37,-34,76,79,46.0,24,9.0,155,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,105,1.0,3.0,2.0,4.0,2.0,,1.0,7.0,6.0,,2.0,4.0,46.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5,,,8.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.4595666666666666,0.4595666666666666,0.4,0.4,0.5714285714285714,9.5,0.6052631578947368,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,,,,,,2.0,,,,,,,,,,,1.0,1.0,5.0,6.0,2.0,8.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,1.0,1.0,1.0,,,,0.2,0.038461538461538464,0.1,0.17142857142857143,0.0625,,0.25,,0.2727272727272727,,0.5,,0.3333333333333333,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.606,0.5714285714285714,,4.0,0.08333333333333333,2.0,1.0,,,,,,,0.16666666666666666,,,,,,,,,0.3333333333333333,,,,,,,True
718,1610612750,Gary Trent,Gary Trent,718,MIN,2064.0,34,4,69,68,36.0,48,13.0,137,4.0,7.0,,,1.0,6.0,14.0,3.0,15.0,81,,2.0,2.0,2.0,8.0,3.0,2.0,5.0,6.0,2.0,4.0,2.0,36.0,0.42857142857142855,,0.42857142857142855,,0.46875,0.3333333333333333,0.21428571428571427,,22.61904761904762,0.5,0.5714285714285714,0.8,0.07142857142857142,,,0.5,0.4934,0.40235,0.25,0.25,0.13333333333333333,4.635714285714285,0.5217391304347826,2.0,4.0,2.0,6.0,,,,,,,,,,,,,,,,3.0,5.0,,,6.0,,,4.0,,,6.0,,,1.0,,1.0,,,,1.0,2.0,4.0,,3.0,4.0,5.0,9.0,,,,1.0,,1.0,2.0,,3.0,1.0,1.0,,,,,,1.0,0.3333333333333333,0.6666666666666666,,,,,,0.6,0.6,0.6,,0.2857142857142857,0.3333333333333333,0.1111111111111111,0.15384615384615385,,0.08571428571428572,0.14705882352941177,0.3,0.125,0.18181818181818182,,,,0.25,0.42857142857142855,0.3333333333333333,0.4,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,0.56685,0.4,,,0.125,,1.0,1.0,2.0,,,0.16666666666666666,1.0,0.125,,,0.4,0.5,,,1.0,,0.25,,,,,,,True
1531,1610612750,Marc Jackson,Marc Jackson,1531,MIN,82.0,1,-4,2,2,2.0,2,,4,,,,,,,,,,5,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
