EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Usage,LiveBallTurnoverPct,DefFTReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,FG3APct,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimAccuracy,LostBallSteals,Loose Ball Fouls,Defensive 3 Seconds Violations,Travels,OffShortMidRangeReboundPct,SecondChanceCorner3FGA,PtsUnassisted3s,SecondChanceTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3Frequency,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,on,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers
1114,1610612753,Jaren Jackson,Jaren Jackson,1114,ORL,117.0,2,-2.0,5,5,5,5,10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,20.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
121,1610612753,Patrick Ewing,Patrick Ewing,121,ORL,1619.0,27,-14.0,49,49,27,18,98,60,1.0,6.0,6.0,1.0,1.0,1.0,,27,25.925925925925924,1.0,0.25,0.5510204081632653,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,8.0,7.0,11.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,10.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.25,0.5,0.25,0.5,0.4230769230769231,0.5,0.3,0.125,0.25,0.2222222222222222,1.0,0.2631578947368421,0.5,0.2857142857142857,1.0,1.0,0.125,0.5,0.25,0.3333333333333333,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.125,0.40878749999999997,0.4025,0.45520000000000005,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.2727272727272727,9.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1503,1610612753,Tracy McGrady,Tracy McGrady,1503,ORL,8299.0,138,-1.0,258,251,84,96,509,260,,17.0,22.0,10.0,9.0,11.0,5.0,84,34.3859649122807,0.9090909090909091,,0.32558139534883723,26.0,19.0,3.0,5.0,9.0,12.0,29.0,27.0,57.0,30.0,93.0,1.0,3.0,12.0,8.0,15.0,21.0,28.0,2.0,6.0,16.0,3.0,38.0,1.0,16.0,2.0,2.0,5.0,9.0,41.0,16.0,5.0,5.0,2.0,1.0,5.0,2.0,21.0,1.0,0.5185185185185185,0.5384615384615384,0.47368421052631576,0.3333333333333333,0.45652173913043476,0.625,0.5344827586206896,0.75,0.40384615384615385,0.03508771929824561,,0.13675213675213677,0.07142857142857142,0.1297709923664122,0.11538461538461539,0.14583333333333334,,0.4,0.2753623188405797,0.13043478260869565,0.5555555555555556,0.5555555555555556,0.2,0.42028985507246375,0.41379310344827586,0.41379310344827586,0.6666666666666666,0.2,0.4492753623188406,0.46308043478260874,0.3967,0.4665099999999999,0.2073170731707317,0.2318840579710145,0.12903225806451613,0.22580645161290322,10.591228070175438,10.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,1.0,6.0,3.0,12.0,1.0,1.0,7.0,2.0,7.0,26.0,9.0,2.0,11.0,2.0,10.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,0.25,1.0,0.2857142857142857,0.25,0.2,0.17391304347826086,0.10526315789473684,0.023529411764705882,0.08571428571428572,0.041666666666666664,0.04,0.021739130434782608,0.10714285714285714,0.13953488372093023,0.3333333333333333,0.027777777777777776,0.5263157894736842,0.5882352941176471,0.5,0.014492753623188406,1.0,1.0,1.0,0.15942028985507245,0.18181818181818182,0.18181818181818182,1.0,0.5,0.5,0.25,1.0,1.0,0.06666666666666667,1.0,0.4,0.16666666666666666,0.18181818181818182,0.07692307692307693,25.21666666666667,,,,,,,,,,,,,,,,,,,True,,,
1607,1610612753,Troy Hudson,Troy Hudson,1607,ORL,3741.0,62,-3.0,130,118,69,63,248,112,,4.0,4.0,5.0,2.0,6.0,2.0,69,26.42857142857143,0.8333333333333334,,0.5307692307692308,9.0,9.0,4.0,1.0,3.0,2.0,11.0,7.0,23.0,13.0,27.0,,,1.0,12.0,9.0,17.0,6.0,4.0,1.0,5.0,,11.0,1.0,3.0,,,2.0,2.0,14.0,4.0,3.0,,,,,,17.0,,0.42857142857142855,0.42857142857142855,0.30434782608695654,,0.2916666666666667,,0.43548387096774194,0.5,0.4722222222222222,0.17391304347826086,,0.06,0.125,0.06896551724137931,0.1,0.047619047619047616,0.16666666666666666,,0.375,0.125,0.3333333333333333,0.3333333333333333,,0.4583333333333333,0.18181818181818182,0.18181818181818182,0.5,0.3076923076923077,0.4166666666666667,0.46121458333333337,,0.4382807692307692,0.14285714285714285,0.14814814814814814,0.037037037037037035,0.6296296296296297,9.808695652173913,4.0,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,8.0,,,1.0,,4.0,1.0,1.0,,3.0,,,,,1.0,3.0,1.0,,,,,,,,,,0.3076923076923077,0.041666666666666664,0.4444444444444444,,,,,,,0.05263157894736842,,,0.4444444444444444,0.8,0.5,,,,,0.041666666666666664,,,,,,,,,,,0.07692307692307693,,,,28.2,2.0,4.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,True,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,8832.0,147,,278,268,99,101,546,271,3.0,26.0,30.0,1.0,1.0,3.0,2.0,99,12.131147540983607,0.3333333333333333,0.2727272727272727,0.35611510791366907,26.0,1.0,1.0,,1.0,4.0,12.0,5.0,14.0,3.0,34.0,,1.0,6.0,3.0,3.0,10.0,8.0,,,9.0,,18.0,5.0,18.0,2.0,1.0,8.0,18.0,4.0,,2.0,1.0,1.0,,1.0,1.0,10.0,3.0,0.8,0.8,0.35714285714285715,,0.484375,1.0,0.5,1.0,0.4166666666666667,,,0.14754098360655737,0.3125,0.16666666666666666,0.14285714285714285,0.14,0.38461538461538464,1.0,0.03125,0.03125,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.1,0.59375,0.475103125,0.4557,0.44298000000000004,,,0.17647058823529413,0.29411764705882354,15.885714285714284,1.0,,,1.0,4.0,,1.0,6.0,14.0,2.0,2.0,1.0,6.0,7.0,18.0,2.0,2.0,,1.0,7.0,2.0,21.0,,14.0,6.0,9.0,,3.0,1.0,5.0,1.0,3.0,4.0,,1.0,,2.0,,,,,1.0,0.3888888888888889,1.0,0.14285714285714285,0.3888888888888889,0.35,0.5625,,0.03260869565217391,0.02631578947368421,0.03076923076923077,0.037037037037037035,0.04081632653061224,0.03225806451612903,0.1590909090909091,,,1.0,1.0,,0.125,0.25,0.25,1.0,0.4375,0.42857142857142855,0.42857142857142855,1.0,,,0.6666666666666666,1.0,1.0,0.1,,0.6,0.16666666666666666,0.42857142857142855,,25.372222222222224,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,
42,1610612753,Monty Williams,Monty Williams,42,ORL,4000.0,67,21.0,119,121,32,27,240,111,,11.0,17.0,,,2.0,,32,21.641791044776117,,,0.2689075630252101,13.0,19.0,3.0,1.0,2.0,,,11.0,21.0,6.0,28.0,2.0,4.0,4.0,3.0,3.0,7.0,10.0,5.0,2.0,5.0,,12.0,1.0,10.0,3.0,3.0,2.0,5.0,10.0,2.0,3.0,,,,,,7.0,,0.45454545454545453,0.5555555555555556,0.5238095238095238,0.5,0.5,0.4,0.5185185185185185,0.4,0.5,0.23809523809523808,0.5,0.16666666666666666,0.125,0.16176470588235295,0.125,0.13043478260869565,0.14285714285714285,,0.8636363636363636,0.09090909090909091,0.5,1.0,1.0,,,,,0.75,0.9090909090909091,0.5717931818181818,0.5648899999999999,0.6171625,0.08333333333333333,0.08695652173913043,0.14285714285714285,0.25,0.861904761904762,10.0,2.0,4.0,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,12.0,,4.0,1.0,,3.0,2.0,,,3.0,,6.0,6.0,,,,2.0,,,,,,,,,,0.5,0.045454545454545456,0.21052631578947367,0.13636363636363635,,0.10909090909090909,0.29411764705882354,,,0.23809523809523808,,,0.5263157894736842,0.6666666666666666,0.4,,,,,0.045454545454545456,,,,0.8,0.5,0.2,,,,,0.25,,,,24.7,2.0,2.0,0.6666666666666666,0.6666666666666666,,,,1.0,0.2,,,,,,,,,,True,,,
692,1610612753,Andrew DeClercq,Andrew DeClercq,692,ORL,271.0,5,,8,8,1,8,16,6,,,,1.0,,1.0,,1,12.5,1.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2034,1610612753,Mike Miller,Mike Miller,2034,ORL,2669.0,44,-23.0,84,79,38,27,163,94,,2.0,2.0,1.0,,2.0,1.0,38,19.148936170212767,0.5,,0.4523809523809524,10.0,1.0,,1.0,3.0,4.0,6.0,6.0,10.0,2.0,14.0,,,,2.0,2.0,2.0,8.0,,,4.0,,8.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,,1.0,,,,,,2.0,3.0,0.6666666666666666,0.6666666666666666,0.6,,0.4,,0.4375,,0.2,,,0.03571428571428571,0.25,0.0625,0.16666666666666666,,0.25,,0.06666666666666667,0.2,0.3333333333333333,0.3333333333333333,1.0,0.4,0.6666666666666666,0.6666666666666666,0.75,,0.4,0.4430466666666667,,0.3875875,,,,0.14285714285714285,15.16,1.0,,,,,,,,5.0,,,,2.0,,5.0,,,,,2.0,4.0,,,5.0,,4.0,,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,0.5,,,,25.1,,,,,,,,,,,,,,,,,,,True,,,
353,1610612753,Darrell Armstrong,Darrell Armstrong,353,ORL,7869.0,131,3.0,248,237,77,90,485,242,,4.0,5.0,4.0,2.0,6.0,4.0,77,17.91044776119403,0.6666666666666666,,0.31048387096774194,21.0,8.0,2.0,1.0,1.0,5.0,10.0,12.0,19.0,14.0,50.0,,,3.0,6.0,10.0,27.0,14.0,1.0,1.0,11.0,,23.0,1.0,3.0,2.0,2.0,1.0,11.0,17.0,1.0,5.0,,,,,,27.0,4.0,0.5833333333333334,0.5833333333333334,0.631578947368421,,0.5,,0.5476190476190477,0.3333333333333333,0.8125,0.05263157894736842,,0.02702702702702703,0.07142857142857142,0.032,0.038461538461538464,0.043478260869565216,,,0.2222222222222222,0.027777777777777776,1.0,1.0,1.0,0.2777777777777778,0.5,0.5555555555555556,0.8,0.18181818181818182,0.6944444444444444,0.5325236111111111,,0.5096499999999999,0.05405405405405406,0.05,0.06,0.54,10.352631578947369,6.0,,,2.0,6.0,1.0,2.0,2.0,11.0,,,2.0,3.0,4.0,17.0,,2.0,3.0,3.0,5.0,10.0,9.0,,11.0,2.0,10.0,1.0,3.0,,7.0,,1.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,0.75,0.23529411764705882,,0.6,0.23529411764705882,0.7727272727272727,0.4722222222222222,,0.012987012987012988,,0.009009009009009009,,0.022727272727272728,,,0.3333333333333333,,0.75,0.75,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3055555555555556,0.18181818181818182,0.18181818181818182,0.5,,,,,,0.18181818181818182,0.5,0.2727272727272727,0.6666666666666666,0.18181818181818182,0.058823529411764705,24.517647058823528,2.0,4.0,0.6666666666666666,1.0,,,,,,2.0,3.0,1.0,1.0,4.0,0.1,1.0,,,True,,,
270,1610612753,Horace Grant,Horace Grant,270,ORL,6537.0,109,15.0,204,196,61,62,400,187,2.0,17.0,24.0,1.0,1.0,2.0,1.0,61,8.928571428571427,0.5,0.3333333333333333,0.29901960784313725,21.0,2.0,,,3.0,5.0,12.0,6.0,17.0,2.0,14.0,3.0,5.0,6.0,1.0,,,12.0,3.0,2.0,7.0,,16.0,1.0,14.0,3.0,1.0,2.0,7.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,0.35294117647058826,0.6,0.35294117647058826,0.6,0.3888888888888889,0.6,,0.17647058823529413,0.3333333333333333,0.1414141414141414,0.07142857142857142,0.13274336283185842,0.08333333333333333,0.15384615384615385,0.09090909090909091,,0.11764705882352941,0.17647058823529413,,,,0.7058823529411765,0.4166666666666667,0.45454545454545453,1.0,,0.11764705882352941,0.4141705882352941,0.43463333333333337,0.3312,0.05555555555555555,0.05555555555555555,0.42857142857142855,,13.323529411764707,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,3.0,,2.0,5.0,2.0,7.0,1.0,1.0,,1.0,,,,,,,,,,,,0.5,0.029411764705882353,0.16666666666666666,0.07142857142857142,,0.05263157894736842,0.17391304347826086,0.16666666666666666,,0.125,0.5,1.0,1.0,,,,,,,,,0.4,0.5,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,0.08333333333333333,,0.14285714285714285,1.0,True,,,
