EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,FtPoints,PenaltyFtPoints,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,BlocksRecoveredPct,Arc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ShortMidRangeAssists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Travels,3SecondViolations,on,SecondChanceFtPoints,SecondChanceTurnovers,Corner3PctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Corner3Assists,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,3538.0,59,-14.0,106,114,28,37,5.0,220,3.0,3.0,1.0,1.0,1.0,1.0,7.0,17.0,11.0,21.0,22.0,114,1.0,1.0,2.0,1.0,3.0,2.0,14.0,8.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,4.0,6.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,28,0.6363636363636364,0.6363636363636364,0.5238095238095238,1.0,0.3333333333333333,0.5238095238095238,1.0,0.3333333333333333,0.5238095238095238,1.0,0.3333333333333333,19.642857142857142,1.0,0.08695652173913043,0.2222222222222222,0.10909090909090909,0.17647058823529413,0.05263157894736842,0.2857142857142857,0.14285714285714285,1.0,1.0,0.3333333333333333,0.047619047619047616,1.0,1.0,1.0,0.8095238095238095,0.4117647058823529,0.4117647058823529,0.7142857142857143,1.0,1.0,0.14285714285714285,0.43851428571428575,0.5895,0.40556666666666663,0.09090909090909091,0.09090909090909091,15.561904761904762,0.2641509433962264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,712.0,12,10.0,21,23,4,13,2.0,44,,2.0,,,,,1.0,1.0,1.0,3.0,4.0,14,,,,,,2.0,2.0,,1.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,2.0,4,1.0,1.0,0.3333333333333333,,,0.25,,,0.4,,1.0,20.833333333333336,,0.1,,0.08333333333333333,0.3333333333333333,,,0.5,,,,,,,,0.25,1.0,1.0,1.0,,,0.75,0.5125375000000001,,,,0.5,5.5,0.19047619047619047,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.5,1.0,1.0,0.25,0.2,0.25,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1563,1610612754,Kevin Ollie,Kevin Ollie,1563,IND,1732.0,29,-5.0,54,54,16,25,2.0,108,1.0,3.0,,,,,2.0,2.0,3.0,5.0,6.0,53,,,,1.0,1.0,2.0,6.0,,7.0,,7.0,,7.0,14.0,,4.0,4.0,4.0,,,,1.0,1.0,,,,2.0,16,1.0,1.0,0.6,,1.0,0.6,,1.0,0.6,,1.0,8.928571428571427,,0.17391304347826086,,0.16666666666666666,0.1111111111111111,0.3,,0.6,0.3333333333333333,1.0,1.0,,,,,0.4,1.0,1.0,1.0,,,0.6,0.44658,,0.5518,,0.3333333333333333,8.8,0.2962962962962963,,,,,,2.0,,,,,,,,,0.4,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,1853.0,31,-17.0,57,61,23,25,6.0,118,3.0,6.0,,1.0,,2.0,1.0,3.0,4.0,11.0,10.0,71,,2.0,,3.0,3.0,8.0,2.0,6.0,2.0,,2.0,,1.0,4.0,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,,,,8.0,23,0.25,0.25,0.36363636363636365,,1.0,0.36363636363636365,,1.0,0.38461538461538464,,0.8,24.193548387096776,0.5,0.04,,0.034482758620689655,,,,0.5454545454545454,0.5,0.5,0.3333333333333333,0.18181818181818182,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.5,,0.5454545454545454,0.44361818181818186,0.46915,0.4157,,0.8,6.3909090909090915,0.40350877192982454,,,2.0,2.0,,1.0,,4.0,,,,,,,0.09090909090909091,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.05263157894736842,0.047619047619047616,0.125,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,4683.0,78,-22.0,145,152,42,62,11.0,297,5.0,6.0,3.0,4.0,,1.0,,2.0,5.0,9.0,20.0,154,3.0,5.0,6.0,1.0,3.0,7.0,4.0,6.0,7.0,,7.0,,2.0,14.0,1.0,17.0,19.0,24.0,5.0,2.0,9.0,3.0,13.0,1.0,,1.0,7.0,42,0.4,0.6666666666666666,0.5555555555555556,0.6,0.3333333333333333,0.6153846153846154,0.6,0.5,0.5882352941176471,0.6,0.5833333333333334,16.560509554140125,0.5555555555555556,0.265625,0.09090909090909091,0.24,0.17391304347826086,0.23076923076923078,,0.46153846153846156,0.8333333333333334,1.0,0.4,0.07692307692307693,,,,0.15384615384615385,,,,0.8,0.75,0.7692307692307693,0.48950000000000005,0.51,0.4661375,0.3,0.35,5.122222222222223,0.2896551724137931,3.0,4.0,4.0,2.0,3.0,1.0,,9.0,5.0,,,1.0,0.3076923076923077,,0.1111111111111111,0.16666666666666666,,1.0,0.23076923076923078,0.29411764705882354,0.38461538461538464,28.225,1.0,1.0,0.2,1.0,4.0,4.0,1.0,5.0,,4.0,1.0,5.0,3.0,,1.0,,0.16666666666666666,0.07547169811320754,0.06896551724137931,0.13333333333333333,0.4666666666666667,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.1111111111111111,0.08333333333333333,0.038461538461538464,0.5,0.07692307692307693,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2,1.0,0.2,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,3071.0,51,-13.0,97,103,40,54,7.0,200,4.0,5.0,,,1.0,1.0,4.0,7.0,9.0,13.0,27.0,107,,1.0,,5.0,8.0,14.0,16.0,2.0,3.0,,3.0,,1.0,6.0,1.0,3.0,4.0,4.0,3.0,1.0,7.0,,4.0,1.0,1.0,1.0,14.0,40,0.8888888888888888,0.8888888888888888,0.6923076923076923,,0.625,0.65625,,0.5555555555555556,0.6842105263157895,,0.6363636363636364,25.0,0.42857142857142855,0.06976744186046512,0.125,0.0784313725490196,,0.11764705882352941,0.16666666666666666,0.3125,0.8,0.8,1.0,0.0625,1.0,1.0,,0.4375,0.5714285714285714,0.5714285714285714,1.0,,,0.5,0.411334375,0.431,0.3867555555555555,,0.5185185185185185,11.584615384615384,0.41237113402061853,3.0,3.0,6.0,4.0,3.0,,1.0,7.0,1.0,,,1.0,0.1875,0.3333333333333333,,,0.3333333333333333,1.0,0.1875,0.058823529411764705,0.07142857142857142,25.46666666666667,2.0,3.0,0.3333333333333333,0.6666666666666666,1.0,,,,,4.0,4.0,,2.0,2.0,1.0,,,,,,0.07692307692307693,,,,,,1.0,1.0,1.0,,1.0,,3.0,,1.0,1.0,,,,,2.0,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,0.3333333333333333,0.5,,,,,0.1111111111111111,0.3333333333333333,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,2591.0,43,-18.0,82,84,22,24,6.0,166,1.0,3.0,,,4.0,10.0,1.0,3.0,6.0,16.0,17.0,86,,1.0,,2.0,4.0,6.0,4.0,8.0,1.0,,1.0,,,2.0,1.0,4.0,5.0,5.0,,,1.0,2.0,5.0,2.0,1.0,2.0,6.0,22,0.3333333333333333,0.3333333333333333,0.375,,0.5,0.375,,0.5,0.4473684210526316,,0.6,22.727272727272727,,0.10256410256410256,0.16666666666666666,0.1111111111111111,0.14285714285714285,0.07142857142857142,0.25,0.1875,0.3333333333333333,0.5,,0.625,0.4,0.4444444444444444,0.25,0.1875,0.3333333333333333,0.3333333333333333,1.0,,,0.1875,0.36486874999999996,0.4106,0.353375,,0.35294117647058826,9.881250000000001,0.2682926829268293,,,5.0,2.0,,2.0,,6.0,2.0,,,,,,0.125,0.3333333333333333,,,,0.1111111111111111,0.1111111111111111,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,0.1,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,1859.0,31,-2.0,63,61,11,19,3.0,124,,,,,,1.0,2.0,2.0,2.0,3.0,4.0,52,,,,,,,2.0,2.0,1.0,,1.0,,,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,,11,0.5,0.5,0.6666666666666666,,,0.5,,,0.5,,,10.44776119402985,0.3333333333333333,0.07407407407407407,0.25,0.0967741935483871,,0.2222222222222222,0.25,,,,,0.25,,,,0.5,1.0,1.0,0.5,,,0.25,0.44162500000000005,,,,,16.400000000000002,0.1746031746031746,1.0,1.0,,,1.0,,,,,,,2.0,0.25,,,,,1.0,0.25,,,24.3,,,,,1.0,,,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2249,1610612754,Jamison Brewer,Jamison Brewer,2249,IND,212.0,4,2.0,8,8,1,8,2.0,16,,1.0,,1.0,,,,1.0,,2.0,1.0,5,,1.0,,,1.0,1.0,,,1.0,,1.0,,,2.0,1.0,,1.0,3.0,,,,,1.0,,,,1.0,1,,,,,,,,,0.16666666666666666,,0.25,27.272727272727273,,,1.0,0.25,,,1.0,0.5,,,,,,,,0.5,,,,1.0,,0.5,0.46985,0.5784,0.5784,,1.0,7.9,0.125,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,,,,,,1.0,1.0,,,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,2060.0,34,-16.0,58,67,18,39,5.0,125,,1.0,,,2.0,4.0,2.0,6.0,4.0,11.0,13.0,76,,,,,2.0,3.0,4.0,4.0,1.0,,1.0,,1.0,2.0,3.0,3.0,8.0,10.0,,,2.0,,3.0,,,,3.0,18,0.5,0.5,0.36363636363636365,,,0.36363636363636365,,,0.4642857142857143,,0.375,25.0,,0.10714285714285714,0.5,0.17647058823529413,0.3333333333333333,,0.4,0.09090909090909091,,,,0.36363636363636365,0.5,0.5,,0.5454545454545454,0.3333333333333333,0.3333333333333333,1.0,,,0.09090909090909091,0.3703272727272728,,0.31575,,0.23076923076923078,13.336363636363636,0.3103448275862069,,,5.0,3.0,,,,7.0,3.0,,,,,,,,,,,0.23076923076923078,0.23076923076923078,,,,,,,2.0,2.0,2.0,,2.0,,,,1.0,,,0.6666666666666666,0.08695652173913043,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.25,0.07142857142857142,1.0,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,
