EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DeadBallTurnovers,Travels,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,FTDefRebounds,Steals,BadPassSteals,LostBallTurnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,LongMidRangePctBlocked,DefFTReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,LostBallSteals,SecondChanceTurnovers,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,OffAtRimReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,SecondChanceAtRimPctAssisted,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,3SecondViolations,HeaveAttempts,Blocked3s,BlockedArc3
1542,1610612760,Predrag Drobnjak,Predrag Drobnjak,1542,SEA,844.0,14,-15,22,23,3.0,3.0,45,2.0,1.0,2.0,1.0,4.0,1.0,3.0,32,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.25,0.3,0.25,0.25,0.5,23.076923076923077,1.0,0.25,0.14285714285714285,0.2,0.125,0.16666666666666666,0.2,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.36895,0.3594,0.2,0.2,0.3333333333333333,13.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1740,1610612760,Rashard Lewis,Rashard Lewis,1740,SEA,3329.0,55,-23,102,101,33.0,20.0,203,7.0,3.0,8.0,7.0,17.0,7.0,24.0,126,7.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,9.0,1.0,,,1.0,3.0,8.0,7.0,2.0,0.2857142857142857,0.3333333333333333,0.4117647058823529,0.40476190476190477,0.5,0.25,0.11764705882352941,0.14285714285714285,19.841269841269842,,0.12121212121212122,0.07272727272727272,0.125,0.06666666666666667,0.047619047619047616,0.14285714285714285,,0.1111111111111111,0.3333333333333333,0.38095238095238093,0.375,0.375,0.6666666666666666,0.45121428571428573,0.46695714285714285,0.09090909090909091,0.1111111111111111,0.16666666666666666,11.576470588235296,25.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,6.0,11.0,10.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,11.0,25.0,2.0,1.0,0.25,1.0,0.25,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.625,0.7857142857142857,0.19047619047619047,0.25,0.5,0.25,0.14285714285714285,0.09090909090909091,0.2,0.5,0.09523809523809523,0.5714285714285714,0.6666666666666666,0.19047619047619047,0.25,0.3333333333333333,1.0,0.2857142857142857,0.25,0.25,1.0,0.2857142857142857,0.25,0.5137,0.4583333333333333,24.3,0.24509803921568626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2046,1610612760,Desmond Mason,Desmond Mason,2046,SEA,7534.0,126,-41,226,220,76.0,32.0,446,3.0,9.0,25.0,14.0,34.0,6.0,37.0,253,5.0,,8.0,14.0,3.0,2.0,12.0,17.0,2.0,19.0,,3.0,2.0,4.0,5.0,7.0,12.0,5.0,0.5,0.5833333333333334,0.4117647058823529,0.4305555555555556,0.44047619047619047,0.8,0.08823529411764706,,17.11026615969582,0.75,0.13953488372093023,0.017543859649122806,0.14423076923076922,0.015267175572519083,0.046511627906976744,,,,0.08333333333333333,0.6944444444444444,0.36,0.391304347826087,0.6666666666666666,0.43742638888888885,0.48963999999999996,0.125,0.13157894736842105,0.21621621621621623,13.726470588235294,55.0,6.0,2.0,2.0,1.0,,1.0,,,1.0,2.0,4.0,4.0,10.0,,,2.0,10.0,14.0,3.0,4.0,1.0,,,3.0,6.0,1.0,1.0,15.0,3.0,1.0,1.0,,1.0,2.0,10.0,55.0,1.0,1.0,0.5,,0.5,0.8,0.4,0.8,0.4,0.4166666666666667,0.05555555555555555,,0.16666666666666666,,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.125,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.027777777777777776,,,,0.4,0.2,,,0.2222222222222222,,0.42445000000000005,0.2702702702702703,23.85,0.24336283185840707,4.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.2222222222222222,0.2,1.0,0.6666666666666666,0.8,0.25,0.027777777777777776,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
452,1610612760,Vin Baker,Vin Baker,452,SEA,8620.0,144,-45,252,249,79.0,36.0,501,27.0,3.0,9.0,28.0,57.0,7.0,66.0,292,9.0,1.0,9.0,20.0,9.0,11.0,9.0,14.0,11.0,25.0,1.0,,,4.0,12.0,23.0,9.0,5.0,0.35714285714285715,0.4166666666666667,0.49122807017543857,0.5086206896551724,0.532258064516129,0.45,0.15789473684210525,0.18518518518518517,22.2972972972973,,0.09090909090909091,0.08943089430894309,0.0847457627118644,0.07746478873239436,0.0425531914893617,0.10416666666666667,0.08333333333333333,0.05,0.46551724137931033,0.15517241379310345,0.3333333333333333,0.375,0.6666666666666666,0.46869999999999995,0.4970444444444444,0.08064516129032258,0.08196721311475409,0.13636363636363635,7.115789473684211,63.0,21.0,6.0,8.0,13.0,,,,,1.0,1.0,4.0,6.0,15.0,1.0,1.0,3.0,18.0,36.0,3.0,8.0,,,,3.0,4.0,,1.0,9.0,1.0,4.0,1.0,2.0,1.0,,18.0,63.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.4,0.4444444444444444,0.46875,0.5,0.017241379310344827,,0.14285714285714285,,0.05263157894736842,0.05405405405405406,0.13157894736842105,,0.3620689655172414,0.48148148148148145,0.5909090909090909,,,,,0.6666666666666666,0.5,,,0.3793103448275862,,0.49626875,0.2727272727272727,22.5,0.25,12.0,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,4.0,3.0,2.0,,2.0,6.0,3.0,6.0,3.0,2.0,0.1111111111111111,0.4,0.09090909090909091,0.5,0.5714285714285714,0.6666666666666666,0.4166666666666667,0.017241379310344827,1.0,1.0,1.0,0.5,0.375,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.14285714285714285,0.23076923076923078,0.0625,1.0,,,,,,,,,,,,,,True,,,,,,,,,,
56,1610612760,Gary Payton,Gary Payton,56,SEA,8119.0,135,-39,237,234,79.0,35.0,471,20.0,8.0,22.0,22.0,59.0,12.0,62.0,276,8.0,,4.0,18.0,8.0,7.0,14.0,22.0,8.0,30.0,3.0,8.0,3.0,9.0,2.0,7.0,18.0,7.0,0.4090909090909091,0.4090909090909091,0.3728813559322034,0.373134328358209,0.40789473684210525,0.2222222222222222,0.13559322033898305,0.15,30.357142857142858,0.8888888888888888,0.15053763440860216,0.059322033898305086,0.17117117117117117,0.058394160583941604,0.06666666666666667,0.06521739130434782,0.16666666666666666,0.08823529411764706,0.29850746268656714,0.3283582089552239,0.36363636363636365,0.38095238095238093,0.375,0.456534328358209,0.410625,0.0945945945945946,0.10606060606060606,0.06451612903225806,9.620338983050848,59.0,17.0,1.0,3.0,6.0,1.0,5.0,,1.0,2.0,8.0,2.0,5.0,12.0,1.0,2.0,5.0,18.0,26.0,6.0,,5.0,1.0,,13.0,20.0,1.0,5.0,47.0,5.0,1.0,1.0,,,2.0,18.0,59.0,2.0,1.0,0.25,0.5,0.25,0.25,0.4166666666666667,0.2222222222222222,0.4642857142857143,0.5,0.11940298507462686,,0.23529411764705882,,0.2777777777777778,0.1111111111111111,0.18181818181818182,0.375,0.2537313432835821,0.3,0.35294117647058826,0.07462686567164178,0.2,0.2,1.0,0.1111111111111111,0.21428571428571427,0.07142857142857142,,0.373134328358209,0.2,0.47727142857142857,0.2903225806451613,24.4625,0.2489451476793249,8.0,,2.0,1.0,3.0,7.0,5.0,2.0,7.0,3.0,3.0,2.0,5.0,3.0,,,,,,0.045454545454545456,0.3333333333333333,0.2,,0.47058823529411764,0.6153846153846154,0.625,0.04477611940298507,0.3333333333333333,0.3333333333333333,1.0,,0.6666666666666666,1.0,1.0,1.0,,,,,0.037037037037037035,0.16666666666666666,0.07142857142857142,1.0,1.0,1.0,1.0,0.05263157894736842,0.0625,0.1111111111111111,,,,,,,,True,,,,,,,,,,
699,1610612760,Brent Barry,Brent Barry,699,SEA,6438.0,107,-29,189,186,51.0,30.0,375,6.0,1.0,3.0,3.0,13.0,3.0,27.0,209,4.0,,8.0,4.0,3.0,3.0,11.0,14.0,5.0,19.0,,4.0,4.0,6.0,3.0,9.0,3.0,1.0,0.6666666666666666,1.0,0.23076923076923078,0.5217391304347826,0.5416666666666666,0.6666666666666666,0.23076923076923078,0.5,13.452914798206278,0.6666666666666666,0.12941176470588237,0.03296703296703297,0.13541666666666666,0.045871559633027525,,0.08823529411764706,0.22727272727272727,,0.2608695652173913,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.49838260869565215,0.57591,0.041666666666666664,0.07142857142857142,0.2962962962962963,9.015384615384615,48.0,4.0,2.0,,,5.0,8.0,2.0,3.0,6.0,10.0,1.0,,,3.0,4.0,,9.0,2.0,18.0,2.0,8.0,5.0,,6.0,8.0,,3.0,18.0,2.0,2.0,,,,,9.0,48.0,1.0,1.0,0.6,0.75,0.6,0.25,,0.6666666666666666,1.125,1.125,0.43478260869565216,,,,0.18181818181818182,0.06060606060606061,0.13333333333333333,0.2,0.17391304347826086,,,0.34782608695652173,0.625,0.625,1.0,0.3333333333333333,,0.75,0.6666666666666666,0.6086956521739131,0.625,0.6061875,0.3333333333333333,24.77,0.25396825396825395,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,3.0,1.0,3.0,2.0,,,0.125,0.16666666666666666,0.6666666666666666,0.5,0.5,0.5,0.08695652173913043,0.5,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,,2.0,,,0.25,1.0,2.0,2.0,2.0,0.1111111111111111,0.13333333333333333,0.3333333333333333,2.0,2.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,
1738,1610612760,Ansu Sesay,Ansu Sesay,1738,SEA,1550.0,26,16,45,44,13.0,3.0,89,,,,1.0,1.0,,2.0,40,,,,2.0,,,4.0,4.0,,4.0,,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,2.0833333333333335,,0.16,,0.14285714285714285,,,,0.2,,,,,,,0.6082,,,,,,19.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,,3.0,,,,,,,2.0,19.0,,,,,,,1.0,,1.0,1.0,,,,,,,0.21428571428571427,,1.0,,,,,,,,1.0,,,1.0,,0.6082,1.0,,0.4222222222222222,1.0,,1.0,,,1.0,1.0,,,,,,,,2.0,1.0,2.0,1.0,,,,,0.5,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1742,1610612760,Shammond Williams,Shammond Williams,1742,SEA,1101.0,18,-14,29,28,3.0,2.0,57,1.0,,,,2.0,,3.0,43,,,,,,,1.0,2.0,,2.0,,1.0,,3.0,,1.0,,,,,,0.375,0.375,,,,21.875,0.3333333333333333,0.125,,0.2222222222222222,,,,,,0.25,,,,,0.5302875,,,,,5.7,3.0,1.0,,,,1.0,2.0,,1.0,1.0,2.0,,,,,1.0,,,,3.0,,2.0,1.0,,2.0,2.0,1.0,,4.0,1.0,2.0,,,,,,3.0,,1.0,0.5,,0.5,,,,,,0.5,,,,1.0,,0.2,1.0,0.25,,,0.5,0.5,0.5,1.0,,,1.0,,0.75,0.5,0.5436,,25.15,0.10344827586206896,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,True,,,,,,,,,,
2209,1610612760,Vladimir Radmanovic,Vladimir Radmanovic,2209,SEA,3742.0,62,-35,109,107,35.0,13.0,216,2.0,,4.0,2.0,11.0,1.0,17.0,129,2.0,,,4.0,3.0,3.0,3.0,3.0,4.0,7.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,0.18181818181818182,0.4,0.425,,0.2727272727272727,0.5,17.322834645669293,1.0,0.06666666666666667,0.057692307692307696,0.05454545454545454,0.0625,0.1111111111111111,,,0.1,0.1,0.2,,,,0.4933599999999999,0.5,0.05,0.09090909090909091,,8.709090909090909,25.0,5.0,2.0,,,3.0,8.0,1.0,3.0,4.0,9.0,,,2.0,2.0,4.0,,6.0,,12.0,,8.0,3.0,1.0,2.0,3.0,,2.0,7.0,,,,,1.0,,6.0,25.0,,1.0,0.4444444444444444,0.5,0.4444444444444444,,,,0.5,0.5,0.45,0.1111111111111111,0.4,0.125,,0.09090909090909091,0.09090909090909091,,0.25,,,0.4,0.375,0.42857142857142855,1.0,1.0,,0.5,0.3333333333333333,0.7,0.375,0.5004583333333333,0.35294117647058826,25.72222222222222,0.22935779816513763,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.4,0.6666666666666666,1.0,0.05,1.0,1.0,1.0,,,1.0,1.0,,,,,,0.09090909090909091,,0.16666666666666666,1.0,,,1.0,0.08333333333333333,0.1,,,,,,,,,True,,,,,,,,,,
988,1610612760,Randy Livingston,Randy Livingston,988,SEA,1304.0,22,8,36,39,20.0,5.0,75,2.0,,1.0,1.0,4.0,,2.0,34,,,,2.0,1.0,,2.0,2.0,,2.0,,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,0.25,0.25,0.25,,0.25,0.5,11.363636363636363,1.0,0.125,,0.08695652173913043,,,,,,0.5,0.25,,,,0.45742499999999997,,,,,7.574999999999999,18.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,4.0,,1.0,9.0,,,,,,,,18.0,,,,,,,,,,,,,,,,0.25,0.125,,0.25,,,,,,,,,,,0.25,,0.3823,,,0.5,1.0,,,,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
