EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeFGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,LongMidRangeFrequency,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,AtRimAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,FTA,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefCorner3ReboundPct,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,on,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,Corner3Assists,NonShootingFoulsDrawn,Corner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,DefFTReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,Travels,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,PtsUnassisted3s,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,171.0,3.0,4.0,5.0,5.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6798,0.6798,1.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,407.0,7.0,-2.0,12.0,12.0,7.0,12.0,24.0,1.0,1.0,,,1.0,1.0,2.0,14.0,,,,,,7.0,,,1.0,,0.3333333333333333,,0.3333333333333333,,21.428571428571427,0.3333333333333333,1.0,1.0,,,,1.0,0.5334833333333333,,,1.5,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5659,1.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,407.0,7.0,-2.0,12.0,12.0,7.0,12.0,24.0,,,,,,1.0,,14.0,,,,,,7.0,,,,,,,,,7.142857142857142,,,,,,,,0.3575,,,15.8,0.5833333333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,406.0,7.0,-2.0,12.0,12.0,7.0,12.0,24.0,,1.0,,1.0,1.0,3.0,5.0,14.0,1.0,2.0,5.0,2.0,5.0,7.0,1.0,1.0,0.3333333333333333,0.5,0.625,0.8333333333333334,0.625,0.8333333333333334,28.57142857142857,0.25,,,,0.3333333333333333,,0.5,0.465125,0.4881333333333333,1.0,8.166666666666666,0.5833333333333334,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,2.0,,,,0.25,,,,,0.25,,,,,26.1,1.0,1.0,1.0,2.0,1.0,,5.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,0.5,0.3333333333333333,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,172.0,3.0,4.0,5.0,5.0,5.0,5.0,10.0,,,,,,,3.0,3.0,,,3.0,,3.0,5.0,,,,,0.75,0.75,0.75,0.75,40.0,,,,,,,1.0,0.509625,0.509625,1.0,,1.0,,,,,2.0,2.0,,,,,,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,25.55,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,,,1.0,0.5,0.5,0.5,,,,0.5,0.25,,,,,,,0.5,0.5,1.0,1.0,0.5,0.5,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,1610612755,Alvin Jones,Alvin Jones,2264,PHI,236.0,4.0,-6.0,7.0,7.0,2.0,7.0,14.0,,,,,,,,11.0,,,,,,2.0,,,,,,,,,11.11111111111111,,,,,,,,,,,,0.2857142857142857,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,,0.5,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,1610612755,Corie Blount,Corie Blount,916,PHI,235.0,4.0,-6.0,7.0,7.0,2.0,7.0,14.0,,,,,,1.0,,11.0,,,,,,2.0,,,,,,,,,11.11111111111111,,,,,,,,0.388,,,15.8,0.2857142857142857,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,0.2,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,6908.0,115.0,-3.0,212.0,212.0,42.0,25.0,424.0,7.0,15.0,3.0,8.0,21.0,43.0,49.0,227.0,5.0,12.0,10.0,40.0,10.0,42.0,0.9523809523809523,0.9523809523809523,0.4883720930232558,0.4166666666666667,0.4883720930232558,0.4166666666666667,0.532608695652174,0.4166666666666667,20.481927710843372,0.3488372093023256,0.4666666666666667,0.5384615384615384,1.0,0.6666666666666666,0.375,0.3488372093023256,0.45641395348837205,0.54725,0.20408163265306123,10.267441860465116,0.19811320754716982,32.0,1.0,6.0,,,,5.0,13.0,11.0,2.0,,,11.0,13.0,26.0,0.38461538461538464,0.38461538461538464,0.39285714285714285,,0.12087912087912088,0.125,0.0425531914893617,,,0.46153846153846156,0.16666666666666666,0.46460833333333335,0.22448979591836735,,22.0,7.0,,7.0,,,14.0,0.5116279069767442,2.0,6.0,,,,,,,,,4.0,1.0,4.0,9.0,13.0,9.0,,,,,,0.09302325581395349,,0.12857142857142856,0.12903225806451613,0.12871287128712872,0.15384615384615385,0.1111111111111111,0.13953488372093023,0.3333333333333333,0.5,0.5,,,,,,,0.25,4.0,2.0,5.0,0.8,2.0,0.15384615384615385,0.08333333333333333,False,12.0,7.0,1.0,6.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,12.0,1.0,1.0,3.0,6.0,2.0,0.13333333333333333,0.3333333333333333,0.25,0.15,1.0,0.15,0.08333333333333333,0.5454545454545454,0.5454545454545454,1.0,1.0,0.13043478260869565,0.13043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,2545.0,42.0,-10.0,77.0,82.0,17.0,26.0,159.0,,1.0,,,4.0,10.0,12.0,85.0,,1.0,1.0,4.0,1.0,17.0,0.5,0.5,0.4,,0.36363636363636365,,0.42857142857142855,0.25,18.88888888888889,0.09090909090909091,,,,,,0.18181818181818182,0.4350772727272727,0.3359,0.08333333333333333,15.13,0.22077922077922077,10.0,,,,1.0,1.0,,,,4.0,,1.0,1.0,1.0,1.0,,,,0.09090909090909091,0.034482758620689655,0.025,0.06666666666666667,,0.09090909090909091,,,,,24.7,8.0,10.0,2.0,12.0,,1.0,26.0,0.7272727272727273,,1.0,,,,,,,,,,7.0,,,,6.0,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,3.0,1.0,3.0,1.0,,,,False,4.0,4.0,,2.0,5.0,2.0,3.0,2.0,,,,1.0,8.0,,,,2.0,2.0,,,,,,,,0.5,0.5,0.5,,0.15384615384615385,0.16666666666666666,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
