EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG2M,FG2A,FG3M,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Loose Ball Fouls,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffArc3ReboundPct,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,PtsAssisted3s,LostBallTurnovers,Assisted3sPct,Arc3PctAssisted,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,AtRimAssists,Technical Free Throw Trips,SecondChanceFg3Pct,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,on,LongMidRangePctBlocked,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,SecondChanceAtRimPctAssisted
123,1610612750,Robert Pack,Robert Pack,123,MIN,397.0,7,-26,13,14,6,7,1.0,27,1.0,1.0,1.0,26,1.0,1.0,1.0,1.0,2.0,4.0,1.0,6,1.0,14.285714285714285,1.0,1.0,1.0,0.41625,0.41625,25.1,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,236.0,4,-3,9,8,8,7,1.0,17,,,,14,,,,,,,,8,,,,,,,,,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,1697.0,28,1,55,56,23,36,10.0,111,4.0,1.0,5.0,57,2.0,4.0,,2.0,,2.0,,23,0.4166666666666667,20.8955223880597,0.3333333333333333,0.2,0.5833333333333334,0.4731583333333333,0.46813000000000005,25.279999999999998,0.41818181818181815,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,2.0,10.0,1.0,3.0,1.0,5.0,4.0,6.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.4,0.5,0.4,0.2857142857142857,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.5,0.14285714285714285,0.5,1.0,0.13333333333333333,0.2,0.16,0.16666666666666666,0.16666666666666666,0.2,0.16666666666666666,0.5,1.0,1.0,0.25,0.16666666666666666,0.5,0.5,1.0,0.08333333333333333,0.5,0.5,0.2,1.0,0.2,1.0,0.5,0.5,9.928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,2660.0,44,13,87,86,33,48,15.0,173,1.0,1.0,1.0,93,1.0,1.0,2.0,2.0,3.0,6.0,,33,0.041666666666666664,28.846153846153847,0.041666666666666664,0.1111111111111111,0.2916666666666667,0.42888750000000003,0.4773777777777778,25.3,0.3793103448275862,1.0,6.0,1.0,4.0,11.0,2.0,6.0,,,,,8.0,23.0,,23.0,3.0,8.0,,13.0,6.0,,,1.0,6.0,10.0,17.0,24.0,3.0,3.0,,,,,13.0,1.0,0.375,0.5,,,,0.34782608695652173,0.375,0.3333333333333333,0.3333333333333333,0.4107142857142857,0.5,0.043478260869565216,0.16666666666666666,,0.3333333333333333,0.46153846153846156,0.37209302325581395,0.18181818181818182,0.45454545454545453,0.4166666666666667,0.25,0.16666666666666666,0.2,,0.4583333333333333,0.25,0.3333333333333333,0.3333333333333333,1.0,,,,0.4444444444444444,0.25,,,,0.5652173913043478,9.434782608695652,1.0,3.0,5.0,7.0,3.0,5.0,3.0,9.0,7.0,10.0,4.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,13.0,1.0,6.0,1.0,7.0,3.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6428571428571429,1.0,0.18181818181818182,0.125,0.17073170731707318,0.3,0.15384615384615385,0.1,0.3333333333333333,0.375,1.0,0.2,1.0,0.45454545454545453,0.45454545454545453,0.2,0.6,0.3333333333333333,0.470175,0.1111111111111111,0.11538461538461539,0.391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
718,1610612750,Gary Trent,Gary Trent,718,MIN,2903.0,48,-2,94,95,38,56,16.0,189,,,,110,,,2.0,3.0,2.0,8.0,1.0,38,,18.749999999999996,,,0.4375,0.480525,0.40235,,0.40425531914893614,4.0,7.0,,,8.0,,1.0,,,,,8.0,16.0,,19.0,,2.0,,2.0,6.0,,,3.0,,3.0,4.0,9.0,,,,1.0,1.0,1.0,2.0,1.0,0.375,0.6,,,,0.5,,0.5,,0.5277777777777778,0.3333333333333333,0.1875,0.2857142857142857,0.3333333333333333,0.0967741935483871,,0.06666666666666667,0.18181818181818182,,,0.4375,0.5714285714285714,0.8,0.25,0.5,0.0625,,,,,,,,,,,,0.10526315789473684,5.0,2.0,4.0,4.0,3.0,3.0,5.0,,6.0,2.0,10.0,6.0,1.0,,1.0,,,,1.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,4.0,,,,,,0.6,0.6,0.6,0.5,0.10526315789473684,0.1111111111111111,0.10638297872340426,0.25,0.07142857142857142,,,0.1111111111111111,,0.4,,0.5,0.5714285714285714,0.5,0.8,0.5,0.56685,0.2222222222222222,0.2222222222222222,0.3157894736842105,2.0,2.0,1.0,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,1274.0,21,-8,39,41,9,21,6.0,80,,,2.0,51,,,1.0,1.0,,3.0,1.0,9,0.5,13.333333333333332,,,1.0,0.5508,,23.9,0.23076923076923078,,2.0,,,,,,2.0,,,,,2.0,1.0,4.0,,,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,0.5,,0.5,,,0.375,,0.4,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3333333333333333,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,2064.0,34,4,69,68,36,48,13.0,137,2.0,2.0,4.0,81,3.0,2.0,,1.0,,,,36,0.3076923076923077,19.047619047619047,0.15384615384615385,0.3333333333333333,0.6153846153846154,0.5534769230769231,0.6050666666666668,24.224999999999998,0.5217391304347826,4.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,8.0,9.0,1.0,22.0,3.0,3.0,1.0,10.0,4.0,,1.0,,3.0,1.0,4.0,7.0,,,,1.0,,1.0,10.0,,0.25,0.2857142857142857,0.25,0.3333333333333333,0.25,0.8888888888888888,1.0,0.7307692307692307,0.75,0.7333333333333333,0.7142857142857143,,,1.0,0.037037037037037035,0.375,0.11428571428571428,,,0.42857142857142855,0.3076923076923077,1.0,1.0,0.25,0.07692307692307693,0.3076923076923077,0.75,0.75,0.3333333333333333,0.15384615384615385,0.5,0.5,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,0.45454545454545453,8.088888888888889,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,12.0,2.0,1.0,1.0,2.0,1.0,,,1.0,5.0,1.0,2.0,,3.0,,,4.0,2.0,,,,,,1.0,1.0,0.75,,0.07692307692307693,0.125,0.08823529411764706,,0.25,,0.25,0.125,,,,1.0,1.0,,1.0,1.0,0.5544,0.13333333333333333,0.18181818181818182,0.13636363636363635,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
693,1610612750,Joe Smith,Joe Smith,693,MIN,778.0,13,-13,23,26,5,8,3.0,49,,,,34,,,,,1.0,2.0,,5,,23.076923076923077,,,0.4,0.46186000000000005,0.4121,,0.21739130434782608,1.0,2.0,,,,1.0,3.0,,,,,2.0,5.0,,6.0,,1.0,,,2.0,,,1.0,,2.0,2.0,4.0,,,,,,,,1.0,0.5,1.0,,,,0.4,,0.4,,0.5,,0.2,0.5,,0.2857142857142857,,0.2,,0.25,,0.4,0.5,1.0,,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,11.580000000000002,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,,2.0,2.0,,,,,,,,,,2.0,,2.0,,,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,0.2,,0.18181818181818182,0.3333333333333333,,0.25,,0.5,,,,,,,1.0,1.0,0.5663,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,2506.0,42,24,81,81,32,49,15.0,162,1.0,,3.0,84,1.0,1.0,1.0,3.0,1.0,5.0,1.0,32,0.25,18.367346938775512,0.08333333333333333,,0.3333333333333333,0.45961666666666673,0.44628571428571434,23.166666666666668,0.3950617283950617,1.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,,5.0,9.0,3.0,24.0,4.0,6.0,1.0,13.0,,,1.0,,2.0,4.0,6.0,6.0,1.0,,1.0,2.0,1.0,3.0,13.0,2.0,,,1.0,1.0,1.0,0.5555555555555556,0.6666666666666666,0.7916666666666666,0.7857142857142857,0.7666666666666667,0.8125,,,0.6666666666666666,0.13333333333333333,0.15384615384615385,0.13953488372093023,,0.3,0.16666666666666666,0.08333333333333333,1.0,1.0,,0.16666666666666666,0.5,0.5,0.5,,0.16666666666666666,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,,1.0,0.5416666666666666,14.266666666666667,,,1.0,5.0,,,,6.0,2.0,10.0,,7.0,,7.0,,,2.0,2.0,14.0,,,,,,,8.0,3.0,1.0,1.0,,1.0,,,1.5,1.5,,,,,,,,,0.1111111111111111,,,,0.5,0.5,,,,0.56775,0.21428571428571427,0.2727272727272727,0.25,,1.0,,,,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,True,,,,,,,,
123,1610612750,Robert Pack,Robert Pack,123,MIN,218.0,4,-6,9,10,7,2,1.0,19,,,,13,,,,,,1.0,,7,,40.0,,,0.5,0.525675,0.525675,,0.7777777777777778,1.0,2.0,1.0,2.0,,,2.0,,,,,1.0,4.0,,3.0,1.0,4.0,,3.0,,,,1.0,,,,,,,,,,,3.0,,,,,,,0.25,0.25,0.25,0.25,0.375,0.375,0.25,,,,,,,,,0.5,0.5,0.5,,,0.5,,,,,,,0.5,0.5,,,,1.0,9.475000000000001,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5,,,,,,,
