EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted3s,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Steals,LostBallSteals,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,NonHeaveArc3FGA,TwoPtAssists,AtRimAssists,DefShortMidRangeReboundPct,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,OffThreePtRebounds,SelfOReb,ShootingFouls,Fouls,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,on,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTOffRebounds,FTDefRebounds,2pt And 1 Free Throw Trips,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,HeaveAttempts,BlockedLongMidRange,ShortMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffensiveGoaltends
133,1610612766,David Wesley,David Wesley,133,CHH,565.0,9,-8,19.0,18,11.0,7.0,37,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,23,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,11.0,1.0,1.0,1.0,0.375,0.375,0.25,22.22222222222222,0.14285714285714285,0.0625,0.14285714285714285,0.058823529411764705,0.16666666666666666,0.3333333333333333,0.25,0.5,0.25,1.0,1.0,1.0,0.5,0.5,0.4957375,0.50015,0.4146,11.933333333333332,24.3,0.5789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612766,P.J. Brown,P.J. Brown,136,CHH,620.0,10,-10,19.0,19,11.0,7.0,38,3.0,2.0,1.0,,,4.0,,,7.0,25,2.0,4.0,,3.0,,,3.0,3.0,,,,,11.0,,,,0.5,0.5833333333333334,,20.689655172413794,,0.16666666666666666,,0.15789473684210525,,,0.75,0.25,,,,,1.0,0.75,0.5419,0.59685,0.5419,4.8,,0.5789473684210527,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.6666666666666666,0.2,0.2,0.42857142857142855,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612766,Baron Davis,Baron Davis,1884,CHH,620.0,10,-10,19.0,19,11.0,7.0,38,3.0,1.0,2.0,,,5.0,,,3.0,25,2.0,4.0,,1.0,1.0,1.0,1.0,2.0,,,,,11.0,,,,0.2,0.25,,20.689655172413794,0.14285714285714285,0.05555555555555555,0.14285714285714285,0.05263157894736842,,0.3333333333333333,0.6,0.4,,,,,0.5,0.6,0.5252800000000001,0.47755000000000003,0.5624,6.779999999999999,,0.5789473684210527,1.0,,1.0,3.0,1.0,1.0,,,,1.0,1.0,3.0,,2.0,,2.0,,1.0,,,,,3.0,,,0.2,,0.25,,0.25,,0.3,0.25,,0.3333333333333333,0.3333333333333333,,,0.75,0.3333333333333333,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612766,Jamal Mashburn,Jamal Mashburn,469,CHH,620.0,10,-10,19.0,19,11.0,7.0,38,,,2.0,,,5.0,,1.0,,25,,3.0,,,1.0,1.0,,1.0,,,,,11.0,,,,,,0.16666666666666666,20.689655172413794,0.14285714285714285,,0.14285714285714285,,,,,0.3333333333333333,,,,,,0.16666666666666666,0.41677500000000006,,0.4376375,12.54,26.4,0.5789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.25,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612766,Elden Campbell,Elden Campbell,922,CHH,565.0,9,-8,19.0,18,11.0,7.0,37,1.0,1.0,1.0,,,5.0,,,2.0,23,2.0,2.0,,1.0,2.0,2.0,2.0,4.0,,,,,11.0,,,,0.2,0.2,,18.51851851851852,0.2857142857142857,0.0625,0.2857142857142857,0.11764705882352941,,,0.2,0.2,,,,,0.5,0.2,0.43583999999999995,0.3898,0.50045,7.38,,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,2.0,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,,,0.2,0.5,0.5,0.5,0.5,0.5,0.5,,0.16666666666666666,1.0,1.0,,1.0,0.5,1.0,,,1.0,1.0,,,,,,,3.0,,,,,,,0.5,0.6,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.25,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612766,Jamaal Magloire,Jamaal Magloire,2048,CHH,55.0,1,-2,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612766,Stacey Augmon,Stacey Augmon,278,CHH,55.0,1,-2,,1,,,1,,,,,,,,,,2,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1610612766,David Wesley,David Wesley,133,CHH,22017.0,367,2,699.0,696,280.0,99.0,1395,21.0,3.0,60.0,2.0,9.0,88.0,16.0,37.0,139.0,713,10.0,22.0,42.0,2.0,8.0,13.0,2.0,15.0,1.0,9.0,19.0,12.0,280.0,0.875,0.43243243243243246,0.43243243243243246,0.472,0.5037037037037037,0.296,18.78048780487805,0.030418250950570342,0.007017543859649123,0.03757225433526012,0.005865102639296188,0.008695652173913044,0.023529411764705882,0.168,0.48,0.072,0.2222222222222222,0.2222222222222222,1.0,0.21428571428571427,0.464,0.4791396,0.46540833333333337,0.46984999999999993,13.379545454545456,24.994594594594595,0.4005722460658083,15.0,2.0,5.0,5.0,35.0,21.0,5.0,3.0,16.0,9.0,12.0,54.0,46.0,24.0,,23.0,5.0,5.0,2.0,2.0,2.0,,54.0,0.6571428571428571,0.6571428571428571,0.3977272727272727,0.5,0.4090909090909091,0.4642857142857143,0.5526315789473685,0.5,0.6,0.010416666666666666,,0.7142857142857143,0.8823529411764706,0.5333333333333333,0.6666666666666666,0.13157894736842105,1.0,0.038461538461538464,0.053763440860215055,0.11510791366906475,0.38848920863309355,6.0,31.0,1.0,68.0,10.0,5.0,7.0,28.0,14.0,16.0,28.0,25.0,10.0,0.03333333333333333,0.056,0.224,0.3684210526315789,,,5.0,30.0,1.0,,,0.03389830508474576,,0.5,False,260.0,1.0,19.0,1.0,2.0,14.0,1.0,3.0,8.0,1.0,4.0,8.0,6.0,14.0,4.0,5.0,7.0,8.0,5.0,5.0,10.0,7.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,13.0,0.25,0.5,0.045454545454545456,0.19047619047619047,0.5263157894736842,0.060240963855421686,0.06944444444444445,0.14285714285714285,0.14285714285714285,1.0,0.31666666666666665,0.31666666666666665,0.7368421052631579,0.5,0.5,0.8571428571428571,0.07142857142857142,0.21428571428571427,0.3333333333333333,1.0,0.05263157894736842,0.5714285714285714,0.5,,,,,,,,,,,,,,,,,,
136,1610612766,P.J. Brown,P.J. Brown,136,CHH,19224.0,320,-5,597.0,601,240.0,91.0,1198,34.0,14.0,23.0,,,71.0,,,85.0,619,19.0,31.0,,19.0,36.0,57.0,26.0,83.0,1.0,8.0,8.0,5.0,240.0,,,,0.4225352112676056,0.4883720930232558,,13.352272727272727,0.16,0.07450980392156863,0.1695501730103806,0.07947019867549669,0.047619047619047616,0.136986301369863,0.4788732394366197,0.323943661971831,,,,,0.7368421052631579,0.4788732394366197,0.48055633802816905,0.5248533333333333,0.4572129032258065,7.4915492957746475,,0.4020100502512563,16.0,6.0,7.0,15.0,30.0,25.0,8.0,9.0,25.0,13.0,12.0,38.0,42.0,18.0,10.0,33.0,14.0,2.0,11.0,8.0,11.0,,38.0,0.7,0.84,0.4225352112676056,0.42105263157894735,0.41935483870967744,0.42105263157894735,0.41935483870967744,0.5208333333333334,0.5,0.07317073170731707,0.11764705882352941,0.47058823529411764,0.5333333333333333,0.6875,0.42857142857142855,0.4838709677419355,0.4666666666666667,0.16666666666666666,0.16666666666666666,0.29411764705882354,0.4470588235294118,3.0,14.0,,31.0,6.0,2.0,14.0,,,,,11.0,3.0,0.2,0.19718309859154928,,,5.0,3.0,15.0,37.0,7.0,0.10638297872340426,0.10810810810810811,0.1568627450980392,0.08108108108108109,0.6363636363636364,False,188.0,3.0,11.0,,,,,,,,,,,,4.0,3.0,3.0,5.0,13.0,4.0,,,,,2.0,1.0,4.0,2.0,1.0,8.0,,,0.056338028169014086,0.11764705882352941,,0.203125,0.18181818181818182,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.4782608695652174,0.4782608695652174,0.8181818181818182,,,,,,,,,,,2.0,8.0,1.0,3.0,1.0,2.0,0.47058823529411764,0.09090909090909091,0.1,0.3333333333333333,0.16666666666666666,,,,,,,
1714,1610612766,Robert Traylor,Robert Traylor,1714,CHH,3755.0,63,-4,122.0,121,46.0,18.0,243,9.0,3.0,4.0,,,19.0,,1.0,18.0,130,3.0,6.0,,3.0,7.0,12.0,4.0,16.0,,3.0,4.0,1.0,46.0,,,,0.35,0.391304347826087,0.05,18.0,0.1794871794871795,0.057692307692307696,0.19230769230769232,0.06557377049180328,0.047619047619047616,0.07692307692307693,0.45,0.2,,,,,1.0,0.5,0.4724125,0.53465,0.5138071428571428,5.873684210526315,24.8,0.3770491803278688,4.0,1.0,3.0,4.0,7.0,4.0,1.0,,2.0,4.0,1.0,9.0,10.0,4.0,2.0,6.0,3.0,,2.0,2.0,2.0,,9.0,0.7142857142857143,0.8333333333333334,0.3684210526315789,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.5625,0.09090909090909091,,0.4444444444444444,0.5714285714285714,0.75,0.3333333333333333,0.5714285714285714,0.75,0.13043478260869565,0.13636363636363635,0.1111111111111111,0.5,1.0,3.0,,7.0,2.0,,6.0,1.0,1.0,1.0,1.0,2.0,,,0.3,0.05,0.14285714285714285,1.0,,6.0,15.0,,0.1111111111111111,0.14285714285714285,0.2608695652173913,,,False,51.0,2.0,1.0,,,,,,,,,,,,3.0,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,,,2.0,3.0,,4.0,,,0.15789473684210525,0.2222222222222222,0.25,0.23076923076923078,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,2.0,,,2.0,,0.25,,,,,0.25,,,,,,
