EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,Usage,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,Loose Ball Fouls,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsPutbacks,ThreePtAssists,Arc3Assists,OffThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,OffThreePtReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,DefLongMidRangeReboundPct,Corner3Assists,FTDefRebounds,SelfOReb,LostBallSteals,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,DefCorner3ReboundPct,LongMidRangePctAssisted,PenaltyTurnovers,Defensive 3 Seconds Violations,on,Fg2aBlocked,FG2APctBlocked,LongMidRangePctBlocked,SecondChanceFtPoints,AtRimAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,AtRimPctBlocked,ShortMidRangePctBlocked,OffArc3ReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyCorner3Frequency,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,Technical Free Throw Trips
123,1610612750,Robert Pack,Robert Pack,123,MIN,225.0,4,-16,8,10,5,5,18,1.0,1.0,16,1.0,1.0,1.0,2.0,3.0,1.0,5,25.0,1.0,0.3964,0.3964,20.6,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,1555.0,26,6,50,52,23,25,102,4.0,10.0,56,7.0,,,1.0,4.0,,23,31.578947368421055,0.26666666666666666,0.44432,0.42733999999999994,10.77,0.46,7.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,7.0,3.0,5.0,4.0,27.0,2.0,2.0,6.0,6.0,1.0,3.0,2.0,17.0,14.0,6.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,2.0,4.0,1.0,1.0,1.0,1.0,17.0,2.0,0.6666666666666666,0.6,1.0,0.3333333333333333,0.6,0.7,0.8571428571428571,0.7666666666666667,1.5,0.75,0.75,1.5,0.7727272727272727,0.3333333333333333,0.058823529411764705,0.125,0.08,0.16666666666666666,0.14285714285714285,0.13333333333333333,1.0,1.0,0.26666666666666666,0.75,0.75,0.5,0.5,0.06666666666666667,1.0,1.0,1.0,0.26666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.2,1.0,0.3,0.3333333333333333,0.4666666666666667,0.5,0.56775,0.23529411764705882,0.3333333333333333,0.2222222222222222,0.6296296296296297,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,1774.0,30,-10,57,60,27,29,117,,2.0,72,,1.0,1.0,1.0,6.0,1.0,27,9.375,,0.5508,,,0.47368421052631576,7.0,,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,2.0,1.0,4.0,,,,,,,,,,,3.0,,,1.0,1.0,,2.0,,,,1.0,2.0,,1.0,,,,,,1.0,,0.5,,,0.5,,,0.375,,,0.4,,,0.5,,,,,,0.5,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,1.0,,,0.2,0.3333333333333333,,,23.9,1.0,1.0,1.0,1.0,1.0,1.0,0.043478260869565216,0.037037037037037035,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,1181.0,20,-12,39,41,26,23,80,3.0,8.0,55,5.0,,,,1.0,,26,25.0,0.3333333333333333,0.4887555555555555,0.49041999999999997,9.100000000000001,0.6666666666666666,5.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,,1.0,,,,,,,,,5.0,,1.0,4.0,14.0,,,4.0,3.0,,,4.0,10.0,8.0,,,,,,1.0,,3.0,1.0,1.0,2.0,4.0,4.0,,1.0,1.0,,,,10.0,,,,,,,0.625,0.6,0.5555555555555556,1.0,0.6,0.6363636363636364,1.0,0.7142857142857143,0.1111111111111111,0.07142857142857142,0.25,0.1111111111111111,0.2,0.3333333333333333,0.2222222222222222,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1111111111111111,,,,,,,,,,,,,,0.2,1.0,,,0.3333333333333333,,0.4759,0.1,0.1111111111111111,0.2857142857142857,0.7142857142857143,23.9,,1.0,2.0,,,,0.058823529411764705,0.09523809523809523,0.16666666666666666,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2,0.25,1.0,0.25,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,450.0,8,2,13,15,1,6,28,,1.0,11,,,1.0,,1.0,,1,21.428571428571427,,0.47209999999999996,,8.6,0.07692307692307693,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,3.0,,,,,,,,,,,3.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,0.75,,,0.75,,,0.5,0.3333333333333333,,0.16666666666666666,,,,,,0.5,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,0.5,1.0,,,,,,25.3,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,1531.0,26,1,48,50,19,19,98,4.0,9.0,55,2.0,1.0,1.0,2.0,5.0,,19,22.22222222222222,0.4,0.41039000000000003,0.4456333333333333,11.055555555555555,0.3958333333333333,6.0,,2.0,,1.0,1.0,3.0,,,,,,,1.0,,,,1.0,1.0,,1.0,2.0,4.0,,,2.0,,,1.0,2.0,2.0,2.0,,,1.0,,1.0,2.0,,5.0,4.0,5.0,10.0,13.0,2.0,,,1.0,,,,2.0,,,,,,,0.1111111111111111,,0.1,0.5,,0.18181818181818182,0.5,0.25,0.1,0.3333333333333333,0.5,0.391304347826087,0.2,0.5714285714285714,0.2,,,0.3,0.3333333333333333,0.3333333333333333,,,,,,,0.1,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3,,0.49165000000000003,,,0.5,0.5,25.3,1.0,3.0,3.0,3.0,2.0,1.0,0.16666666666666666,0.13636363636363635,0.2,,1.0,1.0,2.0,,2.0,1.0,,,,,0.5,,,,0.5,,,,,0.6,1.0,1.0,1.0,1.0,1.0,0.25,0.1111111111111111,0.2,0.1111111111111111,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612750,Joe Smith,Joe Smith,693,MIN,438.0,7,-9,15,17,10,11,32,2.0,4.0,23,2.0,,,1.0,5.0,,10,23.52941176470588,0.5,0.4276,0.38634999999999997,11.9,0.6666666666666666,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,,,,4.0,,,2.0,,,,,,2.0,,,,,,,,,1.0,1.0,2.0,3.0,,,,,,,,,3.0,,,,,,0.5,,0.5,1.0,,0.5,1.0,,,0.5,0.5,0.5,,,0.25,1.0,1.0,0.25,,,0.5,0.5,,,,,,,,,,,,,,,,,,,0.25,,0.5663,,,0.5,,,,1.0,1.0,,,3.0,0.14285714285714285,0.14285714285714285,,1.0,1.0,1.0,1.0,2.0,2.0,,,,0.5,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,0.25,,,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
718,1610612750,Gary Trent,Gary Trent,718,MIN,1274.0,21,-8,39,41,9,21,80,1.0,6.0,51,1.0,,1.0,2.0,4.0,,9,15.555555555555555,0.16666666666666666,0.41196666666666665,0.3511,8.133333333333333,0.23076923076923078,6.0,1.0,1.0,,,2.0,4.0,,,,,,,,,,,,3.0,,,,6.0,,,,,,,,,4.0,,,,,,,,,,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,0.5,,0.5,,,0.5,,,,0.14285714285714285,,0.1,0.16666666666666666,,0.16666666666666666,1.0,1.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,0.16666666666666666,0.16666666666666666,,,,,,,,,1.0,,,,,,,,2.0,,,,,0.3333333333333333,0.3333333333333333,,,,0.5,,,1.0,1.0,1.0,,,1.0,,,0.5,,,0.25,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,371.0,6,-2,13,12,12,4,25,,,17,,,,,,,12,,,,,,0.9230769230769231,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,71.0,1,-2,3,2,3,2,5,,,4,,,,,,,3,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
