EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,AtRimAssists,ShortMidRangeAssists,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyFg3Pct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,SecondChanceFG3A,PtsUnassisted3s,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,DefFTReboundPct,SecondChanceCorner3Frequency,3SecondViolations,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,Corner3Assists,Technical Free Throw Trips,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,2935.0,49.0,12.0,85,90,35.0,24,5.0,175,1.0,6.0,11.0,6.0,12.0,3.0,15.0,95.0,1.0,4.0,2.0,4.0,10.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,35.0,0.8333333333333334,0.8333333333333334,0.5,0.25,0.5,0.25,0.5357142857142857,0.4,0.08333333333333333,1.0,16.483516483516482,1.0,0.05555555555555555,0.1111111111111111,0.06666666666666667,0.09090909090909091,0.0625,0.16666666666666666,0.08333333333333333,0.9166666666666666,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.08333333333333333,0.4033,0.358575,0.07692307692307693,0.07692307692307693,0.26666666666666666,16.533333333333335,0.4117647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,1798.0,30.0,25.0,56,54,18.0,11,3.0,110,2.0,3.0,3.0,4.0,7.0,2.0,13.0,42.0,2.0,3.0,,4.0,4.0,4.0,,1.0,4.0,5.0,6.0,1.0,1.0,,,,,1.0,2.0,1.0,,4.0,18.0,0.5,0.5,0.5714285714285714,0.6666666666666666,0.55,0.4,0.5909090909090909,0.4,,,18.333333333333336,,0.21052631578947367,0.5,0.23809523809523808,0.25,0.25,,0.2,0.3,1.0,1.0,0.6666666666666666,0.5,0.4473299999999999,0.49221000000000004,0.09090909090909091,0.125,0.3076923076923077,11.899999999999997,0.32142857142857145,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3,0.058823529411764705,0.05,0.2,0.14285714285714285,1.0,0.5,0.5,0.2,0.2,0.5,0.5,1.0,0.1,0.5,0.4,0.5,0.2,0.2,0.15384615384615385,23.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1563,1610612754,Kevin Ollie,Kevin Ollie,1563,IND,4229.0,70.0,2.0,127,125,27.0,20,13.0,252,8.0,5.0,6.0,8.0,15.0,,19.0,125.0,,1.0,,3.0,14.0,2.0,3.0,,6.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,3.0,27.0,0.875,0.875,0.5333333333333333,,0.5588235294117647,0.75,0.5588235294117647,0.75,0.2,0.375,13.571428571428573,0.5,0.1276595744680851,,0.11320754716981132,0.18181818181818182,0.17391304347826086,,0.47058823529411764,0.35294117647058826,0.8333333333333334,0.8333333333333334,1.0,0.5882352941176471,0.4889294117647059,0.642625,,,0.15789473684210525,8.773333333333333,0.2125984251968504,2.0,,,1.0,1.0,,,,2.0,1.0,1.0,2.0,,,,1.0,3.0,2.0,14.0,2.0,16.0,2.0,9.0,34.0,,,1.0,0.5,0.5,,,,0.11764705882352941,,,,,,0.25,0.4,0.058823529411764705,,,,,0.11764705882352941,,0.5,,,0.5,,26.1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,7686.0,128.0,8.0,239,237,45.0,44,29.0,476,8.0,8.0,15.0,17.0,33.0,10.0,44.0,239.0,,3.0,5.0,5.0,24.0,10.0,5.0,1.0,14.0,15.0,29.0,4.0,3.0,4.0,2.0,5.0,7.0,14.0,13.0,4.0,3.0,5.0,45.0,0.7058823529411765,0.75,0.5151515151515151,,0.5151515151515151,,0.5641025641025641,0.4166666666666667,0.15151515151515152,0.5,16.356877323420075,0.8,0.13725490196078433,0.05,0.12295081967213115,0.16,0.12244897959183673,0.05555555555555555,0.24242424242424243,0.45454545454545453,0.5333333333333333,0.5333333333333333,0.875,0.24242424242424243,0.42192121212121214,0.4058,0.1111111111111111,0.1111111111111111,0.11363636363636363,10.642424242424244,0.18828451882845187,4.0,3.0,,1.0,10.0,,,,,,,,1.0,3.0,3.0,,,,3.0,2.0,5.0,2.0,,12.0,7.0,14.0,,,,0.3333333333333333,0.3333333333333333,0.375,,0.07865168539325842,0.12727272727272726,0.06818181818181818,0.14285714285714285,,0.5,1.0,0.30303030303030304,,,,,,1.0,0.3333333333333333,,,,0.06818181818181818,,5.0,,,,,2.0,1.0,1.0,1.0,,,0.75,0.5,0.5555555555555556,0.4,,,,,,1.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.1,0.3333333333333333,0.08695652173913043,0.09090909090909091,0.375,0.2,0.09090909090909091,1.0,0.3333333333333333,0.4497333333333334,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,9952.0,166.0,13.0,310,309,70.0,61,34.0,619,19.0,5.0,18.0,16.0,41.0,9.0,59.0,307.0,6.0,9.0,4.0,16.0,12.0,20.0,3.0,2.0,19.0,24.0,30.0,13.0,7.0,4.0,1.0,9.0,5.0,19.0,13.0,4.0,3.0,16.0,70.0,0.375,0.4,0.3902439024390244,0.6666666666666666,0.46296296296296297,0.6666666666666666,0.49166666666666664,0.6666666666666666,0.07317073170731707,0.10526315789473684,20.0,0.4444444444444444,0.14960629921259844,0.08,0.13815789473684212,0.11764705882352941,0.1694915254237288,0.1,0.35185185185185186,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.6,0.5925925925925926,0.48766296296296296,0.44891111111111104,0.07017543859649122,0.09090909090909091,0.2711864406779661,9.551219512195123,0.22580645161290322,11.0,3.0,6.0,6.0,4.0,1.0,3.0,,10.0,,6.0,13.0,2.0,5.0,4.0,,9.0,10.0,15.0,1.0,16.0,1.0,7.0,33.0,6.0,6.0,0.5,0.46153846153846156,0.46153846153846156,0.4,0.3333333333333333,0.3333333333333333,0.24074074074074073,0.05504587155963303,0.045112781954887216,0.038461538461538464,0.14705882352941177,,0.5789473684210527,0.6470588235294118,0.07407407407407407,0.05555555555555555,0.3333333333333333,0.3333333333333333,,0.18518518518518517,0.5,0.6666666666666666,1.0,,,0.06779661016949153,24.93846153846154,,5.0,,,5.0,5.0,3.0,6.0,5.0,,,0.2727272727272727,,,,0.5,0.5,0.6,,0.5,1.0,,2.0,,2.0,3.0,,3.0,5.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,0.25,,0.10344827586206896,0.03571428571428571,,,0.06896551724137931,0.6666666666666666,0.3333333333333333,0.52096,1.0,1.0,9.0,3.0,2.0,1.0,0.5,0.16666666666666666,,,,,,,,,,,,,,,True,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,1853.0,31.0,-17.0,57,61,23.0,25,6.0,118,3.0,,1.0,2.0,4.0,,4.0,71.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,8.0,9.0,11.0,1.0,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,,2.0,23.0,0.5,1.0,0.5,0.5,0.4,0.5,0.3333333333333333,0.5,0.25,0.3333333333333333,14.516129032258064,0.6666666666666666,0.32,0.25,0.3103448275862069,0.3333333333333333,0.25,,0.6,0.2,,,,0.8,0.46006,0.44955,0.16666666666666666,0.2,0.5,5.325,0.40350877192982454,2.0,2.0,1.0,1.0,,,,,1.0,,,1.0,1.0,2.0,2.0,,,1.0,,,,,,,2.0,2.0,,,,0.5,0.5,0.5,0.2,0.10526315789473684,0.09523809523809523,,0.5,1.0,0.6666666666666666,1.0,,,,,,0.2,1.0,0.5,1.0,,,0.5,25.9,,,,,,,,1.0,1.0,1.0,,0.5,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,0.25,,,,,,0.5,0.4861,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,8395.0,140.0,10.0,263,262,56.0,45,30.0,525,15.0,5.0,15.0,29.0,55.0,12.0,70.0,259.0,8.0,13.0,7.0,23.0,30.0,28.0,7.0,5.0,17.0,24.0,27.0,3.0,3.0,4.0,3.0,10.0,5.0,13.0,16.0,4.0,5.0,23.0,56.0,0.5172413793103449,0.5555555555555556,0.5272727272727272,0.6153846153846154,0.5178571428571429,0.6153846153846154,0.5555555555555556,0.6388888888888888,0.12727272727272726,0.13333333333333333,24.829931972789115,0.4,0.1588785046728972,0.20833333333333334,0.16793893129770993,0.23333333333333334,0.14,0.21052631578947367,0.26785714285714285,0.26785714285714285,0.3333333333333333,0.3333333333333333,0.6,0.2857142857142857,0.4207794642857143,0.4359230769230769,0.06896551724137931,0.07017543859649122,0.32857142857142857,9.281818181818181,0.21292775665399238,12.0,2.0,6.0,6.0,25.0,,1.0,,,,,1.0,2.0,7.0,5.0,,,,4.0,,4.0,,3.0,8.0,3.0,3.0,,,,0.2857142857142857,0.2857142857142857,0.3125,0.017857142857142856,0.03260869565217391,0.02631578947368421,0.0425531914893617,0.1111111111111111,0.2,0.8,0.9230769230769231,0.44642857142857145,0.017857142857142856,,,,,0.2857142857142857,0.46153846153846156,1.0,,,0.07142857142857142,23.2,12.0,,,,,1.0,,,6.0,,,0.5,0.48,0.6,0.5,,,,,,2.0,1.0,4.0,,1.0,1.0,,3.0,1.0,4.0,2.0,7.0,6.0,1.0,7.0,3.0,,0.2,,,0.041666666666666664,,,0.05,0.42857142857142855,1.0,0.39755714285714283,,,,2.0,,1.0,0.4,,1.0,,,,,,,,,,,,,,True,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,8579.0,143.0,5.0,273,271,61.0,59,30.0,544,10.0,9.0,23.0,20.0,40.0,17.0,84.0,265.0,3.0,6.0,7.0,16.0,28.0,12.0,1.0,2.0,9.0,11.0,11.0,8.0,5.0,3.0,1.0,9.0,2.0,8.0,18.0,4.0,4.0,16.0,61.0,0.7,0.7,0.5,0.5,0.5583333333333333,0.5,0.6044776119402985,0.6153846153846154,0.025,0.1,25.0,0.3333333333333333,0.0782608695652174,0.09090909090909091,0.08029197080291971,0.03225806451612903,0.1346153846153846,0.058823529411764705,0.16666666666666666,0.38333333333333336,0.391304347826087,0.391304347826087,0.5555555555555556,0.5,0.48683333333333334,0.4169,0.06349206349206349,0.09302325581395349,0.19047619047619047,12.5325,0.22344322344322345,8.0,1.0,,2.0,7.0,,2.0,,18.0,3.0,9.0,20.0,1.0,3.0,5.0,3.0,27.0,18.0,11.0,1.0,12.0,,3.0,25.0,,,1.0,0.45,0.45,0.3333333333333333,0.5,0.5,0.3333333333333333,,,,0.03125,0.2,0.8,0.8888888888888888,0.11666666666666667,0.03333333333333333,,,,0.3,0.2,0.2222222222222222,,,0.3333333333333333,0.05952380952380952,25.22,3.0,9.0,1.0,1.0,9.0,5.0,3.0,3.0,6.0,3.0,0.3333333333333333,0.875,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,0.5294117647058824,1.0,0.3333333333333333,0.5,1.0,,,,,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.51429,1.0,2.0,,,2.0,,,0.2,,1.0,1.0,1.0,1.0,1.0,3.0,0.5,0.05,0.05555555555555555,1.0,0.2,1.0,1.0,True,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,4328.0,72.0,7.0,139,135,15.0,15,20.0,274,6.0,2.0,4.0,5.0,10.0,2.0,12.0,132.0,,,,,4.0,6.0,1.0,3.0,4.0,7.0,9.0,2.0,1.0,6.0,6.0,11.0,4.0,9.0,2.0,1.0,,,15.0,0.4,0.4,0.5,,0.45454545454545453,,0.5,,0.1,0.16666666666666666,14.465408805031446,0.5454545454545454,0.07017543859649122,0.23076923076923078,0.1,,0.038461538461538464,0.25,0.5454545454545454,0.36363636363636365,0.5,0.5,,0.6363636363636364,0.5252454545454545,,0.08333333333333333,0.09090909090909091,,8.41,0.1079136690647482,3.0,2.0,,,,,,,1.0,,,1.0,1.0,2.0,2.0,,,1.0,16.0,7.0,23.0,7.0,7.0,53.0,2.0,2.0,,,,0.5,0.5,0.5,0.09090909090909091,0.03636363636363636,0.029411764705882353,0.037037037037037035,0.1875,,0.5,0.6,,,,,,0.09090909090909091,1.0,,,,,0.16666666666666666,24.9,,,,,,6.0,3.0,1.0,5.0,1.0,,0.6666666666666666,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,0.07692307692307693,,,,0.2,,0.5,0.5228999999999999,,,,,2.0,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,5.0,,,1,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
