EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,Offensive Fouls,PenaltyFg3Pct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGA,SecondChanceFtPoints,PtsPutbacks,Arc3Assists,BadPassSteals,LostBallTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,OffAtRimReboundPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimFGM,Clear Path Fouls,DefArc3ReboundPct,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,OffThreePtRebounds,FTOffRebounds,SecondChanceTurnovers,Loose Ball Fouls,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,PenaltyArc3FGM,ShortMidRangeAssists,OffCorner3ReboundPct,PenaltyArc3Accuracy,HeaveAttempts,LongMidRangePctBlocked,Technical Free Throw Trips,on,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,SecondChanceArc3Frequency,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,OffensiveGoaltends,Travels
1601,1610612762,Rusty LaRue,Rusty LaRue,1601,UTA,2323.0,39,-7,78,79,44.0,40,14,157,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,4.0,9,1.0,2.0,6.0,17,82,1.0,2,2.0,2.0,3.0,1.0,5.0,9.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,4.0,5.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,4,10.0,2.0,3.0,9.0,44.0,1.0,0.5,0.5,1.0,0.5,0.5,0.4444444444444444,0.5,0.6666666666666666,0.5,0.5,0.5,0.53125,0.5,0.5625,0.18181818181818182,19.191919191919194,0.3333333333333333,0.11764705882352941,0.1,0.11363636363636363,0.1111111111111111,0.125,0.11764705882352941,0.2,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.5,0.18181818181818182,0.5,0.5,1.0,0.5,1.0,1.0,0.25,0.2727272727272727,0.5,0.4137590909090909,0.5011,0.3139125,0.15384615384615385,0.18181818181818182,0.11764705882352941,0.5294117647058824,14.788888888888888,28.400000000000002,0.5641025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1900,1610612762,Quincy Lewis,Quincy Lewis,1900,UTA,2323.0,39,6,71,71,28.0,21,11,142,1.0,2.0,1.0,1.0,,2.0,4.0,9.0,,3.0,2.0,5.0,13,1.0,4.0,,13,54,1.0,1,2.0,1.0,4.0,3.0,,5.0,6.0,4.0,3.0,3.0,,1.0,,1.0,,1.0,,2.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,2.0,,9,4.0,2.0,,5.0,28.0,1.0,0.6,0.6,1.0,0.25,0.25,0.38461538461538464,1.0,0.25,0.38235294117647056,1.0,0.35714285714285715,0.34210526315789475,1.0,0.35714285714285715,0.23529411764705882,25.88235294117647,0.3333333333333333,0.037037037037037035,,0.022727272727272728,,0.1,,,0.11764705882352941,0.5,0.5,,0.11764705882352941,,,0.5294117647058824,0.4444444444444444,0.4444444444444444,0.75,0.17647058823529413,,,,1.0,1.0,,0.2857142857142857,0.35294117647058826,,0.4319705882352941,0.5855,0.40580000000000005,0.10526315789473684,0.13333333333333333,0.15384615384615385,0.38461538461538464,14.176923076923078,24.25,0.39436619718309857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.25,0.07692307692307693,0.5,0.3333333333333333,1.0,0.038461538461538464,0.03333333333333333,0.08333333333333333,0.1111111111111111,0.058823529411764705,1.0,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,2492.0,42,-10,81,80,30.0,35,12,161,5.0,7.0,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,6.0,11,,1.0,8.0,20,93,1.0,1,4.0,,2.0,1.0,1.0,1.0,10.0,2.0,,1.0,,2.0,1.0,3.0,,,2.0,7.0,1.0,4.0,5.0,7.0,2.0,,1.0,,2.0,1.0,2.0,4,10.0,5.0,,1.0,30.0,2.0,0.8333333333333334,1.0,,,,0.5454545454545454,1.0,,0.5,1.0,,0.5882352941176471,1.0,0.125,0.08333333333333333,19.587628865979383,1.0,0.12903225806451613,0.125,0.1282051282051282,,,0.3076923076923077,0.2,0.5833333333333334,0.7142857142857143,0.8333333333333334,0.8,0.08333333333333333,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.08333333333333333,,,,1.0,1.0,,0.3333333333333333,0.6666666666666666,,0.5227333333333334,0.5768,0.39093333333333335,0.29411764705882354,0.3125,0.2,0.05,6.509090909090909,25.9,0.37037037037037035,,,,,,1.0,,2.0,,2.0,,3.0,1.0,,,,0.09090909090909091,,,,0.06666666666666667,0.058823529411764705,0.0625,,,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,3478.0,58,-16,109,110,48.0,50,18,219,4.0,6.0,1.0,1.0,2.0,3.0,6.0,18.0,,1.0,,12.0,27,,1.0,7.0,31,121,1.0,2,6.0,5.0,10.0,,2.0,12.0,20.0,4.0,,1.0,,7.0,1.0,8.0,,4.0,3.0,17.0,3.0,9.0,14.0,15.0,4.0,1.0,3.0,2.0,6.0,2.0,3.0,8,10.0,5.0,,12.0,48.0,1.0,0.8333333333333334,0.8333333333333334,,,,0.4444444444444444,0.5,0.5,0.42857142857142855,0.5,0.5,0.4696969696969697,0.75,0.5454545454545454,0.03571428571428571,30.0,0.6666666666666666,0.21951219512195122,0.25,0.22641509433962265,0.18181818181818182,0.2,0.25,0.16666666666666666,0.21428571428571427,0.6666666666666666,0.8,1.0,0.10714285714285714,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.03571428571428571,,,,0.5,1.0,1.0,,0.25,,0.43490357142857144,0.53,0.41734,0.15151515151515152,0.15625,0.1935483870967742,0.3870967741935484,13.570370370370371,23.9,0.44036697247706424,,,,,,1.0,,1.0,2.0,1.0,,2.0,1.0,1.0,,,0.037037037037037035,,,0.5,0.021739130434782608,0.019230769230769232,,,,,,,,,1.0,4.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,0.16666666666666666,0.07692307692307693,,0.1,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,5235.0,87,-7,165,166,71.0,71,30,331,11.0,16.0,6.0,11.0,2.0,5.0,,,,,,13.0,21,,,1.0,27,160,6.0,11,13.0,7.0,9.0,,1.0,15.0,16.0,10.0,,,,2.0,,2.0,,2.0,,4.0,3.0,12.0,15.0,34.0,4.0,1.0,3.0,2.0,6.0,2.0,10.0,14,10.0,4.0,1.0,15.0,71.0,2.0,0.6153846153846154,1.0,,,,0.6190476190476191,0.5454545454545454,0.7777777777777778,0.6190476190476191,0.5454545454545454,0.7777777777777778,0.5192307692307693,0.5,0.5769230769230769,,15.609756097560977,0.6666666666666666,0.19047619047619047,0.10714285714285714,0.16483516483516483,0.2857142857142857,0.05555555555555555,0.22580645161290322,0.07142857142857142,0.7619047619047619,0.6875,0.7333333333333333,0.5454545454545454,0.23809523809523808,0.4,0.4,,,,,,,,,1.0,0.5454545454545454,0.16666666666666666,,0.7619047619047619,,0.5157285714285714,0.56379,0.547,0.16,0.16,0.48148148148148145,0.5555555555555556,2.2952380952380955,,0.4303030303030303,,,,,,1.0,,17.0,,19.0,1.0,2.0,1.0,,,,0.047619047619047616,,,,0.2328767123287671,0.21686746987951808,0.22857142857142856,0.14285714285714285,,,,,,,8.0,1.0,10.0,,1.0,1.0,6.0,4.0,2.0,6.0,5.0,0.0625,0.2727272727272727,0.8333333333333334,0.8888888888888888,7.0,,0.14285714285714285,1.0,0.875,1.0,1.0,1.0,2.0,1.0,1.0,0.07692307692307693,0.1,0.1875,0.14285714285714285,,,,,,,,True,,,,,,,,
923,1610612762,Donyell Marshall,Donyell Marshall,923,UTA,3747.0,62,2,120,118,60.0,58,21,238,4.0,10.0,,3.0,1.0,6.0,1.0,4.0,1.0,2.0,2.0,6.0,20,2.0,4.0,1.0,19,106,1.0,7,2.0,2.0,8.0,3.0,,10.0,12.0,,6.0,2.0,1.0,7.0,,7.0,,3.0,1.0,14.0,6.0,7.0,13.0,19.0,1.0,,1.0,2.0,3.0,1.0,,1,2.0,1.0,,10.0,60.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3,0.14285714285714285,0.25,0.375,0.14285714285714285,0.45454545454545453,0.38,0.14285714285714285,0.45454545454545453,0.16666666666666666,18.79194630872483,0.3333333333333333,0.1590909090909091,0.25,0.19117647058823528,0.14285714285714285,0.3333333333333333,0.08,0.25,0.4166666666666667,0.4,0.4444444444444444,1.0,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,1.0,0.08333333333333333,0.5,0.5,1.0,0.42857142857142855,,,0.18181818181818182,0.5833333333333334,0.5,0.4639270833333334,0.39398333333333335,0.47878181818181814,0.04,0.047619047619047616,0.10526315789473684,0.5263157894736842,5.8950000000000005,23.85,0.5,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,,6.0,,2.0,1.0,,0.6666666666666666,,0.05,,,,0.057692307692307696,0.06666666666666667,0.041666666666666664,,0.08333333333333333,0.5,0.5,1.0,0.09090909090909091,1.0,6.0,,,,1.0,,,,,,,0.1,0.125,,0.5454545454545454,2.0,,0.25,1.0,0.3333333333333333,1.0,2.0,,,1.0,,0.2,0.125,,,1.0,3.0,0.3333333333333333,0.5,,,,True,,,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,1465.0,24,11,44,47,18.0,16,11,91,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,,,,2.0,5,,1.0,,4,25,1.0,3,2.0,1.0,3.0,1.0,,2.0,4.0,,,,,,,,,,,,2.0,1.0,3.0,6.0,,2.0,,2.0,2.0,,2.0,2,,,,2.0,18.0,,1.0,1.0,,,,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,13.114754098360656,,0.05263157894736842,0.14285714285714285,0.09090909090909091,,,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,,,,,0.6666666666666666,0.5,1.0,,0.5,,0.44039999999999996,0.4889333333333333,0.381775,,,0.5,0.5,6.0200000000000005,23.8,0.4090909090909091,,1.0,,1.0,,,,3.0,,3.0,,1.0,1.0,,,,,,,,0.13043478260869565,0.11538461538461539,0.125,,0.16666666666666666,,,,0.25,,1.0,,,,,,,,,,,,0.09090909090909091,,0.25,,,0.125,1.0,,,,,,,,,,0.25,,,,,,,,,True,,,,,,,,
935,1610612762,Bryon Russell,Bryon Russell,935,UTA,2126.0,35,-16,68,69,27.0,33,16,137,1.0,3.0,,,,,,5.0,1.0,3.0,2.0,1.0,8,2.0,5.0,2.0,10,79,,1,,,,4.0,2.0,5.0,2.0,,6.0,2.0,1.0,,1.0,1.0,1.0,,,3.0,,1.0,1.0,2.0,2.0,,2.0,,2.0,,,2,2.0,1.0,,5.0,27.0,2.0,1.0,1.0,1.0,0.4,0.5,0.125,,,0.3076923076923077,,0.375,0.35714285714285715,,0.5,0.38461538461538464,17.77777777777778,1.0,0.038461538461538464,,0.029411764705882353,0.14285714285714285,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,,0.38461538461538464,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,0.6153846153846154,0.5,0.5059833333333333,0.4287,0.5437500000000001,0.07142857142857142,0.1111111111111111,,0.5,11.5,28.419999999999998,0.39705882352941174,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,2.0,1.0,,0.25,,0.125,,,,0.024390243902439025,0.021739130434782608,0.047619047619047616,,0.15384615384615385,0.5,0.5,1.0,0.5,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.2,,True,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,2986.0,50,2,89,90,29.0,31,17,179,,3.0,,,3.0,5.0,2.0,6.0,,1.0,,5.0,14,,1.0,2.0,12,80,,2,,4.0,7.0,,2.0,10.0,2.0,8.0,,1.0,,16.0,2.0,18.0,1.0,9.0,5.0,38.0,2.0,2.0,4.0,6.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,4,3.0,,1.0,10.0,29.0,,0.2,0.2,,,,0.35714285714285715,,0.5714285714285714,0.3333333333333333,,0.5714285714285714,0.375,,0.625,0.06666666666666667,18.34862385321101,0.5,0.06666666666666667,0.10526315789473684,0.08163265306122448,0.2,,0.06666666666666667,0.1111111111111111,0.2,,,,0.3333333333333333,0.6,0.6,0.4,0.3333333333333333,0.3333333333333333,0.5,0.06666666666666667,,,,,,,,0.26666666666666666,,0.45080000000000003,0.39315,0.4149857142857143,,,,0.8333333333333334,11.321428571428571,53.9,0.3258426966292135,,,,,,1.0,,1.0,,2.0,,2.0,,1.0,,,0.07142857142857142,,,,0.025,0.045454545454545456,,,,,,,,,1.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,0.3333333333333333,,1.0,0.14285714285714285,,,0.1,,,1.0,,1.0,,,,,0.25,0.07692307692307693,0.25,,2.0,,,,,1.0,True,,,,,,,,
1601,1610612762,Rusty LaRue,Rusty LaRue,1601,UTA,828.0,14,-8,29,29,16.0,20,3,58,,,,,,,,2.0,,2.0,2.0,,2,1.0,3.0,,3,34,,1,,,1.0,3.0,,3.0,,,,2.0,,,2.0,2.0,1.0,,,6.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,2,,,,3.0,16.0,2.0,,,,0.3333333333333333,0.3333333333333333,,,,0.3,,0.375,0.3,,0.375,0.6,18.18181818181818,,0.08333333333333333,,0.07142857142857142,,,0.16666666666666666,,,,,,,,,0.4,,,,0.4,,,,,,,0.5,0.6,,0.40308,0.3976,0.40445,,,,1.0,18.9,23.833333333333332,0.5517241379310345,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,0.3333333333333333,,,,,,,,,,0.2,1.0,1.0,,0.25,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,1.0,3.0,0.5,,,,
