EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,ShortMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,AtRimAssists,ShortMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg3Pct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Accuracy,OffThreePtRebounds,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,PtsUnassisted3s,Travels,Loose Ball Fouls,BlockedShortMidRange,SecondChanceCorner3Frequency,Corner3Assists,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,on,SelfOReb,3SecondViolations,SelfORebPct,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
1500,1610612754,Ron Mercer,Ron Mercer,1500,IND,3159.0,53.0,-8.0,100,101,38,29,3.0,201,1.0,10.0,18.0,10.0,19.0,3.0,23.0,106.0,2.0,6.0,2.0,6.0,12.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,4.0,1.0,1.0,6.0,38,1.0,0.6,0.6,0.5263157894736842,0.3333333333333333,0.5263157894736842,0.3333333333333333,0.5476190476190477,0.42857142857142855,0.05263157894736842,1.0,22.33009708737864,0.5,0.058823529411764705,0.25,0.07894736842105263,0.125,0.06666666666666667,0.3333333333333333,0.05263157894736842,0.9473684210526315,0.5555555555555556,0.5555555555555556,0.6,0.05263157894736842,0.3971263157894737,0.3685833333333333,0.05,0.05,0.2608695652173913,17.294736842105262,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,3195.0,53.0,24.0,99,98,31,24,8.0,197,3.0,3.0,5.0,5.0,10.0,6.0,22.0,76.0,3.0,4.0,2.0,8.0,4.0,6.0,,1.0,2.0,1.0,5.0,1.0,7.0,10.0,13.0,1.0,1.0,4.0,1.0,2.0,6.0,2.0,7.0,1.0,8.0,4.0,,8.0,31,,0.4,0.5,0.5,0.75,0.5,0.42857142857142855,0.55,0.5,,,24.299065420560748,0.6666666666666666,0.1891891891891892,0.14285714285714285,0.18181818181818182,0.42857142857142855,0.1875,,0.1875,0.3125,0.6,0.6,0.6666666666666666,0.5625,0.46275625,0.4946285714285715,0.2,0.2857142857142857,0.36363636363636365,12.6,0.31313131313131315,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,6.0,2.0,3.0,1.0,5.0,3.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.625,0.375,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.08823529411764706,0.07317073170731707,0.1111111111111111,0.09090909090909091,0.07142857142857142,0.07142857142857142,0.5,1.0,0.6666666666666666,0.6666666666666666,0.125,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.1875,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.3333333333333333,0.535,0.22727272727272727,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1563,1610612754,Kevin Ollie,Kevin Ollie,1563,IND,7075.0,118.0,-4.0,221,219,65,65,19.0,440,11.0,6.0,10.0,10.0,24.0,6.0,29.0,210.0,2.0,5.0,,7.0,18.0,2.0,4.0,19.0,23.0,13.0,50.0,2.0,10.0,12.0,12.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,6.0,,6.0,3.0,,7.0,65,2.0,0.9,0.9,0.4166666666666667,0.4,0.4423076923076923,0.5833333333333334,0.5,0.5833333333333334,0.16666666666666666,0.36363636363636365,14.166666666666668,0.6,0.12048192771084337,0.14285714285714285,0.12371134020618557,0.09523809523809523,0.16216216216216217,0.18181818181818182,0.4230769230769231,0.38461538461538464,0.6,0.6,1.0,0.5,0.46951153846153854,0.5229583333333333,0.10344827586206896,0.1111111111111111,0.2413793103448276,9.783333333333335,0.29411764705882354,3.0,,,1.0,3.0,3.0,,,,1.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,3.0,,2.0,1.0,,4.0,4.0,,,,,,,,,,1.0,0.5,0.5,,,,0.07692307692307693,,,,,,,,,0.08,,,0.2727272727272727,0.42857142857142855,0.11538461538461539,,,,,0.07692307692307693,0.5,0.5,1.0,,,0.5,0.3333333333333333,,0.16666666666666666,0.5,0.3586,,26.1,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1802,1610612754,Brad Miller,Brad Miller,1802,IND,4524.0,75.0,-12.0,136,137,29,44,16.0,273,3.0,2.0,5.0,7.0,14.0,6.0,20.0,134.0,,2.0,2.0,2.0,8.0,6.0,2.0,1.0,2.0,,5.0,2.0,11.0,13.0,20.0,1.0,,1.0,,1.0,2.0,4.0,7.0,1.0,7.0,4.0,,2.0,29,,0.5714285714285714,0.6666666666666666,0.5,,0.5,,0.5882352941176471,0.3333333333333333,0.14285714285714285,0.3333333333333333,12.5,0.5,0.19298245614035087,0.2222222222222222,0.19696969696969696,0.15384615384615385,0.16,0.25,0.21428571428571427,0.35714285714285715,0.4,0.4,1.0,0.21428571428571427,0.40688571428571424,0.42624999999999996,0.23529411764705882,0.23529411764705882,0.1,10.171428571428569,0.21323529411764705,2.0,1.0,1.0,,1.0,6.0,,,,,,,,,1.0,1.0,1.0,3.0,,,2.0,,,,1.0,1.0,4.0,,7.0,1.0,,,,1.0,1.0,,,,1.0,1.0,0.75,,,,,0.08163265306122448,0.11290322580645161,0.07692307692307693,0.07142857142857142,0.09090909090909091,0.2631578947368421,,1.0,0.6666666666666666,1.0,0.42857142857142855,,,,,,,,,1.0,1.0,0.5,,,,,0.5472,0.15,,3.0,,,,1.0,1.0,,1.0,,0.5,0.5,0.6,0.3333333333333333,,3.0,1.0,1.0,1.0,0.16666666666666666,0.23076923076923078,0.2,0.3333333333333333,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,1234.0,21.0,-10.0,44,43,21,19,2.0,87,,1.0,1.0,1.0,2.0,,2.0,44.0,1.0,1.0,,2.0,,2.0,,1.0,1.0,,2.0,,2.0,2.0,2.0,,,2.0,,1.0,3.0,1.0,3.0,1.0,,,,2.0,21,1.0,,,0.5,1.0,0.5,1.0,0.5,1.0,,,10.869565217391305,0.6666666666666666,0.125,,0.09523809523809523,,0.4,,,0.5,1.0,1.0,,,0.3786,0.4075,,,1.0,11.299999999999999,0.4772727272727273,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,4229.0,70.0,2.0,127,125,27,20,13.0,252,8.0,2.0,12.0,7.0,22.0,2.0,22.0,125.0,1.0,4.0,,2.0,8.0,6.0,3.0,8.0,8.0,5.0,16.0,,5.0,7.0,9.0,6.0,4.0,1.0,,3.0,4.0,2.0,9.0,2.0,2.0,1.0,,2.0,27,1.0,0.5714285714285714,0.6666666666666666,0.3181818181818182,0.25,0.37037037037037035,0.25,0.39285714285714285,0.25,0.13636363636363635,0.25,22.857142857142858,0.25,0.10638297872340426,,0.09433962264150944,,0.08695652173913043,,0.2962962962962963,0.4444444444444444,0.16666666666666666,0.16666666666666666,1.0,0.48148148148148145,0.4687574074074074,0.45635000000000003,0.03571428571428571,0.043478260869565216,0.09090909090909091,11.531818181818181,0.2125984251968504,5.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,2.0,,2.0,5.0,2.0,3.0,,4.0,,,2.0,2.0,1.0,,,,2.0,2.0,2.0,1.0,,,,3.0,2.0,,0.4,0.4,0.6666666666666666,0.5,0.5,0.18518518518518517,,,0.6666666666666666,0.044444444444444446,0.037037037037037035,0.07692307692307693,0.09090909090909091,,0.23076923076923078,,0.6666666666666666,0.625,0.8333333333333334,0.07407407407407407,0.1111111111111111,0.3333333333333333,0.3333333333333333,,0.07407407407407407,0.5,0.5,,0.25,1.0,0.25,1.0,,,0.5,0.4904,0.18181818181818182,24.2,,,,1.0,2.0,2.0,,2.0,,0.4,,,,,,,3.0,1.0,0.5,,,,1.0,1.0,6.0,1.0,2.0,2.0,0.25,,,,,,,,True,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,5291.0,88.0,-5.0,168,164,44,53,17.0,332,6.0,6.0,10.0,13.0,19.0,8.0,49.0,155.0,4.0,4.0,6.0,17.0,20.0,6.0,,5.0,6.0,1.0,13.0,2.0,6.0,8.0,8.0,4.0,1.0,4.0,3.0,3.0,7.0,1.0,4.0,1.0,9.0,1.0,2.0,17.0,44,,0.7692307692307693,0.7692307692307693,0.6842105263157895,1.0,0.6029411764705882,0.6111111111111112,0.6447368421052632,0.7083333333333334,,,24.324324324324323,0.5714285714285714,0.09375,0.18181818181818182,0.10666666666666667,,0.1724137931034483,0.125,0.17647058823529413,0.29411764705882354,0.6,0.6,0.6666666666666666,0.6176470588235294,0.4740424242424242,0.46186249999999995,0.05555555555555555,0.05,0.3469387755102041,11.11578947368421,0.2619047619047619,6.0,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,5.0,14.0,4.0,5.0,15.0,1.0,1.0,,2.0,5.0,12.0,,14.0,5.0,1.0,1.0,,,,,1.0,1.0,,,,,0.8,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.4411764705882353,0.06666666666666667,0.07142857142857142,,,,,,,0.047619047619047616,0.3333333333333333,,1.0,1.0,0.08823529411764706,0.029411764705882353,,,,0.4117647058823529,0.35714285714285715,0.38461538461538464,0.8,1.0,1.0,0.2222222222222222,1.0,0.1111111111111111,0.4444444444444444,0.35714285714285715,0.781,0.04081632653061224,26.193333333333335,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.2,0.8333333333333334,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,,,,,,3.0,,,,,1.0,1.0,1.0,1.0,0.0625,,,True,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,4669.0,78.0,-2.0,143,141,41,33,15.0,284,5.0,2.0,4.0,12.0,26.0,5.0,29.0,135.0,5.0,8.0,3.0,13.0,12.0,12.0,3.0,4.0,4.0,3.0,8.0,1.0,3.0,8.0,10.0,1.0,1.0,3.0,1.0,6.0,9.0,3.0,14.0,6.0,6.0,1.0,2.0,13.0,41,1.0,0.5,0.5,0.46153846153846156,0.625,0.46153846153846156,0.625,0.5,0.65,0.11538461538461539,0.4,24.050632911392405,0.3333333333333333,0.057692307692307696,0.1111111111111111,0.06557377049180328,0.07692307692307693,0.04,0.14285714285714285,0.19230769230769232,0.15384615384615385,0.5,0.5,1.0,0.19230769230769232,0.3832653846153846,0.363075,0.037037037037037035,0.037037037037037035,0.4482758620689655,9.596153846153847,0.2867132867132867,2.0,,,1.0,2.0,17.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,2.0,4.0,2.0,2.0,,,,5.0,1.0,,,,,,0.16666666666666666,,,,0.5,0.038461538461538464,0.03125,0.07142857142857142,,0.043478260869565216,0.07142857142857142,,0.2,0.4,0.6666666666666666,0.6538461538461539,,,,,,,,,,,0.25,0.5,,,,0.41945,0.034482758620689655,,8.0,,,1.0,,,,4.0,,0.5,0.47058823529411764,0.5,0.375,,,,5.0,4.0,0.058823529411764705,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,1732.0,29.0,-5.0,54,54,16,25,2.0,108,2.0,,,1.0,2.0,3.0,8.0,53.0,,,2.0,5.0,,2.0,1.0,2.0,2.0,,4.0,,8.0,8.0,9.0,2.0,,1.0,,3.0,4.0,2.0,9.0,2.0,6.0,3.0,,5.0,16,1.0,,,0.5,,0.625,0.75,0.5714285714285714,0.8333333333333334,0.5,0.5,19.642857142857142,0.25,0.34782608695652173,,0.3333333333333333,0.3333333333333333,0.3,,0.5,,,,,1.0,0.4809833333333333,0.53145,0.42857142857142855,0.6,0.625,1.3,0.2962962962962963,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,2.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,0.5,0.5,,,,0.5,,,,0.06666666666666667,0.05555555555555555,0.3333333333333333,,,0.5,,,0.5,1.0,,0.25,1.0,1.0,,0.25,,,,1.0,,,,0.5,0.5,,0.4025,,30.55,,,1.0,2.0,,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,
1743,1610612754,Bruno Sundov,Bruno Sundov,1743,IND,127.0,2.0,,6,6,6,6,,12,1.0,,,1.0,1.0,,2.0,6.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,6,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,16.666666666666668,,,,,,,,1.0,,,,,1.0,0.6091,0.6091,,,1.0,1.7,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
