EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LostBallSteals,PenaltyAtRimFGM,PenaltyAtRimFGA,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ThreePtAssists,Arc3Assists,ShortMidRangeFGM,PtsUnassisted2s,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PtsPutbacks,DefThreePtRebounds,FTDefRebounds,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,OffAtRimReboundPct,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,PenaltyArc3FGA,PenaltyFG3A,DefArc3ReboundPct,PenaltyArc3Frequency,on,OffThreePtRebounds,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,ShortMidRangeAssists,Travels,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Corner3FGM,Corner3Assists,Defensive 3 Seconds Violations,LongMidRangePctBlocked,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,BlockedLongMidRange,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,3SecondViolations,HeaveAttempts
1542,1610612760,Predrag Drobnjak,Predrag Drobnjak,1542,SEA,2271.0,38,-23,62,63,13.0,15.0,8.0,125,1.0,1.0,1.0,1.0,2.0,3.0,9.0,4.0,12,2.0,10.0,82,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,8.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,13.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.35714285714285715,0.5,0.5,0.08333333333333333,0.5,21.126760563380284,1.0,0.3333333333333333,0.09375,0.2631578947368421,0.08571428571428572,0.1,0.125,0.6666666666666666,0.25,0.25,0.14285714285714285,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.75,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.08333333333333333,0.3758166666666667,0.44745,0.2993,0.07692307692307693,0.07692307692307693,0.3,0.3,15.433333333333332,0.20967741935483872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,1610612760,Ansu Sesay,Ansu Sesay,1738,SEA,143.0,2,1,4,5,4.0,5.0,1.0,9,,,,,,,1.0,,1,,,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3601,,0.3601,,,,,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,1610612760,Shammond Williams,Shammond Williams,1742,SEA,358.0,6,2,10,10,8.0,10.0,3.0,20,,,,,1.0,,1.0,,2,,,8,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,15.384615384615383,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,0.3591,,0.3077,,,,,11.649999999999999,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,1610612760,Olumide Oyedeji,Olumide Oyedeji,2071,SEA,358.0,6,2,10,10,8.0,10.0,3.0,20,1.0,1.0,,,,,,1.0,1,,2.0,8,,,,,1.0,1.0,,2.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,1.0,4.0,,2.0,2.0,8.0,1.0,1.0,1.0,,1.0,1.0,,1.0,0.3333333333333333,,0.3333333333333333,,,23.076923076923077,,0.25,,0.25,,,,,,0.25,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,0.8086,,0.8086,,,,1.0,,0.8,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,1610612760,Randy Livingston,Randy Livingston,988,SEA,531.0,9,1,15,15,8.0,10.0,4.0,30,1.0,1.0,,,1.0,,,1.0,2,2.0,4.0,14,,1.0,,,1.0,2.0,2.0,4.0,2.0,,1.0,2.0,1.0,,5.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,1.0,4.0,8.0,1.0,1.0,0.5,,0.5,0.5,,0.5,0.6666666666666666,,0.6666666666666666,,,15.789473684210526,,0.2,,0.16666666666666666,,,,,,0.2,,0.5,1.0,1.0,1.0,0.5,,,,,,,,0.5,0.48245,0.3389,0.48245,,,,1.0,6.15,0.5333333333333333,,1.0,1.0,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1610612760,Rashard Lewis,Rashard Lewis,1740,SEA,70.0,1,-1,2,1,,,,3,,,,,1.0,,,1.0,1,,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,50.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.359,,,,,,,10.6,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,1610612760,Desmond Mason,Desmond Mason,2046,SEA,2128.0,35,-24,58,58,9.0,10.0,7.0,116,1.0,5.0,1.0,1.0,1.0,2.0,5.0,4.0,11,3.0,11.0,81,1.0,2.0,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,4.0,1.0,3.0,5.0,1.0,6.0,,2.0,1.0,,,,1.0,2.0,3.0,,1.0,2.0,9.0,0.25,0.3333333333333333,0.36363636363636365,0.5,,0.36363636363636365,0.5,,0.4166666666666667,0.5,0.5,0.18181818181818182,,18.18181818181818,,0.23076923076923078,0.03333333333333333,0.23529411764705882,0.030303030303030304,,0.06666666666666667,,0.25,0.3333333333333333,,0.45454545454545453,0.2,0.3333333333333333,,0.09090909090909091,0.45454545454545453,0.4,0.4,0.5,0.5,1.0,,0.45454545454545453,0.4925181818181818,0.5806,0.5101,,,0.18181818181818182,0.18181818181818182,9.627272727272727,0.15517241379310345,1.0,,1.0,,1.0,,,,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1610612760,Vin Baker,Vin Baker,452,SEA,844.0,14,-15,22,23,,3.0,3.0,45,2.0,3.0,1.0,1.0,3.0,,1.0,3.0,7,,6.0,32,1.0,2.0,,2.0,,,,,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,0.3333333333333333,0.5,0.42857142857142855,0.5,,0.42857142857142855,0.5,,0.42857142857142855,0.5,,0.2857142857142857,0.3333333333333333,26.923076923076923,,,0.07142857142857142,,0.0625,,,,,,,0.42857142857142855,0.6666666666666666,1.0,0.5,0.42857142857142855,0.14285714285714285,,,,0.5,1.0,,0.42857142857142855,0.4275285714285714,0.4754,,,,0.3333333333333333,,6.728571428571429,,,,,,,,,,1.0,4.0,0.3333333333333333,0.5,2.0,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1610612760,Gary Payton,Gary Payton,56,SEA,1913.0,32,-25,52,53,5.0,5.0,5.0,105,1.0,2.0,,,1.0,3.0,5.0,5.0,8,2.0,18.0,74,1.0,1.0,,2.0,1.0,1.0,,2.0,4.0,1.0,2.0,2.0,,2.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,3.0,4.0,2.0,,2.0,5.0,0.4,0.4,0.625,1.0,1.0,0.7272727272727273,1.0,1.0,0.6923076923076923,1.0,1.0,0.125,,22.413793103448278,,0.09090909090909091,0.038461538461538464,0.06666666666666667,0.034482758620689655,,,0.3333333333333333,,,,0.18181818181818182,0.5,1.0,,0.09090909090909091,0.45454545454545453,0.6,0.6,0.6666666666666666,,,,0.45454545454545453,0.45061818181818186,0.3927,0.3927,0.15384615384615385,0.2,0.1111111111111111,0.1111111111111111,12.2625,0.09615384615384616,,,,,,,,,1.0,6.0,1.0,1.0,,,,,,,,,0.5,,,,,0.16666666666666666,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,0.5,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.09090909090909091,0.18181818181818182,1.0,1.0,0.5,1.0,24.433333333333334,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,1610612760,Jerome James,Jerome James,1744,SEA,714.0,12,-5,20,20,,,,40,,,,,2.0,,,,2,,,27,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,20.0,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3762,,,,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
