EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,FtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,FTOffRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,NonShootingPenaltyNonTakeFouls,FTDefRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Technical Free Throw Trips,DefensiveGoaltends,DefFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,on,Loose Ball Fouls Drawn,SecondChanceArc3FGM,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Charge Fouls,HeaveAttempts
101108,1610612756,Chris Paul,Chris Paul,101108,PHX,5734.0,96,13.0,188,185,31,26,20.0,373,2.0,5.0,1.0,4.0,4.0,10.0,7.0,14.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,13.0,29.0,3.0,10.0,35.0,219,3.0,6.0,1.0,1.0,9.0,1.0,2.0,4.0,22.0,9.0,2.0,9.0,2.0,1.0,1.0,17.0,6.0,23.0,5.0,1.0,7.0,5.0,5.0,52.0,1.0,2.0,8.0,5.0,13.0,3.0,16.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,30,0.15384615384615385,0.16666666666666666,1.0,0.3,1.0,0.3,0.4482758620689655,0.5,0.44871794871794873,0.6428571428571429,0.44871794871794873,0.6428571428571429,0.2564102564102564,0.1,0.034482758620689655,0.1,0.1111111111111111,18.80733944954128,0.10204081632653061,0.034482758620689655,0.19047619047619047,0.04,0.14285714285714285,0.03614457831325301,0.0625,0.038461538461538464,0.16666666666666666,0.058823529411764705,0.047619047619047616,0.2727272727272727,0.21621621621621623,0.047619047619047616,0.5,0.1282051282051282,0.4,0.4,0.2564102564102564,0.4,0.4444444444444444,0.358974358974359,0.5,0.5,0.2857142857142857,0.02564102564102564,1.0,1.0,1.0,0.23076923076923078,0.2222222222222222,0.25,1.0,0.5714285714285714,0.25,0.14285714285714285,1.0,1.0,0.6666666666666666,0.38461538461538464,0.2222222222222222,0.4729833333333334,0.47808,0.5020333333333333,0.2571428571428571,12.36551724137931,25.880000000000003,0.16489361702127658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1626164,1610612756,Devin Booker,Devin Booker,1626164,PHX,9253.0,154,-45.0,311,313,86,73,31.0,624,11.0,15.0,1.0,1.0,19.0,33.0,9.0,14.0,1.0,1.0,,,5.0,18.0,3.0,39.0,62.0,6.0,19.0,109.0,396,4.0,5.0,,1.0,8.0,12.0,4.0,30.0,48.0,15.0,2.0,18.0,5.0,7.0,1.0,18.0,7.0,25.0,5.0,2.0,10.0,7.0,1.0,57.0,2.0,2.0,8.0,6.0,14.0,5.0,19.0,,8.0,7.0,1.0,4.0,,12.0,7.0,13.0,1.0,19.0,,2.0,1.0,1.0,2.0,1.0,85,0.38461538461538464,0.39473684210526316,0.8333333333333334,0.3157894736842105,,0.3157894736842105,0.6290322580645161,0.8,0.5925925925925926,0.6666666666666666,0.6193181818181818,0.6666666666666666,0.2345679012345679,0.05263157894736842,0.11290322580645161,0.12121212121212122,0.05555555555555555,28.40909090909091,0.07228915662650602,0.02127659574468085,0.12121212121212122,0.0425531914893617,0.09395973154362416,0.028368794326241134,0.047619047619047616,,0.07692307692307693,0.0967741935483871,0.02857142857142857,0.11764705882352941,0.12,,0.5,0.18518518518518517,0.7333333333333333,0.8461538461538461,0.4074074074074074,0.5757575757575758,0.6551724137931034,0.1728395061728395,0.6428571428571429,0.6923076923076923,0.3333333333333333,0.012345679012345678,1.0,1.0,1.0,0.2222222222222222,0.2777777777777778,0.29411764705882354,0.8,0.16666666666666666,1.0,,,,0.1875,0.41975308641975306,0.2777777777777778,0.48796790123456785,0.5372666666666667,0.47543125,0.07339449541284404,9.843548387096773,26.152631578947368,0.2765273311897106,4.0,5.0,1.0,1.0,1.0,1.0,13.0,7.0,2.0,5.0,25.0,3.0,1.0,8.0,4.0,4.0,3.0,1.0,4.0,1.0,17.0,3.0,8.0,2.0,25.0,2.0,0.5,0.5833333333333334,0.625,0.6578947368421053,0.13333333333333333,0.07142857142857142,0.6666666666666666,0.125,0.034482758620689655,0.029411764705882353,0.125,0.18181818181818182,0.5263157894736842,0.16666666666666666,0.3125,0.8,0.0625,1.0,0.3333333333333333,0.09302325581395349,0.11940298507462686,0.22935779816513763,,,,,,,,,,,,,,True,,,,,,,,,,
1627814,1610612756,Damion Lee,Damion Lee,1627814,PHX,2236.0,37,-9.0,72,72,24,4,10.0,144,,,,,,,,,,,,,2.0,5.0,3.0,,,2.0,5.0,8.0,93,,,,1.0,,,3.0,,,6.0,,5.0,2.0,,,2.0,,2.0,,,1.0,,1.0,4.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,2.0,3.0,,1.0,,,,,,,24,,,1.0,0.4,,0.4,,,0.6,,0.6666666666666666,,1.0,,,,,7.865168539325842,,,0.06666666666666667,0.07142857142857142,0.03571428571428571,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4,0.4,1.0,,,,,,1.0,1.0,0.4,0.5452199999999999,,0.54245,,,25.96,0.3333333333333333,,,,,1.0,1.0,2.0,,1.0,,3.0,,,1.0,1.0,,,,,1.0,2.0,,1.0,,3.0,,0.3333333333333333,,0.5,0.5,,,1.0,,,0.07692307692307693,0.25,,,1.0,,,,,0.3333333333333333,0.16666666666666666,1.0,0.375,,,,,,,,,,,,,,True,,,,,,,,,,
1629006,1610612756,Josh Okogie,Josh Okogie,1629006,PHX,10522.0,175,-47.0,353,355,93,76,37.0,708,9.0,15.0,1.0,5.0,2.0,5.0,1.0,3.0,2.0,10.0,,1.0,,4.0,2.0,12.0,23.0,2.0,14.0,41.0,445,1.0,5.0,,2.0,2.0,5.0,4.0,18.0,6.0,6.0,2.0,4.0,,2.0,,12.0,1.0,13.0,1.0,,5.0,5.0,2.0,27.0,4.0,8.0,5.0,4.0,9.0,12.0,21.0,1.0,6.0,3.0,3.0,,,3.0,6.0,18.0,,9.0,2.0,2.0,1.0,1.0,2.0,1.0,92,0.75,0.8181818181818182,1.0,0.14285714285714285,,0.14285714285714285,0.5217391304347826,0.2,0.40540540540540543,0.14285714285714285,0.47674418604651164,0.14285714285714285,0.3783783783783784,,0.08695652173913043,,,11.330049261083746,0.0449438202247191,0.07142857142857142,0.06756756756756757,0.07692307692307693,0.05521472392638037,0.07317073170731707,0.037037037037037035,0.1111111111111111,0.07692307692307693,0.03125,0.025,0.11764705882352941,0.05172413793103448,0.05,0.5,0.40540540540540543,0.6,0.6923076923076923,0.13513513513513514,0.4,0.4,0.08108108108108109,0.3333333333333333,0.3333333333333333,,0.2702702702702703,0.2,0.2,1.0,0.10810810810810811,,,,0.7142857142857143,0.2,0.14285714285714285,,,0.2222222222222222,0.7837837837837838,,0.5457405405405407,0.5214500000000001,0.5548333333333333,0.04878048780487805,4.682608695652175,23.82857142857143,0.26345609065155806,3.0,4.0,1.0,2.0,1.0,,11.0,3.0,1.0,5.0,14.0,,,3.0,2.0,1.0,,2.0,1.0,2.0,13.0,1.0,6.0,1.0,14.0,1.0,0.25,0.6,0.5,0.5833333333333334,0.13333333333333333,,1.0,,0.03225806451612903,0.07692307692307693,0.125,0.7777777777777778,1.0,0.14285714285714285,0.4444444444444444,0.75,0.2222222222222222,0.5,,0.14285714285714285,0.21428571428571427,0.34146341463414637,2.0,,,,,,,,,,,,,True,,,,,,,,,,
201142,1610612756,Kevin Durant,Kevin Durant,201142,PHX,9194.0,153,-38.0,308,313,85,65,31.0,621,6.0,7.0,1.0,1.0,9.0,26.0,10.0,18.0,1.0,3.0,,,7.0,18.0,2.0,25.0,51.0,8.0,21.0,108.0,397,3.0,5.0,,1.0,6.0,17.0,3.0,26.0,24.0,18.0,2.0,18.0,7.0,3.0,,9.0,2.0,11.0,1.0,1.0,4.0,4.0,1.0,24.0,,1.0,14.0,12.0,28.0,1.0,29.0,,4.0,2.0,2.0,4.0,,13.0,7.0,13.0,1.0,28.0,,5.0,2.0,3.0,5.0,2.0,84,0.52,0.5416666666666666,0.75,0.38095238095238093,,0.38095238095238093,0.49019607843137253,0.6,0.5138888888888888,0.5,0.6104651162790697,0.5,0.2916666666666667,,0.058823529411764705,0.07692307692307693,,28.04532577903683,0.15789473684210525,0.010526315789473684,0.22950819672131148,,0.1897810218978102,0.0070921985815602835,,,,0.06896551724137931,0.18181818181818182,0.2857142857142857,0.2553191489361702,,0.4,0.09722222222222222,0.8571428571428571,0.8571428571428571,0.3611111111111111,0.34615384615384615,0.375,0.25,0.5555555555555556,0.5882352941176471,0.4,0.041666666666666664,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.16666666666666666,1.0,,,,0.1,0.3888888888888889,0.3888888888888889,0.48570625000000006,0.46288,0.48511249999999995,0.05555555555555555,11.094117647058823,25.72380952380952,0.275974025974026,3.0,3.0,1.0,1.0,1.0,1.0,34.0,9.0,2.0,14.0,38.0,6.0,,9.0,5.0,4.0,,,2.0,,36.0,5.0,14.0,5.0,36.0,4.0,0.6666666666666666,0.5294117647058824,0.6,0.6923076923076923,,0.05555555555555555,0.6923076923076923,,0.037037037037037035,,0.14285714285714285,0.6666666666666666,0.5555555555555556,0.16666666666666666,0.15,1.0,0.05,1.0,0.5,0.1728395061728395,0.23333333333333334,0.35185185185185186,1.0,2.0,2.0,1.0,3.0,2.0,0.4,1.0,,,,,,True,,,,,,,,,,
202687,1610612756,Bismack Biyombo,Bismack Biyombo,202687,PHX,2890.0,48,5.0,96,98,36,22,12.0,194,5.0,8.0,2.0,4.0,3.0,6.0,,,,,,,,,,8.0,14.0,,,25.0,113,3.0,6.0,,,7.0,5.0,,10.0,6.0,,6.0,,,,,3.0,3.0,6.0,1.0,2.0,,1.0,2.0,15.0,4.0,5.0,5.0,4.0,11.0,9.0,20.0,4.0,,,,3.0,1.0,6.0,6.0,11.0,1.0,9.0,,5.0,1.0,4.0,6.0,3.0,36,0.625,1.0,,,,,0.5714285714285714,0.5,0.5714285714285714,0.5,0.625,0.5,,,,,,22.608695652173914,0.2,0.19230769230769232,0.18518518518518517,0.23529411764705882,0.19148936170212766,0.20930232558139536,0.25,0.18181818181818182,,0.2857142857142857,0.2,,0.22727272727272727,0.6666666666666666,0.5,0.5714285714285714,0.625,0.625,0.42857142857142855,0.5,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,,,,,0.5714285714285714,,0.534307142857143,0.5764,0.57614,0.28,3.957142857142857,,0.375,2.0,3.0,,,,,9.0,3.0,,5.0,11.0,,,3.0,1.0,2.0,,,2.0,1.0,16.0,2.0,5.0,3.0,11.0,2.0,,0.6,0.6,0.6111111111111112,,,0.5,,0.14285714285714285,0.3076923076923077,,0.6,0.6666666666666666,,0.6,0.6666666666666666,,,,0.29411764705882354,0.29411764705882354,0.44,1.0,2.0,1.0,,,,0.6666666666666666,,1.0,1.0,1.0,,,True,,,,,,,,,,
1628470,1610612756,Torrey Craig,Torrey Craig,1628470,PHX,623.0,10,-12.0,21,26,9,13,,47,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,2.0,35,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,8,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,4.761904761904762,0.2,,0.2,,0.2,,,,,,0.25,,0.25,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.9162,,,,0.6,,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1629028,1610612756,Deandre Ayton,Deandre Ayton,1629028,PHX,7255.0,121,-38.0,241,238,43,38,25.0,479,14.0,22.0,2.0,5.0,9.0,17.0,4.0,10.0,,,,,,,,27.0,49.0,,,58.0,305,4.0,9.0,,,9.0,8.0,,46.0,8.0,,6.0,,,5.0,,4.0,,4.0,,,1.0,2.0,1.0,8.0,3.0,12.0,6.0,17.0,25.0,15.0,40.0,2.0,3.0,2.0,1.0,4.0,,8.0,6.0,8.0,1.0,7.0,,2.0,1.0,1.0,2.0,,43,0.8518518518518519,0.9583333333333334,,,,,0.5510204081632653,0.4444444444444444,0.5510204081632653,0.4444444444444444,0.5686274509803921,0.45,,,0.10204081632653061,0.058823529411764705,,21.454545454545453,0.265625,0.14457831325301204,0.13333333333333333,0.08823529411764706,0.21100917431192662,0.1282051282051282,0.15789473684210525,0.19047619047619047,0.2222222222222222,0.391304347826087,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.11764705882352941,,0.4489795918367347,0.6363636363636364,0.7777777777777778,0.3469387755102041,0.5294117647058824,0.5625,0.20408163265306123,0.4,0.4,1.0,,,,,,,,,0.5555555555555556,0.4,,,,,0.4489795918367347,,0.5195938775510204,0.46452857142857146,0.5303875,0.15517241379310345,7.212244897959184,,0.17842323651452283,1.0,3.0,,,,,4.0,3.0,,1.0,7.0,,,4.0,2.0,2.0,,1.0,3.0,1.0,7.0,3.0,5.0,,7.0,,,0.375,0.375,0.3888888888888889,0.18181818181818182,,0.5,,0.045454545454545456,0.04,0.1,0.8571428571428571,0.7777777777777778,,0.375,0.3333333333333333,,,,0.09803921568627451,0.09803921568627451,0.1206896551724138,1.0,2.0,,,,,0.6666666666666666,,1.0,,,1.0,1.0,True,,,,,,,,,,
1629013,1610612756,Landry Shamet,Landry Shamet,1629013,PHX,1626.0,27,-15.0,60,60,37,26,6.0,120,,2.0,,1.0,,,,1.0,1.0,2.0,,,,3.0,3.0,,3.0,1.0,5.0,3.0,75,,1.0,,,,2.0,5.0,,,3.0,,3.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,37,,,1.0,0.2,,0.2,,,0.1875,,0.1875,,0.625,,,,,11.940298507462686,,,,0.125,,0.041666666666666664,,,0.5,,,,,0.14285714285714285,,0.25,,,,,,0.125,,,,0.25,0.5,0.5,1.0,0.375,,,,1.0,,,,,0.42857142857142855,0.875,,0.53235,,0.5460285714285714,,7.733333333333334,24.86,0.6166666666666667,,1.0,1.0,2.0,,,,,1.0,,3.0,,,,,,,,,,,,,,3.0,,0.2,,0.21428571428571427,0.21428571428571427,,,,,,,,,,,0.14285714285714285,,0.2857142857142857,0.5,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,
203933,1610612756,T.J. Warren,T.J. Warren,203933,PHX,507.0,8,-5.0,16,17,1,7,4.0,33,,,,,,1.0,,2.0,,,,,,,,,3.0,,,,13,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,19.047619047619047,0.16666666666666666,,,,0.08333333333333333,,,,,,0.5,,,,1.0,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,0.4023333333333334,0.403,0.403,,15.6,,0.0625,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
