EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffRebounds,Rebounds,SelfOReb,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,ShortMidRangeFGA,Fg2aBlocked,Corner3Assists,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAssists,OffTwoPtRebounds,Blocked2s,BlockedShortMidRange,Blocks,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,PtsPutbacks,OffAtRimReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefShortMidRangeReboundPct,on,SecondChanceFtPoints,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,Charge Fouls Drawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Technical Free Throw Trips,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Corner3PctBlocked,HeaveAttempts,LongMidRangePctBlocked,Transition Take Fouls Drawn,Defensive 3 Seconds Violations
1628997,1610612748,Caleb Martin,Caleb Martin,1628997,MIA,104.0,2.0,-1.0,4.0,5,3.0,5,2.0,9,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.5,50.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.45215,0.5,0.5,21.5,26.4,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629130,1610612748,Duncan Robinson,Duncan Robinson,1629130,MIA,939.0,16.0,-3.0,34.0,34,20.0,30,6.0,68,,1.0,5.0,2.0,3.0,6.0,5.0,18.0,39.0,1.0,1.0,2.0,3.0,14.0,,5.0,1.0,3.0,1.0,7.0,1.0,1.0,4.0,,2.0,,2.0,5.0,,14.0,20.0,,,,0.6666666666666666,1.0,0.7222222222222222,0.5,0.8181818181818182,0.5,0.875,0.6666666666666666,30.952380952380953,0.1111111111111111,0.05555555555555555,0.125,,0.1111111111111111,,,,0.5555555555555556,0.8888888888888888,0.5091388888888888,0.1111111111111111,0.7777777777777778,7.666666666666667,26.45,0.5882352941176471,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,3.0,6.0,4.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.5,1.0,0.7857142857142857,0.5,0.3333333333333333,0.2,0.09090909090909091,0.125,0.5,0.16666666666666666,0.2222222222222222,1.0,1.0,0.1111111111111111,1.0,1.0,0.4,0.4,1.0,0.5,1.0,0.5,0.14285714285714285,1.0,0.14285714285714285,1.0,0.7142857142857143,0.4,0.4,0.5432250000000001,0.5123357142857142,0.18181818181818182,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629312,1610612748,Haywood Highsmith,Haywood Highsmith,1629312,MIA,939.0,16.0,-3.0,34.0,34,20.0,30,6.0,68,,,,1.0,3.0,,,2.0,39.0,,,,,,2.0,,1.0,1.0,,3.0,,,2.0,,1.0,,,,,,20.0,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,7.142857142857143,,,,,,,,,,0.3333333333333333,0.39913333333333334,,,5.366666666666667,,0.5882352941176471,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,0.18181818181818182,0.125,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,1.0,,,,,,,,0.4369,,,,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630209,1610612748,Omer Yurtseven,Omer Yurtseven,1630209,MIA,939.0,16.0,-3.0,34.0,34,20.0,30,6.0,68,,,2.0,2.0,5.0,2.0,,4.0,39.0,,,,,2.0,2.0,2.0,,1.0,,2.0,1.0,3.0,5.0,,2.0,,,,,2.0,20.0,1.0,0.5,0.5,0.4,,0.2857142857142857,,0.2857142857142857,,0.2,0.2857142857142857,19.047619047619047,0.1111111111111111,0.16666666666666666,0.125,,,,,,0.2857142857142857,0.5714285714285714,0.4782071428571429,,0.5,6.220000000000001,26.65,0.5882352941176471,1.0,2.0,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,4.0,,1.0,2.0,,,,1.0,,,2.0,,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,0.25,0.2,1.0,,,0.18181818181818182,0.125,,0.16666666666666666,0.2857142857142857,0.5,0.5,,,,,,,,,1.0,0.2,,,,0.2,,,0.47115,0.47189000000000003,,,,1.0,3.0,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,1.0,2.0,1.0,1.0,1.0,0.2222222222222222,0.4,0.2,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631107,1610612748,Nikola Jovic,Nikola Jovic,1631107,MIA,734.0,12.0,4.0,27.0,26,20.0,22,5.0,53,,,2.0,1.0,2.0,2.0,,2.0,28.0,1.0,1.0,2.0,,2.0,,2.0,,,,,,1.0,5.0,,,,,,,2.0,20.0,,,,0.5,1.0,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,0.5,11.76470588235294,,0.07142857142857142,,,,,,,0.5,0.75,0.49334999999999996,1.0,1.0,2.55,28.2,0.7407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,2.0,1.0,1.0,,1.0,2.0,,,,,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,1.0,0.5,,0.6666666666666666,0.3333333333333333,0.1,0.15384615384615385,1.0,,0.25,1.0,1.0,,,,,,,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,,,0.5,,,0.5596,0.57235,,,,,1.0,1.0,,0.5,1.0,0.25,,,,,1.0,,,,0.14285714285714285,,0.25,,2.0,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203469,1610612748,Cody Zeller,Cody Zeller,203469,MIA,319.0,5.0,-7.0,11.0,11,4.0,11,2.0,22,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629622,1610612748,Max Strus,Max Strus,1629622,MIA,32.0,1.0,,1.0,2,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200768,1610612748,Kyle Lowry,Kyle Lowry,200768,MIA,512.0,9.0,3.0,18.0,17,12.0,13,2.0,35,,,2.0,,,3.0,,6.0,22.0,,,3.0,,3.0,,2.0,1.0,1.0,1.0,3.0,,,,,1.0,,,,,3.0,12.0,1.0,,,,,1.0,1.5,1.0,1.5,1.5,1.0,14.285714285714286,,,,,,,,,0.6666666666666666,1.0,0.5037,0.5,0.5,,25.166666666666668,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,6.0,,1.0,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,,1.5,,,,,,,,,,,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,,,1.0,,,1.0,1.0,,,0.5,,0.50595,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,177.0,3.0,-5.0,7.0,7,1.0,7,1.0,14,,1.0,,,2.0,1.0,,,7.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,37.5,,,,,0.3333333333333333,,,,,0.3333333333333333,0.4368666666666667,,,13.850000000000001,23.9,0.14285714285714285,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,0.3502,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628389,1610612748,Bam Adebayo,Bam Adebayo,1628389,MIA,50976.0,850.0,42.0,1658.0,1651,314.0,403,174.0,3309,22.0,52.0,3.0,167.0,344.0,3.0,78.0,412.0,1850.0,20.0,56.0,53.0,31.0,83.0,214.0,3.0,43.0,85.0,36.0,213.0,15.0,63.0,227.0,8.0,71.0,6.0,111.0,95.0,9.0,81.0,304.0,10.0,0.6407185628742516,0.7086092715231788,0.48546511627906974,0.35714285714285715,0.4812680115273775,0.35714285714285715,0.5322997416020672,0.4140625,0.5928571428571429,0.008645533141210375,23.921150772509325,0.043731778425655975,0.07664233576642336,0.04263565891472868,0.05161290322580645,0.14985590778097982,0.4230769230769231,0.4230769230769231,0.6818181818181818,0.008645533141210375,0.36023054755043227,0.497007780979827,0.12864077669902912,0.20145631067961164,7.562209302325582,27.0,0.18938480096501809,78.0,122.0,16.0,38.0,13.0,16.0,,,,,,,,2.0,,,26.0,52.0,,2.0,120.0,,,,42.0,36.0,5.0,79.0,73.0,12.0,164.0,29.0,33.0,2.0,19.0,62.0,7.0,28.0,44.0,,,,,,0.5,0.48148148148148145,0.46774193548387094,0.22641509433962265,0.1906005221932115,0.2020460358056266,0.19638242894056848,0.11764705882352941,0.20422535211267606,0.3515850144092219,0.639344262295082,0.7222222222222222,,,,,,,0.6785714285714286,0.42105263157894735,,0.2962962962962963,0.8125,,,0.037037037037037035,,,0.5335086956521738,0.48161388888888895,0.1164021164021164,0.11733333333333333,,67.0,170.0,22.0,7.0,0.06395348837209303,0.047058823529411764,0.4899135446685879,0.3941176470588235,0.41358024691358025,0.6865671641791045,1.0,48.0,15.0,9.0,15.0,0.10020876826722339,0.09012875536480687,0.19626168224299065,0.5897435897435898,32.0,0.1342281879194631,,,,,,,0.2441860465116279,False,13.0,19.0,16.0,3.0,8.0,10.0,1.0,5.0,4.0,1.0,11.0,11.0,6.0,13.0,6.0,9.0,6.0,1.0,1.0,8.0,0.11475409836065574,0.07216494845360824,0.047058823529411764,0.2,0.6,0.125,,,,,,,,,,,,,,,,,,,,,,
