EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,LostBallSteals,Travels,AtRimPctBlocked,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,ShortMidRangeAssists,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceCorner3Frequency,PtsUnassisted3s,Transition Take Fouls Drawn,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,OffLongMidRangeReboundPct,LongMidRangeFGM,HeaveAttempts,Blocked3s,BlockedArc3,Corner3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,on,3SecondViolations,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,OffensiveGoaltends
1626157,1610612750,Karl-Anthony Towns,Karl-Anthony Towns,1626157,MIN,8840.0,147.0,-35,282,285.0,79.0,62.0,23.0,567,11.0,16.0,2.0,3.0,4.0,4.0,10.0,18.0,4.0,2.0,4.0,20.0,1.0,1.0,6.0,21.0,38.0,4.0,22.0,14.0,68.0,337.0,2.0,3.0,1.0,1.0,5.0,6.0,8.0,1.0,6.0,4.0,19.0,30.0,12.0,12.0,2.0,20.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,13.0,3.0,2.0,12.0,24.0,3.0,39.0,5.0,44.0,1.0,3.0,3.0,9.0,1.0,7.0,5.0,1.0,2.0,14.0,1.0,3.0,8.0,18.0,1.0,1.0,2.0,27.0,3.0,21.0,7.0,13.0,1.0,4.0,3.0,1.0,4.0,2.0,19.0,79.0,3.0,1.0,0.7142857142857143,0.75,1.0,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.5526315789473685,0.6666666666666666,0.75,0.45,0.5,0.5357142857142857,0.5074626865671642,0.5,0.5588235294117647,0.36666666666666664,0.045454545454545456,0.05263157894736842,0.05555555555555555,0.25,0.05,25.796178343949045,0.6428571428571429,0.6,0.3116883116883117,0.025974025974025976,0.21052631578947367,0.05454545454545454,0.26865671641791045,0.03787878787878788,0.06451612903225806,0.04878048780487805,0.07142857142857142,0.14285714285714285,0.35,0.4375,0.1956521739130435,0.2727272727272727,0.03125,0.5,0.26666666666666666,0.6875,0.6875,0.7272727272727273,0.3,0.5555555555555556,0.5882352941176471,0.7,0.06666666666666667,0.03333333333333333,0.3333333333333333,0.2,0.21052631578947367,1.0,0.75,0.6666666666666666,0.5,0.25,0.2857142857142857,1.0,0.42857142857142855,0.16666666666666666,0.6333333333333333,0.2,0.5005191666666666,0.5490333333333334,0.5141428571428571,0.19696969696969696,0.29545454545454547,0.07352941176470588,0.27941176470588236,6.360526315789474,26.20909090909091,0.2801418439716312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1627752,1610612750,Taurean Prince,Taurean Prince,1627752,MIN,3622.0,60.0,-8,122,126.0,24.0,21.0,10.0,248,2.0,6.0,,3.0,,1.0,1.0,2.0,,8.0,2.0,6.0,,,1.0,3.0,8.0,6.0,14.0,6.0,30.0,149.0,,3.0,,1.0,1.0,,2.0,1.0,3.0,2.0,5.0,2.0,4.0,18.0,,6.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,5.0,,3.0,2.0,1.0,,3.0,3.0,6.0,2.0,2.0,1.0,3.0,,1.0,1.0,,2.0,4.0,,2.0,2.0,7.0,,1.0,,4.0,1.0,7.0,1.0,3.0,1.0,,,,,,5.0,23.0,,1.0,0.3333333333333333,0.3333333333333333,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.375,,,0.5454545454545454,,0.3,0.6,0.125,0.4166666666666667,0.6363636363636364,,0.125,,,,20.863309352517987,0.75,,0.02564102564102564,0.09090909090909091,0.11764705882352941,,0.05357142857142857,0.05084745762711865,0.11764705882352941,,,,0.05263157894736842,,0.14285714285714285,,0.18181818181818182,,0.2727272727272727,0.3333333333333333,0.4,,0.09090909090909091,0.5,0.5,1.0,,0.36363636363636365,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.2,,0.2,,0.9090909090909091,0.3333333333333333,0.5458590909090909,0.5878,0.50088,0.125,0.3,0.03333333333333333,0.16666666666666666,3.35,24.235714285714288,0.19672131147540983,4.0,1.0,2.0,1.0,1.0,0.16666666666666666,0.07692307692307693,0.5,0.5,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1629638,1610612750,Nickeil Alexander-Walker,Nickeil Alexander-Walker,1629638,MIN,7438.0,124.0,-2,242,243.0,62.0,46.0,20.0,485,2.0,3.0,,,,1.0,2.0,5.0,1.0,12.0,2.0,8.0,,1.0,1.0,4.0,9.0,8.0,20.0,2.0,34.0,263.0,,,2.0,,,1.0,2.0,3.0,5.0,1.0,12.0,4.0,4.0,24.0,,8.0,2.0,,,4.0,1.0,5.0,,1.0,3.0,11.0,,1.0,2.0,5.0,,7.0,1.0,8.0,,3.0,,2.0,,2.0,2.0,,,4.0,,,,7.0,,,,6.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,12.0,61.0,1.0,1.0,0.5,0.5,1.0,0.4,0.6,0.4,0.4444444444444444,,0.5,0.5517241379310345,,0.7857142857142857,0.5666666666666667,,0.75,0.6896551724137931,,,,,,12.546125461254613,0.5,,0.06756756756756757,0.016129032258064516,0.03773584905660377,,0.05511811023622047,0.008620689655172414,0.03571428571428571,,,0.1111111111111111,0.07142857142857142,,0.024390243902439025,0.08333333333333333,,1.0,0.10344827586206896,0.6666666666666666,0.6666666666666666,,0.1724137931034483,0.4,0.4,1.0,0.034482758620689655,0.41379310344827586,0.27586206896551724,0.25,0.25,1.0,,,,,0.14285714285714285,,0.14285714285714285,1.0,0.7931034482758621,0.25,0.5300551724137932,0.564675,0.4994785714285714,0.034482758620689655,0.1111111111111111,,0.35294117647058826,7.599999999999999,24.235,0.256198347107438,6.0,2.0,4.0,3.0,2.0,,,0.5,0.5,1.0,0.5714285714285714,0.5,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,
1629669,1610612750,Jaylen Nowell,Jaylen Nowell,1629669,MIN,1306.0,22.0,-5,41,42.0,19.0,7.0,8.0,83,1.0,5.0,,3.0,,3.0,,3.0,1.0,,,,,,,1.0,9.0,,,,2.0,53.0,,3.0,,,,,7.0,,,,,2.0,,,,,,,,,,,,,,,,3.0,1.0,,,1.0,3.0,4.0,3.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,19.0,,,1.0,1.0,,,,,0.1111111111111111,,,0.1111111111111111,,,0.1111111111111111,,,,,,,,,16.9811320754717,,,,0.17647058823529413,0.14285714285714285,,0.047619047619047616,0.13636363636363635,0.2,,,,,,0.14285714285714285,,0.375,,0.5555555555555556,0.2,0.2,1.0,0.3333333333333333,,,,0.1111111111111111,,,,,,1.0,,,,0.42857142857142855,,,,0.5555555555555556,,0.5276111111111111,0.5823333333333334,0.49875714285714284,,,,,4.711111111111112,,0.4634146341463415,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
201144,1610612750,Mike Conley,Mike Conley,201144,MIN,10965.0,183.0,-17,358,361.0,101.0,78.0,29.0,719,1.0,4.0,,,1.0,2.0,9.0,14.0,2.0,5.0,8.0,17.0,1.0,3.0,5.0,10.0,20.0,10.0,22.0,10.0,60.0,419.0,1.0,1.0,2.0,,2.0,3.0,5.0,4.0,8.0,8.0,26.0,6.0,14.0,24.0,,17.0,8.0,2.0,,20.0,12.0,32.0,7.0,5.0,11.0,76.0,1.0,1.0,6.0,5.0,,11.0,2.0,13.0,,3.0,2.0,7.0,,7.0,,,,7.0,,2.0,6.0,11.0,,,,16.0,1.0,11.0,,2.0,4.0,,,,,,24.0,100.0,1.0,2.0,0.3,0.3,0.8,0.45454545454545453,0.5,0.45454545454545453,0.5,1.0,0.6,0.5952380952380952,0.3333333333333333,0.6923076923076923,0.625,0.3333333333333333,0.7647058823529411,0.5238095238095238,,0.1,0.07142857142857142,,,13.636363636363637,1.0,,0.05102040816326531,0.011235955056179775,0.08571428571428572,0.014285714285714285,0.06547619047619048,0.012578616352201259,,0.0196078431372549,,0.034482758620689655,0.06,0.05263157894736842,0.08928571428571429,0.07142857142857142,,,0.09523809523809523,0.25,0.3333333333333333,,0.3333333333333333,0.6428571428571429,0.6923076923076923,0.3333333333333333,0.047619047619047616,0.11904761904761904,0.40476190476190477,0.47058823529411764,0.47058823529411764,0.75,,,,0.3333333333333333,0.15384615384615385,0.5,0.38461538461538464,0.6,0.6190476190476191,0.47058823529411764,0.4880642857142858,0.488625,0.4929923076923078,0.045454545454545456,0.09090909090909091,0.03333333333333333,0.43333333333333335,8.000000000000002,25.154545454545453,0.28212290502793297,2.0,1.0,3.0,1.0,,0.25,0.02564102564102564,0.4,0.4,1.0,0.23076923076923078,0.3333333333333333,1.0,9.0,,6.0,0.3333333333333333,6.0,1.0,,,,,,,,,,,,True,,,,,,,,,
203085,1610612750,Austin Rivers,Austin Rivers,203085,MIN,1283.0,21.0,-3,43,43.0,5.0,6.0,2.0,86,,,,,,,2.0,2.0,,1.0,,1.0,,,,2.0,2.0,,2.0,,4.0,42.0,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,1.0,1.0,1.0,,,3.0,,1.0,1.0,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,4.0,1.0,,0.5,0.5,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,8.695652173913043,,,,0.1111111111111111,0.14285714285714285,,0.058823529411764705,0.05,,,,,,,0.25,,,,,,,,0.5,1.0,1.0,0.5,,0.25,0.25,,,,,,,,,,,,0.5,,0.471325,,,,,,,4.199999999999999,24.15,0.11627906976744186,,,,1.0,,,0.14285714285714285,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,
203497,1610612750,Rudy Gobert,Rudy Gobert,203497,MIN,8451.0,141.0,-7,273,275.0,67.0,56.0,20.0,548,21.0,29.0,7.0,10.0,3.0,4.0,1.0,7.0,,,,,,,,22.0,36.0,,,16.0,60.0,329.0,8.0,12.0,,1.0,17.0,4.0,6.0,,,1.0,9.0,34.0,10.0,,10.0,,,3.0,,3.0,4.0,7.0,3.0,1.0,3.0,18.0,2.0,10.0,10.0,19.0,2.0,31.0,13.0,44.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,,,7.0,1.0,1.0,7.0,21.0,1.0,3.0,2.0,20.0,2.0,25.0,1.0,13.0,,5.0,4.0,1.0,5.0,3.0,9.0,67.0,2.0,,0.7727272727272727,1.0,,,,,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.625,0.6538461538461539,0.6428571428571429,,,0.08333333333333333,0.2857142857142857,,,18.456375838926174,0.14285714285714285,0.4,0.24358974358974358,0.16666666666666666,0.19607843137254902,0.04,0.2248062015503876,0.10909090909090909,0.2,0.05555555555555555,,0.22727272727272727,0.2631578947368421,0.2222222222222222,0.175,0.2727272727272727,0.09090909090909091,0.6,0.8055555555555556,0.7241379310344828,0.75,0.8095238095238095,0.19444444444444445,0.14285714285714285,0.2,,,,,,,,0.8333333333333334,0.7,0.42857142857142855,,0.6666666666666666,0.75,,,0.8055555555555556,,0.6145749999999999,0.6273545454545455,0.5931833333333333,0.2708333333333333,0.2708333333333333,0.2833333333333333,0.15,2.3305555555555557,,0.2454212454212454,,,,,2.0,0.034482758620689655,0.19230769230769232,,,,,,,,1.0,1.0,,,,1.0,2.0,0.125,,,,,,,,,True,,,,,,,,,
203937,1610612750,Kyle Anderson,Kyle Anderson,203937,MIN,3726.0,62.0,-2,127,127.0,53.0,43.0,9.0,254,4.0,6.0,2.0,2.0,2.0,3.0,3.0,10.0,,2.0,1.0,2.0,,,,7.0,16.0,2.0,4.0,2.0,22.0,140.0,2.0,2.0,,2.0,6.0,3.0,6.0,1.0,2.0,2.0,11.0,8.0,6.0,6.0,2.0,2.0,1.0,1.0,,7.0,4.0,11.0,2.0,2.0,4.0,26.0,1.0,2.0,3.0,4.0,,7.0,3.0,10.0,,3.0,2.0,2.0,,2.0,2.0,,,4.0,,2.0,4.0,11.0,,,1.0,2.0,,2.0,,1.0,,1.0,1.0,,1.0,,11.0,53.0,1.0,,0.5714285714285714,0.6666666666666666,1.0,0.5,0.5,0.5,0.4375,1.0,0.5,0.5,1.0,0.5625,0.5238095238095238,1.0,0.6111111111111112,0.2,,0.0625,,,,18.51851851851852,0.5,,0.17391304347826086,0.06060606060606061,0.10344827586206896,0.043478260869565216,0.1346153846153846,0.05357142857142857,,0.0625,,0.2222222222222222,0.1,0.25,0.125,,,,0.3,0.6666666666666666,0.8,0.25,0.5,0.3,0.3,1.0,,0.1,0.1,0.5,0.5,1.0,1.0,1.0,0.5,,0.375,0.6666666666666666,,,0.5,0.5,0.5346524999999999,0.8089500000000001,0.57255625,0.047619047619047616,0.058823529411764705,0.2727272727272727,0.5,5.58125,24.625,0.41732283464566927,1.0,1.0,2.0,1.0,1.0,0.16666666666666666,,0.5,0.5,1.0,0.25,0.5,,3.0,,,,,,,,,0.4,,,,,,,,True,,,,,,,,,
1630162,1610612750,Anthony Edwards,Anthony Edwards,1630162,MIN,9184.0,153.0,-8,301,303.0,94.0,71.0,23.0,604,14.0,25.0,,2.0,3.0,5.0,8.0,14.0,11.0,4.0,14.0,30.0,,2.0,10.0,28.0,50.0,15.0,34.0,21.0,122.0,363.0,1.0,3.0,,,2.0,11.0,16.0,2.0,13.0,4.0,32.0,8.0,48.0,24.0,2.0,29.0,14.0,1.0,1.0,11.0,10.0,21.0,6.0,4.0,6.0,52.0,1.0,,13.0,6.0,,19.0,1.0,20.0,,7.0,4.0,6.0,1.0,3.0,2.0,,3.0,8.0,,2.0,3.0,9.0,,,1.0,17.0,1.0,26.0,,13.0,,8.0,5.0,3.0,9.0,2.0,32.0,93.0,2.0,,0.14285714285714285,0.14814814814814814,0.5333333333333333,0.4411764705882353,0.15384615384615385,0.45454545454545453,0.56,0.3333333333333333,0.6875,0.6011904761904762,0.3333333333333333,0.4827586206896552,0.6288659793814433,0.3333333333333333,0.5,0.40476190476190477,0.029411764705882353,0.02,,0.09090909090909091,,32.20858895705522,0.75,,0.07792207792207792,,0.22033898305084745,0.01818181818181818,0.13970588235294118,0.008333333333333333,,0.024390243902439025,,0.09090909090909091,0.02564102564102564,0.1875,0.1875,0.36363636363636365,,0.2222222222222222,0.2976190476190476,0.56,0.56,0.21428571428571427,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.125,0.13095238095238096,0.047619047619047616,0.35714285714285715,0.4666666666666667,0.4666666666666667,0.5,0.6666666666666666,,,,0.1724137931034483,0.6,0.3448275862068966,0.2,0.7023809523809523,0.4827586206896552,0.5183331325301204,0.3363,0.4806232142857142,0.13402061855670103,0.20634920634920634,0.01639344262295082,0.26229508196721313,7.376,26.07352941176471,0.3122923588039867,1.0,,3.0,3.0,,,,0.25,0.3333333333333333,1.0,0.10344827586206896,,,5.0,,,,21.0,,,,,,6.0,1.0,1.0,1.0,0.25,0.5454545454545454,0.6,True,,,,,,,,,
1630233,1610612750,Nathan Knight,Nathan Knight,1630233,MIN,10.0,,2,1,,1.0,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
