EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyOffPossPct,PlusMinus,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,AtRimFGA,PenaltyAtRimFGA,FG2A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,AtRimFrequency,PenaltyAtRimFrequency,SecondChancePointsPct,PenaltyPointsPct,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,on,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,DefTwoPtRebounds,ShootingFouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,AtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PtsUnassisted3s,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Loose Ball Fouls,Technical Free Throw Trips,ShortMidRangePctBlocked,LongMidRangePctBlocked,PtsPutbacks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted
15,1610612756,Eric Piatkowski,Eric Piatkowski,15,PHX,96.0,2,2,3,2.0,3,1.0,5,1,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,1610612756,Sean Marks,Sean Marks,1752,PHX,150.0,2,4,4,4.0,4,1.0,8,4,,4.0,,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1610612756,Gordan Giricek,Gordan Giricek,1921,PHX,150.0,2,4,4,4.0,4,1.0,8,4,,4.0,,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201199,1610612756,DJ Strawberry,DJ Strawberry,201199,PHX,96.0,2,2,3,2.0,3,1.0,5,1,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,0.2922,0.2922,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,150.0,2,4,4,4.0,4,1.0,8,4,,4.0,,1.0,-3.0,,,,,,,1.0,1.0,,40.0,,,,,,1.0,0.3705,0.3705,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.25,1.0,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612756,Raja Bell,Raja Bell,1952,PHX,54.0,1,2,1,2.0,1,,3,3,,2.0,,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612756,Boris Diaw,Boris Diaw,2564,PHX,54.0,1,2,1,2.0,1,,3,3,2.0,2.0,,1.0,-3.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,1610612756,Brian Skinner,Brian Skinner,1730,PHX,1286.0,21,39,41,16.0,15,5.0,80,55,4.0,16.0,,0.41025641025641024,-19.0,,,,,,,3.0,3.0,,18.6046511627907,,0.16666666666666666,,,,0.25,0.4041,0.34099999999999997,,1.0,,4.0,4.0,8.0,2.0,4.0,2.0,4.0,6.0,,4.0,,8.0,3.0,6.0,3.0,0.5,1.0,0.5,,0.25,,0.5,0.75,,,,,False,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.2,0.2857142857142857,0.25,1.0,0.25,1.0,1.0,0.5,0.5,0.5,1.0,0.2927,0.2,0.2,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,1610612756,Gordan Giricek,Gordan Giricek,1921,PHX,4638.0,77,152,154,79.0,72,15.0,306,142,3.0,79.0,1.0,0.5197368421052632,10.0,3.0,2.0,4.0,2.0,3.0,2.0,7.0,7.0,0.2222222222222222,13.609467455621303,0.18181818181818182,0.08860759493670886,0.25,0.16666666666666666,0.2222222222222222,0.5,0.44978823529411766,0.44167499999999993,28.224999999999998,5.0,2.0,14.0,4.0,17.0,,2.0,7.0,4.0,8.0,,5.0,1.0,4.0,1.0,8.0,1.0,0.425,0.5,0.36363636363636365,,0.2777777777777778,0.2222222222222222,0.11764705882352941,0.47058823529411764,,3.0,1.0,,False,1.0,1.0,2.0,8.0,5.0,1.0,1.0,2.0,6.0,4.0,5.0,,1.0,,,,,,0.6,0.6,0.35714285714285715,1.0,0.2857142857142857,0.3611111111111111,0.5,0.2222222222222222,0.07352941176470588,0.043478260869565216,0.04,,0.05555555555555555,1.0,1.0,0.4444444444444444,0.25,0.25,1.0,,0.05263157894736842,0.06666666666666667,11.464285714285714,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.25,0.25,0.07142857142857142,0.2,1.0,0.15,0.4,0.5,0.5,0.05555555555555555,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612756,Raja Bell,Raja Bell,1952,PHX,12838.0,214,409,409,151.0,87,48.0,818,443,19.0,151.0,2.0,0.3691931540342298,-2.0,14.0,4.0,20.0,6.0,14.0,3.0,22.0,28.0,0.5405405405405406,10.91703056768559,0.1111111111111111,0.11290322580645161,0.1,0.3783783783783784,0.4,0.6216216216216216,0.5105364864864864,0.47418999999999994,24.410000000000004,3.0,,17.0,13.0,68.0,,14.0,4.0,9.0,25.0,1.0,16.0,1.0,16.0,2.0,25.0,2.0,0.7555555555555555,1.1666666666666667,0.8333333333333334,0.1,0.08108108108108109,,0.20588235294117646,0.36764705882352944,4.0,5.0,3.0,2.0,False,2.0,3.0,5.0,11.0,8.0,1.0,1.0,2.0,8.0,8.0,18.0,5.0,6.0,1.0,,,1.0,,0.5,0.5,0.47058823529411764,1.0,0.5,0.7432432432432432,1.1666666666666667,0.8,0.11320754716981132,0.02,0.2037037037037037,,0.08108108108108109,0.6666666666666666,0.6666666666666666,0.2972972972972973,0.45454545454545453,0.45454545454545453,0.6,0.54717,0.13953488372093023,0.2608695652173913,14.123529411764707,1.0,,4.0,6.0,3.0,13.0,5.0,39.0,,10.0,1.0,11.0,,5.0,23.0,2.0,2.0,1.0,1.0,,2.0,1.0,0.65,0.65,,,0.2,0.10909090909090909,0.3333333333333333,0.3333333333333333,,0.16216216216216217,0.6666666666666666,0.6666666666666666,1.0,0.5,,1.0,2.0,1.0,2.0,9.0,3.0,3.0,4.0,4.0,9.0,1.0,3.0,2.0,2.0,4.0,6.0,2.0,1.0,0.8,0.6666666666666666,0.027210884353741496,0.058823529411764705,0.03314917127071823,0.02040816326530612,0.057692307692307696,0.08695652173913043,0.14285714285714285,0.5,0.6428571428571429,0.6428571428571429,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.2,0.5,0.75,0.6428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,
