EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,LostBallSteals,LostBallTurnovers,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,OffAtRimReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyFG3M,PtsUnassisted2s,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGM,PtsPutbacks,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,LongMidRangePctBlocked,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,HeaveAttempts,on,Defensive 3 Seconds Violations
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,13459.0,224.0,19.0,419.0,422,66.0,90,40.0,841,12.0,18.0,1.0,2.0,8.0,12.0,1.0,2.0,21.0,32.0,4.0,46.0,440,1.0,2.0,3.0,5.0,3.0,4.0,1.0,7.0,42.0,4.0,11.0,4.0,15.0,3.0,1.0,9.0,2.0,34.0,5.0,6.0,1.0,7.0,31.0,2.0,40.0,12.0,52.0,2.0,2.0,4.0,4.0,4.0,6.0,10.0,1.0,3.0,19.0,36.0,4.0,1.0,13.0,3.0,6.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,7.0,66.0,3.0,1.0,1.0,1.0,0.65625,0.5,0.75,0.65625,0.5,0.75,0.6571428571428571,0.625,0.7,0.125,0.16666666666666666,0.08333333333333333,9.803921568627452,0.4,0.18181818181818182,0.0625,0.1901840490797546,0.047244094488188976,0.1891891891891892,0.08196721311475409,0.19,0.05851063829787234,0.025,0.09433962264150944,0.10256410256410256,0.045454545454545456,0.10204081632653061,0.2,0.24324324324324326,0.18518518518518517,0.2,1.0,0.5625,0.6666666666666666,0.8,1.0,0.375,0.6666666666666666,0.7272727272727273,1.0,0.0625,0.5,0.5,1.0,0.5,0.5,0.5625,0.48456874999999994,0.3482,0.5421750000000001,0.08823529411764706,0.08823529411764706,0.10869565217391304,0.15217391304347827,5.421875,0.1575178997613365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
109,1610612759,Robert Horry,Robert Horry,109,SAS,6243.0,104.0,-1.0,205.0,200,72.0,87,22.0,405,,,,,1.0,3.0,,4.0,1.0,7.0,1.0,12.0,205,,1.0,,3.0,,1.0,1.0,1.0,2.0,2.0,5.0,1.0,6.0,1.0,,1.0,3.0,13.0,3.0,4.0,1.0,1.0,11.0,,12.0,8.0,20.0,5.0,2.0,1.0,,,1.0,2.0,1.0,1.0,9.0,26.0,1.0,1.0,8.0,,3.0,2.0,,,1.0,4.0,4.0,,4.0,2.0,,1.0,72.0,7.0,1.0,1.0,1.0,0.14285714285714285,,,0.25,0.375,,0.2608695652173913,0.375,0.1,0.2857142857142857,,0.6666666666666666,10.775862068965518,0.5,,0.16666666666666666,0.14864864864864866,0.056338028169014086,0.058823529411764705,0.08333333333333333,0.13186813186813187,0.06542056074766354,0.043478260869565216,0.03225806451612903,0.0625,0.1,0.13333333333333333,0.2777777777777778,0.07692307692307693,,0.2,0.5,,,,,0.13636363636363635,0.3333333333333333,1.0,1.0,0.18181818181818182,,,,,,0.6818181818181818,0.4914795454545455,0.5609000000000001,0.5219625,,,0.25,0.08333333333333333,13.942857142857141,0.35121951219512193,6.0,2.0,2.0,3.0,9.0,1.0,1.0,1.0,3.0,15.0,1.0,3.0,3.0,6.0,3.0,9.0,3.0,1.0,3.0,1.0,1.0,0.6666666666666666,0.2,0.3333333333333333,0.2,0.6818181818181818,0.11764705882352941,0.2727272727272727,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.25,1.0,0.5,0.25,0.3333333333333333,24.493333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,19970.0,333.0,-36.0,618.0,619,150.0,173,65.0,1237,2.0,2.0,,,,4.0,10.0,21.0,12.0,27.0,4.0,76.0,640,,1.0,1.0,4.0,,2.0,3.0,12.0,22.0,,8.0,4.0,12.0,3.0,1.0,3.0,3.0,28.0,1.0,1.0,,3.0,17.0,2.0,22.0,2.0,24.0,8.0,5.0,2.0,,1.0,3.0,5.0,,1.0,6.0,22.0,1.0,2.0,10.0,,3.0,5.0,,,2.0,4.0,2.0,,4.0,1.0,,12.0,150.0,4.0,2.0,0.9166666666666666,0.9166666666666666,0.4444444444444444,,,0.5142857142857142,0.375,0.32142857142857145,0.5277777777777778,0.5,0.375,,,,11.063218390804598,0.4,0.125,,0.06995884773662552,0.004629629629629629,0.046875,0.010101010101010102,0.06514657980456026,0.006349206349206349,,0.011494252873563218,0.01818181818181818,,0.07142857142857142,0.045454545454545456,0.08602150537634409,0.04,0.07142857142857142,0.25,0.02857142857142857,1.0,1.0,0.5,0.05714285714285714,,,,0.3,0.47619047619047616,0.47619047619047616,1.0,,,0.6428571428571429,0.513542142857143,0.5604750000000001,0.5148357142857142,0.014285714285714285,,0.05263157894736842,0.15789473684210525,16.11481481481481,0.24271844660194175,42.0,3.0,12.0,1.0,1.0,,,,16.0,43.0,1.0,3.0,12.0,45.0,3.0,1.0,1.0,2.0,3.0,1.0,,0.9375,0.37209302325581395,0.3333333333333333,0.37209302325581395,0.6142857142857143,,0.6,0.014285714285714285,1.0,1.0,1.0,0.75,,,0.8571428571428571,,1.0,23.223255813953486,15.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,0.25,0.35714285714285715,0.35714285714285715,0.9333333333333333,0.3333333333333333,1.0,0.25,0.023255813953488372,,,,,,,,,,,,,,,,,True,
1521,1610612759,Jacque Vaughn,Jacque Vaughn,1521,SAS,2070.0,34.0,-6.0,62.0,67,14.0,17,6.0,129,1.0,2.0,,,,1.0,1.0,3.0,2.0,6.0,,4.0,71,,1.0,,,,1.0,,,2.0,,2.0,1.0,3.0,1.0,,2.0,,7.0,,,,,3.0,,3.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,9.0,,,1.0,,1.0,,,,,,,,,,,,14.0,4.0,,0.5,0.5,0.3333333333333333,,,0.2857142857142857,,,0.2857142857142857,,,,,,11.940298507462686,1.0,,,0.14285714285714285,,,,0.10344827586206896,,,,,,,,0.3,,,,0.2857142857142857,0.5,0.5,,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,0.42857142857142855,0.47474285714285713,,0.47065,,,,,11.816666666666665,0.22580645161290322,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,0.14285714285714285,,0.14285714285714285,,,,,,,,0.5,,,23.9,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,33529.0,559.0,11.0,1065.0,1049,296.0,326,114.0,2114,31.0,58.0,9.0,18.0,17.0,40.0,12.0,32.0,60.0,130.0,69.0,303.0,1104,4.0,13.0,7.0,24.0,15.0,37.0,41.0,107.0,32.0,11.0,49.0,18.0,67.0,5.0,13.0,21.0,16.0,152.0,6.0,8.0,,13.0,29.0,8.0,50.0,14.0,64.0,10.0,6.0,26.0,6.0,21.0,21.0,47.0,5.0,18.0,15.0,47.0,2.0,6.0,75.0,3.0,5.0,77.0,11.0,25.0,14.0,5.0,3.0,,5.0,2.0,,107.0,296.0,5.0,14.0,0.26666666666666666,0.27586206896551724,0.46153846153846156,0.3076923076923077,0.40540540540540543,0.5043103448275862,0.4473684210526316,0.4782608695652174,0.5727969348659003,0.5454545454545454,0.5955056179775281,0.08461538461538462,0.08620689655172414,0.125,25.75250836120401,0.5531914893617021,0.21621621621621623,,0.07341772151898734,0.0226628895184136,0.13541666666666666,0.0392156862745098,0.0855397148676171,0.02766798418972332,0.009174311926605505,0.037037037037037035,0.05434782608695652,0.01639344262295082,0.03759398496240601,0.018691588785046728,0.14193548387096774,0.1323529411764706,0.14285714285714285,0.4,0.25,0.5344827586206896,0.5849056603773585,0.3225806451612903,0.1724137931034483,0.425,0.4857142857142857,0.17647058823529413,0.13793103448275862,0.375,0.3870967741935484,0.25,0.2608695652173913,0.5,0.6896551724137931,0.4999217672413795,0.4826769230769231,0.4873,0.10931174089068826,0.1736111111111111,0.07920792079207921,0.35313531353135313,7.654615384615384,0.27793427230046946,15.0,1.0,9.0,31.0,87.0,2.0,5.0,23.0,38.0,102.0,3.0,6.0,32.0,84.0,30.0,87.0,31.0,12.0,4.0,5.0,,0.7368421052631579,0.37254901960784315,0.5,0.37254901960784315,0.4396551724137931,0.01834862385321101,0.06465517241379311,0.375,0.3563218390804598,0.3563218390804598,0.6774193548387096,0.05263157894736842,0.2631578947368421,0.4,0.13043478260869565,0.3333333333333333,0.3563218390804598,24.7,7.0,1.0,5.0,12.0,88.0,1.0,1.0,2.0,2.0,0.375,0.4666666666666667,0.4666666666666667,1.0,1.0,1.0,0.5555555555555556,0.019417475728155338,3.0,6.0,7.0,4.0,3.0,5.0,2.0,6.0,0.03125,0.025210084033613446,0.3157894736842105,0.5,0.6666666666666666,0.5,0.30434782608695654,,True,
2137,1610612759,Ime Udoka,Ime Udoka,2137,SAS,7603.0,127.0,1.0,239.0,242,77.0,88,26.0,481,7.0,10.0,1.0,2.0,2.0,4.0,3.0,6.0,12.0,20.0,2.0,47.0,248,2.0,3.0,,4.0,3.0,6.0,,9.0,8.0,3.0,3.0,4.0,7.0,2.0,2.0,1.0,2.0,18.0,1.0,2.0,,1.0,14.0,3.0,18.0,3.0,21.0,4.0,3.0,5.0,,4.0,1.0,6.0,1.0,2.0,6.0,16.0,,,4.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,9.0,77.0,6.0,,0.3333333333333333,0.4,0.6,0.6666666666666666,0.5,0.5357142857142857,0.3333333333333333,0.375,0.5465116279069767,0.3333333333333333,0.375,0.15,0.3,,18.21561338289963,0.8333333333333334,0.2727272727272727,,0.15730337078651685,0.0273972602739726,0.045454545454545456,0.025,0.13513513513513514,0.02654867256637168,,0.06060606060606061,0.043478260869565216,,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.07142857142857142,,,0.23809523809523808,0.7,1.0,0.2857142857142857,0.09523809523809523,0.5,0.5,0.5,0.14285714285714285,0.5,0.5,0.3333333333333333,0.16666666666666666,0.5,0.7619047619047619,0.5297214285714287,0.5484166666666667,0.5280791666666668,0.046511627906976744,0.09523809523809523,0.0851063829787234,0.19148936170212766,7.999999999999998,0.32217573221757323,14.0,1.0,4.0,2.0,8.0,,2.0,2.0,7.0,22.0,,3.0,6.0,21.0,,8.0,2.0,,1.0,1.0,,1.0,0.3181818181818182,,0.3181818181818182,0.5238095238095238,,0.3333333333333333,0.19047619047619047,0.25,0.25,1.0,0.16666666666666666,0.3333333333333333,,0.3333333333333333,0.16666666666666666,0.25,23.6,5.0,,1.0,1.0,16.0,,,,,0.16666666666666666,0.35714285714285715,0.35714285714285715,1.0,,,0.25,,2.0,2.0,,4.0,,1.0,,,,,0.3333333333333333,1.0,,,,,True,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,26607.0,443.0,2.0,852.0,830,217.0,255,85.0,1682,53.0,82.0,19.0,29.0,14.0,30.0,22.0,60.0,89.0,172.0,41.0,237.0,881,2.0,5.0,2.0,6.0,26.0,44.0,14.0,72.0,46.0,17.0,33.0,25.0,58.0,14.0,11.0,16.0,11.0,141.0,1.0,5.0,,5.0,29.0,1.0,35.0,6.0,41.0,13.0,10.0,24.0,3.0,13.0,11.0,35.0,4.0,9.0,12.0,27.0,3.0,,51.0,,3.0,55.0,5.0,28.0,2.0,1.0,,,1.0,1.0,,72.0,217.0,2.0,2.0,0.25842696629213485,0.25842696629213485,0.5174418604651163,0.4,0.5909090909090909,0.5297297297297298,0.4,0.6170212765957447,0.5642857142857143,0.5,0.6666666666666666,0.09883720930232558,0.18292682926829268,0.06666666666666667,25.654450261780102,0.6857142857142857,0.03125,,0.09235668789808917,0.016891891891891893,0.07462686567164178,0.008695652173913044,0.08923884514435695,0.014598540145985401,0.022727272727272728,0.00909090909090909,0.015384615384615385,,0.04950495049504951,0.08695652173913043,0.1322314049586777,0.06,0.11764705882352941,1.0,0.44324324324324327,0.6463414634146342,0.7910447761194029,0.24528301886792453,0.16216216216216217,0.4666666666666667,0.5,0.07142857142857142,0.32432432432432434,0.36666666666666664,0.36666666666666664,0.4090909090909091,0.6170212765957447,0.6551724137931034,0.5135135135135135,0.5101564864864866,0.46116666666666667,0.5280851063829787,0.1346153846153846,0.14358974358974358,0.02531645569620253,0.3037974683544304,8.209302325581397,0.2546948356807512,8.0,,1.0,2.0,5.0,,,2.0,6.0,13.0,,,3.0,15.0,3.0,5.0,2.0,6.0,3.0,11.0,,0.8333333333333334,0.46153846153846156,,0.46153846153846156,0.07027027027027027,0.02040816326530612,0.043243243243243246,0.02702702702702703,0.4,0.4,0.5,,,,0.02127659574468085,0.0425531914893617,0.4,24.00769230769231,4.0,,1.0,2.0,132.0,,,,1.0,0.6666666666666666,0.5,0.5,1.0,,,1.0,,2.0,3.0,1.0,,,3.0,5.0,,,,0.6,0.6666666666666666,,,0.5,,True,
699,1610612759,Brent Barry,Brent Barry,699,SAS,7198.0,120.0,32.0,242.0,230,104.0,96,25.0,472,1.0,2.0,1.0,1.0,,,1.0,2.0,2.0,4.0,7.0,38.0,251,,,,,1.0,1.0,5.0,19.0,4.0,,10.0,1.0,11.0,1.0,,6.0,3.0,23.0,,1.0,,1.0,5.0,1.0,7.0,1.0,8.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,,1.0,6.0,17.0,1.0,,6.0,,1.0,8.0,,1.0,3.0,1.0,,,1.0,,,19.0,104.0,7.0,3.0,1.0,1.0,0.5,,1.0,0.6458333333333334,,0.7,0.6785714285714286,,0.7307692307692307,,,,11.235955056179776,0.5,0.09090909090909091,,0.060240963855421686,0.014925373134328358,0.047619047619047616,,0.057692307692307696,0.01,,,,,0.0967741935483871,,0.058823529411764705,0.06666666666666667,,,0.08333333333333333,0.5,0.5,1.0,,,,,0.08333333333333333,0.5,0.5,1.0,0.1,1.0,0.9166666666666666,0.5333166666666668,,0.528875,0.04,0.2,,0.5,10.975,0.4297520661157025,4.0,,2.0,8.0,16.0,,1.0,7.0,9.0,20.0,,1.0,9.0,27.0,,16.0,8.0,1.0,,,,1.0,0.45,,0.45,0.8333333333333334,0.038461538461538464,0.16666666666666666,0.6666666666666666,0.5,0.5,1.0,,1.0,,0.2,0.7,0.5,24.905,1.0,,1.0,4.0,,,,,1.0,0.4444444444444444,0.25,0.25,1.0,,,0.5,,,,3.0,,,,,,,,,,,,0.42857142857142855,,True,
714,1610612759,Michael Finley,Michael Finley,714,SAS,12587.0,210.0,35.0,414.0,394,152.0,137,49.0,808,2.0,2.0,1.0,1.0,,3.0,3.0,13.0,5.0,18.0,6.0,52.0,436,,5.0,,9.0,1.0,3.0,3.0,11.0,10.0,,8.0,3.0,11.0,1.0,2.0,,3.0,25.0,,,,4.0,12.0,1.0,17.0,,17.0,3.0,2.0,2.0,,2.0,,2.0,,,2.0,9.0,1.0,,4.0,,,6.0,,,,3.0,3.0,,3.0,3.0,,11.0,152.0,4.0,,1.0,1.0,0.2777777777777778,,0.3333333333333333,0.4791666666666667,0.4090909090909091,0.3333333333333333,0.52,0.4090909090909091,0.4230769230769231,,,,11.158798283261802,1.0,0.07142857142857142,,0.08823529411764706,,0.10526315789473684,,0.09195402298850575,,,,,,0.10416666666666667,0.11428571428571428,0.05660377358490566,0.16666666666666666,,1.0,0.041666666666666664,1.0,1.0,1.0,0.0625,,,,0.2708333333333333,0.23076923076923078,0.23076923076923078,1.0,0.08333333333333333,1.0,0.6666666666666666,0.49405319148936155,0.49451874999999995,0.5040636363636363,0.04,,0.17307692307692307,0.21153846153846154,13.722222222222221,0.3671497584541063,8.0,1.0,2.0,8.0,22.0,2.0,5.0,7.0,12.0,30.0,3.0,6.0,9.0,36.0,,21.0,8.0,5.0,1.0,,,1.0,0.4,0.5,0.41379310344827586,0.625,,0.16666666666666666,0.4583333333333333,0.36363636363636365,0.36363636363636365,1.0,0.09090909090909091,0.45454545454545453,0.4,0.16666666666666666,0.5833333333333334,0.38095238095238093,25.246666666666666,4.0,1.0,1.0,2.0,,,,2.0,,0.2222222222222222,0.5,0.5,1.0,1.0,1.0,0.5,0.0625,,,1.0,,,,,,,,,,,1.0,0.14285714285714285,1.0,True,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,27932.0,466.0,1.0,888.0,870,254.0,276,101.0,1758,51.0,89.0,11.0,17.0,38.0,90.0,11.0,37.0,100.0,216.0,53.0,256.0,926,16.0,41.0,7.0,39.0,25.0,55.0,5.0,58.0,102.0,19.0,21.0,16.0,37.0,12.0,4.0,16.0,4.0,90.0,9.0,36.0,1.0,25.0,101.0,9.0,135.0,46.0,181.0,12.0,11.0,17.0,3.0,3.0,13.0,30.0,4.0,7.0,13.0,32.0,6.0,5.0,64.0,3.0,2.0,88.0,10.0,45.0,4.0,24.0,19.0,,24.0,12.0,1.0,58.0,254.0,3.0,3.0,0.51,0.5604395604395604,0.46296296296296297,0.3902439024390244,0.45454545454545453,0.46136363636363636,0.3902439024390244,0.45689655172413796,0.4942084942084942,0.43333333333333335,0.4461538461538462,0.08796296296296297,0.12359550561797752,0.08888888888888889,28.727634194831012,0.5666666666666667,0.3103448275862069,0.02857142857142857,0.3033033033033033,0.12203389830508475,0.28735632183908044,0.0703125,0.3,0.10638297872340426,0.12,0.11,0.03896103896103896,0.11764705882352941,0.3162393162393162,0.3473684210526316,0.256198347107438,0.3225806451612903,0.2,0.5,0.40454545454545454,0.5730337078651685,0.6538461538461539,0.6274509803921569,0.4090909090909091,0.4222222222222222,0.4634146341463415,0.3157894736842105,0.16818181818181818,0.2972972972972973,0.2972972972972973,0.6363636363636364,0.29310344827586204,0.6470588235294118,0.42272727272727273,0.45214090909090915,0.4634257142857144,0.41273879310344824,0.17647058823529413,0.17928286852589642,0.15234375,0.2265625,6.940277777777778,0.28603603603603606,,,,1.0,4.0,,,3.0,1.0,4.0,,,3.0,3.0,,4.0,1.0,1.0,1.0,14.0,,1.0,0.25,,0.25,0.01818181818181818,0.1368421052631579,,0.01818181818181818,0.25,0.25,1.0,,,,,0.05172413793103448,0.25,25.075,,,,1.0,98.0,,,,5.0,0.3333333333333333,,,,,,,,12.0,20.0,1.0,18.0,9.0,3.0,1.0,,,0.09183673469387756,0.4878048780487805,0.6,0.16666666666666666,,0.3333333333333333,,True,
