EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,on,3SecondViolations
101142,1610612747,Ronny Turiaf,Ronny Turiaf,101142,LAL,2659.0,44,-14.0,80,84,43.0,30,9.0,164,2.0,1.0,2.0,2.0,6.0,2.0,10.0,4.0,103,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,1.0,6.0,6.0,11.0,3.0,3.0,3.0,1.0,43.0,0.5,0.5,0.2,1.0,0.2,1.0,0.2,1.0,11.11111111111111,0.25,0.07142857142857142,0.03333333333333333,0.25,0.1111111111111111,0.02702702702702703,0.07692307692307693,0.2,0.3333333333333333,0.3333333333333333,0.2,0.2,0.6,0.3333333333333333,0.3333333333333333,0.5,0.5,0.2,0.4382,0.4743,0.5082500000000001,0.5,12.01,0.5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,34734.0,579,104.0,1133,1133,379.0,337,110.0,2266,111.0,33.0,22.0,9.0,24.0,81.0,157.0,240.0,1177,15.0,25.0,39.0,43.0,98.0,64.0,30.0,14.0,44.0,9.0,16.0,102.0,30.0,28.0,85.0,10.0,123.0,36.0,159.0,28.0,47.0,24.0,18.0,24.0,11.0,379.0,0.6049382716049383,0.6901408450704225,0.5159235668789809,0.6,0.509090909090909,0.5769230769230769,0.5687203791469194,0.609375,18.90389197776013,0.35714285714285715,0.2,0.08403361344537816,0.18791946308724833,0.19686411149825783,0.075,0.07751937984496124,0.20987654320987653,0.1875,0.4583333333333333,0.6727272727272727,0.13333333333333333,0.14545454545454545,0.375,0.375,0.4444444444444444,0.717391304347826,0.7212121212121212,0.5350307926829269,0.5768818181818182,0.537129347826087,0.1625,4.245222929936306,0.33451015004413065,63.0,14.0,23.0,22.0,9.0,1.0,1.0,2.0,7.0,1.0,2.0,2.0,2.0,8.0,72.0,1.0,9.0,28.0,2.0,3.0,27.0,89.0,6.0,20.0,7.0,2.0,16.0,5.0,2.0,12.0,6.0,6.0,11.0,9.0,2.0,16.0,2.0,10.0,11.0,3.0,6.0,3.0,27.0,1.0,10.0,7.0,3.0,72.0,7.0,3.0,103.0,11.0,48.0,9.0,6.0,1.0,2.0,89.0,3.0,7.0,1.0,0.25,0.6666666666666666,0.25,0.6511627906976745,0.6739130434782609,0.717741935483871,0.048484848484848485,0.10191082802547771,0.12612612612612611,0.09090909090909091,0.5925925925925926,0.04878048780487805,0.08247422680412371,0.0916030534351145,0.05263157894736842,0.03571428571428571,0.18562874251497005,0.20833333333333334,0.1891891891891892,0.09230769230769231,0.5675675675675675,0.6494845360824743,0.6031746031746031,0.4090909090909091,0.45,0.7777777777777778,0.006060606060606061,0.04242424242424243,0.2857142857142857,0.2857142857142857,1.0,0.8846153846153846,0.6086956521739131,0.21428571428571427,0.038461538461538464,0.6666666666666666,0.021739130434782608,0.043478260869565216,1.0,0.2857142857142857,0.2376237623762376,0.24742268041237114,0.37083333333333335,26.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
2209,1610612747,Vladimir Radmanovic,Vladimir Radmanovic,2209,LAL,24712.0,412,76.0,802,796,203.0,167,81.0,1598,39.0,10.0,11.0,7.0,17.0,34.0,67.0,142.0,822,8.0,18.0,25.0,14.0,42.0,26.0,20.0,4.0,24.0,3.0,13.0,52.0,13.0,8.0,35.0,4.0,47.0,18.0,65.0,21.0,50.0,1.0,,1.0,,203.0,0.6176470588235294,0.7,0.5074626865671642,0.4444444444444444,0.5189393939393939,0.46296296296296297,0.5259259259259259,0.46296296296296297,16.75977653631285,0.19047619047619047,0.11513157894736842,0.04924242424242424,0.0898876404494382,0.10941475826972011,0.05099150141643059,0.05154639175257732,0.11666666666666667,0.05714285714285714,,0.29545454545454547,0.08333333333333333,0.12878787878787878,0.4117647058823529,0.4117647058823529,0.5714285714285714,0.25,0.7878787878787878,0.5388988549618321,0.5436052631578947,0.544221794871795,0.176056338028169,6.273134328358209,0.25311720698254364,24.0,4.0,11.0,6.0,3.0,22.0,7.0,12.0,43.0,5.0,4.0,19.0,23.0,65.0,5.0,9.0,,7.0,8.0,26.0,,38.0,57.0,8.0,42.0,12.0,7.0,1.0,1.0,6.0,5.0,,12.0,9.0,3.0,9.0,2.0,7.0,6.0,,2.0,1.0,15.0,,2.0,3.0,1.0,10.0,2.0,1.0,6.0,,3.0,,,1.0,,38.0,3.0,,0.8260869565217391,0.35384615384615387,0.3076923076923077,0.359375,0.5,0.475,0.475,0.49242424242424243,0.1044776119402985,0.1282051282051282,0.18181818181818182,0.6,0.056179775280898875,0.057971014492753624,0.04081632653061224,0.05555555555555555,0.058823529411764705,0.13513513513513514,0.0821917808219178,0.21052631578947367,,0.6153846153846154,0.7058823529411765,0.7083333333333334,0.2727272727272727,0.3333333333333333,,0.16666666666666666,0.32575757575757575,0.27906976744186046,0.2857142857142857,0.75,0.4074074074074074,0.36363636363636365,,0.18518518518518517,0.6,0.175,0.475,0.21052631578947367,0.2857142857142857,0.022222222222222223,0.04285714285714286,0.2676056338028169,25.336923076923078,11.0,2.0,4.0,4.0,1.0,3.0,12.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.015384615384615385,0.023255813953488372,0.5,0.5,0.9090909090909091,0.14814814814814814,0.5,1.0,0.2,0.5714285714285714,,,,,,,,,,,True,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,39805.0,663,121.0,1303,1305,476.0,431,135.0,2608,22.0,3.0,10.0,29.0,64.0,44.0,96.0,215.0,1374,3.0,5.0,9.0,24.0,36.0,52.0,44.0,8.0,52.0,6.0,27.0,112.0,,11.0,33.0,1.0,45.0,2.0,47.0,24.0,62.0,3.0,,3.0,2.0,476.0,0.4090909090909091,0.4090909090909091,0.4583333333333333,0.6,0.5273972602739726,0.5625,0.6016949152542372,0.5625,13.548830811554334,0.02702702702702703,0.06818181818181818,,0.0658682634730539,0.06758832565284179,0.0036101083032490976,,0.07065217391304347,0.056451612903225805,0.6666666666666666,0.1506849315068493,0.0684931506849315,0.4383561643835616,0.453125,0.453125,0.4827586206896552,0.06,0.4931506849315068,0.48783767123287664,0.47986000000000006,0.474129,0.04186046511627907,13.914583333333335,0.36531082118188796,12.0,,1.0,2.0,3.0,20.0,10.0,11.0,30.0,1.0,5.0,16.0,22.0,50.0,61.0,3.0,,9.0,12.0,26.0,34.0,88.0,57.0,,30.0,11.0,4.0,2.0,5.0,12.0,2.0,1.0,43.0,18.0,25.0,11.0,5.0,6.0,9.0,,5.0,,20.0,1.0,1.0,1.0,1.0,57.0,2.0,8.0,73.0,5.0,23.0,12.0,1.0,,,88.0,13.0,12.0,0.8636363636363636,0.44,0.46153846153846156,0.44,0.375,0.54,0.6304347826086957,0.3424657534246575,0.041666666666666664,0.18181818181818182,,0.55,0.013605442176870748,,,0.008547008547008548,0.03333333333333333,0.052083333333333336,0.09259259259259259,0.09302325581395349,0.013513513513513514,0.5454545454545454,0.6666666666666666,0.16666666666666666,0.3,0.3,0.6666666666666666,0.136986301369863,0.2054794520547945,0.36666666666666664,0.36666666666666664,0.9090909090909091,0.125,,,0.125,0.6666666666666666,0.2,0.32,0.3125,0.36666666666666664,0.14545454545454545,0.20175438596491227,0.40930232558139534,24.387999999999998,11.0,1.0,2.0,7.0,,1.0,9.0,,,2.0,2.0,0.3333333333333333,,,0.55,0.55,0.8181818181818182,0.25,0.5,1.0,,0.7,5.0,1.0,0.0196078431372549,,,,,,,,True,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,38711.0,645,120.0,1268,1268,458.0,413,130.0,2536,81.0,30.0,75.0,46.0,109.0,145.0,265.0,495.0,1333,6.0,19.0,25.0,79.0,80.0,210.0,65.0,24.0,89.0,11.0,48.0,202.0,12.0,20.0,52.0,1.0,73.0,16.0,89.0,23.0,51.0,5.0,2.0,6.0,3.0,458.0,0.27586206896551724,0.27972027972027974,0.5471698113207547,0.3157894736842105,0.5367647058823529,0.25,0.5968137254901961,0.4032258064516129,32.696390658174096,0.02857142857142857,0.11016949152542373,0.030303030303030304,0.125,0.11392405063291139,0.029684601113172542,0.034722222222222224,0.1340782122905028,0.1271186440677966,0.5,0.23823529411764705,0.22058823529411764,0.3205882352941177,0.42201834862385323,0.42201834862385323,0.41304347826086957,0.2727272727272727,0.4588235294117647,0.48095088495575206,0.4687863636363637,0.47997660550458715,0.050505050505050504,10.290943396226416,0.361198738170347,53.0,2.0,8.0,19.0,46.0,4.0,,23.0,71.0,5.0,9.0,31.0,25.0,75.0,130.0,5.0,13.0,46.0,9.0,31.0,77.0,196.0,45.0,4.0,71.0,23.0,11.0,13.0,8.0,9.0,4.0,4.0,32.0,21.0,11.0,28.0,10.0,16.0,26.0,3.0,12.0,3.0,54.0,3.0,19.0,1.0,9.0,123.0,3.0,4.0,159.0,13.0,49.0,31.0,3.0,,1.0,196.0,9.0,29.0,0.6,0.3333333333333333,0.2903225806451613,0.3333333333333333,0.5822784810126582,0.5409090909090909,0.6333333333333333,0.22058823529411764,0.04150943396226415,0.07407407407407407,0.06666666666666667,0.5185185185185185,0.027972027972027972,0.038834951456310676,0.020134228187919462,0.017699115044247787,0.06666666666666667,0.0967741935483871,0.09345794392523364,0.11904761904761904,0.02564102564102564,0.654320987654321,0.7066666666666667,0.2830188679245283,0.6133333333333333,0.6571428571428571,0.13043478260869565,0.011764705882352941,0.2088235294117647,0.323943661971831,0.323943661971831,0.5652173913043478,0.3333333333333333,0.25,,0.20833333333333334,0.6333333333333333,,0.2818181818181818,0.2903225806451613,0.323943661971831,0.13527851458885942,0.16279069767441862,0.39595959595959596,25.45066666666667,2.0,,,,,,30.0,,,,,,,,0.5,0.5,1.0,,,,,,8.0,2.0,0.02631578947368421,1.0,1.0,1.0,,,,,True,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,7975.0,133,45.0,261,270,149.0,114,35.0,531,16.0,8.0,9.0,1.0,2.0,16.0,27.0,62.0,299,2.0,2.0,5.0,13.0,26.0,6.0,13.0,4.0,17.0,3.0,6.0,38.0,4.0,6.0,8.0,,14.0,5.0,19.0,4.0,14.0,1.0,1.0,1.0,,149.0,0.8125,0.8666666666666667,0.5925925925925926,1.0,0.7121212121212122,1.0,0.7380952380952381,0.8333333333333334,16.610169491525422,,0.08421052631578947,0.05555555555555555,0.17647058823529413,0.10852713178294573,0.0392156862745098,0.038461538461538464,0.08333333333333333,0.1724137931034483,,0.48484848484848486,0.2727272727272727,0.06060606060606061,0.5,0.5,1.0,0.5,0.6666666666666666,0.5143318181818182,0.4377,0.507996875,0.08064516129032258,4.488888888888889,0.5708812260536399,11.0,1.0,1.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,2.0,5.0,6.0,15.0,,1.0,9.0,2.0,3.0,11.0,35.0,12.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,,1.0,4.0,2.0,2.0,5.0,,4.0,3.0,,1.0,3.0,8.0,,6.0,1.0,,16.0,1.0,3.0,18.0,1.0,4.0,6.0,,,,35.0,4.0,4.0,0.8,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6923076923076923,0.75,0.7608695652173914,0.18181818181818182,0.07407407407407407,0.125,,0.625,,0.05263157894736842,0.07407407407407407,,,0.075,0.10526315789473684,0.2,0.1,0.6875,0.7857142857142857,0.7272727272727273,0.4444444444444444,0.4444444444444444,1.0,0.09090909090909091,0.09090909090909091,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,,,0.75,0.0625,0.125,0.5,0.6666666666666666,0.1111111111111111,0.13333333333333333,0.5645161290322581,23.849999999999998,3.0,,,1.0,,,3.0,,,,,,,,1.0,1.0,0.6666666666666666,,,,,1.0,,,,,,,1.0,0.08333333333333333,,,True,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,10728.0,179,34.0,361,363,208.0,223,40.0,724,3.0,3.0,1.0,6.0,15.0,6.0,19.0,60.0,383,1.0,1.0,5.0,10.0,12.0,,5.0,2.0,7.0,2.0,1.0,16.0,1.0,3.0,8.0,,11.0,1.0,12.0,5.0,9.0,2.0,2.0,3.0,3.0,208.0,1.0,1.0,0.3157894736842105,1.0,0.40625,0.8333333333333334,0.5,0.8333333333333334,15.479115479115478,,0.061068702290076333,0.009009009009009009,0.047619047619047616,0.05670103092783505,0.006369426751592357,0.023809523809523808,0.08695652173913043,0.05,1.0,0.0625,0.020833333333333332,0.3125,0.4,0.42857142857142855,1.0,0.11538461538461539,0.6666666666666666,0.4674458333333333,0.46192500000000003,0.4572115384615385,0.08333333333333333,16.910526315789475,0.5761772853185596,,,,,,6.0,5.0,7.0,23.0,2.0,2.0,11.0,9.0,29.0,21.0,2.0,,3.0,4.0,16.0,20.0,38.0,24.0,,23.0,7.0,3.0,,4.0,,,,5.0,3.0,2.0,3.0,,3.0,,,,,3.0,,2.0,,,16.0,1.0,3.0,25.0,,1.0,10.0,,,,38.0,3.0,10.0,0.8888888888888888,0.3103448275862069,0.25,0.3103448275862069,0.3,0.34615384615384615,0.5135135135135135,0.6041666666666666,0.15789473684210525,0.6666666666666666,,1.0,,,,,,0.05084745762711865,0.038461538461538464,0.043478260869565216,,,,,,,,0.125,0.4791666666666667,0.30434782608695654,0.3181818181818182,0.8571428571428571,,,,0.6666666666666666,,0.19230769230769232,0.4230769230769231,0.18181818181818182,0.30434782608695654,0.04,0.05,0.6333333333333333,25.0,2.0,,,2.0,1.0,1.0,3.0,,1.0,,,0.5,0.034482758620689655,0.043478260869565216,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,0.4,,1.0,0.03333333333333333,,1.0,1.0,,,0.06666666666666667,1.0,True,
2200,1610612747,Pau Gasol,Pau Gasol,2200,LAL,37705.0,628,127.0,1234,1233,442.0,413,128.0,2467,116.0,39.0,64.0,8.0,24.0,106.0,204.0,262.0,1291,21.0,35.0,49.0,63.0,142.0,70.0,44.0,12.0,56.0,9.0,23.0,124.0,31.0,25.0,74.0,10.0,109.0,43.0,152.0,32.0,46.0,30.0,27.0,31.0,17.0,442.0,0.6698113207547169,0.7717391304347826,0.5196078431372549,0.6,0.5196078431372549,0.6,0.5481171548117155,0.6282051282051282,19.50688905003626,0.3125,0.16122004357298475,0.07969151670951156,0.15723270440251572,0.16019417475728157,0.07824427480916031,0.10869565217391304,0.18181818181818182,0.1694915254237288,0.5483870967741935,0.5686274509803921,0.3137254901960784,0.11764705882352941,0.3333333333333333,0.3333333333333333,0.875,0.6190476190476191,0.5686274509803921,0.5006936274509804,0.5270903225806451,0.5131587301587301,0.18702290076335878,4.7063725490196076,0.3581847649918963,79.0,20.0,27.0,27.0,19.0,,,,,,,,,,50.0,,7.0,35.0,,,28.0,98.0,,28.0,,,14.0,3.0,7.0,14.0,10.0,7.0,7.0,4.0,3.0,23.0,4.0,12.0,7.0,,11.0,,30.0,1.0,15.0,3.0,,70.0,14.0,2.0,74.0,4.0,27.0,12.0,3.0,,1.0,98.0,9.0,11.0,,,,,0.5555555555555556,0.5555555555555556,0.5903614457831325,,0.06862745098039216,0.07758620689655173,0.078125,0.7666666666666667,0.07407407407407407,0.08737864077669903,0.0472972972972973,0.05454545454545454,0.16,0.1388888888888889,0.1650485436893204,0.12195121951219512,0.08333333333333333,0.6810344827586207,0.7383177570093458,0.6708860759493671,0.296875,0.3220338983050847,0.5789473684210527,,,,,,0.7714285714285715,0.7407407407407407,0.25,,0.6923076923076923,,,,,0.11894273127753303,0.11894273127753303,0.37404580152671757,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0392156862745098,,,True,
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,1107.0,18,-7.0,43,42,21.0,24,3.0,85,,,,,,,,9.0,53,,,3.0,,,,,,,,,,,,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,21.0,,,,,0.75,1.5,0.75,1.5,17.77777777777778,,0.07692307692307693,,,0.06666666666666667,,,,,1.0,,,,,,,,1.0,0.504075,,0.4790625,0.3333333333333333,,0.4883720930232558,,,,,,2.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,6.0,,1.0,,,2.0,4.0,,6.0,6.0,,4.0,3.0,,,,,,,1.0,,1.0,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,6.0,,,0.6666666666666666,0.5,0.5,0.5,,0.75,0.75,1.0,,,,1.0,,,,,,0.125,,,,,,,,,,0.3333333333333333,0.6666666666666666,0.75,0.75,0.6666666666666666,,,,1.0,,0.25,0.75,0.6666666666666666,0.75,,,0.6666666666666666,24.733333333333334,,,,,1.0,1.0,3.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,True,
2772,1610612747,Trevor Ariza,Trevor Ariza,2772,LAL,727.0,12,-1.0,24,24,1.0,2,4.0,48,1.0,,,1.0,2.0,2.0,3.0,4.0,26,1.0,1.0,2.0,,4.0,,,,,,,,,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.5,1.0,14.814814814814813,,0.14285714285714285,,0.25,0.18181818181818182,,,0.3333333333333333,,,0.25,,0.5,0.5,0.5,1.0,,0.5,0.5441750000000001,,,0.5,14.266666666666666,0.041666666666666664,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,0.25,,,,,,,,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
