EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Arc3FGA,FG3A,NonHeaveArc3FGA,BadPassTurnovers,ShootingFouls,FG3APct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Avg3ptShotDistance,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,Corner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,DefCorner3ReboundPct,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,NonShootingPenaltyNonTakeFouls,BadPassSteals,BlockedShortMidRange,OffLongMidRangeReboundPct,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,FTOffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedLongMidRange,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,Fg3aBlocked,Corner3Assists,OffThreePtRebounds,Loose Ball Fouls Drawn,Assisted3sPct,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Arc3PctAssisted,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,Travels,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,1024.0,17.0,-3.0,37,37,24.0,14.0,3.0,74,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,34,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,24.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.375,0.5,15.0,0.5,0.3333333333333333,0.125,0.1111111111111111,0.11764705882352941,0.3333333333333333,0.2,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.62715,0.849,0.3333333333333333,0.3333333333333333,1.0,8.9,0.6486486486486487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,276.0,5.0,-3.0,11,10,4.0,3.0,2.0,21,,,,,1.0,1.0,1.0,,2.0,11,,,,,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,4.0,,1.0,1.0,1.0,,0.5,,0.5,,23.076923076923077,1.0,,0.3333333333333333,,0.25,,,1.0,,,,,0.5,,,0.5,0.526075,,,,,21.6,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201156,1610612764,Nick Young,Nick Young,201156,WAS,1024.0,17.0,-3.0,37,37,24.0,14.0,3.0,74,1.0,2.0,1.0,1.0,5.0,1.0,7.0,3.0,5.0,34,1.0,4.0,3.0,5.0,,1.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,4.0,2.0,,,,,,5.0,24.0,,,,0.14285714285714285,0.25,0.1111111111111111,0.2,0.22727272727272727,0.35714285714285715,30.0,1.0,,,0.1111111111111111,0.058823529411764705,,0.2,,0.2222222222222222,0.5,0.5,,0.5555555555555556,0.2,1.0,0.4444444444444444,0.4859777777777777,0.47394,0.18181818181818182,0.2222222222222222,1.0,13.028571428571427,0.6486486486486487,,1.0,2.0,1.0,,1.0,0.2222222222222222,,,,,0.1111111111111111,24.65,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.125,0.08333333333333333,0.5,0.14285714285714285,0.1111111111111111,1.0,0.2,0.6099,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612764,DeShawn Stevenson,DeShawn Stevenson,2052,WAS,194.0,3.0,-1.0,7,7,,,1.0,14,,,,,,,,,,7,,,,,,,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,1610612764,Roger Mason Jr.,Roger Mason Jr.,2427,WAS,994.0,17.0,-2.0,36,36,23.0,13.0,3.0,72,1.0,2.0,1.0,2.0,3.0,5.0,6.0,4.0,14.0,33,3.0,4.0,2.0,8.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,2.0,,,2.0,4.0,1.0,1.0,,,,,8.0,23.0,1.0,0.2,0.2,0.8333333333333334,0.75,0.7142857142857143,0.6,0.7777777777777778,0.6666666666666666,28.205128205128204,0.5,0.3333333333333333,0.125,0.1111111111111111,0.11764705882352941,,,,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.4,0.5,0.42857142857142855,0.5087571428571429,0.5305,0.125,0.14285714285714285,0.5714285714285714,13.183333333333332,0.6388888888888888,3.0,1.0,1.0,1.0,1.0,,0.14285714285714285,0.25,1.0,1.0,0.3333333333333333,0.14285714285714285,26.0,,,,,1.0,8.0,1.0,,,,,,,,,,,,,0.4144,0.25,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.2,0.2857142857142857,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,30.0,,-1.0,1,1,1.0,1.0,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,30.0,,-1.0,1,1,1.0,1.0,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,1.0,0.2376,0.2376,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,28.8,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,1610612764,Darius Songaila,Darius Songaila,2443,WAS,310.0,5.0,-2.0,11,10,5.0,2.0,2.0,21,1.0,1.0,,,,1.0,1.0,2.0,4.0,12,,,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,,,,,,5.0,,1.0,1.0,1.0,,1.0,,1.0,,15.384615384615383,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,0.8376,,0.5,0.5,,0.1,0.45454545454545453,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200762,1610612764,Oleksiy Pecherov,Oleksiy Pecherov,200762,WAS,490.0,8.0,1.0,18,19,18.0,11.0,,37,,,,,1.0,,1.0,2.0,2.0,14,,1.0,2.0,2.0,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,,2.0,18.0,,,,,,,,0.5,0.5,11.11111111111111,,,,0.2,0.125,,0.3333333333333333,,,,,,1.0,,,,0.2888,0.2888,0.5,0.5,1.0,17.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201187,1610612764,Dominic McGuire,Dominic McGuire,201187,WAS,748.0,12.0,,26,27,20.0,11.0,1.0,53,,,,,,,,1.0,1.0,23,,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,2.0,,,,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,20.0,,,,,,,,0.5,0.5,3.7037037037037033,,,0.2,,0.07692307692307693,0.3333333333333333,,1.0,,,,,,,,,,,1.0,1.0,1.0,,0.7692307692307693,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,0.16666666666666666,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
