EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,ShortMidRangeAssists,FTOffRebounds,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3FGM,BadPassSteals,BlockedCorner3,Defensive 3 Seconds Violations,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,Travels,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,on,BlockedLongMidRange,3SecondViolations
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,6680.0,111,4,204,199,83.0,56.0,30,403,8.0,16.0,3.0,6.0,4.0,7.0,1.0,5.0,2.0,5.0,1.0,1.0,11.0,26.0,1.0,21.0,43.0,230,4.0,7.0,6.0,14.0,5.0,10.0,1.0,10.0,20.0,12.0,10.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,11.0,1.0,8.0,1.0,10.0,15.0,25.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,10.0,2.0,14.0,1.0,22.0,10.0,1.0,2.0,1.0,1.0,2.0,20.0,83.0,1.0,0.5454545454545454,0.6666666666666666,0.4230769230769231,0.5714285714285714,0.5,0.4074074074074074,0.5714285714285714,0.45454545454545453,0.5657894736842105,0.7,0.625,0.037037037037037035,0.07692307692307693,0.0625,0.2,16.59751037344398,0.5,0.5,0.10256410256410256,0.15714285714285714,0.07142857142857142,0.13793103448275862,0.09782608695652174,0.15151515151515152,0.22727272727272727,0.10526315789473684,0.13793103448275862,0.2857142857142857,0.14285714285714285,0.07407407407407407,0.10810810810810811,0.1,0.23076923076923078,0.5925925925925926,0.5,0.5333333333333333,0.5,0.18518518518518517,0.2,0.25,1.0,0.18518518518518517,0.4,0.4,0.5,0.037037037037037035,0.8571428571428571,0.5,0.3333333333333333,0.6363636363636364,0.5714285714285714,0.09090909090909091,0.6296296296296297,0.49291538461538464,0.5226333333333334,0.50066,0.2702702702702703,0.2777777777777778,0.32558139534883723,0.46511627906976744,5.949999999999999,57.4,0.4068627450980392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,12633.0,211,-36,387,386,110.0,83.0,58,773,11.0,16.0,2.0,3.0,2.0,3.0,8.0,18.0,18.0,39.0,17.0,6.0,37.0,73.0,18.0,42.0,134.0,454,7.0,13.0,3.0,17.0,6.0,15.0,7.0,20.0,38.0,46.0,28.0,4.0,,4.0,14.0,6.0,20.0,3.0,3.0,46.0,3.0,6.0,7.0,41.0,2.0,50.0,10.0,60.0,2.0,1.0,1.0,6.0,1.0,4.0,3.0,10.0,3.0,3.0,13.0,4.0,34.0,5.0,52.0,17.0,7.0,6.0,3.0,3.0,7.0,38.0,110.0,7.0,0.6216216216216216,0.6571428571428571,0.5068493150684932,0.5384615384615384,0.4,0.5054945054945055,0.4375,0.4090909090909091,0.5796460176991151,0.4411764705882353,0.578125,0.1978021978021978,0.0547945205479452,0.0625,0.05555555555555555,26.855895196506548,0.6,0.4,0.271523178807947,0.0425531914893617,0.2,0.05084745762711865,0.25806451612903225,0.045,0.02127659574468085,0.0625,0.04838709677419355,0.034482758620689655,0.26666666666666666,0.38,0.19718309859154928,0.25,0.045454545454545456,0.17582417582417584,0.6875,0.7333333333333333,0.6363636363636364,0.1978021978021978,0.4444444444444444,0.47058823529411764,0.25,0.42857142857142855,0.46153846153846156,0.4864864864864865,0.7777777777777778,0.18681318681318682,0.1875,0.6666666666666666,,0.13636363636363635,0.6666666666666666,0.2727272727272727,0.37362637362637363,0.4542653846153846,0.44483333333333336,0.42339318181818175,0.16981132075471697,0.19540229885057472,0.12686567164179105,0.2835820895522388,11.454794520547946,24.92222222222222,0.2842377260981912,1.0,1.0,1.0,6.0,2.0,2.0,6.0,3.0,2.0,15.0,3.0,17.0,6.0,3.0,10.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,0.8333333333333334,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.05128205128205128,0.07692307692307693,0.06666666666666667,0.09090909090909091,0.5714285714285714,0.01098901098901099,0.35294117647058826,0.35294117647058826,0.8333333333333334,0.0625,0.125,0.045454545454545456,0.3333333333333333,0.35294117647058826,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,True,,
1731,1610612742,Tyronn Lue,Tyronn Lue,1731,DAL,57.0,1,-1,2,1,2.0,,2,3,,,,,,,,1.0,,,,,,1.0,,,,3,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,25.0,,,,0.5,,,,0.5,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,0.3717,,0.3717,,,,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,9659.0,161,-21,296,293,96.0,67.0,46,589,7.0,11.0,,,4.0,4.0,1.0,6.0,3.0,7.0,20.0,8.0,11.0,24.0,29.0,11.0,69.0,347,,,4.0,4.0,5.0,10.0,9.0,4.0,29.0,14.0,8.0,,,,14.0,9.0,23.0,1.0,6.0,55.0,1.0,,1.0,4.0,,5.0,1.0,6.0,1.0,2.0,,3.0,,,2.0,3.0,,4.0,14.0,,9.0,,13.0,6.0,1.0,,,,1.0,29.0,96.0,1.0,0.6363636363636364,0.6363636363636364,0.4583333333333333,,0.5,0.5471698113207547,,0.6578947368421053,0.5847457627118644,0.4,0.6904761904761905,0.5471698113207547,,,,17.51412429378531,1.0,,0.035398230088495575,,0.041666666666666664,0.019230769230769232,0.0364963503649635,0.006329113924050633,,,,0.041666666666666664,,,0.07547169811320754,,0.034482758620689655,0.20754716981132076,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.11320754716981132,0.16666666666666666,0.16666666666666666,,0.1320754716981132,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.37735849056603776,,,,0.21052631578947367,1.0,0.42105263157894735,0.7547169811320755,0.5216867924528301,0.59235,0.5127105263157895,0.10344827586206896,0.20689655172413793,0.057971014492753624,0.42028985507246375,8.054166666666665,24.148275862068964,0.32432432432432434,9.0,1.0,1.0,10.0,2.0,5.0,12.0,3.0,5.0,36.0,,20.0,10.0,8.0,8.0,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,0.41379310344827586,0.5555555555555556,0.41379310344827586,,,,0.14285714285714285,1.0,0.16981132075471697,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.05263157894736842,0.625,0.5,,2.0,2.0,1.0,1.0,0.2222222222222222,0.2222222222222222,1.0,,,,,,,,,,,,,,True,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,5290.0,88,-27,160,160,41.0,36.0,23,320,4.0,8.0,,2.0,1.0,3.0,1.0,3.0,5.0,12.0,3.0,,10.0,23.0,11.0,5.0,28.0,200,1.0,4.0,,2.0,1.0,6.0,3.0,,2.0,14.0,6.0,,,3.0,3.0,2.0,5.0,,2.0,12.0,1.0,3.0,4.0,6.0,,10.0,4.0,14.0,1.0,1.0,1.0,2.0,,3.0,1.0,5.0,,1.0,8.0,1.0,7.0,,5.0,3.0,,,,,,2.0,41.0,,0.7,0.7,0.43478260869565216,0.25,0.16666666666666666,0.3382352941176471,0.2,0.1111111111111111,0.3888888888888889,0.2,0.1111111111111111,0.3235294117647059,0.13043478260869565,0.25,0.3333333333333333,21.92513368983957,0.4,,0.12244897959183673,0.058823529411764705,0.2222222222222222,0.043478260869565216,0.14925373134328357,0.05405405405405406,0.0625,0.09090909090909091,0.041666666666666664,0.07692307692307693,,0.10526315789473684,0.19047619047619047,0.08333333333333333,0.05555555555555555,0.23529411764705882,0.5,0.6666666666666666,0.75,0.08823529411764706,0.3333333333333333,0.5,,0.35294117647058826,0.4166666666666667,0.4166666666666667,0.8,0.08823529411764706,0.4,,,0.3333333333333333,0.3333333333333333,,0.5588235294117647,0.49631764705882353,0.48439999999999994,0.4860055555555555,0.08333333333333333,0.12,0.07142857142857142,0.07142857142857142,10.665217391304349,23.481818181818177,0.25625,8.0,1.0,3.0,1.0,,,1.0,1.0,,3.0,,3.0,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,,,,,,3.0,1.0,0.09090909090909091,,0.09090909090909091,,,,0.5,,0.23529411764705882,0.3333333333333333,0.3333333333333333,1.0,0.2,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,True,,
1904,1610612742,Devean George,Devean George,1904,DAL,2872.0,48,2,85,87,41.0,26.0,14,172,5.0,5.0,2.0,2.0,1.0,1.0,,1.0,,2.0,5.0,3.0,5.0,8.0,11.0,3.0,25.0,98,2.0,2.0,,4.0,1.0,4.0,6.0,3.0,14.0,4.0,6.0,4.0,,1.0,,,,,,,1.0,2.0,,10.0,,10.0,3.0,13.0,,2.0,,2.0,,1.0,,3.0,2.0,3.0,7.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,,1.0,14.0,41.0,1.0,0.4,0.6666666666666666,0.625,1.0,0.25,0.5789473684210527,1.0,0.55,0.5952380952380952,1.0,0.5833333333333334,0.5789473684210527,0.125,,1.0,23.52941176470588,0.6666666666666666,,0.25,0.08,,0.058823529411764705,0.22727272727272727,0.07142857142857142,,0.16666666666666666,0.09090909090909091,,0.3333333333333333,0.25,0.2222222222222222,,,0.2631578947368421,1.0,1.0,0.4,0.05263157894736842,,,,0.10526315789473684,,,,0.2631578947368421,1.0,1.0,,0.1,1.0,0.3,0.8421052631578947,0.5210578947368422,0.4684,0.489595,0.1,0.2222222222222222,0.16,0.56,5.3375,23.9,0.4823529411764706,6.0,,3.0,4.0,,3.0,4.0,,3.0,12.0,,5.0,4.0,,,,,2.0,,,,,1.0,,,,,,2.0,1.0,0.36363636363636365,0.5,0.36363636363636365,,,0.125,,,0.3157894736842105,0.8,0.8,1.0,,,0.3,1.0,0.8,,,2.0,,,,,,1.0,,,,,,,,,,,,,True,,
224,1610612742,Eddie Jones,Eddie Jones,224,DAL,629.0,10,-16,20,23,5.0,22.0,1,43,,1.0,,,,,,,,,,,,1.0,1.0,,,35,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,0.5,1.0,1.0,,9.523809523809524,,,0.5,,,,0.2857142857142857,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,1.0,0.5523750000000001,,,,,,,,22.8,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,9296.0,155,-22,285,285,60.0,46.0,40,570,9.0,20.0,,4.0,,4.0,5.0,14.0,5.0,22.0,3.0,2.0,19.0,56.0,8.0,17.0,58.0,318,,7.0,4.0,7.0,1.0,13.0,2.0,6.0,11.0,14.0,24.0,,,8.0,5.0,2.0,7.0,,3.0,16.0,2.0,9.0,5.0,11.0,,16.0,11.0,27.0,4.0,1.0,1.0,5.0,,4.0,3.0,9.0,1.0,5.0,10.0,,16.0,,21.0,7.0,2.0,1.0,,1.0,1.0,11.0,60.0,2.0,0.3684210526315789,0.3684210526315789,0.3392857142857143,,0.07692307692307693,0.3203125,0.1875,0.16666666666666666,0.3918918918918919,0.35,0.3055555555555556,0.125,0.14285714285714285,0.25,0.14285714285714285,24.850299401197606,0.5555555555555556,,0.08870967741935484,0.07964601769911504,0.17857142857142858,0.05405405405405406,0.10526315789473684,0.07333333333333333,0.13157894736842105,0.043478260869565216,0.057692307692307696,,0.08333333333333333,0.10810810810810811,0.07936507936507936,0.1,0.1111111111111111,0.3125,0.45,0.6,0.3333333333333333,0.21875,0.35714285714285715,0.4166666666666667,0.6,0.34375,0.22727272727272727,0.23809523809523808,0.2,0.046875,0.5,,,0.26666666666666666,,0.13333333333333333,0.4375,0.48096015624999994,0.43027999999999994,0.42433666666666675,0.1111111111111111,0.1111111111111111,0.1206896551724138,0.1896551724137931,9.416071428571428,24.025,0.21052631578947367,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,2.0,2.0,,,2.0,2.0,2.0,,1.0,,,1.0,,,1.0,2.0,1.0,0.125,0.5,0.125,0.045454545454545456,,0.09090909090909091,0.375,1.0,0.078125,0.3333333333333333,0.3333333333333333,1.0,,0.125,,0.5,0.3333333333333333,0.1111111111111111,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,10588.0,176,-14,326,324,89.0,63.0,49,650,5.0,11.0,2.0,3.0,,1.0,,,5.0,14.0,7.0,4.0,10.0,25.0,13.0,5.0,43.0,375,3.0,4.0,,12.0,,2.0,7.0,2.0,14.0,10.0,10.0,2.0,,2.0,25.0,9.0,34.0,,10.0,77.0,1.0,5.0,3.0,21.0,,24.0,8.0,32.0,3.0,7.0,1.0,6.0,3.0,3.0,3.0,9.0,2.0,5.0,12.0,,10.0,1.0,8.0,2.0,2.0,2.0,2.0,,2.0,14.0,89.0,2.0,0.5,0.5555555555555556,0.4,0.75,,0.5,1.0,0.6666666666666666,0.5119047619047619,1.0,0.6363636363636364,0.34210526315789475,0.08,0.18181818181818182,,13.212435233160623,0.6666666666666666,,0.16279069767441862,0.04132231404958678,0.10344827586206896,0.020833333333333332,0.1518987341772152,0.03550295857988166,0.07317073170731707,,0.03636363636363636,,0.15384615384615385,0.09090909090909091,0.22033898305084745,0.10526315789473684,0.15789473684210525,0.2894736842105263,0.45454545454545453,0.5555555555555556,0.4,,,,,0.3684210526315789,0.35714285714285715,0.35714285714285715,0.6,0.18421052631578946,0.5,0.6666666666666666,0.5,0.1111111111111111,,0.4444444444444444,0.631578947368421,0.5082842105263158,0.5499583333333333,0.5251833333333332,0.05,0.07407407407407407,0.27906976744186046,0.32558139534883723,11.196000000000002,23.73076923076923,0.27300613496932513,6.0,1.0,3.0,3.0,1.0,2.0,6.0,2.0,4.0,18.0,,7.0,3.0,9.0,10.0,5.0,2.0,3.0,,1.0,,2.0,,,,,,1.0,3.0,1.0,0.46153846153846156,0.5714285714285714,0.46153846153846156,,0.2,0.043478260869565216,0.1,0.5,0.15789473684210525,0.42857142857142855,0.42857142857142855,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.42857142857142855,,3.0,6.0,,,0.5,0.5,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,,True,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,97.0,2,-7,3,3,,,1,6,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
