EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,AtRimAssists,Steals,BadPassSteals,Blocked3s,BlockedCorner3,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFG2M,PtsPutbacks,NonHeaveArc3FGM,DeadBallTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,BlockedAtRim,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,AtRimPctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Offensive Fouls Drawn,Technical Free Throw Trips,Corner3Assists,SecondChanceArc3FGA,PtsUnassisted3s,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,DefFTReboundPct,DefArc3ReboundPct,SecondChanceArc3Frequency,LostBallSteals,on,BlockedLongMidRange,3SecondViolations,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,ShortMidRangeAssists,FTOffRebounds,ThreePtShootingFoulsDrawn,BlockedArc3,LongMidRangePctBlocked,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,Travels,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,390.0,6,1.0,11,11,11.0,10.0,22,12,1.0,1.0,1.0,2.0,2.0,2.0,2.0,11.0,18.181818181818183,1.0,0.2,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,2302.0,38,-2.0,70,72,38.0,22.0,142,81,3.0,4.0,9.0,,,,,38.0,20.731707317073173,,0.1,0.12121212121212122,0.07692307692307693,0.5428571428571428,10.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,11.0,1.0,11.0,19.0,1.0,2.0,2.0,3.0,4.0,1.0,7.0,13.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,7.0,1.0,11.0,1.0,5.0,1.0,1.0,1.0,1.0,13.0,1.0,0.25,0.25,0.36363636363636365,0.75,0.3333333333333333,0.6,0.5588235294117647,0.5,0.8125,0.08333333333333333,0.09090909090909091,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.15151515151515152,0.14285714285714285,0.23076923076923078,0.2,0.16666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.25,0.25,1.0,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.08333333333333333,1.0,0.2,1.0,0.2,0.4166666666666667,0.4305727272727273,0.5486,0.4192,0.3125,0.3333333333333333,0.10526315789473684,0.6842105263157895,9.745454545454544,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,2646.0,44,,81,79,41.0,27.0,160,95,,1.0,1.0,,,,,41.0,14.73684210526316,,,0.02702702702702703,,0.5061728395061729,11.0,2.0,3.0,,2.0,2.0,,,2.0,2.0,4.0,2.0,4.0,5.0,6.0,6.0,20.0,,2.0,5.0,2.0,2.0,3.0,2.0,9.0,4.0,4.0,,,3.0,8.0,,21.0,,,1.0,,,,1.0,4.0,,7.0,1.0,3.0,1.0,,,1.0,9.0,1.0,0.5,0.5,0.8,1.0,0.6363636363636364,0.7,0.7142857142857143,1.25,0.75,0.5454545454545454,,,,0.2,,,,,,,0.5,,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,,0.18181818181818182,1.0,1.0,0.36363636363636365,,0.4,1.0,0.4,0.8181818181818182,0.5122363636363637,0.46785,0.5317099999999999,0.23076923076923078,0.42857142857142855,0.25,0.45,7.919999999999999,24.23333333333333,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.5,1.0,1.0,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,3746.0,62,4.0,111,114,55.0,46.0,225,128,11.0,11.0,15.0,2.0,2.0,3.0,2.0,55.0,25.0,0.6666666666666666,0.23404255319148937,0.21153846153846154,0.2222222222222222,0.4954954954954955,17.0,6.0,8.0,4.0,1.0,1.0,,3.0,1.0,5.0,6.0,4.0,7.0,16.0,12.0,3.0,29.0,4.0,,4.0,2.0,7.0,7.0,3.0,16.0,6.0,8.0,,3.0,,,,,1.0,3.0,,4.0,,3.0,7.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,16.0,1.0,0.42857142857142855,0.6,0.4375,0.2857142857142857,0.4642857142857143,0.4642857142857143,0.48333333333333334,0.5,0.5,0.42857142857142855,0.1875,0.6666666666666666,0.08333333333333333,,0.05263157894736842,0.07272727272727272,,0.125,,0.23809523809523808,,,0.2857142857142857,0.75,0.8571428571428571,0.5,0.10714285714285714,,,0.17857142857142858,0.2,0.2,0.21428571428571427,1.0,0.07142857142857142,1.0,0.2857142857142857,0.7142857142857143,0.48581964285714285,0.4908333333333333,0.4547857142857143,0.06896551724137931,0.11764705882352941,0.13793103448275862,0.5517241379310345,7.5,23.933333333333337,,6.0,,,,3.0,4.0,,,3.0,12.0,6.0,,,,2.0,2.0,,,,,1.0,0.3333333333333333,,0.42857142857142855,0.3333333333333333,0.5,,,0.21428571428571427,,,,,,,0.21428571428571427,,2.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,0.5,0.125,0.1,0.1,0.25,0.6666666666666666,0.6666666666666666,1.0,0.5,0.75,0.6666666666666666,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
2124,1610612742,Malik Allen,Malik Allen,2124,DAL,608.0,10,7.0,18,18,11.0,17.0,36,17,,,,,,,,11.0,,,,,,0.6111111111111112,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
224,1610612742,Eddie Jones,Eddie Jones,224,DAL,659.0,11,3.0,19,21,6.0,20.0,40,17,2.0,2.0,2.0,,,,,6.0,14.285714285714286,,0.25,0.2222222222222222,,0.3157894736842105,2.0,,,,,,1.0,1.0,,,2.0,,1.0,1.0,2.0,1.0,6.0,,,,1.0,1.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,3.0,,,,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,,1.0,0.6666666666666666,,,,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,,,,,0.6666666666666666,0.43546666666666667,,0.3752,,,,0.5,6.0,24.9,,,,,,,1.0,,,,3.0,2.0,,,,,,,,,,1.0,0.5,,,0.5,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,0.5,0.5,1.0,,,0.5,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,459.0,8,8.0,14,14,9.0,14.0,28,12,,,,,,,,9.0,18.75,,,,,0.6428571428571429,2.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,3.0,,,,,,2.0,2.0,2.0,,4.0,,,2.0,,,,1.0,2.0,,,,,,,0.16666666666666666,,0.16666666666666666,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.4404,,0.4404,,,,1.0,7.4,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,2872.0,48,2.0,85,87,41.0,26.0,172,98,9.0,12.0,15.0,2.0,1.0,5.0,3.0,41.0,31.372549019607842,0.4,0.225,0.25,0.3125,0.4823529411764706,14.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,7.0,7.0,5.0,6.0,14.0,8.0,9.0,33.0,4.0,1.0,7.0,4.0,7.0,6.0,3.0,17.0,8.0,4.0,,1.0,3.0,5.0,2.0,12.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,7.0,1.0,11.0,1.0,4.0,2.0,2.0,2.0,2.0,17.0,2.0,0.6666666666666666,0.8,0.42857142857142855,0.5714285714285714,0.5454545454545454,0.5384615384615384,0.6111111111111112,0.5,0.5666666666666667,0.36363636363636365,0.07142857142857142,,0.08,0.5,0.058823529411764705,0.07142857142857142,0.125,,0.1111111111111111,0.16666666666666666,,0.09090909090909091,0.18181818181818182,0.5,0.6666666666666666,0.5,0.13636363636363635,0.3333333333333333,0.3333333333333333,0.3181818181818182,0.42857142857142855,0.42857142857142855,0.3181818181818182,0.16666666666666666,0.23076923076923078,0.6666666666666666,0.38461538461538464,0.5454545454545454,0.4385931818181818,0.46497499999999997,0.4412961538461539,0.16,0.23529411764705882,0.21212121212121213,0.5151515151515151,10.878571428571428,24.925,,1.0,,1.0,,1.0,4.0,,2.0,2.0,9.0,7.0,2.0,1.0,1.0,,,,,,,0.75,0.5,,0.3333333333333333,0.5,0.5,,1.0,0.045454545454545456,,,,0.16666666666666666,,,0.07692307692307693,,1.0,4.0,2.0,3.0,2.0,4.0,3.0,,1.0,,2.0,0.75,0.25,0.16666666666666666,,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.75,1.0,0.4,0.5714285714285714,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5,0.6666666666666666,0.16666666666666666,,True,,,,,,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,921.0,15,,26,28,4.0,11.0,54,26,2.0,2.0,2.0,,,,,4.0,6.666666666666667,,0.11764705882352941,0.10526315789473684,,0.15384615384615385,4.0,,1.0,,,1.0,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.18181818181818182,,,0.5,,,,,,,0.5,,,,,1.0,,,0.5,0.5218499999999999,,0.6546,,,,,9.55,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,1856.0,31,2.0,55,57,29.0,16.0,112,67,3.0,3.0,4.0,1.0,,2.0,,29.0,13.432835820895521,0.5,0.11538461538461539,0.11538461538461539,,0.5272727272727272,10.0,2.0,3.0,,,,,,1.0,3.0,1.0,1.0,3.0,6.0,1.0,,9.0,,,,,1.0,1.0,,3.0,4.0,2.0,,,4.0,6.0,2.0,14.0,,1.0,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,3.0,,0.6666666666666666,0.6666666666666666,0.5,,0.6428571428571429,0.75,0.6428571428571429,,0.75,0.14285714285714285,,,0.05555555555555555,,,0.037037037037037035,0.16666666666666666,,,0.18181818181818182,,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,,,,0.5,0.5714285714285714,0.5228571428571429,,0.44989999999999997,,,,0.3333333333333333,9.966666666666667,24.5,,,,,,,1.0,,,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,
