EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Arc3Assists,AtRimAssists,LongMidRangeAssists,DefThreePtRebounds,BadPassTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,ShortMidRangeFGM,Fg2aBlocked,FTDefRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,BlockedShortMidRange,LongMidRangePctBlocked,OffArc3ReboundPct,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,on,HeaveAttempts,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,Travels,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,59.0,1,3,2,2,2.0,2.0,1.0,4,2,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,3636.0,61,-26,111,111,28.0,35.0,18.0,222,141,28.0,0.25225225225225223,4.0,6.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,6.0,13.0,7.0,19.0,3.0,4.0,2.0,8.0,1.0,2.0,2.0,4.0,2.0,10.0,6.0,1.0,1.0,1.0,3.0,2.0,8.0,3.0,3.0,10.0,13.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,6.0,1.0,7.0,1.0,8.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,0.16666666666666666,0.3333333333333333,0.46153846153846156,0.75,0.5,0.46153846153846156,0.75,0.5,0.5588235294117647,0.8,0.6666666666666666,15.267175572519083,0.3333333333333333,0.1,0.22857142857142856,0.125,0.07894736842105263,0.19607843137254902,0.36363636363636365,0.26666666666666666,0.25,0.16666666666666666,0.13333333333333333,0.14285714285714285,0.46153846153846156,0.6666666666666666,0.6666666666666666,0.15384615384615385,0.38461538461538464,0.4,0.4,0.5,1.0,0.75,0.5,1.0,0.46153846153846156,0.47633846153846154,0.571925,0.434,0.23529411764705882,0.23529411764705882,0.42105263157894735,0.21052631578947367,8.46923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,3273.0,55,-11,98,93,34.0,24.0,19.0,191,121,34.0,0.3469387755102041,5.0,7.0,1.0,1.0,2.0,3.0,2.0,,3.0,5.0,12.0,4.0,29.0,1.0,1.0,2.0,7.0,2.0,6.0,2.0,15.0,4.0,6.0,,3.0,7.0,,17.0,,,2.0,3.0,,3.0,,,,,2.0,1.0,1.0,1.0,3.0,,2.0,3.0,,3.0,,5.0,2.0,,,,1.0,,15.0,0.4,0.4,0.4166666666666667,1.0,0.3333333333333333,0.5681818181818182,0.8333333333333334,0.5909090909090909,0.6041666666666666,0.875,0.625,22.5,0.6666666666666666,0.07142857142857142,,,0.08571428571428572,,,,,,0.14285714285714285,,0.3181818181818182,0.7142857142857143,0.7142857142857143,0.09090909090909091,0.13636363636363635,,,,0.3333333333333333,1.0,0.2727272727272727,0.6666666666666666,0.7727272727272727,0.48885681818181814,0.51865,0.4613045454545455,0.08695652173913043,0.15384615384615385,0.2413793103448276,0.5172413793103449,6.333333333333333,1.0,3.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,2.0,4.0,5.0,10.0,1.0,2.0,3.0,5.0,12.0,3.0,7.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.5,0.6,0.5,0.45454545454545453,0.14285714285714285,0.5,1.0,0.4,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.3181818181818182,0.5714285714285714,0.5714285714285714,0.75,0.3333333333333333,1.0,1.0,0.3333333333333333,0.09090909090909091,1.0,0.36363636363636365,0.5,0.5714285714285714,24.500000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2124,1610612742,Malik Allen,Malik Allen,2124,DAL,476.0,8,-4,13,12,2.0,2.0,4.0,25,15,2.0,0.15384615384615385,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,5.88235294117647,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.4031,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,6142.0,102,-32,186,185,46.0,44.0,30.0,371,229,46.0,0.24731182795698925,4.0,9.0,,2.0,1.0,3.0,3.0,5.0,14.0,10.0,26.0,5.0,31.0,1.0,4.0,,2.0,1.0,6.0,,5.0,14.0,6.0,,2.0,6.0,,14.0,1.0,3.0,6.0,12.0,4.0,16.0,1.0,1.0,,1.0,4.0,,3.0,2.0,7.0,,2.0,9.0,1.0,7.0,,5.0,3.0,,,,,,5.0,0.7,0.7,0.38461538461538464,0.25,0.16666666666666666,0.34210526315789475,0.2,0.25,0.3875,0.2,0.25,21.363636363636363,0.5714285714285714,0.1016949152542373,0.046875,0.037037037037037035,0.12987012987012986,0.04395604395604396,0.05,0.03225806451612903,0.07142857142857142,,0.14285714285714285,0.05,0.23684210526315788,0.4444444444444444,0.6666666666666666,0.07894736842105263,0.3684210526315789,0.35714285714285715,0.35714285714285715,0.8,0.4,,0.3,0.3333333333333333,0.5526315789473685,0.4904394736842105,0.48439999999999994,0.48423499999999997,0.075,0.10714285714285714,0.06451612903225806,0.16129032258064516,10.892307692307694,,8.0,,1.0,,3.0,2.0,4.0,,1.0,1.0,2.0,12.0,,1.0,1.0,4.0,6.0,,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,,,,,,1.0,0.16666666666666666,,0.25,0.16666666666666666,0.3157894736842105,0.2222222222222222,0.5,,0.75,0.21052631578947367,,,,0.10526315789473684,0.5,0.5,1.0,0.2,,,,0.3,,0.1,1.0,0.5,23.60833333333333,1.0,4.0,2.0,1.0,1.0,2.0,3.0,0.15384615384615385,0.3333333333333333,0.3333333333333333,0.4,0.07692307692307693,0.1,0.08333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,True,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,5290.0,88,-27,160,160,41.0,36.0,23.0,320,200,41.0,0.25625,4.0,7.0,1.0,1.0,1.0,2.0,7.0,6.0,13.0,14.0,27.0,21.0,61.0,2.0,3.0,2.0,6.0,2.0,5.0,8.0,18.0,18.0,10.0,2.0,2.0,7.0,1.0,16.0,2.0,3.0,15.0,20.0,5.0,25.0,1.0,,,,3.0,,2.0,1.0,5.0,1.0,,7.0,3.0,18.0,2.0,29.0,8.0,2.0,1.0,,3.0,,18.0,0.6428571428571429,0.6923076923076923,0.5185185185185185,0.6666666666666666,0.4,0.5714285714285714,0.5,0.5555555555555556,0.6145833333333334,0.5,0.6538461538461539,28.34224598930481,0.6,0.30612244897959184,0.058823529411764705,0.08695652173913043,0.29850746268656714,0.06756756756756757,0.0625,0.041666666666666664,0.07692307692307693,0.3333333333333333,0.14285714285714285,0.07692307692307693,0.2,0.5714285714285714,0.6666666666666666,0.2,0.37142857142857144,0.46153846153846156,0.5454545454545454,0.6666666666666666,0.25,1.0,0.2222222222222222,0.5,0.42857142857142855,0.4714914285714286,0.4547,0.47192222222222213,0.20454545454545456,0.22857142857142856,0.09836065573770492,0.29508196721311475,10.825925925925924,,,,,,,4.0,8.0,1.0,2.0,4.0,4.0,8.0,,1.0,2.0,4.0,9.0,3.0,8.0,4.0,5.0,1.0,4.0,,5.0,2.0,,4.0,1.0,,2.0,4.0,0.75,0.5,,0.5,0.5,0.22857142857142856,0.2777777777777778,0.16666666666666666,0.6666666666666666,0.75,,,,,0.22857142857142856,0.5,0.5,0.75,,,,0.25,,,0.4444444444444444,0.5,0.5,24.85,4.0,4.0,,1.0,,1.0,2.0,0.14814814814814814,0.14285714285714285,0.14285714285714285,,0.09090909090909091,0.47368421052631576,0.3333333333333333,0.5714285714285714,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,0.15384615384615385,0.1,0.5,0.1111111111111111,,,,True,,,,,,,,
1731,1610612742,Tyronn Lue,Tyronn Lue,1731,DAL,134.0,2,2,5,4,5.0,3.0,3.0,9,6,5.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,3.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,0.3333333333333333,,,0.25,,,,,,1.0,,,,1.0,,,,,,,,,,0.3717,,0.3717,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,1348.0,22,3,38,40,21.0,10.0,8.0,78,50,21.0,0.5526315789473685,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,,3.0,5.0,,12.0,1.0,1.0,,2.0,1.0,3.0,,5.0,4.0,2.0,2.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,3.0,,2.0,,1.0,1.0,1.0,,,1.0,,5.0,0.6666666666666666,1.0,0.6,1.0,0.3333333333333333,0.5454545454545454,1.0,0.35714285714285715,0.5454545454545454,1.0,0.35714285714285715,22.448979591836736,,0.08333333333333333,,0.1,0.07142857142857142,0.047619047619047616,,,,0.5,,,0.2727272727272727,1.0,1.0,0.18181818181818182,,,,,1.0,1.0,0.14285714285714285,1.0,0.8181818181818182,0.521059090909091,,0.49846428571428575,0.09090909090909091,0.2,0.16666666666666666,0.4166666666666667,3.1,,3.0,,,,2.0,2.0,3.0,,1.0,2.0,2.0,6.0,,,1.0,4.0,6.0,,3.0,2.0,,,,,,,1.0,,,,,,1.0,0.3333333333333333,,0.25,0.3333333333333333,0.5454545454545454,,,,0.6666666666666666,0.2727272727272727,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,,,,,0.2857142857142857,,0.2857142857142857,0.5,0.6666666666666666,23.816666666666666,,2.0,,,,,1.0,0.4,,1.0,,,,,,,,,,,,1.0,,0.2,,,,,,True,,,,,,,,
224,1610612742,Eddie Jones,Eddie Jones,224,DAL,169.0,3,-5,7,7,3.0,7.0,,14,13,3.0,0.42857142857142855,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.5523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,3661.0,61,-29,112,111,10.0,17.0,14.0,223,129,10.0,0.08928571428571429,3.0,6.0,,1.0,,,4.0,3.0,10.0,8.0,20.0,5.0,21.0,,3.0,2.0,2.0,,3.0,,,8.0,8.0,,,,,,,4.0,8.0,11.0,4.0,15.0,1.0,,,,3.0,,1.0,2.0,4.0,,1.0,3.0,,4.0,,6.0,3.0,2.0,1.0,,2.0,,,0.5,0.5,0.4,,,0.3333333333333333,,,0.3888888888888889,0.2,,24.603174603174605,0.75,0.19047619047619047,0.0975609756097561,,0.16666666666666666,0.07692307692307693,0.25,0.041666666666666664,,0.2857142857142857,0.17391304347826086,0.07142857142857142,0.25,0.5,0.6,0.16666666666666666,0.4166666666666667,0.3,0.3,,0.25,,,,0.4166666666666667,0.4733125,0.42843749999999997,0.3408,0.1111111111111111,0.13043478260869565,0.09523809523809523,,11.105,,1.0,,,,,,3.0,1.0,,,,4.0,,1.0,,,,,3.0,,,,,,1.0,1.0,,,,,2.0,,,,,,,0.16666666666666666,0.08333333333333333,,1.0,0.6666666666666666,0.041666666666666664,,,,0.125,,,,,,,0.25,,,,,,24.925,2.0,1.0,2.0,1.0,1.0,,1.0,0.05,0.16666666666666666,,1.0,,0.16666666666666666,0.125,0.5,0.5,,,,,,1.0,,,1.0,,,,,True,,,,,,,,
