EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,Corner3PctBlocked,on
136,1610612738,P.J. Brown,P.J. Brown,136,BOS,14326.0,239,-16,427,432,175,175,54,859,6.0,12.0,2.0,4.0,2.0,6.0,4.0,9.0,8.0,12.0,1.0,1.0,1.0,18,33,1.0,16.0,52,469,4.0,7.0,1.0,3.0,11.0,8.0,13,1.0,6.0,22,32,4.0,4.0,1.0,3.0,8.0,1.0,9.0,1.0,5.0,2.0,1.0,19.0,2.0,12.0,6.0,15.0,6.0,27,14.0,41,2.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,9.0,1.0,3.0,24.0,36,1.0,2.0,15,1.0,2.0,18,8.0,1.0,6.0,6.0,6.0,3.0,2.0,3.0,1.0,22,175,1.0,1.0,0.8888888888888888,1.0,0.5454545454545454,0.5714285714285714,0.6153846153846154,0.5294117647058824,0.5,0.5714285714285714,0.6046511627906976,0.55,0.6470588235294118,0.029411764705882353,0.09090909090909091,0.16666666666666666,0.1111111111111111,10.677618069815194,0.3333333333333333,0.2608695652173913,0.10869565217391304,0.08450704225352113,0.11538461538461539,0.045454545454545456,0.11052631578947368,0.07526881720430108,0.022222222222222223,0.125,0.1076923076923077,0.02702702702702703,0.14285714285714285,0.05714285714285714,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.25,0.5,0.35294117647058826,0.5,0.6,0.6666666666666666,0.2647058823529412,0.4444444444444444,0.5,1.0,0.35294117647058826,0.6666666666666666,0.6666666666666666,1.0,0.029411764705882353,0.5,0.5,0.125,0.42857142857142855,0.3333333333333333,0.07142857142857142,0.38235294117647056,0.45922500000000005,0.5045583333333333,0.4359464285714285,0.19047619047619047,0.1951219512195122,0.21153846153846154,0.4230769230769231,9.303030303030301,25.0,0.4098360655737705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,59381.0,990,135,1787,1787,553,575,241,3574,55.0,101.0,7.0,13.0,10.0,24.0,23.0,48.0,42.0,102.0,111.0,13.0,27.0,120,251,119.0,142.0,511,1845,9.0,19.0,14.0,9.0,42.0,31.0,68,31.0,91.0,189,90,150.0,8.0,110.0,22.0,97.0,22.0,119.0,12.0,39.0,22.0,36.0,260.0,3.0,18.0,26.0,73.0,9.0,108,21.0,129,28.0,17.0,11.0,46.0,25.0,36.0,21.0,4.0,82.0,4.0,23.0,43.0,90,1.0,11.0,161,3.0,12.0,177,58.0,34.0,7.0,4.0,8.0,7.0,2.0,1.0,4.0,189,553,17.0,34.0,0.375,0.3879310344827586,0.47808764940239046,0.47368421052631576,0.45588235294117646,0.49864864864864866,0.5,0.494949494949495,0.5629139072847682,0.5384615384615384,0.618421052631579,0.3216216216216216,0.08764940239043825,0.13861386138613863,0.08333333333333333,25.958272683163514,0.5609756097560976,0.14754098360655737,0.12026359143327842,0.0288,0.11926605504587157,0.015625,0.12,0.025703794369645042,0.0593607305936073,0.018292682926829267,0.008264462809917356,0.019230769230769232,,0.10227272727272728,0.14084507042253522,0.12110726643598616,0.12138728323699421,0.1111111111111111,0.875,0.27297297297297296,0.5445544554455446,0.632183908045977,0.32727272727272727,0.12972972972972974,0.4791666666666667,0.5227272727272727,0.391304347826087,0.2756756756756757,0.4117647058823529,0.42857142857142855,0.42857142857142855,0.3,0.3939393939393939,0.5384615384615384,0.3939393939393939,0.24242424242424243,0.4166666666666667,0.2727272727272727,0.5945945945945946,0.4876398373983741,0.5273777777777778,0.46837908163265307,0.14081145584725538,0.19333333333333333,0.0821917808219178,0.3698630136986301,9.45577689243028,25.69411764705882,0.3094571908226077,6.0,8.0,1.0,1.0,2.0,4.0,37.0,4.0,10.0,43.0,5.0,12.0,114.0,15.0,1.0,37.0,1.0,10.0,7.0,12.0,5.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8837209302325582,0.36134453781512604,0.35714285714285715,0.3870967741935484,0.3644067796610169,0.008403361344537815,0.0392156862745098,0.009009009009009009,0.03888888888888889,0.021621621621621623,0.75,0.75,1.0,0.3333333333333333,0.33636363636363636,0.8648648648648649,0.14285714285714285,0.030303030303030304,1.0,1.0,0.3076923076923077,1.0,0.04040404040404041,0.5,0.37037037037037035,0.33636363636363636,0.008403361344537815,,,,,True
1899,1610612738,James Posey,James Posey,1899,BOS,19105.0,318,5,589,592,256,269,70,1181,9.0,12.0,4.0,4.0,3.0,5.0,,,1.0,3.0,34.0,4.0,14.0,10,15,53.0,21.0,110,654,4.0,4.0,8.0,3.0,20.0,4.0,8,27.0,11.0,58,12,8.0,2.0,33.0,1.0,11.0,2.0,13.0,1.0,2.0,4.0,5.0,28.0,6.0,1.0,18.0,18.0,3.0,39,7.0,46,17.0,10.0,7.0,7.0,4.0,2.0,3.0,,9.0,,4.0,23.0,42,1.0,1.0,28,1.0,6.0,24,7.0,5.0,3.0,2.0,3.0,1.0,,,,58,256,7.0,5.0,0.6,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6544117647058824,0.7083333333333334,0.6714285714285714,0.6875,0.7142857142857143,0.7073170731707317,0.7794117647058824,0.06666666666666667,0.08333333333333333,,13.303437967115096,0.7777777777777778,0.11538461538461539,0.12,0.006369426751592357,0.20930232558139536,0.07792207792207792,0.15254237288135594,0.029914529914529916,,,0.013157894736842105,0.03508771929824561,0.2,0.0975609756097561,0.07894736842105263,0.15492957746478872,0.2054794520547945,0.23076923076923078,0.3333333333333333,0.17647058823529413,0.75,0.8181818181818182,0.6666666666666666,,,,,0.04411764705882353,0.3333333333333333,0.3333333333333333,,0.5,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.6,0.4,0.9558823529411765,0.5248931818181819,0.513325,0.5068060606060607,0.09333333333333334,0.3181818181818182,0.18181818181818182,0.5272727272727272,4.126666666666666,25.38867924528302,0.43463497453310695,9.0,19.0,1.0,4.0,6.0,13.0,14.0,2.0,7.0,23.0,3.0,13.0,69.0,,1.0,14.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,0.4339622641509434,0.375,0.48148148148148145,0.4423076923076923,,,,,0.27941176470588236,0.47368421052631576,0.47368421052631576,1.0,0.4117647058823529,0.4117647058823529,1.0,0.75,0.3333333333333333,0.25,1.0,0.5,1.0,0.37142857142857144,0.46153846153846156,0.5,0.42424242424242425,,,,,,True
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,44097.0,735,55,1327,1332,367,408,186,2659,35.0,83.0,5.0,14.0,7.0,22.0,19.0,64.0,29.0,65.0,10.0,,6.0,83,212,14.0,34.0,215,1376,7.0,31.0,,7.0,21.0,22.0,58,8.0,16.0,66,88,78.0,8.0,8.0,23.0,98.0,48.0,146.0,35.0,43.0,14.0,41.0,340.0,8.0,28.0,19.0,41.0,1.0,61,36.0,97,39.0,18.0,21.0,20.0,15.0,19.0,5.0,3.0,39.0,5.0,10.0,19.0,65,,7.0,49,1.0,6.0,52,18.0,8.0,5.0,4.0,7.0,3.0,,,,66,367,17.0,7.0,0.5301204819277109,0.5569620253164557,0.3915094339622642,0.22580645161290322,0.3793103448275862,0.4004424778761062,0.22580645161290322,0.3787878787878788,0.43,0.2916666666666667,0.4230769230769231,0.061946902654867256,0.10849056603773585,0.20481927710843373,0.09375,18.815104166666668,0.5128205128205128,0.025,0.08817204301075268,0.05737704918032787,0.1292517006802721,0.058394160583941604,0.09803921568627451,0.0576,0.05202312138728324,0.05755395683453238,0.0625,0.06779661016949153,,0.07857142857142857,0.05555555555555555,0.11059907834101383,0.13274336283185842,0.11764705882352941,0.42857142857142855,0.3672566371681416,0.42168674698795183,0.5303030303030303,0.45714285714285713,0.2831858407079646,0.296875,0.3275862068965517,0.42105263157894735,0.28761061946902655,0.4461538461538462,0.4461538461538462,0.6896551724137931,0.04424778761061947,0.45161290322580644,0.35714285714285715,,0.3333333333333333,0.3181818181818182,0.09090909090909091,0.42920353982300885,0.4900549107142857,0.4700592592592593,0.47933046874999996,0.07851239669421488,0.07929515418502203,0.09767441860465116,0.30697674418604654,8.603301886792453,27.935714285714287,0.2765636774679729,2.0,4.0,,,1.0,2.0,3.0,,1.0,5.0,,2.0,12.0,3.0,2.0,3.0,1.0,13.0,6.0,3.0,5.0,1.0,3.0,,,1.0,2.0,2.0,,1.0,0.8,0.35714285714285715,,0.25,0.4166666666666667,0.07142857142857142,,0.1,0.05504587155963303,0.017699115044247787,0.5,0.5,1.0,0.3,0.3333333333333333,0.6666666666666666,0.4,,,,,,0.030303030303030304,0.5,0.16666666666666666,0.375,0.06666666666666667,,,,,True
200796,1610612738,Leon Powe,Leon Powe,200796,BOS,9604.0,160,2,285,286,76,75,44,571,17.0,31.0,5.0,8.0,5.0,11.0,2.0,5.0,,1.0,,,,19,37,,28.0,66,313,6.0,10.0,,12.0,24.0,5.0,11,,10.0,20,26,12.0,8.0,,5.0,,,,,,,,,,14.0,5.0,7.0,3.0,15,14.0,29,,,,2.0,,1.0,2.0,1.0,3.0,,,10.0,26,4.0,,30,2.0,4.0,39,18.0,3.0,3.0,2.0,3.0,2.0,,,,20,76,6.0,3.0,0.6842105263157895,0.8666666666666667,0.5135135135135135,0.6,0.45454545454545453,0.5135135135135135,0.6,0.45454545454545453,0.6,0.7058823529411765,0.625,,0.13513513513513514,0.16129032258064516,,17.261904761904763,0.6666666666666666,0.3,0.07526881720430108,0.12962962962962962,0.1724137931034483,,0.09836065573770492,0.1,0.1794871794871795,0.16666666666666666,0.0784313725490196,,,0.10344827586206896,0.10526315789473684,0.044444444444444446,0.18518518518518517,,0.6666666666666666,0.8378378378378378,0.5483870967741935,0.6538461538461539,0.7647058823529411,0.13513513513513514,0.4,0.4,,0.02702702702702703,,,,,0.8,0.625,,1.0,0.45454545454545453,,0.8378378378378378,0.5520945945945945,0.53043,0.5026181818181817,0.34615384615384615,0.34615384615384615,0.36363636363636365,0.30303030303030304,2.2135135135135133,,0.26666666666666666,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,1.0,,,,,,,,,0.15384615384615385,,,,,,,,0.2,,,,,,,,,,,,,,,True
201175,1610612738,Glen Davis,Glen Davis,201175,BOS,4484.0,75,6,127,138,38,72,16,265,4.0,12.0,1.0,5.0,,2.0,,1.0,,1.0,,,,4,14,,5.0,13,148,1.0,5.0,,1.0,3.0,,2,,3.0,3,6,2.0,2.0,,4.0,,2.0,2.0,2.0,,,,6.0,,7.0,,6.0,,6,7.0,13,3.0,2.0,1.0,2.0,2.0,2.0,,1.0,4.0,,1.0,7.0,12,1.0,1.0,6,3.0,,10,3.0,2.0,2.0,2.0,2.0,,,,2.0,3,38,1.0,2.0,0.75,1.0,0.2857142857142857,0.2,,0.2857142857142857,0.2,,0.34210526315789475,0.21428571428571427,0.375,,0.2857142857142857,0.3333333333333333,,15.753424657534246,0.5,,0.18181818181818182,0.17073170731707318,,,0.13636363636363635,0.11864406779661017,0.15789473684210525,0.6,0.058823529411764705,,,0.125,0.375,0.11764705882352941,,,,0.8571428571428571,0.3333333333333333,0.5,0.75,0.07142857142857142,,,,0.07142857142857142,,,,,1.0,0.2,,1.0,,,0.8571428571428571,0.5610571428571429,0.58696,0.5173,0.17647058823529413,0.17647058823529413,0.23076923076923078,0.23076923076923078,2.8714285714285714,,0.2992125984251969,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,True
2067,1610612738,Eddie House,Eddie House,2067,BOS,6724.0,112,59,214,202,95,90,23,416,,,,,,,1.0,1.0,4.0,16.0,5.0,2.0,2.0,5,17,18.0,5.0,39,207,,1.0,3.0,,3.0,2.0,5,10.0,5.0,24,8,2.0,,5.0,,4.0,5.0,9.0,4.0,2.0,,2.0,23.0,,,3.0,9.0,1.0,13,,13,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,,3.0,4.0,11,,,5,,,6,,3.0,1.0,1.0,1.0,,,,,24,95,4.0,3.0,0.8,0.8,0.29411764705882354,,0.4,0.4857142857142857,0.375,0.6333333333333333,0.5131578947368421,0.375,0.6666666666666666,0.5142857142857142,,,,17.15481171548117,0.6666666666666666,0.08333333333333333,0.16363636363636364,,0.08571428571428572,,0.13333333333333333,,,,,,,0.07142857142857142,0.15384615384615385,0.21428571428571427,0.11538461538461539,,,,,,,0.02857142857142857,1.0,1.0,,0.45714285714285713,0.25,0.25,1.0,0.14285714285714285,,,0.5,,,0.13333333333333333,0.5142857142857142,0.4835028571428571,0.525725,0.4945333333333333,,,0.07692307692307693,0.6153846153846154,19.617647058823533,23.938888888888886,0.4439252336448598,6.0,13.0,,1.0,4.0,8.0,2.0,1.0,1.0,8.0,1.0,5.0,24.0,,,2.0,,1.0,,1.0,,,,,,,,,,,1.0,0.4444444444444444,0.3333333333333333,0.5,0.4444444444444444,,,,,0.37142857142857144,0.46153846153846156,0.46153846153846156,1.0,0.4,0.4,1.0,,0.25,,,0.5,1.0,0.5333333333333333,0.5,0.5,0.4,,,,,,True
2570,1610612738,Kendrick Perkins,Kendrick Perkins,2570,BOS,33532.0,559,100,991,985,230,238,140,1976,44.0,71.0,15.0,25.0,13.0,19.0,9.0,17.0,3.0,6.0,,,,56,94,,36.0,148,974,18.0,30.0,,9.0,45.0,13.0,21,,10.0,36,74,38.0,20.0,,16.0,7.0,3.0,10.0,3.0,2.0,2.0,3.0,23.0,5.0,42.0,15.0,63.0,10.0,88,48.0,136,10.0,2.0,8.0,11.0,8.0,14.0,3.0,3.0,25.0,5.0,2.0,32.0,78,13.0,7.0,42,5.0,,55,28.0,2.0,27.0,24.0,27.0,17.0,,,1.0,36,230,7.0,2.0,0.6607142857142857,0.8043478260869565,0.5957446808510638,0.6,0.6190476190476191,0.5957446808510638,0.6,0.6190476190476191,0.6218487394957983,0.6081081081081081,0.6428571428571429,,0.1702127659574468,0.22535211267605634,,12.521739130434783,0.44,0.43478260869565216,0.1662269129287599,0.11170212765957446,0.13761467889908258,0.052083333333333336,0.1598360655737705,0.09957627118644068,0.10077519379844961,0.17757009345794392,0.07142857142857142,0.05747126436781609,,0.11403508771929824,0.18181818181818182,0.192090395480226,0.12195121951219512,0.18518518518518517,0.6296296296296297,0.7553191489361702,0.6197183098591549,0.8,0.6818181818181818,0.18085106382978725,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.06382978723404255,0.5,0.5,0.6666666666666666,,0.8333333333333334,0.6,,0.9047619047619048,0.6842105263157895,,0.7553191489361702,0.5583308510638297,0.5740518518518518,0.5723571428571429,0.23931623931623933,0.23931623931623933,0.30405405405405406,0.24324324324324326,3.1968085106382986,,0.23208879919273462,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,5.0,,,,,,1.0,2.0,,,,,,,,,0.13636363636363635,,,,,,,,0.2,,,,,,,,,,,1.0,0.058823529411764705,,,True
2754,1610612738,Tony Allen,Tony Allen,2754,BOS,1269.0,21,9,39,44,28,28,5,83,3.0,4.0,,,2.0,3.0,1.0,2.0,,,1.0,,,4,6,1.0,,8,42,,,,,,3.0,5,,,6,6,2.0,,1.0,,,1.0,1.0,1.0,,,,3.0,,,,1.0,,1,,1,1.0,1.0,,,,,,,,,,1.0,2,,,1,,,2,1.0,,,,,,,,,6,28,1.0,,0.75,0.75,0.6666666666666666,,0.6,0.5714285714285714,,0.6,0.5,,0.5,0.14285714285714285,,,,18.181818181818183,,,0.08333333333333333,,,,0.045454545454545456,,,,,,,0.25,,,,,,0.5714285714285714,0.75,0.75,0.6666666666666666,0.2857142857142857,0.5,0.5,1.0,,,,,0.14285714285714285,,,,0.6,0.6666666666666666,,0.7142857142857143,0.5395571428571427,,0.5262,0.125,0.14285714285714285,,0.75,3.016666666666667,25.5,0.717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,49667.0,828,141,1495,1494,436,452,203,2989,57.0,95.0,14.0,24.0,14.0,29.0,47.0,106.0,69.0,145.0,8.0,1.0,3.0,173,346,8.0,81.0,433,1527,22.0,40.0,1.0,15.0,59.0,39.0,90,3.0,39.0,123,234,112.0,22.0,7.0,12.0,58.0,16.0,74.0,11.0,38.0,4.0,16.0,164.0,18.0,43.0,37.0,118.0,21.0,176,64.0,240,30.0,23.0,7.0,19.0,12.0,27.0,7.0,7.0,46.0,6.0,9.0,23.0,63,4.0,10.0,88,4.0,3.0,102,37.0,17.0,22.0,19.0,22.0,13.0,4.0,2.0,4.0,123,436,10.0,16.0,0.6763005780346821,0.7222222222222222,0.5,0.55,0.43333333333333335,0.4971751412429379,0.5365853658536586,0.45161290322580644,0.5385572139303483,0.6145833333333334,0.5256410256410257,0.022598870056497175,0.03468208092485549,0.09473684210526316,0.018867924528301886,25.94093804284887,0.41304347826086957,0.4375,0.22562141491395793,0.08097928436911488,0.20108695652173914,0.11180124223602485,0.21923620933521923,0.08815028901734104,0.07650273224043716,0.09615384615384616,0.07291666666666667,0.10852713178294573,0.125,0.17880794701986755,0.3170731707317073,0.20883534136546184,0.20422535211267606,0.19047619047619047,0.5909090909090909,0.268361581920904,0.6,0.6627906976744186,0.631578947368421,0.2994350282485876,0.44339622641509435,0.4519230769230769,0.44680851063829785,0.4096045197740113,0.47586206896551725,0.4791666666666667,0.8695652173913043,0.022598870056497175,0.5853658536585366,0.5833333333333334,0.024390243902439025,0.3118279569892473,0.4827586206896552,0.03225806451612903,0.2909604519774011,0.45290821529745035,0.4983421052631579,0.45955217391304354,0.09610389610389611,0.09814323607427056,0.13625866050808313,0.2840646651270208,10.801734104046245,27.1875,0.29163879598662207,,,,,,,2.0,,2.0,2.0,,2.0,6.0,,1.0,2.0,,5.0,7.0,5.0,3.0,,6.0,,,,,,1.0,2.0,1.0,0.25,,0.6666666666666666,0.2857142857142857,,0.006896551724137931,,0.04242424242424243,,,,,0.25,0.25,1.0,0.21428571428571427,,,,,,,,0.6666666666666666,0.2857142857142857,,3.0,0.09375,1.0,,True
