EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,ShootingFouls,Fouls,FoulsDrawn,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FtPoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,PtsAssisted2s,HeaveAttempts,FTDefRebounds,LostBallTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,TwoPtShootingFoulsDrawn,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtAssists,Arc3Assists,LongMidRangeAssists,LostBallSteals,Defensive 3 Seconds Violations,DefCorner3ReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,PtsUnassisted3s,ShortMidRangePctBlocked,on,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,3SecondViolations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Blocked3s,BlockedCorner3,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,OffArc3ReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,ShortMidRangeAssists,FTOffRebounds,ThreePtShootingFoulsDrawn,BlockedArc3,LongMidRangePctBlocked,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,221.0,4,1,6,6,6.0,6.0,12,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,16.666666666666668,1.0,0.25,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,659.0,11,3,19,21,6.0,20.0,40,17,1.0,1.0,1.0,,,,,6.0,19.047619047619047,,0.125,0.1111111111111111,,0.3157894736842105,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,0.25,0.3333333333333333,1.0,0.16666666666666666,0.25,0.5,0.5,0.5,0.25,1.0,0.5,0.4258875,0.436,0.3446,1.0,11.6,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,1610612742,Malik Allen,Malik Allen,2124,DAL,439.0,7,7,13,13,6.0,13.0,26,10,,,,,,,,6.0,,,,,,0.46153846153846156,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1610612742,Eddie Jones,Eddie Jones,224,DAL,1291.0,22,-13,39,43,11.0,35.0,82,53,2.0,3.0,3.0,,,1.0,,11.0,17.073170731707318,,0.2,0.1875,,0.28205128205128205,2.0,1.0,,,,1.0,1.0,2.0,4.0,6.0,,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,0.5,1.0,0.4166666666666667,1.0,0.4166666666666667,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.16666666666666666,,,,0.16666666666666666,,0.8333333333333334,0.4975583333333333,,0.3752,0.5,3.0,24.425,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.16666666666666666,0.25,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,605.0,10,1,17,18,6.0,11.0,35,17,,,,,,,,6.0,22.22222222222222,,,,,0.35294117647058826,1.0,,,,1.0,,,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,,0.125,0.16666666666666666,,,,,,0.5,,,,,,0.4189,,0.4404,1.0,11.25,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,0.5,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,634.0,11,-18,20,23,5.0,15.0,43,38,,1.0,1.0,1.0,,1.0,1.0,5.0,20.0,1.0,,,,0.25,,2.0,,,,,2.0,2.0,1.0,4.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333,,,,0.6666666666666666,,,,,,1.0,0.54325,,0.5212,0.5,,57.4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,629.0,10,-16,20,23,5.0,22.0,43,35,,1.0,1.0,1.0,,1.0,,5.0,33.333333333333336,1.0,,0.14285714285714285,,0.25,1.0,,,1.0,1.0,,2.0,4.0,1.0,9.0,1.0,,,2.0,2.0,,,,1.0,2.0,0.5,,0.7,,0.75,1.0,0.2,,,,,0.2,1.0,1.0,,,0.2,0.39760999999999996,0.4058,,0.2222222222222222,11.5,24.7,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,1.0,,,,,,,2.0,,,1.0,1.0,1.0,0.3333333333333333,0.5,0.6,0.3333333333333333,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,1.0,0.5,0.5,,,,,,,,1.0,1.0,0.16666666666666666,0.2,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,852.0,14,-20,26,30,5.0,22.0,56,43,,,,,,,,5.0,14.814814814814813,,,,,0.19230769230769232,1.0,1.0,,,1.0,,,2.0,2.0,3.0,,,,,,,,1.0,,,,,0.375,,0.375,,0.5,,,,0.25,0.25,,,,,0.75,0.5203625000000001,,,,9.05,24.6,,,1.0,2.0,1.0,,,3.0,2.0,1.0,1.0,3.0,,8.0,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,567.0,9,-8,16,19,2.0,12.0,35,20,2.0,4.0,4.0,,,,,2.0,17.64705882352941,,0.3333333333333333,0.3,,0.125,1.0,,,,1.0,,,2.0,,2.0,,,1.0,,,,,,2.0,,,,,,0.3333333333333333,,,,,0.5,,0.5,,,,,,0.3708,,0.3525,,16.4,,,1.0,,,,2.0,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,0.25,,0.5,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,171.0,3,-3,5,5,,5.0,10,9,,,,,,,,,40.0,,,,,,,,,1.0,2.0,,1.0,2.0,,2.0,,,,,2.0,,,,,,0.5,,0.5,,0.5,,,,,,,1.0,0.5,0.5,,,,0.39255,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,169.0,3,-5,7,7,3.0,7.0,14,13,,1.0,1.0,,,,,3.0,28.57142857142857,,,1.0,,0.42857142857142855,,,,,,1.0,,,2.0,3.0,,,,,,,,1.0,,,,,0.75,,0.75,,1.0,,,,,,,,0.5,,1.0,0.4056,,0.4209,,,23.7,,,1.0,1.0,1.0,,,3.0,1.0,1.0,,1.0,,3.0,1.0,,,,,,,,,1.0,1.0,0.5,0.5,1.0,1.0,,,,0.5,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,218.0,4,6,7,7,,7.0,14,5,,,,,,,,,50.0,,,,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,8.0,,,,,2.0,1.0,,1.0,1.0,,0.5,,1.0,,1.0,,0.5,0.5,,,,0.25,1.0,1.0,,,0.5,0.42422499999999996,,,,12.9,24.9,,1.0,2.0,2.0,2.0,,,,2.0,2.0,,1.0,,3.0,,,,,,,,,,1.0,,1.0,1.0,,,0.25,,,0.5,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,6.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,228.0,4,3,7,7,7.0,6.0,14,9,,,,1.0,1.0,1.0,1.0,7.0,12.5,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,7343.0,122,5,222,216,87.0,53.0,438,241,11.0,13.0,33.0,,,2.0,,87.0,17.669172932330827,,0.12359550561797752,0.12745098039215685,0.07142857142857142,0.3918918918918919,37.0,17.0,8.0,4.0,10.0,,15.0,33.0,,54.0,9.0,6.0,11.0,25.0,16.0,2.0,6.0,11.0,17.0,25.0,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.6,0.7352941176470589,,0.06060606060606061,0.058823529411764705,0.13333333333333333,0.5151515151515151,0.30303030303030304,0.4,0.4,,0.8888888888888888,0.5151515151515151,0.47856363636363636,0.540875,0.47717272727272725,0.46296296296296297,7.4818181818181815,,2.0,6.0,,,,24.0,13.0,,,,1.0,2.0,,5.0,2.0,3.0,1.0,2.0,,2.0,,25.0,,,,,,0.15384615384615385,0.1111111111111111,0.18181818181818182,0.3333333333333333,0.4,,,,,,1.0,1.0,9.0,3.0,6.0,,,14.0,,,,0.4666666666666667,0.6363636363636364,,0.5294117647058824,0.5625,0.4444444444444444,0.5454545454545454,0.5,,12.0,0.5,0.2727272727272727,0.2727272727272727,1.0,,1.0,2.0,,0.25,,,,0.16666666666666666,False,5.0,6.0,8.0,20.0,8.0,1.0,4.0,16.0,20.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.1951219512195122,0.125,0.17543859649122806,0.3076923076923077,0.10526315789473684,0.16216216216216217,0.2857142857142857,0.1875,0.1875,0.5,0.625,0.2,0.37037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,9926.0,165,-17,303,294,99.0,51.0,597,347,6.0,7.0,8.0,4.0,2.0,5.0,,99.0,18.528610354223435,0.8,0.05084745762711865,0.05,,0.32673267326732675,52.0,12.0,1.0,3.0,8.0,11.0,12.0,26.0,30.0,76.0,1.0,5.0,11.0,37.0,10.0,,4.0,14.0,10.0,37.0,0.46153846153846156,0.45454545454545453,0.5625,0.7045454545454546,0.6031746031746031,0.74,0.5357142857142857,,,0.10909090909090909,0.21428571428571427,0.14285714285714285,0.375,0.375,0.19642857142857142,0.2,0.75,0.5148008928571428,0.5421375,0.5071318181818183,0.4868421052631579,8.069230769230769,24.10666666666667,1.0,6.0,10.0,19.0,13.0,13.0,6.0,36.0,19.0,10.0,14.0,21.0,8.0,49.0,1.0,2.0,2.0,1.0,,,,15.0,,,0.9230769230769231,0.43333333333333335,0.43333333333333335,0.045454545454545456,,0.10714285714285714,0.16666666666666666,0.16666666666666666,0.3392857142857143,0.5263157894736842,0.5263157894736842,0.9,0.5263157894736842,2.0,2.0,8.0,4.0,5.0,9.0,11.0,14.0,,,2.0,0.5833333333333334,0.5833333333333334,,0.6666666666666666,0.6666666666666666,0.625,0.22727272727272727,0.8,0.4090909090909091,6.0,0.6666666666666666,0.09836065573770492,0.1935483870967742,7.0,6.0,6.0,,1.0,0.14285714285714285,2.0,0.09090909090909091,3.0,,False,1.0,1.0,4.0,9.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,0.5,0.6428571428571429,,0.019230769230769232,0.005988023952095809,,,,0.043478260869565216,,0.03333333333333333,,1.0,,0.11842105263157894,3.0,1.0,2.0,1.0,2.0,6.0,1.0,4.0,7.0,1.0,1.0,1.0,0.25,0.6363636363636364,1.0,0.2727272727272727,0.2727272727272727,1.0,0.4,0.5,1.0,0.4,0.5,0.6666666666666666,,,,,,,,,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,3087.0,51,1,92,93,49.0,26.0,185,111,10.0,10.0,14.0,2.0,2.0,3.0,2.0,49.0,26.126126126126124,0.6666666666666666,0.2564102564102564,0.23255813953488372,0.23529411764705882,0.532608695652174,15.0,7.0,3.0,,3.0,5.0,6.0,13.0,11.0,27.0,3.0,1.0,6.0,14.0,6.0,2.0,2.0,6.0,4.0,14.0,0.46153846153846156,0.16666666666666666,0.5,0.4230769230769231,0.5192307692307693,0.4666666666666667,0.4583333333333333,0.15384615384615385,,0.26666666666666666,0.2916666666666667,0.125,,,0.20833333333333334,1.0,0.75,0.49580833333333335,0.51825,0.4632615384615385,0.5185185185185185,6.553846153846154,24.063636363636363,,3.0,4.0,6.0,4.0,3.0,3.0,12.0,6.0,4.0,,,,,,2.0,2.0,1.0,,1.0,,5.0,,2.0,1.0,0.36363636363636365,0.36363636363636365,,,0.125,,,0.25,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,6.0,1.0,1.0,4.0,7.0,6.0,,,,0.5,0.75,,0.8571428571428571,0.8571428571428571,0.5,0.07692307692307693,1.0,0.3076923076923077,2.0,,0.08,0.14285714285714285,,,,,,,3.0,0.23076923076923078,,0.6666666666666666,False,2.0,2.0,,4.0,4.0,,1.0,3.0,4.0,,,1.0,1.0,2.0,1.0,,1.0,2.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10344827586206896,0.0625,0.08888888888888889,,0.14285714285714285,0.14285714285714285,,0.2857142857142857,,,0.6666666666666666,,0.14814814814814814,,,,,,3.0,,,3.0,,,,,0.42857142857142855,,,,,,,,,,0.75,1.0,0.125,,,,,,,,,,,,,,
2124,1610612742,Malik Allen,Malik Allen,2124,DAL,645.0,11,-4,18,17,7.0,6.0,35,22,,,,,,,,7.0,4.545454545454546,,,,,0.3888888888888889,4.0,,,,1.0,,,1.0,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,1.0,,,,,,0.4031,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
