EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG3M,Steals,BadPassSteals,LostBallSteals,Blocked3s,BlockedArc3,BlockedAtRim,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,HeaveAttempts,LostBallTurnovers,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsPutbacks,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls Drawn,Offensive Fouls Drawn,OffShortMidRangeReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,BlockedLongMidRange,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,Corner3PctBlocked
136,1610612738,P.J. Brown,P.J. Brown,136,BOS,3837.0,64,-22,114,112,46,55,13,226,1.0,7.0,1.0,1.0,6.0,1.0,4.0,2.0,4.0,4,15,2.0,10,126,1.0,2.0,2.0,3,9,1.0,7,8,3.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,10.0,13.0,1.0,4.0,4.0,2.0,2.0,1.0,7,46,1.0,1.0,1.0,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.29411764705882354,0.3333333333333333,0.35,0.2,0.2857142857142857,0.25,14.0625,0.3333333333333333,0.03225806451612903,0.06818181818181818,0.058823529411764705,0.09090909090909091,0.041666666666666664,0.07272727272727272,0.07142857142857142,0.1,0.3333333333333333,0.1,0.07692307692307693,0.4666666666666667,0.14285714285714285,0.2,1.0,0.26666666666666666,0.25,0.3333333333333333,1.0,0.26666666666666666,0.5,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,0.4666666666666667,0.4183666666666667,0.5667,0.4220222222222222,0.11764705882352941,0.11764705882352941,0.2,0.7,7.746666666666667,0.40350877192982454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,6724.0,112,59,214,202,95,90,23,416,8.0,10.0,,1.0,3.0,5.0,8.0,5.0,14.0,18,32,28.0,82,207,,1.0,1.0,5,11,21.0,34,8,,16.0,22.0,8.0,6.0,50.0,1.0,1.0,4.0,8.0,,12.0,2.0,14.0,6.0,12.0,1.0,4.0,6.0,14.0,,28.0,34.0,10.0,,,34,95,3.0,0.2222222222222222,0.2222222222222222,0.5625,0.45454545454545453,0.574468085106383,0.40625,0.6507936507936508,0.25,0.6071428571428571,,,,31.380753138075313,,0.14545454545454545,0.017241379310344827,0.11428571428571428,0.041666666666666664,0.13333333333333333,0.024390243902439025,0.05263157894736842,,,0.07692307692307693,0.11538461538461539,0.2127659574468085,0.8,0.8,0.25,0.1702127659574468,0.625,0.625,0.2,0.2978723404255319,0.35714285714285715,0.35714285714285715,0.2,,0.1875,0.3333333333333333,0.5319148936170213,0.4299595744680851,0.4584,0.404075,0.18181818181818182,0.25,0.012195121951219513,0.4146341463414634,10.959375,0.4439252336448598,1.0,1.0,5.0,14.0,1.0,1.0,5.0,6.0,15.0,1.0,1.0,5.0,28.0,9.0,9.0,14.0,5.0,6.0,1.0,5.0,2.0,1.0,6.0,3.0,6.0,3.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,8.0,0.5,0.4,0.2,0.4,0.3191489361702128,0.5,0.06666666666666667,0.07142857142857142,0.21428571428571427,0.1111111111111111,0.047619047619047616,1.0,0.02127659574468085,1.0,1.0,1.0,0.2978723404255319,0.35714285714285715,0.35714285714285715,0.4,1.0,0.3125,0.2,0.35714285714285715,25.466666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1899,1610612738,James Posey,James Posey,1899,BOS,6862.0,114,19,230,216,107,112,21,446,6.0,7.0,1.0,2.0,3.0,,1.0,,,6,8,4.0,34,236,1.0,,5.0,2,3,,13,10,,4.0,6.0,1.0,1.0,14.0,3.0,1.0,7.0,12.0,5.0,24.0,4.0,28.0,2.0,3.0,,1.0,8.0,14.0,,7.0,4.0,2.0,,,13,107,4.0,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.7142857142857143,0.7222222222222222,0.7391304347826086,1.25,0.7222222222222222,,,,10.15625,0.29411764705882354,0.21052631578947367,0.017543859649122806,0.2413793103448276,0.09375,0.22093023255813954,0.0449438202247191,,0.04,0.25,0.1111111111111111,0.19047619047619047,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.047619047619047616,,,,,,,,0.5,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.5640875000000001,,0.563875,0.08695652173913043,0.2,0.14705882352941177,0.38235294117647056,1.5750000000000002,0.4652173913043478,3.0,3.0,3.0,10.0,,2.0,5.0,6.0,13.0,1.0,3.0,6.0,2.0,18.0,,10.0,3.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,,,,3.0,2.0,4.0,1.0,,,1.0,0.46153846153846156,0.5,0.46153846153846156,0.6190476190476191,0.3333333333333333,0.041666666666666664,0.29411764705882354,0.22727272727272727,0.375,,0.25,0.14285714285714285,1.0,1.0,1.0,0.47619047619047616,0.3,0.3,1.0,,0.5555555555555556,0.4,0.3,25.984615384615388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.5,1.0,1.0,0.1111111111111111,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,487.0,8,8,26,17,19,12,2,43,4.0,6.0,1.0,2.0,4.0,,3.0,,,4,9,3.0,11,17,1.0,,2.0,2,6,3.0,7,2,1.0,1.0,2.0,1.0,,5.0,,,,,,,,,,,,,,1.0,,3.0,5.0,1.0,,,7,19,1.0,0.25,0.25,0.4444444444444444,0.3333333333333333,0.4,0.2857142857142857,0.4583333333333333,1.0,0.3888888888888889,0.1111111111111111,0.16666666666666666,,42.857142857142854,,,,,,,,,,,,,0.6,0.6666666666666666,0.8,0.25,0.3,,,,,,,,1.0,0.5714285714285714,0.5,0.7,0.44697000000000003,0.6512,0.3868285714285714,0.1,0.1111111111111111,0.18181818181818182,0.6363636363636364,3.3555555555555556,0.7307692307692307,,,,1.0,,,1.0,,1.0,,,1.0,6.0,,,1.0,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,2.0,,,,,0.1,,,,,,,,,,,,0.1,,,,,0.14285714285714285,,,25.2,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2067,1610612738,Eddie House,Eddie House,2067,BOS,9889.0,165,47,321,301,151,149,35,622,,,,,,1.0,2.0,5.0,23.0,6,25,7.0,52,312,4.0,,3.0,2,10,7.0,32,10,,11.0,18.0,5.0,5.0,43.0,,2.0,7.0,12.0,1.0,20.0,2.0,22.0,1.0,4.0,,3.0,4.0,13.0,,6.0,8.0,1.0,,,32,151,4.0,0.8333333333333334,0.8333333333333334,0.24,0.2,0.4017857142857143,0.5,0.43333333333333335,0.21428571428571427,0.5517241379310345,,,,17.827298050139277,0.05,0.13636363636363635,0.021052631578947368,0.14893617021276595,,0.14074074074074075,0.015037593984962405,,0.046511627906976744,,0.11538461538461539,0.16666666666666666,,,,,0.03571428571428571,0.5,0.5,,0.4107142857142857,0.21739130434782608,0.21739130434782608,1.0,,,,0.5535714285714286,0.46597909090909084,0.43471000000000004,0.4601819999999999,0.017543859649122806,0.038461538461538464,0.057692307692307696,0.6153846153846154,18.900000000000006,0.470404984423676,6.0,14.0,5.0,17.0,2.0,3.0,7.0,11.0,31.0,3.0,7.0,15.0,2.0,33.0,,16.0,5.0,7.0,5.0,2.0,1.0,2.0,3.0,1.0,2.0,,,3.0,1.0,,1.0,,,3.0,1.0,0.3548387096774194,0.4666666666666667,0.36666666666666664,0.5535714285714286,0.75,,0.08333333333333333,0.18421052631578946,0.09090909090909091,0.05405405405405406,,0.25,0.42857142857142855,0.42857142857142855,1.0,0.30357142857142855,0.29411764705882354,0.29411764705882354,1.0,0.2857142857142857,0.28,0.42857142857142855,0.3125,24.919354838709673,,,1.0,4.0,8.0,,1.0,5.0,3.0,2.0,,,1.0,0.3333333333333333,,0.21428571428571427,,,0.14285714285714285,,,0.32,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,,True,,,,,,,,,,,,
200796,1610612738,Leon Powe,Leon Powe,200796,BOS,3267.0,54,-6,98,99,41,46,14,197,6.0,10.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,8,17,9.0,25,101,5.0,6.0,10.0,1,5,2.0,4,8,2.0,,1.0,,,3.0,,5.0,3.0,2.0,2.0,7.0,5.0,12.0,2.0,3.0,,2.0,7.0,12.0,2.0,10.0,13.0,7.0,,,4,41,1.0,0.5,0.5714285714285714,0.47058823529411764,0.2,0.47058823529411764,0.2,0.5434782608695652,0.625,0.3333333333333333,0.11764705882352941,0.1,0.2,23.008849557522126,0.2857142857142857,0.06896551724137931,0.14285714285714285,0.23076923076923078,,0.11904761904761904,0.10416666666666667,0.42857142857142855,0.1111111111111111,,0.1,0.25,0.5882352941176471,0.6,0.6666666666666666,0.5,0.29411764705882354,0.2,0.25,,0.11764705882352941,0.5,0.5,1.0,0.6,0.6,0.3333333333333333,0.5882352941176471,0.5222647058823529,0.4946400000000001,0.55216,0.30434782608695654,0.30434782608695654,0.4,0.16,4.952941176470588,0.41836734693877553,,,,,,,,,,,,,8.0,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,0.08333333333333333,,0.14285714285714285,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,0.4,0.4,0.3333333333333333,,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,
201175,1610612738,Glen Davis,Glen Davis,201175,BOS,2478.0,41,-4,83,81,49,63,9,164,5.0,7.0,1.0,1.0,3.0,2.0,3.0,1.0,6.0,8,16,6.0,22,86,2.0,,,3,9,5.0,11,10,1.0,3.0,3.0,2.0,1.0,6.0,,3.0,1.0,3.0,1.0,5.0,3.0,8.0,3.0,4.0,,3.0,2.0,8.0,,5.0,8.0,3.0,,,11,49,1.0,0.625,0.625,0.5,0.3333333333333333,0.47058823529411764,0.3333333333333333,0.5238095238095238,,0.4583333333333333,0.0625,0.14285714285714285,,26.595744680851066,0.14285714285714285,0.13043478260869565,0.10714285714285714,0.09090909090909091,,0.11764705882352941,0.07894736842105263,0.25,,,0.2222222222222222,0.1111111111111111,0.4117647058823529,0.7142857142857143,0.8333333333333334,0.6,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.5,0.35294117647058826,0.16666666666666666,0.16666666666666666,1.0,0.5,0.3333333333333333,0.3333333333333333,0.47058823529411764,0.44686176470588235,0.4692,0.4308888888888889,0.15,0.15789473684210525,,0.5,8.9625,0.5903614457831325,,,,1.0,,,,,1.0,,,,6.0,,,1.0,,,,,,,1.0,,1.0,3.0,,1.0,2.0,1.0,2.0,2.0,,1.0,,,,,0.058823529411764705,0.25,,0.125,,,,1.0,,,,,0.058823529411764705,,,,,,,,25.4,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,True,,,,,,,,,,,,
2570,1610612738,Kendrick Perkins,Kendrick Perkins,2570,BOS,2004.0,33,29,63,60,22,22,6,123,3.0,3.0,,1.0,1.0,1.0,3.0,,,4,6,2.0,10,48,,,,1,2,1.0,3,6,,2.0,2.0,,2.0,4.0,,,2.0,4.0,1.0,7.0,,7.0,1.0,1.0,,1.0,2.0,6.0,1.0,4.0,5.0,2.0,,,3,22,1.0,0.75,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5,0.625,,0.5,,,,13.043478260869566,0.3333333333333333,0.16,,0.18181818181818182,,0.16666666666666666,,,,,0.2,0.1,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,0.5,1.0,0.5,0.50025,,0.53545,0.2857142857142857,0.2857142857142857,,0.3,4.05,0.3492063492063492,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,5.0,,5.0,2.0,,1.0,,,,,,,,0.2222222222222222,0.09090909090909091,1.0,,0.4,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,5.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,True,,,,,,,,,,,,
2754,1610612738,Tony Allen,Tony Allen,2754,BOS,2025.0,34,-5,71,70,47,58,8,141,4.0,6.0,,2.0,2.0,,,,1.0,4,7,2.0,10,70,1.0,,,2,2,2.0,6,6,,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,2.0,3.0,2.0,,,6,47,1.0,0.75,0.75,0.5714285714285714,1.0,0.5714285714285714,1.0,0.625,,1.0,,,,11.39240506329114,,0.041666666666666664,,,,0.03333333333333333,,,,,,,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.75,,,,,0.14285714285714285,,,,,1.0,1.0,0.8571428571428571,0.6053571428571428,0.3726,0.6974,0.25,0.25,,0.6,2.7714285714285714,0.6619718309859155,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,5414.0,90,59,172,161,77,61,19,333,6.0,9.0,3.0,3.0,6.0,10.0,18.0,7.0,13.0,23,40,7.0,53,165,5.0,,4.0,9,18,2.0,20,24,1.0,5.0,9.0,5.0,,22.0,2.0,7.0,3.0,9.0,3.0,15.0,9.0,24.0,5.0,6.0,2.0,2.0,3.0,10.0,1.0,9.0,8.0,3.0,,,20,77,2.0,0.5217391304347826,0.5454545454545454,0.575,0.5,0.5609756097560976,0.5,0.5888888888888889,0.4,0.5263157894736842,0.025,,0.05555555555555555,26.424870466321245,0.3333333333333333,0.18,0.14893617021276595,0.10344827586206896,0.09090909090909091,0.1518987341772152,0.13043478260869565,0.25,0.1875,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.21951219512195122,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.43902439024390244,0.5555555555555556,0.5882352941176471,0.2,0.3170731707317073,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.6,0.3333333333333333,0.5,0.24390243902439024,0.4303573170731707,0.5011,0.4597277777777778,0.06818181818181818,0.06976744186046512,0.07547169811320754,0.37735849056603776,10.165000000000001,0.4476744186046512,,,,1.0,,,,,1.0,,,,22.0,,,1.0,,4.0,1.0,3.0,,,1.0,,1.0,4.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,0.024390243902439025,0.16666666666666666,0.06666666666666667,0.07692307692307693,0.16,0.125,,1.0,,,,,0.024390243902439025,,,,,,,,25.7,1.0,,,,,2.0,,3.0,3.0,,,,1.0,,0.4,0.4,0.3333333333333333,,,,,,,,,,,,2.0,,1.0,1.0,,,,,True,,,,,,,,,,,,
