EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,OffThreePtRebounds,OffRebounds,Rebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,PenaltyFG2A,PenaltyAtRimFrequency,LongMidRangeFGM,PenaltyFG2M,ThreePtAssists,Arc3Assists,LongMidRangeAssists,DeadBallTurnovers,LostBallTurnovers,ShootingFouls,Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFGM,Fg2aBlocked,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,DefThreePtRebounds,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,PtsPutbacks,Travels,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,on,SecondChanceTurnovers,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGA,HeaveAttempts,SecondChanceArc3Frequency,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,393.0,7,-4,10,10,1.0,20,1.0,1.0,1.0,1.0,2.0,13,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.090909090909092,0.5,0.16666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,0.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,1337.0,22,-18,42,43,3.0,85,2.0,2.0,4.0,7.0,12.0,54,,,1.0,4.0,,,0.5714285714285714,0.36363636363636365,0.46153846153846156,29.787234042553195,,0.045454545454545456,,0.18181818181818182,1.0,1.0,,0.5454545454545454,0.46350909090909087,20.0,14.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,8.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,0.5,0.36363636363636365,1.0,0.375,0.07142857142857142,0.23076923076923078,0.14285714285714285,0.25,1.0,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.09090909090909091,0.2727272727272727,1.0,1.0,1.0,0.5788,0.459675,0.08333333333333333,0.125,0.16666666666666666,0.3333333333333333,9.442857142857141,24.75,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,815.0,14,-18,24,24,3.0,48,,2.0,,4.0,,32,,,,,,,,,,18.51851851851852,,,,0.4,,,,0.6,0.45450999999999997,9.0,3.0,,,,2.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,9.0,,,,,,0.2,,,,,,,,,0.4,,,,,0.2,,,,,0.4937,,,,,4.05,25.3,0.375,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,1284.0,21,-25,37,41,4.0,78,,1.0,2.0,5.0,7.0,54,,1.0,1.0,2.0,,,0.4,0.25,0.3888888888888889,30.952380952380953,0.1,0.05555555555555555,,0.125,,,,0.5,0.45761874999999996,10.0,9.0,,1.0,1.0,2.0,2.0,,3.0,,3.0,3.0,,1.0,,,3.0,5.0,4.0,3.0,1.0,2.0,,,5.0,,1.0,1.0,,,2.0,,4.0,1.0,2.0,3.0,1.0,1.0,,,,,5.0,10.0,1.0,,,,0.8333333333333334,0.375,0.5,0.1,,0.08333333333333333,,,0.3333333333333333,,0.25,0.5,0.5,0.25,,0.375,1.0,,,,0.4879,0.125,0.2,,0.7142857142857143,11.64,25.666666666666668,0.2702702702702703,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,1796.0,30,-26,54,57,5.0,111,1.0,2.0,2.0,3.0,6.0,71,2.0,,,2.0,0.5,0.5,0.6666666666666666,0.5,0.6,13.114754098360656,,,,0.5,0.5,1.0,,0.75,0.5114000000000001,21.0,14.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,,1.0,,2.0,2.0,1.0,4.0,4.0,2.0,2.0,8.0,,2.0,2.0,,,2.0,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,2.0,21.0,,,,,0.3333333333333333,0.25,0.6666666666666666,0.15384615384615385,,0.1111111111111111,,0.2,0.25,,,,,0.25,,0.25,,,0.3333333333333333,,0.5554666666666667,0.2,0.25,,0.3333333333333333,6.166666666666667,25.3,0.3888888888888889,2.0,2.0,0.6666666666666666,1.0,1.0,,,,1.0,1.0,2.0,4.0,,,0.5,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,1610612753,Keith Bogans,Keith Bogans,2586,ORL,1311.0,22,-6,38,40,4.0,78,,2.0,,2.0,3.0,40,,,1.0,4.0,,,,0.25,0.21428571428571427,15.909090909090908,,0.047619047619047616,,0.3333333333333333,,,,1.0,0.5505333333333334,12.0,5.0,,,,,,2.0,2.0,,4.0,,,,,1.0,,,,2.0,,,,,,1.0,2.0,3.0,,,,,,,3.0,2.0,1.0,,,,,,,12.0,,,,,,0.6666666666666666,,0.16666666666666666,0.07692307692307693,0.1875,0.125,0.25,,,,,,,0.3333333333333333,0.3333333333333333,,,,,0.5909249999999999,0.14285714285714285,0.3333333333333333,,,,24.225,0.3157894736842105,1.0,1.0,0.5,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,0.5,0.5,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,1610612753,Adonal Foyle,Adonal Foyle,1502,ORL,180.0,3,-10,5,6,1.0,11,,2.0,,2.0,,12,,,,,,,,,,33.333333333333336,,,,1.0,,,,1.0,0.57455,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612753,Maurice Evans,Maurice Evans,2230,ORL,641.0,11,-11,21,23,1.0,44,,,,,1.0,33,,,,1.0,,,,,0.5,4.3478260869565215,,,,,,,,,,12.0,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,,,,,,,12.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.5714285714285714,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,1223.0,20,-12,39,41,3.0,80,4.0,5.0,7.0,8.0,14.0,46,10.0,1.0,2.0,5.0,0.7142857142857143,0.8333333333333334,0.875,0.875,0.875,22.727272727272727,0.1111111111111111,0.10526315789473684,,0.625,0.8,0.8,0.5,0.625,0.49877499999999997,21.0,13.0,1.0,2.0,3.0,3.0,,,,,,,1.0,2.0,2.0,,,8.0,4.0,,,,,,,1.0,1.0,3.0,,,,,2.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,8.0,21.0,,0.5,0.5,0.5,1.0,,,0.1,0.1,0.21428571428571427,,,,0.5,0.375,1.0,1.0,,,,1.0,0.5,,0.545,0.43875000000000003,0.125,0.125,0.14285714285714285,0.5714285714285714,2.6999999999999997,,0.5384615384615384,1.0,4.0,0.25,,4.0,,,,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,1.0,,,,,,,1.0,,,,,,2.0,,,,,0.5,0.25,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,2486.0,41,12,71,75,5.0,146,3.0,4.0,4.0,5.0,8.0,68,6.0,,1.0,7.0,0.75,0.75,0.8,0.8,0.8,10.256410256410255,,0.03225806451612903,,0.8,0.75,1.0,1.0,0.8,0.5468,20.0,20.0,,,1.0,1.0,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,5.0,6.0,,,1.0,,3.0,1.0,,,,,,,4.0,4.0,2.0,20.0,,,,,1.0,,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.15,,,0.21052631578947367,1.0,0.2,1.0,1.0,,,,,,,,0.6454,,,,0.25,1.7600000000000002,,0.28169014084507044,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,5.0,,,1.0,1.0,,,,1.0,1.0,,,0.2,0.25,,1.0,,,,,,1.0,,,,,0.1,0.14285714285714285,0.25,,,,,,,,1.0,4.0,1.0,1.0,0.25,,,False,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
