EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,PtsUnassisted2s,ThreePtAssists,Corner3Assists,AtRimAssists,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Fouls,NonShootingPenaltyNonTakeFouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,LongMidRangeAssists,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,Avg3ptShotDistance,FtPoints,PenaltyFtPoints,Offensive Fouls,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,on,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFG2M,Fg2aBlocked,Arc3Assists,OffThreePtRebounds,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LostBallTurnovers,DefensiveGoaltends,SecondChanceFg3Pct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,PtsPutbacks,Travels,Technical Free Throw Trips,SecondChanceArc3PctAssisted,HeaveAttempts
1521,1610612759,Jacque Vaughn,Jacque Vaughn,1521,SAS,537.0,9.0,-3.0,15.0,16,5.0,11,2.0,31,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,17,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.25,0.5,0.25,0.5,0.25,0.5,29.41176470588235,0.25,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.25,0.441975,0.5052,0.3679,1.0,13.15,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,4.0,,-2.0,,1,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,537.0,9.0,-3.0,15.0,16,5.0,11,2.0,31,,,,,2.0,2.0,3.0,4.0,17,,,,,2.0,1.0,2.0,,5.0,,,,,,5.0,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,17.64705882352941,,,,,0.6666666666666666,,,,,0.34793333333333337,,,,14.200000000000001,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.2857142857142857,0.2,0.5,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1610612759,Brent Barry,Brent Barry,699,SAS,404.0,7.0,-2.0,12.0,12,2.0,7,1.0,24,,,,,1.0,1.0,1.0,2.0,13,,,,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,,1.0,,7.692307692307692,,,,,1.0,,,,,0.313,,,,17.5,0.16666666666666666,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612759,Michael Finley,Michael Finley,714,SAS,537.0,9.0,-3.0,15.0,16,5.0,11,2.0,31,,,,,2.0,,2.0,3.0,17,,,,,,1.0,1.0,,2.0,,,,,,5.0,,,,,0.375,,0.375,,23.52941176470588,,,,,0.5,,,,0.5,0.4439,,0.48675,,16.45,0.3333333333333333,,,,,,,,1.0,1.0,1.0,0.14285714285714285,0.1,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,0.5,1.0,0.5,1.5,1.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,22.85,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,1610612759,Ime Udoka,Ime Udoka,2137,SAS,187.0,3.0,,5.0,6,5.0,5,1.0,11,,,,,,,,1.0,4,,,,,,,,,,,1.0,1.0,1.0,1.0,5.0,,,,,,,0.5,,33.333333333333336,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,0.5,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,1610612759,Kurt Thomas,Kurt Thomas,703,SAS,479.0,8.0,-2.0,13.0,13,3.0,9,2.0,26,,,,,,1.0,1.0,2.0,15,,,,,2.0,1.0,1.0,,2.0,,,,,,3.0,1.0,1.0,1.0,,1.0,,1.0,,6.666666666666667,,,,,,,,,,0.3352,,,,13.9,0.23076923076923078,1.0,1.0,,,,,,2.0,4.0,5.0,0.4,0.375,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,19855.0,331.0,3.0,610.0,627,107.0,142,51.0,1237,18.0,28.0,,2.0,2.0,28.0,46.0,63.0,649,1.0,4.0,5.0,5.0,56.0,13.0,20.0,,47.0,4.0,8.0,14.0,3.0,21.0,107.0,1.0,1.0,0.6086956521739131,0.25,0.6086956521739131,0.25,0.6176470588235294,0.4166666666666667,9.833585476550681,0.6086956521739131,0.6428571428571429,0.75,1.0,0.043478260869565216,0.5,,,0.6086956521739131,0.49747173913043496,0.5035,0.56484,0.07936507936507936,4.56304347826087,0.17540983606557378,9.0,16.0,1.0,,7.0,1.0,11.0,44.0,56.0,71.0,0.18181818181818182,0.17218543046357615,0.2222222222222222,0.34782608695652173,0.5625,0.6428571428571429,0.5,0.5,1.0,48.0,5.0,,,,,,,,,12.0,,2.0,12.0,,,,,0.8,0.75,,0.12987012987012986,,,,,,,0.19047619047619047,,7.0,4.0,2.0,10.0,3.0,3.0,8.0,8.0,4.0,15.0,22.0,0.2,0.041666666666666664,0.13333333333333333,0.052434456928838954,0.06493506493506493,0.125,1.0,False,2.0,3.0,3.0,4.0,6.0,6.0,6.0,1.0,1.0,6.0,5.0,1.0,6.0,6.0,1.0,6.0,5.0,9.0,1.0,3.0,5.0,4.0,1.0,5.0,3.0,2.0,0.8,0.13043478260869565,0.14285714285714285,0.125,0.42857142857142855,0.05,0.08,0.0196078431372549,0.03125,0.1,0.04,0.18181818181818182,0.16666666666666666,0.08333333333333333,0.6,0.6,0.6666666666666666,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1610612759,Robert Horry,Robert Horry,109,SAS,9236.0,154.0,16.0,290.0,284,100.0,109,32.0,574,,,,,10.0,2.0,14.0,23.0,282,,1.0,4.0,2.0,2.0,6.0,8.0,1.0,18.0,,1.0,2.0,1.0,11.0,100.0,0.5,0.5,0.14285714285714285,,0.2638888888888889,0.375,0.2948717948717949,0.4,12.462006079027356,,,,,0.2777777777777778,,,,0.6111111111111112,0.46596388888888884,0.5609000000000001,0.48384,0.17391304347826086,15.542857142857143,0.3448275862068966,1.0,4.0,1.0,2.0,2.0,1.0,2.0,14.0,21.0,32.0,0.13333333333333333,0.15037593984962405,0.09090909090909091,0.1111111111111111,0.25,0.5,0.1,0.1,,34.0,9.0,,8.0,,2.0,5.0,22.0,2.0,8.0,9.0,9.0,3.0,9.0,0.6,0.22727272727272727,0.25,0.22727272727272727,0.4,0.4090909090909091,0.6111111111111112,0.13157894736842105,0.2222222222222222,,,,0.2,,0.391304347826087,24.34090909090909,4.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,11.0,11.0,0.1,0.057692307692307696,0.21428571428571427,0.06493506493506493,0.041666666666666664,0.15789473684210525,1.0,False,,,1.0,1.0,2.0,1.0,4.0,1.0,,5.0,2.0,3.0,1.0,,1.0,3.0,,4.0,,2.0,5.0,5.0,,5.0,3.0,,0.5,0.14285714285714285,,0.5,0.5,0.14285714285714285,0.08,0.07692307692307693,0.06666666666666667,0.07407407407407407,0.08695652173913043,0.21739130434782608,0.3333333333333333,,0.6,,,0.05263157894736842,0.125,2.0,5.0,14.0,1.0,1.0,2.0,6.0,1.0,3.0,6.0,14.0,5.0,1.0,1.0,0.3333333333333333,0.3888888888888889,0.35714285714285715,0.35714285714285715,0.6,0.5,0.25,1.0,0.6,0.3333333333333333,0.35714285714285715,,,,,,,,,,,,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,30484.0,508.0,-30.0,923.0,936,185.0,243,97.0,1859,2.0,2.0,,,29.0,15.0,39.0,104.0,974,,2.0,7.0,6.0,28.0,15.0,23.0,2.0,54.0,1.0,6.0,9.0,2.0,16.0,185.0,0.9333333333333333,0.9333333333333333,0.38461538461538464,,0.5161290322580645,0.5,0.5306122448979592,0.5833333333333334,10.33816425120773,0.021505376344086023,1.0,1.0,0.5,0.3118279569892473,,,,0.6021505376344086,0.502582795698925,0.54222,0.48900749999999993,0.0673076923076923,15.756410256410254,0.20043336944745396,,8.0,13.0,2.0,8.0,3.0,4.0,24.0,31.0,33.0,0.06282722513089005,0.05870020964360587,0.07801418439716312,0.08602150537634409,,,0.4482758620689655,0.48148148148148145,1.0,41.0,7.0,21.0,51.0,4.0,14.0,22.0,54.0,4.0,14.0,17.0,63.0,9.0,17.0,0.9545454545454546,0.4074074074074074,0.2857142857142857,0.4074074074074074,0.3,0.3695652173913043,0.5806451612903226,0.045454545454545456,0.5483870967741935,0.4117647058823529,0.4117647058823529,0.9523809523809523,0.7,0.2857142857142857,0.16346153846153846,23.296296296296298,8.0,5.0,3.0,11.0,4.0,3.0,1.0,4.0,3.0,2.0,7.0,0.10714285714285714,0.0030211480362537764,0.042105263157894736,0.00437636761487965,0.007407407407407408,0.04,,False,,,1.0,,2.0,5.0,1.0,,,11.0,8.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,,1.0,6.0,2.0,,6.0,1.0,,,0.05128205128205128,,,0.3333333333333333,,0.007936507936507936,,,0.013333333333333334,,0.06422018348623854,0.05,,0.16666666666666666,,,0.02127659574468085,0.025,4.0,1.0,3.0,,,,,2.0,4.0,3.0,3.0,1.0,2.0,,0.5,0.03225806451612903,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,,,,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.06896551724137931,0.5,1.0,0.018518518518518517,,,,,
