EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG3A,PenaltyFtPoints,NonHeaveArc3FGA,DefThreePtRebounds,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,LongMidRangeFGA,Fouls,NonShootingPenaltyNonTakeFouls,LongMidRangeFrequency,TwoPtAssists,Assists,AtRimAssists,AssistPoints,AtRimPctBlocked,LongMidRangeFGM,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFouls,TwoPtShootingFoulsDrawn,DefensiveGoaltends,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtAssists,Corner3Assists,Offensive Fouls Drawn,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,on,ShortMidRangeFGM,OffThreePtRebounds,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Arc3Assists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,PenaltyFg3Pct,OffFTReboundPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,ShortMidRangeAssists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,OffCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,FTDefRebounds,Travels,SecondChanceFg3Pct,DefFTReboundPct,OffShortMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,239.0,4,3.0,9,9,9.0,9.0,18,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.11111111111111,0.2,0.14285714285714285,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6454,0.6454,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,239.0,4,3.0,9,9,9.0,9.0,18,,,,,,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,9.0,,,,,,,0.25,0.25,22.22222222222222,,0.14285714285714285,,,,,,,,1.0,0.50445,0.50445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,405.0,7,-9.0,12,12,6.0,7.0,24,1.0,3.0,1.0,3.0,1.0,4.0,2.0,18.0,1.0,4.0,2.0,,,,2.0,2.0,6.0,,,0.25,0.25,0.25,0.25,0.25,0.25,26.666666666666668,,,,0.75,0.3333333333333333,0.3333333333333333,,0.75,0.3333333333333333,0.75,0.535175,0.535175,1.0,0.5,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,0.25,1.0,0.2857142857142857,0.18181818181818182,0.4,1.0,0.25,1.0,0.5,0.5736,1.0,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,615.0,10,-1.0,20,20,12.0,14.0,40,,,,,,1.0,,18.0,,1.0,,,,1.0,1.0,,12.0,,,,,,,,,17.391304347826086,,0.1,,,,,,,,0.75,0.43125,0.41430000000000006,,0.6,3.0,2.0,3.0,,2.0,,3.0,1.0,,,,,,0.75,0.25,0.25,0.75,0.6666666666666666,26.03333333333333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,239.0,4,3.0,9,9,9.0,9.0,18,,1.0,,1.0,,1.0,,2.0,,1.0,,,2.0,2.0,2.0,,9.0,,,,,,,,,11.11111111111111,0.4,0.2857142857142857,0.4,1.0,,,,1.0,,1.0,0.6074,0.6074,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612753,Maurice Evans,Maurice Evans,2230,ORL,163.0,3,5.0,6,7,6.0,7.0,13,,,,,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,2.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0,33.333333333333336,,,,,,,,,,,0.388,0.388,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,20.5,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,191.0,3,-1.0,6,6,3.0,5.0,12,,,,,,,5.0,9.0,,,,,1.0,1.0,1.0,,3.0,,,,,1.5,,1.25,,25.0,1.0,1.0,1.0,,,,,,,1.0,0.46275,,,0.5,,,1.0,2.0,,,,,2.0,,2.0,1.0,,1.0,,,,,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,376.0,6,-4.0,11,11,3.0,5.0,22,,1.0,,,,1.0,1.0,16.0,,,,,,,,,3.0,,,,,,,0.25,,14.285714285714285,,,,1.0,,,,,,1.0,0.4984,,,0.2727272727272727,,,,1.0,,,,,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,376.0,6,-4.0,11,11,3.0,5.0,22,,1.0,,,,2.0,,16.0,,1.0,,,,,1.0,,3.0,,,,,,,,,14.285714285714285,,,,0.5,,,,,,0.5,0.4707,0.3827,,0.2727272727272727,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,0.5,,0.16666666666666666,0.125,0.25,,,,,,,9.3,1.0,1.0,,0.5,1.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,1610612753,Keith Bogans,Keith Bogans,2586,ORL,232.0,4,,7,6,,,13,2.0,2.0,,,2.0,2.0,4.0,7.0,,,,2.0,,,,,,0.5,0.5,1.0,,0.6666666666666666,,0.6666666666666666,,37.5,,,,0.6666666666666666,1.0,1.0,0.5,,,1.0,0.5272833333333333,,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,23.1,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.52065,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
