EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,ShootingFouls,Fouls,FtPoints,PenaltyFtPoints,AtRimAssists,LostBallSteals,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtRebounds,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefShortMidRangeReboundPct,on,ShortMidRangeFGM,SecondChanceFtPoints,FTOffRebounds,DefThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,LiveBallTurnoverPct,OffFTReboundPct,DefThreePtReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,ThreePtAssists,Arc3Assists,FTDefRebounds,Loose Ball Fouls Drawn,Offensive Fouls Drawn,3SecondViolations,LongMidRangePctBlocked,DefFTReboundPct,SecondChanceAtRimPctAssisted,ShortMidRangeAssists,Blocked3s,BlockedArc3,DefCorner3ReboundPct,Corner3Assists,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,HeaveAttempts
101136,1610612737,Salim Stoudamire,Salim Stoudamire,101136,ATL,292.0,5,-2.0,12,12,12.0,12.0,1.0,24,1.0,1.0,1.0,12.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,12.0,1.0,23.076923076923077,1.0,1.0,1.0,0.5058,0.5058,25.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200780,1610612737,Solomon Jones,Solomon Jones,200780,ATL,346.0,6,3.0,13,12,13.0,10.0,3.0,25,,,,9.0,,,,,,,,,13.0,,29.41176470588235,,,0.4,0.55108,0.55108,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,1.0,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.2,1.0,0.5,0.5,0.5,0.42857142857142855,0.5,0.5,0.5,1.0,1.0,0.4,0.5,0.5,0.2,0.4,0.5,0.5,1.0,1.0,0.5,0.4,0.5,0.82375,0.5,1.0,10.34,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200978,1610612737,Jeremy Richardson,Jeremy Richardson,200978,ATL,388.0,6,,15,14,15.0,12.0,3.0,29,,,,12.0,,,,,,,,,15.0,,21.05263157894737,,,,0.34299999999999997,0.34299999999999997,,1.0,,,,,,,2.0,1.0,2.0,1.0,4.0,2.0,,1.0,,1.0,4.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.25,,0.25,0.25,,0.25,0.25,,0.25,0.25,0.5,,,,,,,,,,,,,0.5,0.5,0.5,0.5,1.0,,,,,0.3096,,1.0,14.75,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201151,1610612737,Acie Law,Acie Law,201151,ATL,388.0,6,,15,14,15.0,12.0,3.0,29,,,,12.0,,,,,,,,,15.0,,10.526315789473685,,,1.0,0.6565,0.6565,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,4.0,,,,1.0,1.0,4.0,,2.0,,,2.0,2.0,1.0,4.0,,,,,,1.0,,,,,,4.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,1.1,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201238,1610612737,Mario West,Mario West,201238,ATL,272.0,5,,10,9,10.0,7.0,3.0,19,,,,8.0,,,,,,,,,10.0,,14.285714285714285,,,1.0,0.7745500000000001,0.7745500000000001,,1.0,1.0,2.0,,,1.0,2.0,,,,1.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,,,1.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,2.0,1.0,1.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.2,,0.2,0.16666666666666666,,,,,,1.0,0.5,1.0,,,,,,,,1.0,0.5,,,1.0,0.7,,,,,,,1.0,1.0,,,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,1610612737,Zaza Pachulia,Zaza Pachulia,2585,ATL,158.0,3,-3.0,7,7,7.0,7.0,,14,,,,7.0,,,,,,,,,7.0,,14.285714285714285,,,1.0,0.7407,0.7407,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,0.8,,,,,,,,,,,,,,1.0,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,1610612737,Al Horford,Al Horford,201143,ATL,96.0,2,2.0,3,2,3.0,,2.0,5,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101107,1610612737,Marvin Williams,Marvin Williams,101107,ATL,11956.0,199,-105.0,362,360,116.0,77.0,49.0,722,,,,440.0,,,6.0,2.0,,13.0,,5.0,116.0,,21.103117505995204,,,0.2413793103448276,0.4368741379310344,0.44776153846153843,,0.32044198895027626,6.0,14.0,5.0,7.0,2.0,3.0,7.0,12.0,37.0,24.0,58.0,80.0,5.0,11.0,14.0,5.0,13.0,26.0,32.0,16.0,8.0,3.0,5.0,5.0,3.0,10.0,9.0,13.0,17.0,11.0,28.0,2.0,2.0,3.0,2.0,3.0,2.0,26.0,0.6666666666666666,0.8,0.41379310344827586,0.45454545454545453,0.38461538461538464,0.41379310344827586,0.45454545454545453,0.38461538461538464,0.5266666666666666,0.5,0.5952380952380952,0.05172413793103448,,0.09219858156028368,0.06206896551724138,0.09392265193370165,0.057803468208092484,0.09090909090909091,0.07142857142857142,0.047619047619047616,0.10869565217391304,0.6666666666666666,0.2413793103448276,0.42857142857142855,0.5454545454545454,0.1206896551724138,0.6379310344827587,0.32432432432432434,0.32432432432432434,1.0,0.6363636363636364,0.7142857142857143,0.23076923076923078,0.6666666666666666,0.5160222222222223,0.175,0.325,13.56896551724138,9.0,21.0,32.0,16.0,2.0,,22.0,36.0,5.0,5.0,1.0,1.0,13.0,0.21428571428571427,0.03571428571428571,,0.08928571428571429,0.16666666666666666,0.18571428571428572,0.18571428571428572,0.07692307692307693,False,6.0,4.0,1.0,4.0,1.0,7.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.09090909090909091,0.1,0.14285714285714285,0.11428571428571428,0.03225806451612903,0.8571428571428571,0.8571428571428571,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101136,1610612737,Salim Stoudamire,Salim Stoudamire,101136,ATL,1381.0,23,-6.0,43,43,19.0,9.0,8.0,86,4.0,1.0,5.0,51.0,2.0,4.0,,,,1.0,,1.0,19.0,0.625,19.23076923076923,0.5,0.5,0.625,0.47033125,0.534,24.9,0.4418604651162791,,,,,,,1.0,1.0,2.0,2.0,3.0,12.0,,,,,,8.0,2.0,2.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,8.0,0.5,0.5,0.6666666666666666,,,0.625,,1.5,0.6666666666666666,,1.3333333333333333,,,0.08333333333333333,,0.05555555555555555,,,,,,,,,,0.125,0.25,0.5,0.5,,,,,,,,0.6666666666666666,17.166666666666668,2.0,2.0,2.0,2.0,,,2.0,2.0,1.0,1.0,,,,,,,0.14285714285714285,,,,,False,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,0.4,1.0,0.4,0.125,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200780,1610612737,Solomon Jones,Solomon Jones,200780,ATL,1380.0,23,-12.0,44,46,40.0,33.0,6.0,90,,,,52.0,,,,,,,,,40.0,,12.244897959183673,,,0.2,0.4181799999999999,0.37935,,0.9090909090909091,,1.0,,1.0,,,2.0,,2.0,,5.0,,,2.0,,,4.0,,,,,,,,,,1.0,2.0,2.0,1.0,3.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,0.2222222222222222,0.07692307692307693,0.10526315789473684,0.058823529411764705,0.25,,,,,0.2,,,0.4,0.4,,,,0.5,,,,0.4658,,,10.82,1.0,3.0,,,,,1.0,2.0,,,,,1.0,,,,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
