EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,FtPoints,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,PenaltyTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,BlockedAtRim,FG3APct,Arc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Loose Ball Fouls Drawn,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,AtRimAssists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyFg3Pct,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,SelfOReb,Travels,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SelfORebPct,ThreePtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,BlockedLongMidRange,on,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,1712.0,29.0,-10.0,51,49,13,18,7.0,100,3.0,5.0,1.0,2.0,1.0,2.0,4.0,7.0,8.0,60,2.0,3.0,4.0,2.0,6.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,13,1.0,0.25,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0.14285714285714285,0.5,15.0,0.21428571428571427,0.125,0.1111111111111111,0.17391304347826086,0.0967741935483871,0.2,0.125,0.25,0.4,0.14285714285714285,0.7142857142857143,0.6,0.6,0.3333333333333333,0.2857142857142857,0.5,1.0,0.6666666666666666,0.5,0.7142857142857143,0.5816857142857143,0.5486333333333333,0.5,2.5571428571428574,0.2549019607843137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,653.0,11.0,-4.0,22,20,6,11,6.0,42,,,,,,,,,2.0,22,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,,1.0,6,,,,,,,,0.5,,,,13.793103448275863,,0.08333333333333333,,,0.06666666666666667,,0.2,,,,,,,,,,,,,1.0,0.56055,,,,0.2727272727272727,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,4872.0,81.0,-23.0,157,155,54,62,18.0,312,6.0,12.0,1.0,1.0,2.0,8.0,9.0,22.0,29.0,173,1.0,2.0,4.0,12.0,6.0,2.0,3.0,2.0,5.0,13.0,21.0,4.0,25.0,1.0,1.0,5.0,,4.0,5.0,10.0,14.0,2.0,1.0,,1.0,54,1.0,0.6666666666666666,0.75,0.4090909090909091,0.5,0.375,0.5,0.4142857142857143,0.6666666666666666,0.13636363636363635,,22.47191011235955,0.24074074074074073,0.038461538461538464,0.3125,0.2571428571428571,0.05194805194805195,,,0.125,0.30434782608695654,0.4,0.42857142857142855,0.5,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.25,0.25,0.5,1.0,0.6428571428571429,0.5158750000000001,0.521,0.13793103448275862,5.640909090909091,0.34394904458598724,4.0,6.0,8.0,4.0,,1.0,,3.0,2.0,,5.0,1.0,0.21428571428571427,0.14285714285714285,0.15151515151515152,0.18518518518518517,24.46666666666667,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,6.0,2.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.25,0.3,0.25,0.8,0.3333333333333333,0.08,0.125,0.058823529411764705,0.125,0.26666666666666666,0.16666666666666666,1.0,0.5,0.07142857142857142,0.5,0.5,1.0,0.07142857142857142,0.25,0.25,1.0,0.125,1.0,0.25,0.25,0.25,0.53241875,0.20689655172413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,5644.0,94.0,-20.0,181,178,60,71,20.0,359,5.0,9.0,,,1.0,6.0,9.0,24.0,43.0,194,,,,6.0,12.0,,4.0,,3.0,4.0,7.0,,7.0,2.0,,8.0,,5.0,13.0,12.0,12.0,3.0,,,,60,3.0,0.3333333333333333,0.3333333333333333,0.375,,0.4583333333333333,,0.5119047619047619,,0.16666666666666666,0.3333333333333333,24.509803921568626,0.06896551724137931,,0.13043478260869565,0.08641975308641975,,,,0.05555555555555555,0.04,0.2,0.25,0.5555555555555556,0.7142857142857143,0.4,0.16666666666666666,0.16666666666666666,0.25,,,0.5833333333333334,0.48860571428571437,0.5316,,9.716666666666667,0.3314917127071823,11.0,12.0,10.0,11.0,9.0,11.0,1.0,24.0,3.0,1.0,3.0,,0.3333333333333333,0.3055555555555556,0.07692307692307693,0.1111111111111111,26.075,3.0,4.0,3.0,9.0,1.0,,5.0,5.0,5.0,,4.0,10.0,5.0,8.0,19.0,6.0,5.0,2.0,1.0,,,2.0,1.0,1.0,6.0,5.0,1.0,,,19.0,3.0,0.4,0.4166666666666667,0.4166666666666667,0.4,0.36666666666666664,0.475,0.2222222222222222,0.75,,,,,,0.13333333333333333,,,,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.027777777777777776,0.45454545454545453,0.45454545454545453,0.4,0.26666666666666666,0.75,,0.3333333333333333,0.45454545454545453,0.4758642857142857,0.4418604651162791,1.0,1.0,1.0,1.0,9.0,1.0,6.0,2.0,1.0,2.0,0.2,1.0,0.2,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,4920.0,82.0,-10.0,161,158,60,71,20.0,319,4.0,6.0,,1.0,2.0,5.0,12.0,24.0,29.0,163,,2.0,2.0,10.0,14.0,,1.0,2.0,1.0,3.0,5.0,2.0,7.0,2.0,,2.0,,3.0,8.0,8.0,6.0,1.0,,,,60,3.0,0.4166666666666667,0.4166666666666667,0.5,,0.42857142857142855,,0.4666666666666667,0.3333333333333333,0.041666666666666664,,17.391304347826086,0.061224489795918366,0.03508771929824561,0.047619047619047616,0.05714285714285714,0.024390243902439025,0.05263157894736842,0.05555555555555555,0.058823529411764705,0.047619047619047616,,0.21428571428571427,0.6666666666666666,0.8,0.75,0.17857142857142858,0.4,0.4,0.5,,0.35714285714285715,0.45884285714285716,0.5242,0.06896551724137931,12.062500000000002,0.37267080745341613,3.0,4.0,5.0,3.0,6.0,8.0,,18.0,1.0,,,,0.14285714285714285,0.10714285714285714,0.034482758620689655,,25.825000000000003,3.0,4.0,6.0,13.0,1.0,,,3.0,,2.0,4.0,6.0,3.0,3.0,11.0,,,2.0,1.0,,1.0,3.0,2.0,1.0,,,,,,11.0,1.0,,,,0.6666666666666666,0.4444444444444444,0.5,0.16666666666666666,,0.1111111111111111,,,,,0.09090909090909091,0.14285714285714285,,,0.4642857142857143,0.46153846153846156,0.46153846153846156,0.3333333333333333,0.03571428571428571,,,,0.4444444444444444,0.75,,0.3333333333333333,,0.5365277777777777,0.3793103448275862,,,,,,1.0,6.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.07142857142857142,0.2,,,,,,,,,,,,,True,,,,,,,,
201156,1610612764,Nick Young,Nick Young,201156,WAS,30.0,,-1.0,1,1,1,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2052,1610612764,DeShawn Stevenson,DeShawn Stevenson,2052,WAS,3797.0,63.0,-15.0,119,120,32,41,12.0,239,3.0,4.0,,1.0,,1.0,4.0,8.0,23.0,133,,2.0,,2.0,6.0,,,1.0,,3.0,4.0,1.0,5.0,1.0,,4.0,,,2.0,5.0,4.0,,,,,32,,0.25,0.25,0.5,,0.5263157894736842,,0.575,,,,18.045112781954888,0.06382978723404255,0.025,,0.05084745762711865,0.017543859649122806,0.1,,0.07142857142857142,0.09090909090909091,,0.21052631578947367,0.75,0.75,0.3333333333333333,0.05263157894736842,,,0.2,,0.7894736842105263,0.5323236842105262,0.4921875,,9.425,0.2689075630252101,5.0,11.0,3.0,5.0,8.0,9.0,4.0,19.0,,,3.0,,0.5789473684210527,0.2631578947368421,0.15,0.3333333333333333,24.345454545454547,1.0,1.0,1.0,3.0,6.0,3.0,2.0,3.0,4.0,,2.0,2.0,6.0,,10.0,12.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,10.0,,1.0,0.36363636363636365,0.36363636363636365,1.0,0.625,0.625,,0.75,0.16666666666666666,,,,,,,,,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.3157894736842105,0.4,0.4,1.0,0.125,1.0,0.375,0.375,0.4,0.51753125,0.43478260869565216,1.0,1.0,3.0,2.0,,,3.0,1.0,,1.0,0.3333333333333333,0.2,0.3333333333333333,,,,,,,2.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.4,0.3333333333333333,,,True,,,,,,,,
2427,1610612764,Roger Mason Jr.,Roger Mason Jr.,2427,WAS,1736.0,29.0,,55,53,21,18,2.0,108,1.0,1.0,,,,,2.0,6.0,4.0,57,,,,2.0,2.0,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,21,1.0,0.5,0.5,0.3333333333333333,,0.18181818181818182,,0.18181818181818182,,,,19.29824561403509,0.07142857142857142,,,0.04,,,,,0.2,,0.09090909090909091,1.0,1.0,,,,,,,0.5454545454545454,0.4966318181818183,,,15.333333333333334,0.38181818181818183,4.0,5.0,,4.0,1.0,1.0,,2.0,,,,1.0,0.45454545454545453,0.36363636363636365,,,24.66,,,1.0,5.0,1.0,1.0,,1.0,,,,1.0,2.0,,,,,,,,,3.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,0.45454545454545453,0.2,0.2,1.0,0.09090909090909091,,,,,,0.3333333333333333,0.3333333333333333,,0.5048666666666667,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2443,1610612764,Darius Songaila,Darius Songaila,2443,WAS,1649.0,27.0,-10.0,54,54,21,34,5.0,108,1.0,3.0,,2.0,,1.0,2.0,7.0,11.0,60,,2.0,2.0,4.0,,,,2.0,1.0,1.0,3.0,3.0,6.0,,,1.0,,4.0,4.0,4.0,8.0,3.0,,,,21,,1.0,1.0,0.2857142857142857,,0.2857142857142857,,0.5,0.3333333333333333,,,20.33898305084746,0.07692307692307693,0.1111111111111111,0.1,0.08695652173913043,0.125,0.25,,0.2,,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,,,1.0,,0.42857142857142855,0.44794285714285714,0.4484,0.18181818181818182,10.528571428571427,0.3888888888888889,,,7.0,,,,,,1.0,,1.0,,,,0.125,0.125,,1.0,2.0,1.0,3.0,,,,,,2.0,1.0,2.0,,4.0,6.0,,,,,1.0,1.0,,,,1.0,1.0,,,,6.0,2.0,,,,0.5,0.5,0.75,,1.0,0.2,0.16666666666666666,0.1111111111111111,0.25,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,0.5,,,,0.5694,0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,3207.0,53.0,-7.0,104,102,32,28,10.0,206,6.0,8.0,,1.0,2.0,6.0,8.0,15.0,25.0,107,,1.0,1.0,14.0,2.0,,2.0,3.0,1.0,6.0,8.0,4.0,12.0,,,1.0,,3.0,6.0,8.0,12.0,1.0,2.0,1.0,2.0,32,1.0,0.875,0.875,0.5333333333333333,,0.5333333333333333,,0.5952380952380952,0.25,0.13333333333333333,0.3333333333333333,19.1304347826087,0.16216216216216217,0.08571428571428572,0.1111111111111111,0.15217391304347827,0.0784313725490196,,0.16666666666666666,0.18181818181818182,0.1111111111111111,,0.5333333333333333,0.75,0.75,0.8333333333333334,0.4,0.3333333333333333,0.5,1.0,,0.5333333333333333,0.5095733333333333,0.6036,0.04,4.2733333333333325,0.3076923076923077,,,9.0,,1.0,2.0,,5.0,,,5.0,,,,0.25,0.25,,1.0,2.0,,1.0,,,,,,1.0,1.0,3.0,,3.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,5.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.5,,1.0,0.25,0.0625,0.0625,,0.14285714285714285,0.25,0.3333333333333333,1.0,1.0,0.06666666666666667,,,,,,,,0.6666666666666666,0.5,,,,0.47596666666666665,0.2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,
